,1) What would be good for consumers if different bakeries compete with each other?, q51_price,q51_quality,q51_diversity,q51_benefit
1171,Consumers can buy bread at a lower price or eat better quality bread,,,,
1172,The price goes down. to be able to get better service,,,,
1173,a fall in prices,,,,
1174,"Competition improves the quality and price of the product, so you can spend better",,,,
1175,to be able to get better quality products,,,,
1176,It's getting cheaper,,,,
1177,There are benefits such as lowering prices to attract consumers while competing,,,,
1178,The price goes down,,,,
1179,Can buy it at a low price,,,,
1180,You can get better service at a better price,,,,
1181,You can buy good quality goods at a low price.,,,,
1182,You can get better service,,,,
1183,Prices run in competition. Consumers can buy cheaply,,,,
1184,There will be competition in terms of price and quality,,,,
1185,to be able to enjoy better benefits,,,,
1186,It's getting cheaper,,,,
1187,Consumers can buy things at a low price.,,,,
