,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",q34_power variance,q34_efficiency
1253,"To prevent power and dictatorship, as seen in one part",,
1254,Because the National Assembly works in the National Assembly,,
1255,Unknowingness,,
1256,Because it leads the country.,,
1257,Unknowingness,,
1258,This is because it is easier and faster to divide it than to do it all in one place.,,
1259,"If different national institutions share the power and role of the state, they can check each other and play a balanced politics.Accordingly, it is possible to protect the freedom and rights of the people.",,
1260,"If different national institutions share the power and role of the state, they can keep each other in check and play balanced politics",,
1261,The national interest and government are like courts,,
1262,In order to keep politics in check it out,,
1263,Because it leads the country.,,
1264,It's a problem in Korea,,
1265,This is because a country has too much work to do three things.,,
1266,Unknowingness,,
1267,Because we work separately.,,
1268,To protect the country,,
1269,To protect the country.,,
1270,Unknowingness,,
1271,Unknowingness,,
1272,How do I know?,,
1273,Unknowingness,,
1274,Unknowingness,,
1275,It's because I'm trying to be a politician,,
1276,There's something else going on,,
1277,I don't know,,
1278,It's easy to divide roles evenly,,
1279,"It's better to take care of what you have to do, just like it's hard to take care of it all by yourself",,
1280,So that I can dream more,,
1281,I'm tired,,
1282,"Courts make laws, governments don't know Congress doesn't know",,
1283,"If one side is strong, it'll be pushed to the other side",,
1284,This is because corruption can increase if the country has all the rights.,,
1285,We have different things to do,,
1286,To make your dreams come trueI think it's because the roles are all different.,,
1287,It's important to decide through 3 places,,
1288,in order to work more modestly,,
1289,Because it's easier to categorize things by dividing them,,
1290,Because what we do is different,,
1291,Unknowingness,,
1292,It's because each person has a role field.,,
1293,I thought we should split up,,
1294,Politics is good.,,
1295,Everyone has a role,,
1296,"This is because the National Assembly has to work for the National Assembly, the court has to work for the court, and the government has to work",,
1297,I feel like we've split up a lot,,
1298,It's hard to do it alone,,
1299,be free from corruption,,
1300,for the balance of power,,
1301,To create jobs,,
1302,It is to balance power in three parts of three,,
1303,To prevent one's power from leaning toward dictatorship.,,
1304,"To check each department through separation of powers,",,
1305,The power of the state can be divided into three volumes to prevent the power from being concentrated on one side and prevent the dictatorship to create a democratic society.,,
1306,in order to disperse power,,
1307,"That way, you won't be confused",,
1308,to keep each other in check,,
1309,Separation of powers,,
1310,This is to divide intellectuals who have learned professionally in one field and make it accurate and easy.,,
1311,To check each other and prevent one from monopolizing,,
1312,The separation of powers is to keep each other in check,,
1313,"To keep each other in check through the separation of powers,",,
1314,"""Separation of powers""",,
1315,"to prevent power from being skewed to one side.""",,
1316,It's to keep each other in check and achieve balance,,
1317,To prevent the concentration of power in one regime,,
1318,It is to prevent dictatorship.,,
1319,To separate the power of the state and maintain a democratic regime,,
1320,I'm not sure because I majored in science.,,
1321,Don't put your strength on one side,,
1322,separation of powers,,
1323,This is to complement each other by separating the three powers.,,
1324,a power-biased economy,,
1325,Separation of powers. To prevent independent control of power.,,
1326,"""",,
1327,To prevent an agency's monopoly on power,,
1328,separation of powers,,
1329,To strike a balance in society,,
1330,To prevent the concentration of power into one place,,
1331,To prevent the power from being concentrated in one place through the separation of powers,,
1332,The separation of powers to prevent monopoly power.,,
1333,Choi Soon-sil,,
1334,The reason for the separation of powers is mutual cooperation and competition system recognition?,,
1335,The reason for the separation of powers is to prevent the power from being biased in one place.,,
1336,This is to prevent corruption of power by realizing the separation of the three powers.,,
1337,To disperse the power of the state and keep each other in check,,
1338,This is because it prevents power from being concentrated.,,
1339,It's a separation of powers,,
1340,Because we have to be equal,,
1341,So that sovereignty doesn't come together,,
1342,This is to make sure that power is not gathered in one place and that they are checked by creating a confrontational structure.,,
1343,It's to keep the power from being biased by one power,,
1344,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
