,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",q44_depleted,q44_environmental pollution
1017,"Environmental pollution is getting worse, making it difficult to live.",,
1018,"In the process of exhausting and burning fossil energy such as coal and oil, environmental destruction due to carbon dioxide occurs.",,
1019,Global warming accelerates further.,,
1020,Global warming is a mess.,,
1021,I'm going to screw up,,
1022,Global warming gets worse and resource depletion gets worse.,,
1023,Global warming has become so severe that it is difficult for people to survive,,
1024,the annihilation of the earth,,
1025,The atmosphere is polluted.,,
1026,I will no longer be able to live a stable life due to various environmental pollution,,
1027,"I think fossil energy will be depleted, energy sources will be reduced, and global warming will worsen.",,
1028,"Environmental pollution, resource depletion",,
1029,"As generations pass, the concentration of carbon monoxide and carbon dioxide in the air increases, which may accelerate global warming and submerge the island country.",,
1030,Global warming occurs,,
1031,Global warming occurs,,
1032,Global warming and the disappearance of the Earth,,
1033,They'll all die,,
1034,I don't know,,
1035,I don't know,,
1036,I don't know,,
1037,It will be depleted and unusable and environmental pollution.,,
1038,the end of the earth,,
1039,There is no alternative energy for later use,,
1040,Global warming is getting worse,,
1041,I'm bleeding,,
1042,Global warming is getting worse,,
1043,Global warming will come and perish.,,
1044,global warming,,
1045,a bad thing,,
1046,I'm going to screw up,,
1047,The earth becomes warmer and harder to live on,,
1048,Global warming occurs,,
1049,Beautiful things happen â¥,,
1050,Fossil energy is gone,,
1051,Environmental pollution occurs.,,
1052,Environmental pollution occurs,,
1053,Global warming accelerates and the Arctic glaciers melt fast,,
1054,"Due to a lack of power, all activities using electricity will be impossible.",,
1055,I don't know,,
1056,h,,
1057,h,,
1058,I don't know,,
1059,.,,
1060,Environmental pollution is getting worse,,
1061,near extinction,,
1062,be bad for the environment,,
1063,Global warming slows down,,
1064,environmental pollution,,
1065,Global warming occurs,,
1066,Global warming will get worse,,
1067,The environment is polluted and resources are depleted,,
1068,The warming phenomenon will be alleviated,,
1069,"Global warming accelerates, destroying the ozone layer, destroying tropical forests, and disappearing habitats for animals and plants, reducing biodiversity.",,
1070,There will be a phenomenon in which coal or oil will run out of energy.,,
1071,"Global warming will accelerate, there will be a lot of environmental destruction, and a sixth mass extinction will occur",,
1072,It causes environmental pollution,,
1073,I don't know.,,
1074,?,,
1075,exhaustion,,
1076,"Later, when the energy is used up, difficulties arise, global warming occurs, and it gets hot",,
1077,I don't know.,,
1078,It's disappearing,,
1079,The global environment is destroyed.,,
1080,resource depletion and environmental pollution,,
1081,"One day, resources will run out and global warming will become serious",,
1082,The shortage of coal oil causes conflicts between countries.,,
1083,There will be a lot of bad air on Earth,,
1084,Global warming will accelerate further.,,
1085,"""It's exhausting",,
1086,"""",,
1087,Environmental pollution becomes serious and depleted.,,
1088,I can't use the machine because I'm running out of electric energyThe Earth Is Contaminated,,
1089,Global warming intensifies,,
1090,The global greenhouse effect will be even greater.,,
1091,One day it will run out and the environmental pollution will get worse,,
1092,"Fossil energy will be depleted and fossil energy will no longer be used, and global warming will worsen due to increased carbon dioxide levels.",,
1093,"The composition ratio of carbon dioxide in the Earth's atmosphere increases, increasing the heat energy absorbed per unit volume of gas. It is released back to Earth, increasing the average temperature of the Earth, which leads to global warming.",,
1094,Accelerating global warming causes environmental problems such as rising sea levels,,
1095,I don't know.,,
1096,I don't know.,,
1097,The air will be polluted,,
1098,run out of energy,,
1099,I'm going to screw it up,,
1100,The earth hurts,,
1101,You don't have energy to use in the future,,
1102,You don't have energy to use in the future,,
1103,We need to use alternative energy,,
1104,There is no more energy available and society will stagnate,,
1105,soon to be exhausted,,
1106,Earth dies fast,,
1107,Global destruction due to global warming,,
1108,"Eventually, it is depleted and no longer usable.",,
1109,I'm running out,,
1110,environmental destruction,,
1111,áá®Oh my god,,
1112,"There are a lot of machines that use coal and oil now, but I don't think I can use them in the future",,
1113,"It is depleted, and environmental pollution occurs.",,
1114,"There is a lot of carbon dioxide in the atmosphere. Sinkholes are formed in land that has been dug out of oil and coal. When crude oil is spilled into the sea, water pollution occurs. Environmental pollution accelerates.",,
1115,The air is deteriorating and resources are depleted.,,
1116,"Carbon dioxide increases, global warming accelerates, air pollution, energy depletion",,
1117,Global warming is running out,,
1118,"Environmental pollution, resource depletion, human extinction",,
1119,The exhaustion of fossil energy means lack of energy and environmental problems such as air pollution,,
1120,A lowland war breaks out. Environmental pollution is getting worse.,,
1121,Environmental pollution on Earth becomes serious. Air pollution is the biggest problem,,
1122,"Accelerate environmental pollution such as air pollution, water pollution, and global warming",,
1123,"Destruction of the Ozone Layer, Global Warming",,
1124,"Carbon dioxide increase, temperate effect, and resource shortage phenomenon",,
1125,It is depleted and not available where necessary.,,
1126,"The greenhouse effect from the carbon dioxide emitted increases, accelerating global warming.",,
1127,Increased concentration of carbon dioxide in the air. Fossil energy is depleted.,,
1128,"Environmental pollution, resource depletion",,
1129,"The cost and energy of mining fossil energy sources are wasted, and environmental pollution becomes serious.",,
1130,"Later, there will be a shortage of resources for our descendants to use.",,
1131,It causes environmental pollution.,,
1132,The sea level rises and the earth heats up.,,
1133,I'm going to screw up,,
1134,The earth explodes,,
1135,Global warming intensifies,,
1136,global pollution,,
1137,Everyone is starving to death,,
1138,It will promote global warming,,
1139,I don't think it'll be good for the environment.,,
1140,Environmental pollution is intensifying,,
1141,The future develops,,
1142,L.,,
1143,Global warming occurs due to environmental pollution and ends later,,
1144,Climate change occurs due to the destruction of the ozone layer.,,
1145,There will be many natural disasters due to global warming.,,
1146,Fossil energy will be depleted and inconvenient to live.,,
1147,Global warming can intensify and ultraviolet rays can be destroyed.,,
1148,It becomes depleted and unusable and environmental pollution becomes more serious,,
1149,"The earth will have more global warming with fumes or carbon dioxide, making it harder for us to live",,
1150,"""1. If you use a lot of fossil energy, you will lose fossil fuels for future use.",,
1151,"2. Global warming intensifies.""",,
1152,I don't know,,
1153,Destruction of the Earth,,
1154,Global warming intensifies and resources are damaged,,
1155,"Eventually, the fossil will disappear",,
1156,Global warming will become more serious and the earth will not be able to live,,
1157,Fossils form a lot,,
1158,It may not be available in the future,,
1159,Fossil energy will run out.,,
1160,"Environmental pollution will intensify.""",,
1161,Global warming,,
1162,Global warming occurs,,
1163,"""We need a lot of fossil fuels like cars",,
1164,"""Transportation develops""",,
1165,"Fossil energy such as coal and oil will be depleted in the future. If that happens, it will be difficult to survive because we have to survive without energy until we study another energy again.",,
1166,Environmental pollution becomes serious,,
1167,"Fossil energy such as coal and oil is limited, so someday it will become scarce and unusable.",,
1168,resources run out,,
1169,Energy conservation,,
1170,Environmental pollution becomes serious and adversely affects the global environment,,
1171,Global warming will intensify,,
1172,Global warming will intensify,,
1173,Resources run out.,,
1174,"High use of coal and oil will produce harmful ingredients to burn it, and since it is a limited resource, it will not be able to use coal and oil in the future and will have a bad environmental impact.",,
1175,"It is likely to have a bad effect on the environment. Above all, energy will be replaced in the future because energy resources are limited above.",,
1176,"In the future, energy will be depleted, and fossil energy will not be available to use.",,
1177,The ozone layer has been destroyed,,
1178,"They won't even turn on the lights, let alone the electronics",,
1179,It will be hard because oil and coal are gone.,,
1180,It's global warming,,
1181,The ozone layer is filled with carbon dioxide,,
1182,"In the future, all things using fossil energy may become unavailable.",,
1183,I don't think I can use electricity because coal is used up and coal is limited,,
1184,"""Combustion or oil",,
1185,"Without it, electricity cannot be used.""",,
1186,"Uh, no gasoline or oil",,
1187,"We run out of coal and oil, and we run out of resourcesCoal or oil is a resource, so one day it's going to disappear. If people don't use new ideas to turn things that need coal or oil into things that don't need coal or oil, we won't be able to live anymore because we don't have resources",,
1188,"""There will be no oil for later use.",,
1189,"Later, you can't put oil on a car, airplane, or ship.""",,
1190,"""If you use a lot of fossil energy like coal or oil, it disappears and comes from that fossil energy",,
1191,"The environment is polluted because of smoke and such """,,
1192,Resource depleted,,
1193,"In the case of fossil energy, the fumes from burning make global warming worse, causing even greater damage.",,
1194,It's going to be global warming,,
1195,The environment will be polluted.,,
1196,Global warming destroys the world.,,
1197,"""Because of increased air temperatures or air pollution,",,
1198,"Air changes occur, which can pose a threat to people's lives.""",,
1199,"Eventually, coal and oil will run out, and we will not be able to use the resources we need in the future.",,
1200,Fossil energy could be depleted in the future,,
1201,"I can't get on an oil-powered vehicle.""",,
1202,"The environment is polluted and resources are depleted, and the future is not developing",,
1203,"Although fossil energy cannot be used later, there will be a lack of energy because there is not much renewable energy such as wind power generators or solar power generators",,
1204,saving fossil energy,,
1205,"Global warming is accelerated by the emission of carbon dioxide, which is a greenhouse gas",,
1206,The electricity will be cut off,,
1207,The earth will burst,,
1208,Global warming causes great damage to the Earth.,,
1209,"In the future, there are no resources, so I think our economic development will develop slowly It will be difficult for future generations to live",,
1210,Global warming is likely to intensify.,,
1211,Global warming worsens,,
1212,The future environment will be polluted,,
1213,"There will be many environmental problems due to pollution of the environment, and the reserves of coal and oil are limited, so there will be no energy available when coal and oil are exhausted, which will cause great damage.",,
1214,Both coal and oil will run out.,,
1215,"A lot of carbon dioxide, a greenhouse gas, is emitted and global warming is accelerated.",,
1216,The environment is likely to be polluted and adversely affect future generations.,,
1217,Environments such as air pollution are destroyed,,
1218,"There is a fixed amount, so if you keep using it, it will one day disappear, and it will be the main culprit of polluting the environment by generating greenhouse gases",,
1219,"If fossil energy continues to be used, it will eventually disappear, and electricity using fossil energy will not be available.",,
1220,It is likely that vehicles that use LPG will gradually replace it after refining oil from coal and using it for transportation fuel.,,
1221,Continued use of coal or oil destroys the animal's habitat.,,
1222,"Due to limited reserves, resources are depleted and it takes a very long time to be renewable, which can have a big impact on future offspring.",,
1223,"If you use a lot of fossil energy, it will be environmental pollution, and if you keep using it, it will decrease gradually, so people will not use a lot of fossil energy.",,
1224,"Fossil energy, such as coal and oil, can disappear forever and generate greenhouse gases, polluting the environment.",,
1225,"""1.There could be no coal or oil in the future.",,
1226,"2. I think it will be more advanced.""",,
1227,"After all, oil and coal have run out, and things that need oil and coal cannot work.",,
1228,"In the future, descendants cannot use oil or coal.""",,
1229,"As coal and oil resources become increasingly scarce and difficult to obtain, fossil energy will be unavailable in the future",,
1230,Coal and oil have run out of resources and are inconvenienced later,,
1231,Global warming occurs,,
1232,"If you use a lot of ""fossil energy"" such as coal or oil, you will run out of coal or oil in the future, and future generations will not be able to use it, and environmental pollution problems will be serious.",,
1233,Global warming is likely to cause global temperature to rise,,
1234,"Environmental pollution will be more severe than now, and fossil energy will be depleted, causing great confusion",,
1235,Global warming is getting worse,,
1236,Fossil energy is depleted and is not available to future generations,,
1237,Resource depletion will occur and mountains will be lost.,,
1238,..,,
1239,I'm going to screw up,,
1240,Global warming occurs,,
1241,environmental pollution,,
1242,Global warming causes the average temperature of the earth to rise,,
1243,run out of energy,,
1244,the seriousness of global warming,,
1245,Environmental pollution is getting worse and global warming is getting worse.,,
1246,environmental pollution,,
1247,worsening global warming,,
1248,The air will deteriorate and there will be no fuel for later use,,
1249,Global warming gets worse.,,
1250,The environmental pollution will make it difficult for humans to live,,
1251,The earth hurts,,
1252,Global warming,,
1253,Fossil energy will disappear and the environment will be ruined in the future,,
1254,"Due to the generation of greenhouse gases such as carbon dioxide, global warming intensifies and environmental pollution intensifies. There are concerns about rising temperatures and sea levels.",,
1255,run out of resources,,
1256,The earth is destroyed,,
1257,"Once the Earth's environment will be destroyed, fossil energy will run out, and all human civilization will be destroyed or stopped.",,
1258,Write a lot and see the results.,,
1259,environmental destruction,,
1260,We run out of resources and run out of energy,,
1261,Our country is likely to be polluted.,,
1262,to help develop,,
1263,Because I can't use it when I need it later.,,
1264,"Nature disappears, coal or oil disappears",,
1265,Coal or oil is gone and our social life becomes uncomfortable,,
1266,I don't know,,
1267,be ruined in the future,,
1268,We're running out of coal or oil,,
1269,"Oil and coal are gradually disappearing, and I think there will be more inconvenience when I live.",,
1270,Global warming will become more and more serious and the world will perish.,,
1271,"If the limited fossil energy is at its bottom, it will likely face many difficulties in the future",,
1272,"There is no coal or oil in the future, so I will buy it wrong",,
1273,Fossil energy is likely to disappear,,
1274,"If you keep using oil, the air can get worse, and all kinds of natural disasters can happen.",,
1275,be bound to be depleted in the future,,
1276,Global warming gets worse. Carbon dioxide emissions are severe.,,
1277,"""We can't use fossil energy anymore because we don't have enough resources like coal or oil",,
1278,"Environmental pollution will get worse """,,
1279,It'll get better,,
1280,The air will get bad in the future and it will be hard for people and plants and animals to live.,,
1281,I don't know,,
1282,Fossil energy for the future is revived,,
1283,"If you use a lot of fossil energy, you will lose a lot of coal and oil in the future.",,
1284,Our country will be polluted.,,
1285,"If we use a lot of fossil energy, the future will be bad.",,
1286,I don't knowThe air becomes polluted.,,
1287,become rich in resources,,
1288,The environment is polluted,,
1289,"If that energy is lost, the energy is lost.",,
1290,It is likely that resources will disappear because it is depleted a lot,,
1291,The country is doomed,,
1292,The earth becomes yellow and the environment becomes bad.,,
1293,The earth will eventually get hot and warm,,
1294,The environment is polluted.,,
1295,This is because the environment is polluted.,,
1296,"One day, the country will collapse due to lack of resources due to running out of resources.",,
1297,the ruin of the country,,
1298,It seems that the world will be darkened because natural resources are exhausted.,,
1299,The environment is polluted.,,
1300,"Because fossil energy such as coal and oil is limited, there is no more when used up, so I think I will buy it expensive in other countries",,
1301,I'm afraid I'll run out of resources,,
1302,"""If we use a lot of fossil energy, the air will be bad and our lives will be difficult",,
1303,"""",,
1304,environmental pollution,,
1305,Environmental pollution is not very good,,
1306,"If we use a lot of fossil energy, we will lose a lot of coal and oil",,
1307,"Using fossil energy, such as coal and oil, reduces fossil energy in the future. If you continue to use it, you will not be able to use fossil energy.",,
1308,It's gonna turn out great,,
1309,to be able to make a world,,
1310,Environmental problems are serious,,
1311,You're dying fast,,
1312,Global Warming Happens!,,
1313,Global warming will intensify and fossil fuels will be scarce.,,
1314,The earth will heat up and perish,,
1315,Environmental pollution becomes more severe,,
1316,The environment is polluted and the earth is destroyed,,
1317,"depletion of resources, global warming",,
1318,There is a lot of environmental pollution and a lack of resources that is likely to cause chaos throughout the world.,,
1319,Global warming is promoted,,
1320,Earth Explosion ÑÐ¼Ð¼ áá©á¨áá¡á¯,,
1321,"Later, you run out of energy",,
1322,Global warming caused by increased carbon dioxide,,
1323,"Global warming intensifies, leading to extinction of various creatures, and problems in the food chain, causing problems in human life.",,
1324,"Global warming has intensified, causing various creatures to become extinct, food chain problems, and human life problems",,
1325,Global warming will intensify and glaciers will melt and increase sea levels,,
1326,Global warming will threaten the natural ecosystem and human-living environment.,,
1327,More carbon dioxide makes global warming worse.,,
1328,Global warming intensifies and fossil energy is depleted and is no longer available,,
1329,"It is thought that if fossil energy is used continuously, environmental pollution will worsen, while the need for technology to capture carbon dioxide in the atmosphere will increase, and CO2 capture technology will develop.",,
1330,"Greenhouse gases will increase in the atmosphere and deepen the problem of global warming, causing climate change, which will destroy the ecosystem.",,
1331,There will be a shortage of energy resources in the future,,
1332,Glaciers are melting.,,
1333,I'll find another energy,,
1334,It looks like it's going to get pretty bad.,,
1335,Global warming,,
1336,Global Warming Accelerates,,
1337,The earth explodes.,,
1338,The resources are depleted and there is nothing more to use,,
1339,Global warming,,
1340,There is no energy to use in the future.,,
1341,"The atmosphere will be filled with carbon dioxide, etc., and global warming will worsen",,
1342,Fossil energy is depleted and global warming is speeding up without being used when necessary,,
1343,"When global warming accelerates, and fossil fuels run out, there's a lot of chaos around the world.",,
1344,I don't know.,,
1345,"The disadvantage of fossil energy is that it is not sustainable. Therefore, energy use can be restricted.",,
1346,"In the future, resources such as coal and oil will be depleted, and environmental pollution will be severe.",,
1347,One day it will run out.,,
1348,"It leads to environmental pollution, fossil energy is depleted, making future use impossible",,
1349,Global warming will intensify.,,
1350,I really don't know,,
1351,The temperature of the earth is rising,,
1352,No coal or oil.,,
1353,Global warming becomes more serious as carbon dioxide increases.,,
1354,"The energy available in the future is reduced, adversely affecting future generations.",,
1355,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
