,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,q38_temperature,q38_pressure,q38_gas molecule
1011,This is because there is a difference in air pressure between inside and outside the bottle.,,,
1012,It's because of the difference in air pressure difference,,,
1013,This is because the temperature has decreased and the volume has decreased. PV =nRT,,,
1014,at a reduced temperature,,,
1015,It doesn't squish.,,,
1016,It is a change in pressure caused by a change in temperature,,,
1017,"When the heat is high, the volume expands, but as it enters the refrigerator, the heat decreases and the volume decreases",,,
1018,I don't understand.,,,
1019,.,,,
1020,This is because the volume decreased as the air or liquid expanded in the hot temperature became cold as it entered the refrigerator.,,,
1021,I don't know,,,
1022,I don't know,,,
1023,Because oxygen disappears,,,
1024,I dont know,,,
1025,Because it's hot,,,
1026,Lower temperature reduces molecular activity,,,
1027,Molecular activity slows down,,,
1028,I don't know.,,,
1029,It's because the air pressure is low,,,
1030,The air pressure got smaller,,,
1031,The oxygen inside disappears,,,
1032,The temperature outside and the refrigerator are different,,,
1033,It's because the air contracts inside,,,
1034,I don't know.,,,
1035,It shrinks as molecular activity decreases,,,
1036,The air in the plastic contracted due to a sudden change in temperature,,,
1037,It's because the air contracts inside,,,
1038,This is because the air in the plastic bottle contracts.,,,
1039,The volume of the gas in the bottle changes,,,
1040,"Because the oxygen inside disappears,",,,
1041,This is because the volume of gas in plastic decreases as the temperature decreases.,,,
1042,This is because the temperature decreases and the volume of the gas in the bottle decreases.,,,
1043,"While left outside in summer, the plastic bottle contracts as molecular motion becomes active due to the high temperature in the plastic bottle, and then expands again and contracts in the refrigerator with a low temperature.",,,
1044,It's because the plastic contracted,,,
1045,The expanded air suddenly contracts and dents.,,,
1046,"Since it's hot and then cold, the strength to hold it is weak",,,
1047,The temperature dropped sharply,,,
1048,The temperature suddenly dropped,,,
1049,Because the temperature in the refrigerator is low,,,
1050,.,,,
1051,Because of the temperature change,,,
1052,It's because of the temperature difference.,,,
1053,I don't know.,,,
1054,Because of the expansion by heat,,,
1055,"Due to the air pressure difference caused by the temperature difference,",,,
1056,with one's eyes glued to the ground,,,
1057,"The air is in a warm place, so it gets bulky, but it shrinks and dents",,,
1058,This is because the volume shrinks as the temperature increases,,,
1059,It's because the volume has decreased,,,
1060,"This is because the plastic bottle, which had been expanded due to heat, was put in a refrigerator with a low temperature.",,,
1061,"The hot air that had been heated outside in a plastic bottle in the summer would have suddenly cooled, reducing the volume.",,,
1062,Because there is a difference between the temperature outside and the temperature of the refrigerator,,,
1063,The difference in temperature changes dramatically,,,
1064,I don't know.,,,
1065,The temperature suddenly dropped,,,
1066,I don't know,,,
1067,I don't know,,,
1068,I don't know.,,,
1069,"The lower the temperature, the more the volume contracts",,,
1070,I don't know.,,,
1071,Because of the temperature difference,,,
1072,This is because the temperature decreases and the air contracts,,,
1073,be crushed by rapid cooling,,,
1074,The volume expanded rapidly as it became warm and then cold,,,
1075,This is because the temperature has decreased.,,,
1076,"The air in the plastic bottle expands because of the high temperature, but the refrigerator has a low temperature, so the temperature decreases momentarily, causing the plastic bottle to be crushed",,,
1077,I wasn't confident outside,,,
1078,It's because the temperature has decreased,,,
1079,The temperature changed,,,
1080,This is because the air pressure difference is caused by the temperature difference,,,
1081,"In summer, the gas outside the bottle was expanded due to high temperature, but the temperature in the refrigerator is much lower than outside on summer days, so the volume of the gas decreases a lot, so the pressure in the bottle decreases, which causes it to be crushed.",,,
1082,"""It's because of the air pressure difference in temperature said",,,
1083,"When you're in a hot place, you get low pressure",,,
1084,"If you're in a cold place, you get high pressure",,,
1085,Move from high pressure to low pressure,,,
1086,"""It's dented""",,,
1087,Plastic bottles are crushed because the temperature decreases and the volume of the gas decreases.,,,
1088,"The volume of air in the plastic bottle outside in the summer increases because of the high temperature. However, if you put it back in the refrigerator, the temperature drops sharply and the volume of the gas decreases, so the internal gas pressure on the surface of the plastic bottle decreases. Therefore, the plastic bottle is crushed from the outside to the inside.Molecular motion not activated",,,
1089,The temperature is different,,,
1090,The air got hot and then cold,,,
1091,The temperature suddenly changed,,,
1092,Because it's cold,,,
1093,The volume changed because of the sudden temperature difference,,,
1094,"The refrigerator is cold, so the plastic bottle outside is crushed by the cold air",,,
1095,The temperature changed,,,
1096,The temperature changed,,,
1097,Because of the temperature,,,
1098,be due to a drop in temperature,,,
1099,a sudden change in temperature,,,
1100,Because of the volume,,,
1101,"The air in the plastic bottle, which used to be active when it was hot, became cold and lost its vitality",,,
1102,"As the temperature went down, the plastic bottle contracted.",,,
1103,The plastic bottle shrank because it was cold,,,
1104,The temperature went down,,,
1105,"When the temperature decreases, the air pressure increases, so it is crushed when plastic outside the refrigerator in the summer when the temperature is higher than in the refrigerator.",,,
1106,Because of the temperature difference,,,
1107,This is because the temperature decreases and the pressure inside the bottle decreases (the volume decreases because the gas molecular motion becomes less active and the pressure decreases),,,
1108,"The air in the bottle is heated and expanded, and when cooled rapidly, molecular motion is significantly reduced and volume is reduced.",,,
1109,Reduced internal pressure,,,
1110,The temperature of the gas decreases and the volume decreases.,,,
1111,Air contraction inside the bottle (Charles' law),,,
1112,"When the internal air is inflated and put in the refrigerator, the volume of air in the closed system decreases, reducing the pressure.",,,
1113,"As the temperature decreases, the volume decreases.",,,
1114,"As the temperature decreases, the volume decreases.",,,
1115,"Because plastic bottles in summer become cold when they are put into the refrigerator while they are warm, the volume increases when the temperature is high due to these temperature changes, but the volume decreases when the temperature is low.",,,
1116,Gas volume inside the container decreases as temperature decreases,,,
1117,The heat shield shrinks as the temperature decreases in one state.,,,
1118,"As the volume of gas inside the plastic is reduced,",,,
1119,Heat is drained by the temperature difference. Decrease in volume as temperature decreases (Charles' law),,,
1120,Air contracts when the temperature is low,,,
1121,Because the volume decreased as the temperature of the gas decreased (external pressure schedule),,,
1122,The air contracts,,,
1123,"As the temperature decreases, the motion of the gas molecules decreases, increasing density and decreasing volume.",,,
1124,"""The hot temperature outside the summer and the cold refrigerator temperature",,,
1125,"Because it is different (difference in temperature).""",,,
1126,I don't know.,,,
1127,"Because the air in the plastic bottle heats up and enters the cold place, the air pressure decreases.",,,
1128,be greatly influenced by heat,,,
1129,Because the volume of air decreases,,,
1130,Youngchun meat story is delicious,,,
1131,Because of the temperature change,,,
1132,I don't know,,,
1133,The heat caused the air to expand.,,,
1134,It shrinks by temperature differences.,,,
1135,It is because the air density in hot places is low and the air density in cold places is high,,,
1136,be a natural phenomenon,,,
1137,It's because the pressure is strong,,,
1138,I don't understand.,,,
1139,This is because the pressure caused by the temperature difference increases.,,,
1140,Because the temperature is different,,,
1141,This is because the temperature difference has occurred.,,,
1142,under pressure,,,
1143,"Because of the expansion and contraction of the air,",,,
1144,The volume of air that had grown at a high temperature has shrunk and is crushed,,,
1145,It's because of the temperature difference.,,,
1146,I don't know,,,
1147,It's hot,,,
1148,I don't know,,,
1149,I don't know.,,,
1150,Air contraction,,,
1151,I don't know,,,
1152,I don't know.,,,
1153,I don't know,,,
1154,ã,,,
1155,The substance inside swells up,,,
1156,Because the temperature is low,,,
1157,"Molecules that were active outside in the heat?This is because it is suddenly moved to a cold place, reducing activity and gathering at the center.",,,
1158,I don't know,,,
1159,Pressure and temperature difference,,,
1160,I don't know.,,,
1161,I don't know.,,,
1162,"The warm becomes cold and the volume in the plastic bottle becomes smaller, so the plastic bottle is crushed because it is tightly closed",,,
1163,It's because the expanded air contracted,,,
1164,It's because the expanded air contracted,,,
1165,This is because the temperature increases and the pressure increases.,,,
1166,This is because there is a difference in air pressure.,,,
1167,"When the heat rises, the gas expands and the bottle swells, but in refrigerators with low heat, the gas shrinks and the bottle is crushed.",,,
1168,This is because the pressure of the bottle is different from the pressure in the refrigerator.,,,
1169,That's why people shrink when they're cold,,,
1170,It's because the refrigerator is sullen because it's cold.,,,
1171,I don't know.,,,
1172,Because of the volume?,,,
1173,"Because of the moisture difference,",,,
1174,"If you leave a plastic bottle outside in summer, the plastic bottle gets hot, and if you put it in a cold refrigerator in that state, it will be crushed because the temperature difference is large.",,,
1175,"When you put it in the refrigerator, the temperature decreases and the pressure in the plastic decreases and it is crushed",,,
1176,"As soon as you put it in the refrigerator, the temperature decreases, and the pressure in the plastic decreases, causing it to be crushed.",,,
1177,"When you put it in the refrigerator, the temperature decreases and the pressure in the plastic decreases and it is crushed",,,
1178,It's cold,,,
1179,The plastic in the refrigerator is crushed because the heat temperature suddenly changes,,,
1180,"If you pour hot water on plastic, it shrinks when you pour too cold water on plastic, such as melting plastic.",,,
1181,"""The plastic bottle in the summer is warm and expands But if you put it in the refrigerator,",,,
1182,"""It got cold and the plastic bottle that expanded shrinks.""",,,
1183,Ha,,,
1184,The hot plastic bottle was crushed by the cold air in the refrigerator.,,,
1185,Because it's bulky,,,
1186,This is because of the difference in air pressure depending on the temperature.,,,
1187,"I don't know.In summer, the temperature outside is high, so the air in the bottle is expanded, but the temperature inside the refrigerator is low, causing air to shrink and crush.",,,
1188,"The temperature outside was hot, but the refrigerator was cold, so the temperature changed.",,,
1189,"It was hot outside, but the refrigerator was cold, so there was a temperature difference",,,
1190,Because of the temperature difference,,,
1191,"If the water becomes ice, the volume decreases",,,
1192,Put it in the refrigerator,,,
1193,I used to laugh when I was outsideIt gets dented because it's getting cold,,,
1194,The temperature went down,,,
1195,The water expands,,,
1196,It is because it meets hot and cold air.,,,
1197,Temperature difference,,,
1198,It is because of the change in air.,,,
1199,"As the temperature decreases, the volume of the gas decreases",,,
1200,Due to the temperature differential,,,
1201,I don't know...,,,
1202,This is because of the difference in air pressure depending on the temperature.,,,
1203,This is because the volume of the gas in the plastic bottle decreases when the temperature decreases.,,,
1204,The air in the plastic bottle decreases in volume as the temperature drops.,,,
1205,Air in plastic bottles becomes cold and becomes smaller,,,
1206,"Gas expands when the temperature is high and contracts when the temperature is low, but the cold PET bottle is crushed by a sharp temperature difference",,,
1207,"When the temperature is high and then suddenly low, the plastic contracts rapidly and collapses.",,,
1208,"If the water becomes ice, the volume decreases",,,
1209,The temperature is so high outside,,,
1210,"The temperature in summer is high, but the pressure is kept constant with each other, and it goes into a cold refrigerator and loses its balance and is crushed.",,,
1211,"In summer, the temperature rises as the outer part of the plastic bottle outside heats up, and when it is in a place with a low temperature such as a refrigerator, it suddenly cools and shrinks.",,,
1212,"The temperature outside in summer is high, but the refrigerator is low.",,,
1213,Because the pressure goes into the plastic bottle,,,
1214,Because the volume of plastic bottles in the refrigerator decreases,,,
1215,"Because the volume of plastic bottles in the refrigerator decreases,",,,
1216,There's air inside,,,
1217,"Because the air pressure in the plastic bottle in the refrigerator is lowered,",,,
1218,""" This is because of the difference in air pressure depending on the temperature.",,,
1219,,,,
1220,"The air in the water at the outside temperature becomes active and rises upward, in which case it becomes high pressure because of the cold air outside while under low pressure.Therefore, the air moves from high pressure to low pressure, so the bottle is crushed because it tries to go inside from the outside of the bottle.",,,
1221,"""",,,
1222,It's getting bigger,,,
1223,Heat creates air pressure,,,
1224,The pressure is different,,,
1225,"Because of the difference in air pressure,",,,
1226,"In summer, the temperature is high, so water evaporates and swells, but when you put it in the refrigerator, the water vapor becomes water and the volume decreases.",,,
1227,..,,,
1228,ããã,,,
1229,I don't know,,,
1230,Don't know,,,
1231,Don't know,,,
1232,Well,,,
1233,Expand and then record (gas) ^&^,,,
1234,I don't know.,,,
1235,The air went out,,,
1236,It's because it's hot and then cold,,,
1237,I don't know.,,,
1238,I don't know.,,,
1239,I don't know.,,,
1240,I don't know.,,,
1241,a barometric difference,,,
1242,I don't have a lot of fever,,,
1243,"Air molecules are active due to high temperatures, and then contract because they enter cold places and slow down.",,,
1244,I don't know,,,
1245,It's a defective product,,,
1246,"I don't know about that, but how about watching the Marvel movie Thor series?I like the chemistry between Thor and Rocky. Or watch Spider-Man Homecoming. You can watch it comfortably without worrying for a Marvel movie.",,,
1247,This is because the heat rises and expands.,,,
1248,It's cold,,,
1249,I don't know,,,
1250,I think it's because the air inside goes out because it's cold.,,,
1251,"""It's probably because of the air pressure difference depending on the temperature.If you put hot water in it, the air in it becomes active and rises, so low pressure",,,
1252,"It's a relatively cold air out there, which causes high pressure.",,,
1253,"The air moves from high pressure to low pressure, so that's what happens because you're trying to get in from the outside of the bottle.""",,,
1254,It is because of the change in temperature.,,,
1255,I don't know,,,
1256,It's because of the coldness,,,
1257,Wind,,,
1258,It's a temperature difference.,,,
1259,""" It's probably because of the air pressure difference between temperature difference",,,
1260,"If you put hot water in it, the air in it becomes active and rises, so low pressure",,,
1261,"It's a relatively cold air out there, which causes high pressure",,,
1262,"The air is moving from high pressure to low pressure, so it's trying to get inside from the outside of the bottle.""",,,
1263,This is because the temperature suddenly changed.,,,
1264,It is because of the pressure difference (air pressure) depending on the temperature.,,,
1265,I feel pressure because the temperature outside is high but the temperature inside the refrigerator is low,,,
1266,It got hot and cold,,,
1267,Because the temperature difference between inside and outside the refrigerator is different,,,
1268,Because the temperature suddenly changes.,,,
1269,I don't know,,,
1270,I don't know,,,
1271,I don't know,,,
1272,Paddle,,,
1273,It was hot and then suddenly it got cold,,,
1274,"""",,,
1275,"Because it's hot.""",,,
1276,I don't know,,,
1277,I don't know,,,
1278,I said I don't know.,,,
1279,I don't know,,,
1280,I don't know,,,
1281,It's because of the temperature change,,,
1282,The hot temperature died down,,,
1283,I don't know,,,
1284,Because of the power to crumple,,,
1285,The heat changes drastically,,,
1286,Because summer is hot but refrigerator is coldIt is because the temperature is high.,,,
1287,I have no idea.,,,
1288,The pressure in the fridge is low pressure,,,
1289,This is because the air pressure rises because it receives too much sunlight.,,,
1290,"Because of the low pressure, the air decreases and it dents itself.",,,
1291,Because it's cold in the refrigerator,,,
1292,The temperature suddenly changed and I think it's crushed.,,,
1293,The temperature is different,,,
1294,"It is hot outside, but it is cool inside the refrigerator, so Poopy gets bigger and smaller",,,
1295,It's because the temperature changes,,,
1296,The temperature was hot It's cold,,,
1297,There's no air,,,
1298,"This is because warm air serves to puff up the plastic bottle, but cold air reduces the amount of air in the plastic bottle.",,,
1299,It's plastic,,,
1300,The pressure is low and it doesn't squish.,,,
1301,It was hot and then it got cold,,,
1302,"It was hot, but it got cold",,,
1303,X,,,
1304,"Because of the sudden temperature change,",,,
1305,a difference in temperature difference,,,
1306,a decrease in volume,,,
1307,I'm at the age where I want to be crushed,,,
1308,"This is because the air in the plastic bottle, which was heated and expanded, decreases in volume as the temperature decreases",,,
1309,"The temperature goes up, the air pressure goes down",,,
1310,It expands when the temperature rises and contracts when it falls,,,
1311,Pressure changes according to temperature changes,,,
1312,Pressure reduction due to temperature change,,,
1313,It's because the temperature difference is very low,,,
1314,Pressure reduced due to temperature reduced,,,
1315,I don't know.,,,
1316,This is because the pressure varies depending on the temperature.,,,
1317,Because the pressure varies depending on the temperature,,,
1318,It's because the air contracts,,,
1319,"It expands when the air gets hot, but shrinks when it gets cold",,,
1320,This is because the volume decreases when the temperature decreases.,,,
1321,The volume of gas in the plastic bottle shrinks when it is placed in the refrigerator,,,
1322,"In a sealed container, the gas outside in the summer is actively exercising and trying to expand, and when it suddenly gets cold, the air outside tries to enter, but even if it tries to enter the sealed container, pressure is applied from outside to the inside.",,,
1323,"As the temperature is high, the volume of the gas in the plastic bottle is expanded, and when it enters the refrigerator, the temperature decreases and the volume decreases, and the pressure is lower than the external pressure and is crushed.",,,
1324,Because of the atmospheric pressure,,,
1325,"When the temperature decreases, it is crushed because the volume decreases by Charles' law.",,,
1326,Because the volume of the gas decreases when the temperature decreases,,,
1327,Because it's hot.,,,
1328,"The temperature and volume are proportional, but if you put them in the refrigerator, the temperature decreases, so the volume decreases.",,,
1329,The air pressure in the bottle decreases,,,
1330,It expands and then contracts,,,
1331,"Because the exercise power of the gas in the hot and cool places is different,",,,
1332,contraction,,,
1333,"""I don't know",,,
1334,"""",,,
1335,This is because the pressure inside the bottle is smaller than the pressure outside the bottle because the movement of the molecules slows down,,,
1336,"Because the movement of the molecules slows down, the pressure inside the bottle is smaller than the pressure outside the bottle",,,
1337,The temperature in the plastic bottle will decrease and the volume will not decrease.,,,
1338,I guess he wanted to be crushed,,,
1339,"The temperature outside in summer is very high. However, the temperature of the refrigerator is low, so the pressure also changes.",,,
1340,"The temperature is high outside in the summer. However, it is because the temperature inside the refrigerator is low, causing volume changes.",,,
1341,"This is because the air inside the plastic bottle, which was expanded by hot air, cools in the refrigerator and contracts",,,
1342,I don't know,,,
1343,This is because the air pressure increases and the volume of gas in the bottle decreases,,,
1344,The refrigerator is cooler than the outside,,,
1345,Pressure,,,
1346,a barometric difference,,,
1347,This is because molecules that have been distant due to heat are getting closer to entering the refrigerator.,,,
1348,"When the temperature decreases, the pressure decreases and it is crushed.",,,
1349,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
