,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",q64_fossil fuel,q64_carbon dioxide
799,Plant a lot of plants and use less cars,1,0
800,"Global warming is caused by carbon dioxide produced by human-made cars and factories. However, for the sake of development, it cannot be prevented unconditionally. Therefore, global warming can be solved by making it possible to produce only a certain level of carbon dioxide or by planting many plants that convert carbon dioxide into oxygen.",0,1
801,"Due to indiscriminate development, global warming is accelerating and intensifying for various reasons, such as cutting down trees, reducing oxygen, and increasing electricity use due to excessive use of air conditioners and electric pads. As the climate gets hotter and colder, the vicious cycle of increasing electricity usage is repeated. Therefore, I think people's awareness of global warming should be changed first. Technology should be developed to protect plants and not throw garbage on the street, reduce the use of air conditioners and electric pads, and develop new alternative energy to reduce the amount of carbon dioxide as much as possible.",0,0
802,"If you stop reckless production and serve the environment, it disappears",0,1
803,This is because our Earth emits a lot of carbon dioxide and other things.,1,0
804,"In order to minimize carbon dioxide, which accounts for the largest portion of global warming, it increases the proportion of electric vehicle production, reduces factory operating time, and introduces a lot of eco-friendly energy technology",0,0
805,It uses nature to generate electricity.,0,0
806,"I think that global warming is due to humans I think we should be more alert, use less shampoo, use public transportation, and make a lot of efforts to reduce disposable products.",0,0
807,Kim 00's breath stinks / He doesn't let me sigh.,1,0
808,"The most serious causes of global warming are fuel, butane gas, automobile fumes, etc",0,0
809,"The emissions from using chemical fuel are the most serious, so automobile fumes, butane gas, etc. are the most serious substances that will cause global warming, so I think the answer is to replace or use less substances.""",0,0
810,reduce the use of electricity,0,0
811,"Factory wastewater, factory smoke, forest logging, and indiscriminate consumption of energy by citizens",0,0
812,Reduce thermal power generation,1,0
813,I think I need to use a little bit of electricity,0,1
814,"As I said in the last question, I am a liberal arts student, not a natural sciences student.",0,0
815,It seems that global warming is getting worse because we use a lot of electricity such as air conditioning So we think it's better to save,0,0
816,You have to recycle well and save money,0,1
817,Efforts are made to develop eco-friendly energy to reduce the use of fossil fuels.,1,0
818,use public transportation,0,1
819,It reduces indiscriminate development and reduces the amount of tin dioxide.,0,1
820,"There are many ways, but you can find it online",0,0
821,"The main cause of global warming is the excessive amount of greenhouse gases To solve this problem, there will be development of plants that reduce greenhouse gases, and technology that solidifies and eliminates greenhouse gases",0,0
822,Develop products that are not harmful to the environment.,0,0
823,Reduce carbon dioxide emissions.,0,0
824,Reducing the use of fossil fuels,1,0
825,public transportation,0,0
826,"Reduce the use of substances harmful to the environment, and try to use substances as harmless as possible.",0,0
827,"Global warming has many reasons, but there are greenhouse gases. We think of ways to use natural gas efficiently, so increasing the amount of natural gas used can prevent global warming.",0,0
828,Rice is cooked well,0,0
829,Eliminate the use of fossil fuels.,0,0
830,Reduce the use of fossil fuels,0,0
831,Don't throw garbage on the floor,0,0
832,I don't know,1,1
833,"Carbon dioxide, plant emissions should be reduced",1,0
834,Global warming is one of our disposable items and our gunpowder items,0,1
835,"Global warming generates a lot of carbon dioxide, which causes global warming as the earth heats up. Therefore, in order to solve global warming, carbon dioxide generation must be reduced.",,
836,Carbon dioxide emissions should be lowered to address global warming.,,
837,"We can prevent global warming by reducing coal gas, one of the many global warming factors",28.70%,22.90%
838,Because the greenhouse effect makes the ozone layer thinner,,
839,Use energy-efficient ones,,
840,Reduce the population,,
841,"""Increase in the use of chemical fuels",,
842,"Developing energy that can be used instead of chemical fuel""",,
843,I think we should try to develop eco-friendly energy.,,
844,Reduce carbon dioxide.,,
845,Strengthen restrictions on chemical and hazardous substances.,,
846,"There are countless solutions to global warming. Even if there is a scientific method, it is useless because people do not practice it. There will be solutions to global warming in that corner of everyone's head.",,
847,I save on shampoo,,
848,Don't throw away trash,,
849,Reduce factory smoke,,
850,More trash. Let's recycle well,,
851,We make a lot of eco-friendly products,,
852,It destroys the Earth's population in half.,,
853,Plant trees,,
854,stop using chemical fuel,,
855,We should all work hard to reduce carbon dioxide emissions,,
856,"""",,
857,to develop alternative resources for fuel emitting greenhouse gases,,
858,It makes plastic that decomposes.,,
859,I'm planting trees,,
860,"First of all, global warming occurs due to indiscriminate human resource consumption, carbon dioxide, and carbon monoxide emissions. Therefore, it is a method to use a resource or energy source with low carbon dioxide emissions.",,
861,Minimize carbon dioxide emissions.,,
862,Let's get rid of China,,
863,Unsolvable,,
864,Install a filter throughout China's factory chimneys. / Plant trees,,
865,the use of eco-friendly energy,,
866,"Carbon Dioxide, Use of Eco-Friendly Energy",,
867,"""The amount of resources needed to produce is now relatively large for the future.",,
868,"If science advances and the amount of resources needed for production decreases, we will be able to do so",,
869,"We will be able to produce the same production with less damage to the environment.""",,
870,"Glacier recordings, carbon dioxide emissions from factories and cars, etc",,
871,Develop eco-friendly fuel.,,
872,I don't know,,
873,Kill a cow,,
874,Promote the regeneration of the ozone layer,,
875,You should refrain from using disposable products and use public transportation a lot.,,
876,to develop new science,,
877,Don't eat food and don't fart,,
878,M and D,,
879,I don't understand.,,
880,"Automobile exhaust, electric vehicles, public transportation",,
881,It releases less carbon dioxide,,
882,Abandoning the Planet,,
883,I'm going to kill all the kids,,
884,We need to reduce emissions of carbon dioxide emissions,,
885,Replace smoky cars with cars like hydrogen cars,,
886,Plant a lot of trees to thicken the ozone layer You plant a lot,,
887,"Plant reckless gas emissions, planting lots of trees",,
888,reduce the use of electricity,,
889,Don't breathe.,,
890,We make a lot of cider made from carbon trioxide.Use of public transportation to prevent air pollution,,
891,Use public transportation because of the increased use of fossil fuels,,
892,I don't think global warming is caused by humans. The amount of carbon dioxide that humans emit is very small compared to the amount of carbon dioxide generated in nature. I don't think that very little carbon dioxide destroys the Earth's ozone layer and raises the Earth's temperature. That's why I think carbon dioxide emissions have increased because the Earth has gotten hotter.,,
893,"Global warming is usually thought to have become global warming with many gases using machines developed after industrialization. In order to prevent such global warming, it is necessary to create a technology that can burn or eliminate garbage in places like incinerators that burn something.",,
894,e,,
895,Reduce greenhouse gases,,
896,Let's get rid of half the humans,,
897,It condenses greenhouse gases from the source of greenhouse gases that cause global warming and sends them into space.,,
898,"To prevent the increase in greenhouse gases, a greenhouse gas regulation agreement is signed and regulatory policies are implemented.",,
899,"As carbon dioxide emissions increase, various problems arise from global warming. To solve this problem, it is necessary to reduce the use of fossil fuels and develop alternative energy.",,
900,"Using electricity or natural fuel, not fuels",,
901,Reduce gasoline cars and electricity to reduce emissions.Increase the hydrogen car,,
902,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
