,2) Why is the wind direction different during the day and at night in the sea and on land?,q46_temperature difference,q46_barometric pressure
915,"Since the specific heat of the land is lower than the specific heat of the sea, the air temperature on the land side is higher than the air temperature on the sea side during the day, and the air on the sea side is higher than the air on the land side at night.",,
916,It's day and night,,
917,"Since the specific heat of the sea is relatively higher than the specific heat of the sandy beach, the temperature of the sandy beach is relatively higher during the day and the temperature of the sea at night, so the direction of the wind changes during the day and night.",,
918,The reason why the direction of the wind is different during the day and at night is different because the temperature and specific heat of the land and the sea are different.,,
919,Because of the specific heat difference,,
920,The direction of the waves is different,,
921,"During the day, the temperature of the sea is higher, and at night, the temperature of the land is higher",,
922,The wind moves from the hot to the cold,,
923,It's hot during the day and cold at night,,
924,?,,
925,I don't know.,,
926,Because of the temperature difference,,
927,This is because there is a sea wind during the day and a land wind at night.,,
928,I don't know,,
929,The temperature changed,,
930,It's because the air is convection,,
931,a difference in temperature difference,,
932,The beach is hot during the day and the beach is cold at night,,
933,"During the day, it is windy on land, and at night, it is windy on the sea.",,
934,I don't understand.,,
935,That's what I did,,
936,The temperature is different,,
937,This is because the temperature of the sea is different from the air pressure of the ground.,,
938,"""",,
939,"The sea slowly heats up and cools down, and the land heats up quickly and cools down quickly. Therefore, the land is hotter during the day and the sea is hotter at night. As described above, the direction of the wind blowing during the day and night is different because the air pressure in the cold place is high and the air pressure in the hot place is low, and the wind blows from high pressure to low pressure.",,
940,"""",,
941,Share Favorites,,
942,,,
943,"Hot air goes up and cold air goes down. The wind is blowing because the air moves. The opposite direction of the wind at day and night on the beach is because the temperature of the air above the land and the sea is different. During the day, the land heats up faster than the sea. The hot air on the land rises and fills the empty space created by the air moving from the sea side. As the air moves, the sea breeze blows from the sea to the land",,
944,"""",,
945,I don't know.,,
946,It's because the sun is shining.,,
947,"During the day, the sandy beach is heated by the sun to heat up the air, but at night, the seawater absorbs the sun and the heat from the sandy beach to heat up, creating another infinite loop that cools and fills the sea",,
948,"During the day, the sandy beach is hot because of the sun's heat, but at night, it absorbs the heat of the sandy beach and it is hot",,
949,I don't know,,
950,This is because the temperature that cools during the day and at night is different. ^ì¤^,,
951,"During the day, the temperature of the land's sand is hotter than the sea because it receives the heat of the sun, so the land wind blows from the land to the sea during the day, and the sand cools faster in the rice, so the sea wind blows from the sea temperature is higher.",,
952,"Because of the ebb and flow,",,
953,"The wind of day and night has a sea breeze, and the reason why the sea breeze blows during the day is because the cold air rises up and blows toward the land, and the reason why the sea is warmer at night.",,
954,There is a difference in temperature.,,
955,Because the direction of the tide and ebb are different,,
956,This is because there is a difference in temperature between the sea and the sandy beach.,,
957,The direction of the wind is different because the direction of the tide is different from the direction of the tide,,
958,"The direction of the wind in the day and room is sea wind and meat wind, but the wind blows during the day and at night, so it is low and the direction of the wind in the room is different",,
959,The temperature changes day and night,,
960,"It's because there's a sea breeze during the day, and there's breeze at night",,
961,I don't know.,,
962,There's a land wind and a sea wind,,
963,"""In the daytime, the temperature on the land is higher than the sea",,
964,"""At night, the temperature of the sea is higher than that of the land.""",,
965,"In the morning, it's on the sand and at night, it's",,
966,I don't know,,
967,I don't know.,,
968,Because of the difference between the sun and the sun?,,
969,I don't know,,
970,It is because there is a sea wind during the day and a land wind at night.,,
971,Because the air temperature is different on land and on the sea,,
972,The temperature of the sand is different,,
973,"This is because cold air from the sea blows toward the land during the day, and the sea is warmer at night.",,
974,"""When the wind blows during the day, the cold air of the sea rises and blows toward the land,",,
975,"The wind blows at night because the sea is warmer at night, so the direction of the wind at night and day are different.""",,
976,"The land, which gets hot and cools quickly, will be heated first. Then the air on the heated ground is brought up by convection, and the air from the sea comes and fills the void. The wind blows from the sea to the land",,
977,"On the contrary, the sea is slower than the ground, as well as the speed at which it is heated by sunlight.",,
978,"At night, the sea, which had been slowly heated, cools down slower than the land, so the temperature is higher than that of the first cooled land.  So the air from the sea goes up.""",,
979,"There is a property that cold air is at the bottom and hot air is at the top, and the temperature of the sea is constant, and the temperature of the sandy beach is more hot due to hot sunlight during the day, so it feels relatively hot and cool at night.",,
980,This is because hot air goes up and cold air goes down.,,
981,"The proper rate of heating and cooling during the day will heat up the land first. Then, the air on the heated ground is raised by convection, and the empty space is filled by the air of the sea, at which time the wind blows from the sea to the land.",,
982,"On the contrary, at night, the heated sea cools slower than the land, so the temperature is higher than that of the first cooled land.So, the air from the sea goes up, and the air from the land flows toward the sea, and the wind blows.""",,
983,The wind direction is different because it is hot during the day and cold at night.,,
984,"During the day, the land with smaller specific heat heats up faster than the sea, so the land temperature is higher, so the air pressure of the land with higher temperatures is lower and the air pressure of the sea with lower temperatures is higher. Therefore, it becomes a sea breeze because it moves from a high atmospheric pressure to a low pressure.",,
985,"At night, the sea cools slower than the land, and the temperature of the sea is higher, so the high-temperature sea has low air pressure and the low-temperature land pressure, causing land winds to blow from land to sea.""",,
986,It's hot during the day and cold at night,,
987,I don't know.,,
988,This is because the land is warm during the day and the sea is warmer than the land at night.,,
989,Don't knowI don't know.,,
990,I don't know.,,
991,The time difference is different,,
992,I don't know.,,
993,I don't know. Sorry,,
994,There's a temperature difference,,
995,Because of the echo on the moon?,,
996,Don't know,,
997,I don't know,,
998,The sun went down differently,,
999,I don't know,,
1000,Because the time when the wind blows is different,,
1001,Because of the reverberation of the moon,,
1002,Day and night keep changing,,
1003,I'll drain the water,,
1004,There's a temperature difference between day and night,,
1005,The earth revolves around the sun,,
1006,I don't know,,
1007,I don't know,,
1008,It's humid at night,,
1009,I don't know.,,
1010,I don't know.,,
1011,The speed of the wind is different at each time,,
1012,I don't know,,
1013,I don't know.,,
1014,I don't know,,
1015,This is because the direction of the wind varies depending on the temperature of the air during the day and night,,
1016,"During the day, the sun is hot, so warm water goes up, and at night, the cold seawater goes down because it is cold around the beach.",,
1017,High temperature position varies,,
1018,It is because of the land wind and the sea wind.,,
1019,Because the heat of the sea is low,,
1020,The temperature of the earth's surface is different,,
1021,This is because the place where the temperature is high changes. because of the specific heat of the water,,
1022,The temperature is different between day and night,,
1023,The earth is fickle,,
1024,This is because the temperature is different between day and night.,,
1025,This is because the sea heats up later than the land and cools later.,,
1026,"Because the specific heat of the sea and the land is different, the temperature of the land during the day is higher than that of the sea, and the direction of the wind is different because the temperature of the land at night is lower than that of the sea.",,
1027,"This is because the temperature of the land is higher during the day, but the temperature of the sea water is higher at night.",,
1028,"Water has a large specific heat, so the temperature is almost constant, but the temperature changes on land.",,
1029,"During the day, the temperature of the land is higher and the temperature of the sea is higher at night, and cold air blows as it forms an empty spot, as written in the problem above.",,
1030,It is because the land is hot during the day and the sea is hot at night,,
1031,"This is because the specific heat of the sea and the land is different, resulting in a temperature difference between the land and the sea.",,
1032,"Because of the air pressure caused by the temperature difference,",,
1033,"Land, which has a smaller heat capacity than the sea, will lower the temperature faster, so the air in the sea with higher temperatures will rise and become a low pressure. So wind blows from land to sea as opposed to day.",,
1034,Because of gravity,,
1035,"During the day, the land temperature is higher than the sea, and at night, the land temperature is lower than the sea",,
1036,"During the day, the temperature of the land is high and the temperature of the sea is high at night, so I think the position of the temperature difference changes, so the direction of the wind changes.",,
1037,The temperature difference between the sandy beach and the sea water changed,,
1038,the temperature difference between sand and the sea,,
1039,Because the difference between day and night is different,,
1040,Because the difference between day and night is different,,
1041,It is because the water evaporates a lot during the day and the wind is strong and the sun is not exposed at night,,
1042,Morgasvina of France,,
1043,Since it's night time,,
1044,"Because of the temperature difference,",,
1045,I don't know,,
1046,The train,,
1047,It's because of the temperature difference,,
1048,Sea and land winds blow depending on the time,,
1049,a difference in specific heat,,
1050,Because it blows from land to sea during the day and from sea to day at night,,
1051,Because of the temperature difference between the land and the sea during the day and night,,
1052,This is because the land cools faster.,,
1053,Rising air flow from sand during the day and rising air flow from the sea at night,,
1054,the moxibustion of the sun,,
1055,Because the temperature difference between land and sea is different day and night,,
1056,Temperature differential.,,
1057,"The sand is heating, cooling off rapidly, and as soon as possible choose slow, direction and water is warmed neurige it gets cold.",,
1058,ì´ì ìì¹ê° ë¤ë¥´ê¸° ëë¬¸ì´ë¤,,
1059,"The days are warmer than the sea, land on the temperature falls below the sea on land at night.",,
1060,Specific heat of land and sea margin.,,
1061,Hotter than the sea and land during the day because hotter than the land of the night sea.,,
1062,Mean difference.,,
1063,"Land base is small by day, hotter and colder at night.",,
1064,I don't know.,,
1065,"""",,
1066,Ikkuyoit,,
1067,ã,,
1068,"ì¡ì§ìì ë°ë¤ë¡, ë°ë¤ìì ì¡ì§ë¡ ë¶ê¸° ëë¬¸ì (ì¨ëì°¨",,
1069,.,,
1070,I don't know,,
1071,"The water warmed later than the ground, but the dishes later.",,
1072,.,,
1073,Due to the temperature differential,,
1074,Wind direction by the temperature difference.,,
1075,Mollayong,,
1076,"The temperature of the sea does not decrease well compared to the land, and the wind goes from cool to warm places",,
1077,It is because the temperature of the sea and land is different between day and night,,
1078,It is because the temperature of the sea and land is different during the day and night,,
1079,"This is because the specific heat of the sand is large during the day from the beach, so the temperature is higher than that of the sea, so the wind blows toward the sea, which is low pressure, and the sand cools faster at night, making the wind blow from the sea to the land.",,
1080,"The temperature of the sea rises slowly during the day, and the land rises faster, so the land is hotter than the sea, so it blows to the seaâland, but at night, the land cools quickly and the sea cools slowly, so the wind blows to the landâsea.",,
1081,Because the temperature of the land is high during the day and the temperature of the sea is high at night,,
1082,I don't know,,
1083,I don't know.,,
1084,"Because of the temperature difference,",,
1085,I don't know.,,
1086,The temperature of the land and the sea is different during the day and night,,
1087,I don't know.,,
1088,"This is because the land has a lower specific heat than the sea, so it heats up faster during the day and cools faster at nightI don't know.",,
1089,I don't know.,,
1090,"During the day, the land temperature is higher and the sea temperature is higher at night",,
1091,The temperature of the land during the day is high at night,,
1092,I don't know.,,
1093,This is because the temperature has changed.,,
1094,Because the temperature of the sea and land are different,,
1095,There is the sun during the day and there is not much sun at night,,
1096,Because of the convection of temperature,,
1097,Because the earth rotates,,
1098,"During the day, land and sea temperatures are high at night",,
1099,"The land has a lower specific heat than the sea, so there is a greater temperature difference than the sea during the day. Therefore, even though the same energy is received for a day, the temperature is higher than that of the sea during the day, and the air flows below it, while the temperature of the sea is higher at night, so the air on the sea rises and the air on the land flows toward the sea.",,
1100,due to the heat exhaustion,,
1101,This is because the temperature difference between the sea and the land is different from where the rising airflow occurs.,,
1102,"Since the specific heat of the land is lower than the specific heat of the sea, the temperature of the land is higher during the day, so the wind blows from the sea to the land due to the influence of convection, and the temperature of the land is lower at night, so the wind blows from the land to the sea.",,
1103,"Because the sea cools slower than the land,",,
1104,I don't know.,,
1105,Because of the sea moon,,
1106,Because the temperature of the ground is high during the day and the sea is high at night,,
1107,The land is hotter during the day and the sea is hotter at night,,
1108,The water is hot at night and the ground is hotter during the day,,
1109,warm and cold air,,
1110,"During the day, the sea is less hot, the land is hot, and at night, the sea is less cold, and the land is colder",,
1111,"During the day, the sea is less hot, the land is hot, and at night, the sea is less cold, and the land is colder",,
1112,Because of the temperature difference,,
1113,This is because the degree of hot air is different between day and night.,,
1114,a difference in temperature,,
1115,The direction of the wind is different,,
1116,"During the day, the land is hot and at night, the land is cold",,
1117,"This is because the sand on the sandy beach and the water on the sea are different, so the temperature of the sandy beach is high during the day, but the temperature of the sea is higher at night.",,
1118,Because the wind comes from the left during the day and from the right because it is cold at night,,
1119,"Because of the temperature change,",,
1120,"Air goes from high to low, so wind blows from land to sea during the day and from sea to land at night.",,
1121,Because of the sun,,
1122,"This is because the temperature of land with small specific heat is higher during the day, and the temperature of the sea with large specific heat is higher at night.",,
1123,"This is because water and land have different specific heat, so the rate of heating and cooling is different.",,
1124,the difference between sea and land heat,,
1125,specific heat dissipation,,
1126,"This is due to the difference in specific heat between land and sea. At night, the temperature of land with a small specific heat drops a lot During the day, the temperature of land with small specific heat rises more.",,
1127,"Water and land, which are the composition of the sea, have a time difference when the temperature rises and falls due to different specific heat, and water is mixed because it is a fluid, but the ground is difficult to do so, which causes a big time difference.",,
1128,The temperature changes during the day and night because the land specific heat is smaller and cools faster and heats up faster. This will change the direction of the wind.,,
1129,The proportion of the ocean is greater than the heat of the land,,
1130,"In the case of daytime, the specific heat of the land is smaller than that of the sea, so the temperature rises faster, and at night, the sea holds more heat than that of the land, so the direction of the wind is different.",,
1131,"The location of the high pressure caused by the temperature difference is different. The water has a higher specific heat, so the temperature is low during the day, but the temperature is high at night.",,
1132,"Due to the difference in specific heat between land and sea, the relative temperature of day and night is different.",,
1133,"If the specific heat is large, the temperature changes are relatively small",,
1134,"The land heats up faster during the day, causing sea winds to blow, and cools faster at night, causing land winds to blow.",,
1135,"Due to the small specific heat of the land, the temperature difference between day and night is severe, and the sea wind blows higher than the sea during the day, and the land wind blows at night because it is lower.",,
1136,"Because the specific heat of the water is bigger than the sand, the sand is higher during the day and the water temperature is higher at night",,
1137,It's a different proportion,,
1138,"Because the land gets hot quickly and cools down quickly, the land gets hot during the day and the maintenance is cold at night,",,
1139,"""During the day, the sea heats up slower than on land, and at night,",,
1140,"This is because the land cools faster than the sea.""",,
1141,"Because of the temperature difference,",,
1142,due to the difference between land and sea,,
1143,a change in temperature,,
1144,Because the sea is hotter at night,,
1145,Because of the wind,,
1146,Because of the temperature,,
1147,Forgetting,,
1148,Temperature differential.,,
1149,I hope it's windy. Hah!,,
1150,"This is because the land is hotter in the morning and the land is cooled at night, so the temperature of the sea is relatively high.",,
1151,be a natural phenomenon,,
1152,L.,,
1153,"During the day, the wind blows over land and at night, toward the sea",,
1154,This is because there is a land wind during the day and a sea wind at night.,,
1155,It's because the location of the low and high pressures is different,,
1156,"During the day, the temperature of the sea is high because of the sunlight, but at night, the temperature drops.",,
1157,I don't know.,,
1158,It's because the air pressure changes,,
1159,"During the day, the land temperature rises rapidly due to the heat and the sea rises slowly, but at night, the slowly falling sea increases the temperature, so the direction of the wind blows during the day and night is different",,
1160,It is because the temperature is different.,,
1161,convection,,
1162,I don't know.,,
1163,I don't know,,
1164,I don't know.,,
1165,I have no idea.,,
1166,I don't know,,
1167,"""The sea of night, the land, the sea of day,",,
1168,"It is because of the difference in air pressure on the land.""",,
1169,"During the day, the land is hot, but at night, the hot land cools and the air moves",,
1170,a seasonal wind,,
1171,There's a difference in wind between day and night,,
1172,The wind circulates,,
1173,This is because the temperature of the sand is higher than that of the sea during the day and the temperature of the sea is higher than that of the sand at night.,,
1174,Peeong! (a Korean pun),,
1175,a temperature difference,,
1176,Because of the temperature difference,,
1177,Because it's different where it blows,,
1178,This is because the location of the high and low pressures varies from day to night,,
1179,"During the day, the sand is hot, so the wind blows to the land, and at night, the wind blows to the sea with high specific heat.",,
1180,"During the day, the sand is hot, so the wind blows to the land, and at night, the wind blows to the sea with high specific heat.",,
1181,I don't understand.,,
1182,This is because the temperature of the sea and land varies depending on the day and night.,,
1183,I don't know.,,
1184,This is because the temperature is high on land during the day and the sea is high at night.,,
1185,The direction of the wind is different because the day and night are different,,
1186,The wind's heart is a reed,,
1187,I don't know.a difference in temperature,,
1188,The temperature of the sea and the ground at night is different,,
1189,"During the day, the sea is colder than the sandy beach, and at night, the sandy beach is cooler than the sea",,
1190,There's no sun in the evening and there's sun in the morning,,
1191,"""",,
1192,"""Because there's no sun in the evening and there's sun in the morning.""",,
1193,There's no sun in the evening and there's sun in the morning,,
1194,"At night, the temperature of the sea is higher than that of the land, so there is a lot of evaporation in the air on the sea side, so the air pressure on the sea side is relatively low, so the wind blows from land to sea.",,
1195,"On the contrary, in the morning, the temperature on the land is higher than that of the sea, so there is a lot of evaporation in the ball on the land side, so the air pressure on the land side is relatively low, so the wind blows from the sea to the land.""",,
1196,"During the day, the heat of the sun blows from the sea, and at night, the wind blows from the land because there is no sun",,
1197,The low temperature is low and the cold temperature at night seems to be different directions.,,
1198,"There seems to be more wind in the north at night.""",,
1199,"Because the sea is hot during the day and cold at night, the hot air goes up and the cold air goes down and changes direction",,
1200,I don't know,,
1201,"During the day, the beach is hotter than the sea, so the air on the beach is lighter, so the wind blows from the beach to the sea, but at night, the sea is warmer than the beach",,
1202,"The air in the sea becomes lighter, and the wind blows from the sea toward the sandy beach.""",,
1203,a difference in temperature,,
1204,This is because the land cools faster.,,
1205,I don't know.,,
1206,This is because the specific heat of water is higher than that of sand.,,
1207,"During the day, it is affected by the east-west wind and at night, it is affected by the west wind.",,
1208,It is influenced by east and west winds by day and by night,,
1209,Because the temperature of the sea and land is different day and night,,
1210,The wind blows from high pressure to low pressure,,
1211,The temperature is different,,
1212,The temperature is different,,
1213,The land is hot during the day and the wind is hotter at night,,
1214,The earth rotates,,
1215,The wind is different.,,
1216,Because there is a sea breeze during the day and a land breeze at night,,
1217,This is because the direction of the water in the sea changes.,,
1218,"The land heats up quickly, cools down quickly, and the sea is slow to eat",,
1219,Because of the thermal energy,,
1220,"Because the temperature on the land is higher than the sea during the day, the air pressure on the land is relatively weak due to the high evaporation amount of air on the sea and the air pressure on the sea is relatively weak from the land.",,
1221,"Because it is the heat of the land, the land with a small heat cools easily and heats up easily.",,
1222,"In other words, during the day, the land is hot and the sea is cold.",,
1223,"The hot land air rises, and the air in the sea fills the void",,
1224,"Convection occurs, and the wind blows from sea to land.",,
1225,"On the contrary, at night, the land is cold and the sea is hot.",,
1226,"The air in the sea rises, and the air in the land fills it",,
1227,"There is a wind blowing from land to sea, which is the same but opposite direction.",,
1228,"""",,
1229,"The specific heat of seawater is so high that it does not get cold easily, because the land temperature is high during the day, but the sea water does not get cold at night, so the temperature is higher",,
1230,"During the day, the air on the land side is hotter than the temperature on the sea side, but at night, the temperature on the sea side is warmer than on the land side.",,
1231,"During the day, the land is hot and windy toward the sea, but at night, the land becomes cold and the temperature of the sea becomes higher than that of the land, so the wind blows toward the land.",,
1232,"The wind blows from cold to warm, but the direction of the wind is different between day and night because the lower land is warmer and the sea is warmer at night",,
1233,"""Because warm air goes up and low-temperature air moves to the warmer side,",,
1234,"The direction of the wind blowing during the day and at night is different.""",,
1235,""" During the day, the land heats up faster than the sea, so the temperature above the land is higher than the temperature above the sea.",,
1236,* The air on the land rises and winds from the sea to the land. â a sea breeze,,
1237,"At night, the land cools faster than the sea, so the temperature above the land is lower than the temperature above the sea.",,
1238,"* the wind from land to sea â ""Yook wind",,
1239,The sun rose in the east and set in the west,,
1240,"The temperature of the sea increases during the day on the sea and on land, but the temperature of the sea decreases at night, so the direction of the wind changes due to the large temperature difference.",,
1241,Because there is not much difference between the temperature of the land and the sea at night when there is no sun,,
1242,The wind direction is different between day and night because the land is there and the sea is high pressure,,
1243,"""1. Because the land gets warmer when you're unfamiliar with it's",,
1244,"2. Because the sea is warm at night""",,
1245,"During the day, the land gets warm and at night, the sea gets warm",,
1246,"During the day, the land is warm, and at night, the sea is warm, so the direction changes",,
1247,The angle of reflection is different,,
1248,the difference in heat received by the air between the sea and the land,,
1249,This is because the air pressure of the sea and land is different during the day and night.,,
1250,The sun rose differently,,
1251,The direction of the wind changes due to the heat,,
1252,The speed at which water and sand heat up is different,,
1253,"Because the air pressure of the land and the sea is different during the day and night,",,
1254,This is because the sea is high pressure during the day and the sandy beach is high pressure at night.,,
1255,..,,
1256,áá§Yeah,,
1257,I don't know,,
1258,Don't know,,
1259,Because the land is warm during the day and the land is cold at night,,
1260,It is because the temperature of the sea and land is different day and night,,
1261,Different temperature cooling points,,
1262,The temperature is different,,
1263,I don't know,,
1264,I don't know,,
1265,I don't know.,,
1266,Because the temperature is different?,,
1267,I don't know.,,
1268,a difference in temperature,,
1269,a specific heat,,
1270,It's because of the temperature difference,,
1271,"The sea made of water and the land made of sand have different specific heat of water and sand, so water cools slowly and sand cools quickly, resulting in a temperature difference. In other words, the temperature varies depending on the night and day when the sun shines.",,
1272,"During the day, the temperature of the land is higher and the temperature of the sea is higher at night",,
1273,"Idiot, the specific heat of the water is 1 and the specific heat of the sand is smaller than the water, so the temperature of the sand changes faster, so the land temperature is higher during the day, and the sea is higher at night",,
1274,"During the day, the temperature of the land is high, so wind blows from the sea to the land, and at night, the temperature of the sea is high, so wind blows from the land to the sea.",,
1275,The temperature is different.Due to.,,
1276,"At night, the direction of the wind changes because the sunlight disappears and the sea is warmer than the land.",,
1277,This is because the temperature difference between day and night on land is large.,,
1278,"It is because the sun rises during the day and gets hot, but at night, the sun sets and gets cold.",,
1279,"During the day, the wind blows because the cold air of the sea rises and blows towards the land",,
1280,This is because the temperature changes.,,
1281,Non-thermal water > Specific heat of land,,
1282,Because the sea and the land grow in opposite directions,,
1283,The sea,,
1284,It's a temperature difference.,,
1285,"""Hot air goes up and cold air goes down. The wind is blowing because the air moves.",,
1286,"The opposite direction of the wind at day and night on the beach is because the temperature of the air above the land and the sea is different. During the day, the land heats up faster than the sea. The hot air on the land rises and fills the empty space created by the air moving from the sea side. As the air moves like this, the sea breeze blows from the sea to the land.On the contrary, at night, the land cools faster than the sea and cools faster. When the air above the sea, which is hotter than the land, rises, the empty space is filled by air moving from the land. So at night, the wind blows from land to sea.",,
1287,"The temperature in the desert is very high during the day, so even if it boils, it gets cold enough to drop below zero at night. That's how easily the ground heats up and cools down. This is because the heat of the ground is small.""",,
1288,It is because the temperature is different.,,
1289,Low ocean temperatures are lower than land temperatures because at night the ocean temperatures are higher than land temperatures.,,
1290,be affected by temperature,,
1291,It's cold at night,,
1292,Because the temperature is different during the day and at night,,
1293,a change in temperature,,
1294,I don't know,,
1295,"""The wind blowing from the sea to the land is called a sea breeze.",,
1296,The wind blowing from land to sea is called land wind.,,
1297,"During the day, the land, which gets hot and cools quickly, is heated first. Then the air on the heated ground is brought up by convection, and the air from the sea comes and fills the void. This is when the wind blows from the sea to the land.""",,
1298,I don't know,,
1299,Because the water in the sea is drained,,
1300,This is because there is a change in temperature.,,
1301,Change in temperature difference,,
1302,I don't know,,
1303,I don't know,,
1304,"Haha, I don't know",,
1305,I don't know,,
1306,I don't know,,
1307,The direction of the air is different,,
1308,The direction of the night breeze is different,,
1309,I don't know,,
1310,- It's low pressure. - It's high pressure,,
1311,"Because the wind blows in the lower part of the temperature,",,
1312,"At night, the sun doesn't shine when the earth turns because it's hot",,
1313,"At night, wind moves from low sea to land from land to sea.",,
1314,I have no idea.,,
1315,There's a temperature difference between day and night,,
1316,This is because the land is hotter than the sea during the day.,,
1317,"Air comes from the cold side to the hot side, and sand is greatly influenced by sunlight during the day, so the cold sea air comes to the hot sand and is opposite at night.",,
1318,I don't know,,
1319,"During the day, there is a lot of sunlight, so the direction of the wind is different.",,
1320,The temperature of the air is different during the day and night,,
1321,The temperature of the sea and land is different day and night,,
1322,This is because air moves to places where the temperature is high,,
1323,"The sand is hot during the day, but it's cold at night",,
1324,Because of the direction,,
1325,"It's because the waves are from east to west during the day, but from west to east at night.",,
1326,It's sunny during the day and not at night,,
1327,The wind direction is different because of the different temperatures.,,
1328,It is because there is no sun at night,,
1329,There's no sunlight during the day and no sunlight at night,,
1330,X,,
1331,day and night have changed,,
1332,a specific heat,,
1333,a difference in temperature difference,,
1334,Predict the direction of the wind.Because it's hard,,
1335,"This is because the temperature of the sea does not change much, but the land heats up quickly and cools down quickly, and the daily temperature range is large, so the higher temperature changes",,
1336,It's because of the difference in meanness,,
1337,"At night, the sea with a high specific heat has a higher temperature than the land",,
1338,"During the day, the temperature of the land is higher and the temperature of the sea is higher than that of the land",,
1339,"This is because the water has a large specific heat, so there is no difference in temperature",,
1340,It's cool at night hahaha,,
1341,"Because the water has a large specific heat, the air pressure is different between day and night",,
1342,Because of the difference in air pressure,,
1343,This is because sand with a small specific heat has a high temperature difference between day and night.,,
1344,Sand with a small specific heat has a high temperature difference between day and night,,
1345,"During the day, the land temperature is relatively higher and at night the sea temperature is relatively higher, so wind blows from land to sea during the day and from sea to land at night",,
1346,The directions change because the specific heat of the sea and the land is different,,
1347,Answer number two,,
1348,Because the specific heat of the sea is greater than the specific heat of the land,,
1349,The direction of the wind changes because the sea is colder than the land at night and the land is colder than the sea during the day.,,
1350,"The specific heat of sand is smaller than seawater, so it heats up faster during the day, and cools faster at night, so the direction of the wind depends on the pressure difference caused by it.",,
1351,The degree to which it is heated and cooled,,
1352,"There is a difference in specific heat between the sea and the land, which causes a temperature difference between day and night, so the direction changes between day and night.",,
1353,Because the temperature difference between the sea and the land is different day and night,,
1354,I don't understand.,,
1355,Temperature difference,,
1356,"During the day, the sand heats up faster, and at night, the sand cools faster, so there are sea and land winds",,
1357,Because the heat of the earth and the sea are different,,
1358,"Because the land heats up faster and lowers faster than water, the wind blows due to the temperature difference",,
1359,The temperature of the air in the land and the sea is reversed during the day and night,,
1360,Because of the ebb and flow,,
1361,"During the day, the air on the beach goes up, and at night, the air on the sea goes up",,
1362,The temperature is different between day and night,,
1363,This is because the land is relatively hot during the day and the sea is relatively hot at night.,,
1364,I guess we're not on good terms,,
1365,"Due to the difference in specific heat between sand and water, the temperature of sand is higher than that of water during the day, but the direction of the wind is different because water with a large specific heat is higher than that of sand at night.",,
1366,"Due to the difference in specific heat between sand and water, the temperature of sand is higher than that of water during the day, but water with a large specific heat at night has a higher temperature than sand, so the direction of the wind changes.",,
1367,"This is because rising air currents occur on the sand during the day due to relatively hot sand and cold seawater, and rising air currents occur on the sea due to relatively cold sand and hot seawater at night.",,
1368,"The temperature difference between day and night is small in the sea, but the temperature difference on land is large, so the temperature difference between day and night is different",,
1369,This is because the land is lower in temperature than the sea.,,
1370,The direction is always different,,
1371,Because of the temperature difference,,
1372,land and sea winds,,
1373,This is because the land is higher than the sea during the day and the sea is higher than the land at night.,,
1374,This is because sea winds blow during the day and land winds blow at night.,,
1375,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
