,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",q21_breathing,q21_oxygen deficiency,q21_sweat,q21_energy,q21_muscle,q21_nervous, q21_constancy,q21_waste,q21_heart
833,I'm out of breath because I want to make my blood circulation more active and get oxygen into my body faster,,,,,,,,,
834,"You will have muscle pain, sweat, pain, daze, or no strength.",,,,,,,,,
835,"Heart rate increases, adrenaline is released, and sweat glands are stimulated and sweaty",,,,,,,,,
836,grow faster,,,,,,,,,
837,"If you exercise, you need to use a lot of energy Therefore, blood needs to move fast, but if blood moves fast, it needs a lot of air Therefore, the brain needs air and feels wheezing symptoms If you run a lot, you will receive energy and your muscles, which you used too much, will get tired and accumulate fatigue.",,,,,,,,,
838,out of breath,,,,,,,,,
839,Hormones in the blood move fast,,,,,,,,,
840,"Breathing becomes difficult because when you exercise rapidly, you do anaerobic exercise.",,,,,,,,,
841,"My heart beats fast and I get a lot of heat, so I will sweat and get hot",,,,,,,,,
842,Sweat is released and the weight is lost as sweat is released.,,,,,,,,,
843,My breath is getting better,,,,,,,,,
844,"If you exercise, you burn the fat to get rid of it.",,,,,,,,,
845,"If you suddenly exercise hard, your physical strength is basic and your lung capacity increases. Therefore, your body can develop rapidly or your muscles can grow rapidly",,,,,,,,,
846,"Because people generate heat when they exercise, they cool down by sweating to release heat from the body.",,,,,,,,,
847,"The heartbeat accelerates as the heart beats. And I sweat in my body, and sweat controls my body temperature.",,,,,,,,,
848,My heart beats fast and gasps because I sweat to cool down after exercise and need more oxygen,,,,,,,,,
849,Pumping is more active in the heart to create energy.,,,,,,,,,
850,"After rapid exercise, the cell needs more oxygen, so it needs more and more oxygen, so it is panting.",,,,,,,,,
851,"As oxygen demand increases, sympathetic nerves become excited. This causes the heart to beat fast, sweat, and body temperature to rise. And there is also muscle pain due to fine damage to the muscles.",,,,,,,,,
852,"After rapid exercise, the heart rate increases and breathing increases. It serves to supply the body with insufficient oxygen and energy.",,,,,,,,,
853,"After rapid exercise, the heart rate increases and breathing increases. It serves to supply the body with insufficient oxygen and energy.",,,,,,,,,
854,"As you sweat, your body temperature decreases. The heart beats fast and delivers blood quickly, supplying a lot of oxygen to the muscles. Breathe fast and take in a lot of oxygen.",,,,,,,,,
855,"I get shortness of breath and muscle pain. Because of the lack of oxygen, lactose accumulates in the muscles and feels tired because of the lack of oxygen. It is sweat that moisture, inorganic salts, and waste are released together.",,,,,,,,,
856,The heart beats fast and the breathing gets faster. It absorbs oxygen faster and releases carbon dioxide faster.,,,,,,,,,
857,The heart is beating faster. Because I need to supply oxygen to my body quickly.,,,,,,,,,
858,"Rapid exercise increases the heart rate, which is to supply glucose to the blood.",,,,,,,,,
859,Glycogen is broken down into glucose in the liver to obtain energy,,,,,,,,,
860,"After exercise, blood sugar decreases and glucagon breaks down glycogen into glucose.",,,,,,,,,
861,"Immediately after exercising, our bodies needed a lot of oxygen in our muscles, so our heart beats faster and our breathing volume increased.",,,,,,,,,
862,I don't know,,,,,,,,,
863,"After rapid exercise, a lot of cellular respiration occurs in the body, and oxygen is scarce, so the body's sugar drops, causing glucagon to break down glucose synthesized with glycogen in the liver. Also, if you exercise harder than usual, lactic acid can be secreted and cause muscle pain.",,,,,,,,,
864,I sweat and my heart beats fast to control my body's temperature and blood supply,,,,,,,,,
865,I don't know,,,,,,,,,
866,My heart is racing. I'm sweating,,,,,,,,,
867,"Rapid exercise boosts your metabolism. The heart beats fast and supplies blood to various organs. It is to supply oxygen. I'm also sweating, but it's to lower my body temperature because blood is supplied quickly. And breathing becomes rough. It is to fill up the lack of oxygen.",,,,,,,,,
868,"When breathing is applied and the pulse increases, the blood vessels expand. This allows blood to circulate all over the body.",,,,,,,,,
869,"The organ requires a large amount of energy, which requires oxygen, which leads to an increase in heart rate and an increase in breathing frequency. And sweat to cool off the heat generated by consuming a lot of energy. It increases the surface area of the skin to release heat better.",,,,,,,,,
870,"When you do rapid exercise, you consume the atp stored in your body and then use glycogen. After that, glucose is decomposed to generate energy, and when rapid exercise occurs, glucose is not completely decomposed and ferments, producing lactic acid, and is stored in the muscles. This can cause muscle pain.",,,,,,,,,
871,I get tired because I have lactic acid in my muscles.,,,,,,,,,
872,"My heart is beating fast. In order to supply blood quickly, the pump speed of the heart increases.",,,,,,,,,
873,"""I lose my breath and my muscles get bigger.""",,,,,,,,,
874,"It takes in more oxygen, releases carbon dioxide, and muscles bulk up with blood.""",,,,,,,,,
875,"My body temperature rises and I sweat. This requires a lot of oxygen, which makes you gasp.",,,,,,,,,
876,"Oxygen is produced, and unlike the oxygen we usually make, oxygen is produced through an oxygen production process that is shortened so that it can be made in a hurry without going through the whole process.",,,,,,,,,
877,"After exercising, you may feel short of breath, sweat, thirsty, and complain of muscle pain. When you exercise, your body's oxygen demand increases more than usual, so you lose breath, and you sweat to lower your body temperature, which has risen due to exercise. Muscle pain is caused by rapid exercise, which causes muscle cells to breathe anaerobic and accumulates lactic acid, the product of anaerobic respiration. Overall, changes occur to maintain homeostasis in the body.",,,,,,,,,
878,A high level of adrenaline causes the body to become excited,,,,,,,,,
879,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,,,,,,
