,1) What happened to the air in the bag after several breaths?,q41_oxygen,q41_carbon dioxide,q41_moisture
1115,Carbon dioxide concentration increases and humidity increases. Oxygen concentration decreases.,,,
1116,"Reduced oxygen, increased carbon dioxide",,,
1117,The composition of the air changes.,,,
1118,"Breathing fills up with carbon dioxide, not oxygen.",,,
1119,"Oxygen decreases, carbon dioxide increases",,,
1120,The partial pressure of carbon dioxide has increased.,,,
1121,The oxygen ratio decreases and the carbon dioxide ratio increases.,,,
1122,"Because exhalation has a lot of carbon dioxide and less oxygen, the oxygen concentration decreases and the carbon dioxide concentration increases.",,,
1123,Oxygen concentration decreases and carbon dioxide concentration increases.,,,
1124,Increased carbon dioxide concentration. the temperature rises a decrease in oxygen concentration,,,
1125,Oxygen is flowing down. Carbon dioxide increases.,,,
1126,"The amount of oxygen in the bag decreases, the amount of carbon dioxide increases, and water vapor increases.",,,
1127,I think the fresh air and carbon dioxide in the bag were mixed.,,,
1128,"It's getting harder to breathe in and out.""",,,
1129,Water vapor has formed,,,
1130,"This excess carbon dioxide is a result, instead of air.",,,
1131,A carbon dioxide and oxygen is gone.,,,
1132,"In a bag, the oxygen to carbon dioxide.",,,
1133,"Kim Yeong-cheol, The phone rings at a lot, please.",,,
1134,Dilatableness,,,
1135,Which enables jjogeuradeu,,,
1136,It is growing less and less.,,,
1137,Full of carbon dioxide and difficult to breathe.,,,
1138,This excess carbon dioxide is a result.,,,
1139,Puff.,,,
1140,This excess carbon dioxide is a result.,,,
1141,Oxygen is reduced.,,,
1142,Oxygen and a lot of carbon dioxide reduced.,,,
1143,Only carbon dioxide and oxygen.,,,
1144,This excess carbon dioxide is a result.,,,
1145,Filled with carbon dioxide.,,,
1146,The oxygen in the bag was converted to carbon dioxide,,,
1147,It produces a lot of carbon dioxide,,,
1148,The air in the bag escapes out.,,,
1149,I don't know,,,
1150,be filled with carbon dioxide,,,
1151,I don't know,,,
1152,I don't know.,,,
1153,It will be full of carbon dioxide,,,
1154,It's swelling up,,,
1155,It will be fogged up with carbon dioxide.,,,
1156,There is a lot of carbon dioxide has increased,,,
1157,be full of carbon dioxide,,,
1158,It's getting full,,,
1159,Oxygen is gone and carbon dioxide is formed,,,
1160,Oxygen will be mostly converted to carbon dioxide.,,,
1161,I don't know,,,
1162,It becomes carbon dioxide.,,,
1163,be full of carbon dioxide,,,
1164,It's shrunk,,,
1165,"As you breathe out carbon dioxide, the air in the bag increases the amount of carbon dioxide you breathe",,,
1166,Oxygen has decreased and carbon dioxide has increased since the beginning.,,,
1167,Oxygen has decreased and carbon dioxide has increased since the beginning.,,,
1168,There is a lot of carbon dioxide in the bag.,,,
1169,"Oxygen enters the body and emits carbon dioxide, so there will be carbon dioxide in the bag.",,,
1170,Carbon dioxide has a higher proportion.,,,
1171,It's getting smaller.,,,
1172,It's getting bigger,,,
1173,The air would have gone bad.,,,
1174,It's getting murky.,,,
1175,It's getting bigger,,,
1176,It's getting warm,,,
1177,"If you inhale the air in the bag, the process of carbon dioxide entering the bag is repeated, so after inhaling several buckets, most of the air in the bag will have carbon dioxide.",,,
1178,"If you breathe several times, the air in the bag will disappear, and the reason why it disappears is because if you breathe continuously, the air will be inhaled",,,
1179,"If you breathe several times, the air in the bag will disappear, and the reason why it disappears is because if you breathe continuously, the air will be inhaled",,,
1180,"""When the air is compressed and bound together, the air is collected and the size of the bag increases",,,
1181,"If you breathe several times, the air in the bag will disappear, and if you breathe continuously, the air will be consumed.""",,,
1182,It's getting dirty,,,
1183,"Originally, people breathe in a plastic bag made of only oxygen, breathe in oxygen, breathe out carbon dioxide, so oxygen disappears from the plastic bag and only carbon dioxide remains, making it frustrating and difficult for people to breathe",,,
1184,I can't breathe if I do it many times.,,,
1185,"I can't breathe well because there's a lack of oxygen and a lot of carbon dioxide.""",,,
1186,The air in the bag that has been breathed several times will disappear and there will be more carbon dioxide because I emit more carbon dioxide than oxygen,,,
1187,"foul-mouthedAs the air decreases, carbon dioxide cools.",,,
1188,It's so puffy,,,
1189,"This is because repeated oral respiration does not filter out harmful substances in the air, so it does not protect the neck and lungs.",,,
1190,I don't know.,,,
1191,Oxygen has decreased and carbon dioxide has increased.,,,
1192,The air gets hot and humid.,,,
1193,The air gets hot and humid,,,
1194,Because the bag is full of carbon dioxide,,,
1195,"I think there is more carbon dioxide in the air than oxygen, but maybe not",,,
1196,It's full now,,,
1197,It's full now,,,
1198,an increase in carbon dioxide,,,
1199,It would have become full,,,
1200,This is because a lot of public houses have disappeared.,,,
1201,It's foggy. More carbon dioxide,,,
1202,This is because oxygen has decreased and carbon dioxide has increased.,,,
1203,Carbon dioxide concentration intensifies,,,
1204,I don't know.,,,
1205,It's getting blurry,,,
1206,The bag will swell.,,,
1207,Oxygen in the air was converted into carbon dioxide by inhalation and exhalation.,,,
1208,Oxygen concentrations drop.,,,
1209,The proportion of carbon dioxide increases and the proportion of oxygen decreases,,,
1210,"At first, there would have been oxygen-mixed air, but later it would have breathed several times and increased the percentage of carbon dioxide",,,
1211,"At first, it was a bag of oxygen, but after a few breaths, carbon dioxide becomes full.",,,
1212,The bag of cookies is about to swell.,,,
1213,The bag will be filled with wind,,,
1214,This is because the air in the bag contains carbon dioxide that is produced when we breathe.,,,
1215,"As the breathing air gradually accumulated in the bag, there was no more room for air to escape.",,,
1216,"It's because you drink oxygen when you inhale, but you exhale carbon dioxide when you exhale",,,
1217,be filled with air,,,
1218,"More carbon dioxide, less carbon",,,
1219,More carbon dioxide and less oxygen,,,
1220,It's getting tight,,,
1221,It is likely to produce carbon dioxide,,,
1222,The plastic bag will contain more carbon dioxide than oxygen.,,,
1223,There will be a lot of carbon dioxide,,,
1224,There will be more carbon dioxide,,,
1225,Oxygen becomes thin and carbon dioxide becomes high,,,
1226,The amount of carbon dioxide increases.,,,
1227,There is a lot of carbon dioxide.,,,
1228,..,,,
1229,"Yes, yes, I agree",,,
1230,The air has escaped,,,
1231,You're,,,
1232,M and D,,,
1233,The air is gone,,,
1234,Carbon dioxide generation ââ,,,
1235,I don't know.,,,
1236,I don't know,,,
1237,I don't know,,,
1238,Water is formed,,,
1239,There is a lot of carbon dioxide.,,,
1240,"The air was full of oxygen, but it would be full of carbon dioxide",,,
1241,I don't know.,,,
1242,carbon dioxide,,,
1243,There is more carbon dioxide,,,
1244,Oxygen has decreased and carbon dioxide has increased.,,,
1245,I don't know,,,
1246,Bursting,,,
1247,Oxygen is converted into carbon dioxide.,,,
1248,The air disappears,,,
1249,I don't know.,,,
1250,I don't know,,,
1251,The air turns into carbon dioxide.,,,
1252,It's swelling,,,
1253,It's going to get full.,,,
1254,I think it's going to be warm,,,
1255,It's because it swells up,,,
1256,The tree,,,
1257,It swells up.,,,
1258,I don't know,,,
1259,It's going to get full.,,,
1260,There must have been a lot of carbon dioxide in it.,,,
1261,The air in the bag has shrunk,,,
1262,be filled with air,,,
1263,Oxygen is gone,,,
1264,It's going to get full.,,,
1265,I don't know,,,
1266,I don't know,,,
1267,I don't know,,,
1268,Paddle,,,
1269,I don't know,,,
1270,I don't know,,,
1271,It produces carbon dioxide,,,
1272,I don't know,,,
1273,Don't know,,,
1274,carbon dioxide,,,
1275,I don't know,,,
1276,It turns into carbon dioxide,,,
1277,I'll put air,,,
1278,I don't know,,,
1279,There is a lot of carbon dioxide.,,,
1280,"There's no air, there's only carbon dioxide",,,
1281,White steam is forming,,,
1282,The air is bulky.,,,
1283,I have no idea.,,,
1284,The air decreases.,,,
1285,A lot of air will disappear and only carbon dioxide will remain.,,,
1286,The air in the bag has decreasedIt's steaming,,,
1287,More carbon dioxide makes it difficult to breathe.,,,
1288,A lot of air is gone.,,,
1289,There's a lot of air out and there's only a little,,,
1290,The air is gone and only carbon dioxide is left,,,
1291,There is less air,,,
1292,a lack of air,,,
1293,There isn't much air,,,
1294,The air seems to have disappeared,,,
1295,It becomes difficult to breathe if you do it many times.,,,
1296,You can die.,,,
1297,The air gets dirty,,,
1298,X,,,
1299,Carbon Dioxide Increase Oxygen Reduction,,,
1300,More carbon dioxide,,,
1301,water formation,,,
1302,Oxygen has been converted into carbon dioxide,,,
1303,Oxygen has decreased and carbon dioxide has increased,,,
1304,carbon dioxide in,,,
1305,Oxygen disappears and only carbon dioxide fills up,,,
1306,Water vapor forms,,,
1307,There will be more carbon dioxide,,,
1308,I'm piggybacking you,,,
1309,"In the bag, oxygen decreases and carbon dioxide increases",,,
1310,More water vapor and carbon dioxide,,,
1311,The amount of oxygen decreases and the amount of carbon dioxide increases.,,,
1312,The amount of oxygen decreases and the amount of carbon dioxide increases,,,
1313,The percentage of carbon dioxide is higher,,,
1314,Oxygen changes to carbon dioxide due to breathing,,,
1315,Oxygen decreases and carbon dioxide increases,,,
1316,Oxygen is reduced.,,,
1317,"When inhaling, oxygen gas contained in the air is absorbed by cells for use in the body, and exhales to export carbon dioxide, a waste. Therefore, if you continue to inhale and exhale in a sealed bag, the proportion of oxygen in the air in the bag decreases and the proportion of carbon dioxide increases, which will absorb enough oxygen from the body.",,,
1318,The amount of oxygen decreases and the amount of carbon dioxide increases.,,,
1319,Because it's full of carbon dioxide,,,
1320,The bag is full of carbon dioxide.,,,
1321,be filled with carbon dioxide,,,
1322,Only Co2 will remain.,,,
1323,"Oxygen decreases, carbon dioxide increases.",,,
1324,"Decreased oxygen concentration, increased carbon dioxide concentration",,,
1325,ã´ and ãã,,,
1326,It's full of carbon dioxide,,,
1327,Full of carbon dioxide,,,
1328,contain carbon dioxide,,,
1329,It was converted to carbon dioxide from oxygen,,,
1330,Oxygen is gone and carbon dioxide is formed.,,,
1331,It's full of carbon dioxide.,,,
1332,I'll give it a try.,,,
1333,"At first, there was a lot of oxygen in the bag, but human breathing reduces oxygen and accumulates carbon dioxide in the bag, reducing the amount of oxygen to breathe.",,,
1334,"At first, there was a lot of oxygen in the bag, but due to human breathing, oxygen decreases and carbon dioxide accumulates in the bag, reducing oxygen to breathe.",,,
1335,The proportion of oxygen decreases and the proportion of carbon dioxide increases.,,,
1336,an increase in carbon dioxide,,,
1337,The amount of oxygen has decreased,,,
1338,It's getting soft,,,
1339,It's shrinking,,,
1340,Bigger and bigger,,,
1341,Oxygen has decreased and carbon dioxide has increased.,,,
1342,The air decreases.,,,
1343,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
