,"2) What happens when the decomposers (mushrooms, fungi) disappear from Earth?",q55_Constructive ,q55_Food ,q55_Ecosystem
1088,"The bodies don't break down, the nutrients that the producers will absorb disappear, and they all dieWithout decomposers, there is no earth.",,,
1089,"High-tech development using mushrooms and fungi is helpful, but trees do not grow well if two are missing",,,
1090,There is a problem with the ecosystem,,,
1091,The poo that animals poo doesn't break down.,,,
1092,The styles in the world are not broken down and continue to pile up.,,,
1093,It's going to turn into a trash world,,,
1094,"When a creature that decomposes a dead creature disappears, dead animals, plants, or excrement will remain intact without decomposition.",,,
1095,The earth gets dirty.,,,
1096,The ecosystem will be broken.,,,
1097,"In order to control a certain number in an ecosystem, one is bound to die to some extent as one is born anew. After death, it is decomposed and used as a nutrient to maintain the ecosystem again, and if the decomposer disappears and the dead creatures do not decompose, the ecosystem will be at risk.",,,
1098,Garbage builds up on the earth.,,,
1099,"If decomposers such as mushrooms and fungi disappear, other living creatures will disappear, which will destroy the ecosystem.",,,
1100,The bodies don't break down. They pile up dead bodies and organic material,,,
1101,Garbage will be generated continuously.,,,
1102,"The decomposer is responsible for decomposing dead animals' corpses or excrements, and if they disappear from Earth, the dead animals' corpses or dung will be left unattended, which will stink and pile up dead bodies.",,,
1103,The earth becomes supersaturated.,,,
1104,"If the decomposer disappears, ecosystem circulation becomes impossible, and the ecosystem cannot be maintained because dead creatures cannot be decomposed.",,,
1105,"It will not be able to deliver nutrients remaining on the consumer's body to the producer and the producer will not be able to provide nutrients to the consumer. Eventually, the ecosystem will collapse.",,,
1106,"The decomposer acts as an ecosystem reducer by decomposing substrates that do not reach the domain of bacteria. Therefore, if the decomposer disappears, the organic matter will not decompose and the earth will be covered with garbage.",,,
1107,"Since the creatures that decompose the dead bodies of producers such as grass and trees and their consumer animals into various nutrients disappear, the creatures that live by eating the nutrients that decomposers make cannot live. Therefore, as a part of the food chain disappears, the food chain is destroyed and the ecosystem is destroyed.",,,
1108,"Only organic materials produced by producers and consumers will continue to accumulate in the world, and producers who convert inorganic materials into organic materials will eventually starve to death due to lack of minerals made by decomposers. Then the ecosystem will be destroyed and all living things will be extinct.",,,
1109,The bodies of dead creatures will pile up on the earth and pollute the earth.,,,
1110,"A decomposer is a creature that breaks down dead creatures and makes them available to other creatures. The disappearance of these decomposers will result in the accumulation of dead creatures and consequently the number of creatures present in the ecosystem will decrease, which will adversely affect humans as well as the ecosystem.",,,
1111,"We need decomposers that break down again, return to the natural state, act as producers, and break down ecosystems",,,
1112,"After the consumers die, the bodies will be preserved intact and the smell of rot will blow. However, if there is a decomposer, the body can be decomposed to create a clean environment.",,,
1113,"If the corpses of producers and consumers are not decomposed, there will be an ecosystem imbalance.",,,
1114,"When decomposers such as mushrooms and fungi disappear from the Earth, they play a role in converting organic matter into inorganic matter and interacting with producers who convert inorganic matter into organic matter. The disappearance of decomposers will only increase the activity of producers who convert inorganic substances into organic substances, breaking the balance of the ecosystem.",,,
1115,h,,,
1116,Don't know,,,
1117,The earth will be covered with decaying leaves and corpses,,,
1118,The body or food will not rot and the earth will smell.,,,
1119,The bodies of dead creatures will roam.,,,
1120,Bodies and trash don't rot and remain on Earth,,,
1121,The bodies of the creatures will roam,,,
1122,The bodies of the creatures will remain,,,
1123,I'm not going to use it?,,,
1124,The ecosystem is not working,,,
1125,The rotten body doesn't break down.,,,
1126,It is rotten to the core and cannot be decomposed.,,,
1127,It's contaminated,,,
1128,There will be rotten bodies all over the street.,,,
1129,I don't know.,,,
1130,It's getting uncomfortable,,,
1131,Ecosystem destruction,,,
1132,The body doesn't rot,,,
1133,The bodies of animals and plants do not disappear and the ecosystem is destroyed,,,
1134,Organic matter builds up and destroys the ecosystem,,,
1135,Organic matter builds up and destroys the ecosystem.,,,
1136,The ecosystem is destroyed,,,
1137,Organic matter builds up and destroys the ecosystem.,,,
1138,"As mentioned above, because the producer survives by obtaining the energy needed by the decomposer using the decomposer's decomposed nutrients, if the decomposer disappears from the Earth, the producer will also not exist. The absence of producers will cause the absence of consumers, and eventually the ecosystem will not exist.",,,
1139,"Dead consumers (bear tigers, etc.) will rot, stink, or the environment will be dirty",,,
1140,It's hard for us to live,,,
1141,The environment becomes dirty due to the accumulation of waste on the earth.,,,
1142,"There will be no soil, so plants or producers will not grow",,,
1143,",,",,,
1144,The bodies will remain intact.,,,
1145,Dead creatures are not decomposing,,,
1146,Then the rot doesn't go away and it stays.,,,
1147,Animal corpses and manure remain and become dirty,,,
1148,The ecosystem is not working properly.,,,
1149,The earth will be covered with dead bodies,,,
1150,I don't know,,,
1151,The earth will be a heap of corpses,,,
1152,The whole earth is a heap of corpses,,,
1153,I don't know,,,
1154,.,,,
1155,The bodies of animals and plants are likely to be rolling in nature,,,
1156,The earth can be polluted,,,
1157,.,,,
1158,It won't be able to dispose of the garbage.  The ecosystem could be destroyed,,,
1159,It's likely to be full of dead plants and animals,,,
1160,Environmental pollution is caused by the non-decomposition of living things,,,
1161,The dead bodies in the whole village and in the mountains are likely to remain intact.,,,
1162,The dead bodies or excrements of other living things do not decompose and rot as they are.,,,
1163,The ecosystem is going to be ruined,,,
1164,The rotten smell of the earth will vibrate because of the failure to break down bodies or excrement and the whole world will be buried in garbage.,,,
1165,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,
