,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",q12_Nadang Alliance, q12_War Victory,q12_Dang-river,q12_Han River Charge,q12_Nadze Alliance
718,the destruction of Baekje and Goguryeo using the power of China at that time,,,,,
719,"Silla expelled Baekje, Goguryeo, and the Tang Dynasty from the Korean Peninsula through the Nadang Coalition",,,,,
720,"Silla achieved the unification of the three kingdoms in cooperation with the Tang Dynasty, not the perfect unification of Silla alone.",,,,,
721,"First, he destroyed Gaya. And a long time later, the Tang Dynasty requested aid to the Tang Dynasty, destroyed Baekje and Goguryeo in order, and the Tang Dynasty, which was trying to live under the pressure of the Korean Peninsula, achieved unification within the Korean Peninsula.",,,,,
722,"Silla, which eventually took over the Han River, united with the Tang Dynasty to defeat the 5,000-member group led by Gyebaek at Hwangsanbeol, exterminated Baekje, and captured the Pyongyang Fortress of Goguryeo and defeated the Tang Dynasty.",,,,,
723,"After joining forces with the Tang Dynasty to defeat Baekje and Goguryeo in order, they won the war against the Tang Dynasty and unified the three kingdoms.",,,,,
724,"Although Tang allied with Goguryeo and defeated Goguryeo several times after the war, and won the war against Baekje, Tang intervened in Silla's territorial expansion and won after the war with Tang, but it failed to take over the entire Korean Peninsula",,,,,
725,"Silla and Baekje fought to take over the Han River, and they unified the three kingdoms to overthrow Baekje and unite with the Tang Dynasty to overthrow Goguryeo.",,,,,
726,"Silla united with the Tang Dynasty to destroy Goguryeo, and Baekje surrendered. In addition, Baekje fought the Nadang War with Silla, and Baekje won and unified the three kingdoms.",,,,,
727,I don't know.,,,,,
728,"Silla and the Tang Dynasty united to form the Nadang Alliance. After that, the Nadang coalition won the war against Baekje and captured Goguryeo to unify the three countries.",,,,,
729,"Silla occupied the Han River during the reign of King Jinheung, and gradually flourished, joining hands with the Chinese Tang Dynasty, General Kim Yu-shin conquered Baekje, and the 5,000 troops of Gyebaek fought, but eventually failed, and King Uija fled and Baekje fell. Goguryeo easily falls to Silla when his sons are confused due to internal strife after the death of Yeongaesomun Gate.",,,,,
730,"By the 6th century, Silla had taken over the Han River, strengthening its national power. Based on the strengthened national power, the Tang Dynasty and the Nadang Federation were formed, and the three countries were unified by destroying Baekje and Goguryeo.",,,,,
731,"Silla occupied the Han River as it reached its peak in the 6th century, relatively later than Goguryeo and Baekje, during the reign of King Jinheung. Taking over the Han River is threatened by Goguryeo on the upper side and Baekje on the lower side, Silla has formed a coalition with the Tang Dynasty of China and attempted reunification. B.There is also a limit to the unification of the three kingdoms by forming a party alliance, conquering Baekje first, and then conquering Goguryeo last, but there is also a limit to forming a union with Tang and achieving unification, and handing over part of Goguryeo's land to Tang.",,,,,
732,"In alliance with the Tang Dynasty, he won several key battles and eventually unified the three kingdoms.",,,,,
733,They united in union with the Tang Dynasty.,,,,,
734,"After joining hands with the Tang Dynasty to destroy Baekje, Yeongaesomun died and Goguryeo, which became chaotic, was destroyed. After that, he fought a war with the Tang Dynasty, which tried to destroy Silla, and won and unified the three kingdoms.",,,,,
735,"Under the leadership of Kim Chun-chu, Silla formed a coalition with the Tang Dynasty to destroy Baekje in the Battle of Hwangsanbeol, invade Goguryeo, and destroy Goguryeo, and unite all the revival movements of each country.",,,,,
736,"Silla formed a coalition of Tang and Nadang to wage war with Baekje and conquered Baekje in the Battle of Hwangsanbeol. Later, the Nadang Allied Forces attacked Goguryeo and conquered Goguryeo. Then, the Tang army tried to conquer Silla and conquer the three kingdoms, but Silla was able to protect the territory of the three kingdoms and unify the three kingdoms.",,,,,
737,I don't know anything about reverse ^ì¤^,,,,,
738,"First, the political situation was stabilized in Silla. And to promote national power, he created a gallery and united with the Tang Dynasty. He continued to strengthen his national power and unified the three countries by attacking in the order of Baekje and Goguryeo.",,,,,
739,?,,,,,
740,M and D,,,,,
741,Baekje > Goguryeo,,,,,
742,Baekje was ruined and Goguryeo was ruined,,,,,
743,He destroyed Baekje and Goguryeo. Destroyed Goguryeo,,,,,
744,I don't know.,,,,,
745,"After Silla's alliance with the Tang Dynasty, the Nadang coalition forces attacked Goguryeo after the fall of Baekje, and Yeon Nam-saeng, the first son, helped the Tang Dynasty to the end of Yeon Nam-gun, but failed. Silla and Tang fought against Silla to complete the unification of the Three Kingdoms",,,,,
746,the fall of Baekje,,,,,
747,Baekje fell and Goguryeo fell,,,,,
748,yes,,,,,
749,"Silla destroyed Baekje, and Khitan and Silla sided and destroyed Goguryeo",,,,,
750,"Silla asked Goguryeo for an alliance, but it failed and allied with the Tang Dynasty, and Baekje was destroyed, and Goguryeo was destroyed thereafter.",,,,,
751,"Nadang Coalition, the fall of Baekje, the fall of Goguryeo, the Nadang War, the reunification of the Three Kingdoms",,,,,
752,Unification in the order of Baekje and Goguryeo after alliance with the Tang Dynasty,,,,,
753,"With the help of China, they formed the Nadang Federation, destroyed Baekje, and destroyed Goguryeo to unify the Korean Peninsula.",,,,,
754,"With the end of the Battle of Hwangsanbeol in 660 and the end of Goguryeo in 668, the allied forces of the Tang Dynasty destroyed Pyongyang and took off the reunification of the Three Kingdoms",,,,,
755,Silla led the Tang Dynasty to destroy Baekje and fought numerous wars to destroy Goguryeo.,,,,,
756,"Silla formed a Nadang alliance, destroyed Baekje, and destroyed Goguryeo, but when the Tang Dynasty tried to destroy Silla, the three people united to drive out the Tang Dynasty.",,,,,
757,"In alliance with China, Baekje was captured, Goguryeo was captured, and then the Korean Peninsula was expelled through war with China to achieve reunification.",,,,,
758,"They allied with the Tang Dynasty to attack Baekje and Goguryeo, and eventually, the people of the Korean Peninsula, including Silla, joined forces to push the Tang Dynasty away.",,,,,
759,"Nadang Alliance. Baekje's collapse, Goguryeo's attack on Nadang, Goguryeo's ruin, Nadang's war, Silla's victory",,,,,
760,Nadang Alliance -> the fall of Baekje -> the fall of Goguryeo -> the Nadang War -> the reunification of the Three Kingdoms,,,,,
761,The Tang and the Nathang combined forces were formed and unified,,,,,
762,Silla formed a coalition of Tang and Nadang forces to destroy Baekje and Goguryeo.,,,,,
763,"Through the Na-Dang Federation, Baekje and Goguryeo were defeated and the Tang Dynasty was won to establish a unified Silla.",,,,,
764,It was cowardly unified by the alliance of the ruling party,,,,,
765,the head after joining forces,,,,,
766,The Nadang alliance was formed to destroy Baekje and Goguryeo.,,,,,
767,"Through the Nadang Coalition, Baekje and Goguryeo were destroyed in the order of Baekje and Goguryeo, and the three kingdoms were unified through the Nadang War.",,,,,
768,"Silla and Tang united to destroy Baekje-Goguryo, Silla fought against Tang, and Silla destroyed Tangryo",,,,,
769,M and D,,,,,
770,ã¿ãã¿,,,,,
771,Mall,,,,,
772,I don't understand.,,,,,
773,I don't understand.,,,,,
774,I don't know.,,,,,
775,I don't know,,,,,
776,M and D,,,,,
777,I don't understand.,,,,,
778,I don't understand.,,,,,
779,I don't understand.,,,,,
780,I don't understand.,,,,,
781,M and L,,,,,
782,I don't know.,,,,,
783,I don't know,,,,,
784,I didn't write because I was too lazy to write long,,,,,
785,M and D,,,,,
786,M and D,,,,,
787,I don't know,,,,,
788,as a combined party,,,,,
789,.,,,,,
790,I don't understand.,,,,,
791,I don't knowM and D,,,,,
792,I don't know.,,,,,
793,.,,,,,
794,"Goguryeo, Baekje, Silla, Goguryeo, and Silla were under pressure from Silla, and the sons of the Tang Dynasty were fighting inside to take over the throne. Silla and Tang were united to destroy Baekje. When the Tang Dynasty tried to destroy the alliance, the three kingdoms united to unite and unify the Three Kingdoms",,,,,
795,"allied with the Tang Dynasty, attacked Baekje to win, attacked Goguryeo to win",,,,,
796,"""â  Attack of Silla and the Party""",,,,,
797,* Silla and Tang allied forces attacked Baekje first.,,,,,
798,* Baekje was not ready to stop the Silla-Party coalition due to political turmoil.,,,,,
799,,,,,,
800,â¡ Battle of Hwangsanbeol,,,,,
801,"* Baekje's Gyebaek had more than 5,000 soldiers and fought with 50,000 soldiers led by Kim Yu-shin of Silla.",,,,,
802,"* Silla initially suffered from strong resistance from Baekje, but won thanks to the performance of galleries.",,,,,
803,,,,,,
804,"â¢ Fall of Sabi Castle: Silla and the allied forces of the Party took the capital, Sabi, and fell.",,,,,
805,,,,,,
806,2) The Fall of Goguryeo (668),,,,,
807,,,,,,
808,â  the situation at the time,,,,,
809,"* After the fall of Baekje, Silla and Tang forces attacked Goguryeo, but Goguryeo defended it well.",,,,,
810,"* Goguryeo was weakened by the continued war, and when Yeon Gaesomun, who had stronger power than the king, died, a power struggle broke out inside.",,,,,
811,,,,,,
812,"â¡ Fall of Pyongyang Castle: Silla and Tang forces attacked Pyongyang again, and Goguryeo fell.",,,,,
813,,,,,,
814,3) Silla-Party War,,,,,
815,,,,,,
816,"â  Background: After the fall of Baekje and Goguryeo, the party tried to dominate the entire Korean Peninsula.",,,,,
817,â¡ [Process] Silla fought a war with the people of Baekje and Goguryeo to drive away the party.,,,,,
818,"â¢ Result: The party dispatched a large army to attack, but Silla persistently fought against the party and won victories in Maeso Castle and Gibeolpo.",,,,,
819,,,,,,
820,4) Completion of the Unification of the Three Kingdoms (676),,,,,
821,,,,,,
822,,,,,,
823,,,,,,
824,Image 1 of Silla's Three Kingdoms Unification Body,,,,,
825,,,,,,
826,â  Unification of the Three Kingdoms: King Munmu ousted the Party's army and achieved unification of the Three Kingdoms.,,,,,
827,"â¡ Significance: The people of Goguryeo, Baekje, and Silla came together to form the basis for the development of a new national culture.",,,,,
828,"â¢ Limitations: You're allied with the Party, and you've lost most of the land of Goguryeo north of the Daedong River.",,,,,
829,,,,,,
830,,,,,,
831,the process of reunification of the three countries,,,,,
832,,,,,,
833,the process of reunification of the three countries,,,,,
834,,,,,,
835,,,,,,
836,2. Baekje and Goguryeo Revival Movement,,,,,
837,,,,,,
838,1) Baekje Revival Movement,,,,,
839,,,,,,
840,"* Process: Bokshin and Dochim, the monk, started a revival movement in mainstream, and the black tooth market in Imjon.",,,,,
841,* The result: internal strife and the defeat of the entire Japanese army to help the Baekje army.,,,,,
842,,,,,,
843,2) Goguryeo Revival Movement,,,,,
844,,,,,,
845,"* Process: Ko Yeon-mu led the revival army to fight the Tang army, and Geomojama established Anseung as king and started the revival movement.",,,,,
846,* Result: Failed due to internal dispute,,,,,
847,* Impact: Daejoyeong founded Balhae.,,,,,
848,,,,,,
849,"Wait, a quiz",,,,,
850,,,,,,
851,Which word is appropriate for A in the process of reunification of the three kingdoms of Silla?,,,,,
852,,,,,,
853,,,,,,
854,,,,,,
855,,,,,,
856,,,,,,
857,Image 5 of Silla's Three Kingdoms Unification Body,,,,,
858,,,,,,
859,,,,,,
860,1. Fall of Pyongyang Castle,,,,,
861,2. Battle of Hwangsanbeol,,,,,
862,3. Fall of Sabiseong Fortress,,,,,
863,4. Silla-Party War,,,,,
864,5. Union of Silla and the Party,,,,,
865,,,,,,
866,,,,,,
867,View answers and commentary,,,,,
868,,,,,,
869,"Silla's Unification of the Three Kingdoms (Genius Learning Encyclopedia 5-2 in Elementary School, Genius Education)",,,,,
870,"""",,,,,
871,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",,,,,
872,"""The process of Silla's unification",,,,,
873,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms.""",,,,,
874,Silla's alliance with the Tang Dynasty destroyed Baekje and Goguryeo in the order of Baekje and Goguryeo.,,,,,
875,Silla destroyed Baekje in 660,,,,,
876,"He destroyed Goguryeo in 668 """,,,,,
877,"Silla's ""Three Kingdoms Unification"" refers to Silla's alliance with the Tang Dynasty (Nadang Alliance), the overthrow of Baekje and Goguryeo in turn, and then ousted Tang troops to the north of the Daedong River (Nadang War) in 676. Although foreign powers were ousted due to the Nadang War, there is a limit in that they did not advance to the northern part of the Korean Peninsula and Manchuria, which were the northern part of the former Goguryeo territory, and thus did not achieve complete reunification of the three countries in terms of territory and population.",,,,,
878,,,,,,
879,"After a 30-year hiatus, Balhae (698-926) was built in the old Goguryeo territory of Manchuria, which was not occupied by Silla. The period when Silla and Balhae coexisted is called the period of the North-South Korean Empire. For this reason, the first unified country of the Korean people is Goryeo, not Silla, and Silla's ""Unification of the Three Kingdoms"" is a wrong expression, and some argue that it should be renamed as Silla's ""Dismantle of the Three Kingdoms,"" ""Unification of the Korean Peninsula,"" or ""Dismantle of the Three Kingdoms."" However, it is difficult to see the two cases differently based on the incompleteness of the northern territories of Goryeo, as well as the former Goguryeo and Balhae territories and populations did not integrate much like Silla.",,,,,
880,,,,,,
881,"Silla's integration into the southern part of the Korean Peninsula is definitely a limit in terms of territory in that it has lost much of Goguryeo's territory. In addition, there was an identity of a national state within the Korean Peninsula, which is reasonable to regard as Goryeo or the identity of a national state within the Korean Peninsula as arising from the process of starting from Goryeo to Joseon.""",,,,,
882,"Kim Chun-chu moved to Tang and took his son, Beop-min (later King Munmu), as a hostage to form the Nadang Alliance",,,,,
883,"In 660, Baekje was destroyed, and Goguryeo was destroyed in 668, and the party later established Woongjin-do-bu, Andong-do-bu, and Gyerim-do-bu in Silla, and expressed its ambition to effectively rule the Korean Peninsula",,,,,
884,"In the process, the Nadang War broke out, and Silla drove the Tang army from Maecho Castle and the Gui navy from Gibeolpo to achieve the unification of the Three Kingdoms",,,,,
885,"""",,,,,
886,Silla allied with the Tang Dynasty and attacked Baekje and Goguryeo and destroyed them.,,,,,
887,"When the party set up Dohobu in Goguryeo, Baekje, and Silla, respectively, and revealed its intention to directly dominate the Korean Peninsula, Silla was able to lay the foundation for the formation of the Korean people by fighting to oust the party along with Goguryeo and Baekje's Confucian scholars.",,,,,
888,Both Goguryeo and Baekje were doomed because Silla attacked in alliance with the Tang Dynasty,,,,,
889,"""The Fall of Gaya""",,,,,
890,"Silla destroyed Geumgwan Gaya, the center of the Gaya Confederation, in 532the fall of Baekje",,,,,
891,,,,,,
892,"Accordingly, Kim Chun-chu carried out an adventure diplomacy to ask Goguryeo for soldiers, but Goguryeo demanded the return of the Han River basin in exchange for its dispatch, so it failed to achieve results. Afterwards, Silla formed an alliance with the Tang Dynasty to conquer Baekje, followed by a strategy to attack Goguryeo. In this way, King Gojong made Sojeongbang to play Baekje. Silla had Kim Yu-shin and others vacuum Baekje, so the Tang army landed on the left bank of the Baekgang River, and Silla army crossed Tanhyeon (east of Daejeon).",,,,,
893,,,,,,
894,"At that time, King Uija was arrogant and immersed in pleasure due to repeated victories, and the royal court was busy promoting self-interest, and loyalists such as Seongchung and Heungsu were ousted. The people were tired of repeated wars and were separated from the government, and Baekje was on the verge of survival. In the Battle of Hwangsanbeol, Gyebaek tried to support the national fortune with the death of 5,000 people, but was defeated, and eventually King Uija surrendered to Silla and Baekje was destroyed in 660.",,,,,
895,,,,,,
896,"After the fall of Baekje, a revival movement of Baekje's Yushin took place in various places. The royal Boksin and monk Dochim lived in Jujuseong Fortress, and the Black Chisangji and others lived in Imjonseong Fortress, causing the military to recover 200 fortresses. They faced the princely wind from Japan, and they surrounded and attacked Sabiseong Fortress and Ungjinseong Fortress, putting the Tang army in crisis. However, the mainstream fell due to the re-aggression of the Na-Party coalition and the internal division of the Buheung army, and the Buheung army continued to be defeated, ending the four-year Baekje revival movement.",,,,,
897,,,,,,
898,The Tang Dynasty established Woongjin Dodokbu in the territory of the former Baekje Kingdom.,,,,,
899,,,,,,
900,the fall of Goguryeo,,,,,
901,"King Taejong Muyeol of Silla, who destroyed Baekje, joined forces with the Tang Dynasty to attack Goguryeo. .""",,,,,
902,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle in Danggwan, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united to unify the three kingdoms",,,,,
903,"He joined hands with the Tang Dynasty topple Baekje. After that, the courage of the government led to the collapse of Goguryeo, and after that, the Tang Dynasty, which was trying to devour the Korean Peninsula, was overthrown and the three kingdoms were unified",,,,,
904,"He joined hands with the Tang Dynasty to overthrow Baekje After that, Goguryeo was destroyed thanks to the courage of Gwanchang The Tang Dynasty, which was about to take over the Korean Peninsula, was ousted and the three countries unified",,,,,
905,"He fought with Baekje, ate the Han River, and captured Goguryeo",,,,,
906,â Silla's attack by Baekje's King Uija â Silla sent Kim Chun-chu to Goguryeo to ask for help â Kim Chun-chu asked for help from the party áá¡ Na-dang alliance (648),,,,,
907,"Silla and the Tang Dynasty joined hands to destroy Baekje and Goguryeo (660), 668",,,,,
908,"Silla and Tang Dynasty tried to have Baekje for Silla, and Tang Dynasty for Goguryeo for Tang Dynasty, but Tang Dynasty wanted to occupy the Korean Peninsula, so they went to war with Silla. Silla then ousts the Tang Dynasty with the help of Goguryeo and Baekje's people. During the reign of King Munmu, a unified Silla was established that unified Goguryeo, Baekje, and Silla.""",,,,,
909,Baekje was destroyed by the fall of Sabiseong Fortress by the allied forces of Silla and Tang Dynasty,,,,,
910,"After the three countries reorganized the ancient state system, they promoted external development based on this, which turned out to be an uprising of the three countries. The Three Kingdoms War began in the late 4th century when King Geunchogo of Baekje began to advance north",,,,,
911,"""1) The Fall of Baekje (660)",,,,,
912,â  Attack of Silla and the Party,,,,,
913,"The Silla-Party coalition first attacked Baekje, and Baekje was not ready to stop the Silla-Party coalition due to political turmoil.",,,,,
914,,,,,,
915,â¡ Battle of Hwangsanbeol,,,,,
916,"Baekje's Gyebaek fought with about 50,000 soldiers led by Silla's Kim Yu-shin with 5,000 soldiers, and Silla initially suffered from strong resistance from Baekje, but won thanks to the activities of galleries.",,,,,
917,,,,,,
918,â¢ the fall of the Sabbath,,,,,
919,"The capital, Sabi (Buju), was taken away and destroyed by Silla and the allied forces of the Party.",,,,,
920,,,,,,
921,2)The Fall of Goguryeo (668),,,,,
922,,,,,,
923,â  the situation at the time,,,,,
924,"After the fall of Baekje, Silla and the Party's allied forces attacked Goguryeo, but Goguryeo was well prevented, but Goguryeo was weakened by the continuous war, and when Yeon Gaesomun, who had stronger power than the king, died, a power struggle broke out inside.",,,,,
925,,,,,,
926,â¡ the fall of Pyongyang,,,,,
927,"The Silla-Party coalition attacked Pyongyang Castle again, and Goguryeo was destroyed.",,,,,
928,,,,,,
929,3) Silla-Party War,,,,,
930,,,,,,
931,â  Background,,,,,
932,"After Baekje and Goguryeo fell, the party tried to dominate the entire Korean Peninsula.",,,,,
933,â¡ Course,,,,,
934,Silla fought a war with the people of Baekje and Goguryeo to drive out the party.,,,,,
935,â¢ The result,,,,,
936,"The party dispatched large-scale troops to attack, but Silla persistently fought against the party and won victories in Maesoseong and Gibeolpo.",,,,,
937,,,,,,
938,4) Completion of the Unification of the Three Kingdoms (676),,,,,
939,â  the unification of the three kingdoms,,,,,
940,King Munmu ousted the Party's army and achieved the unification of the three kingdoms.,,,,,
941,â¡ significance,,,,,
942,"The people of Goguryeo, Baekje, and Silla came together to form the basis for the development of a new national culture.",,,,,
943,â¢ Limit:,,,,,
944,It united with the Party and lost most of Goguryeo's land north of the Daedong River.,,,,,
945,,,,,,
946,,,,,,
947,,,,,,
948,,,,,,
949,"""",,,,,
950,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",,,,,
951,"When King Uija of Baekje attacked Silla, Silla sent Kim Chun-chu to Goguryeo to ask for help, but when it failed, Kim Chun-chu asked the party for help and formed an alliance.",,,,,
952,"When Silla attacked Baekje's King Uija, Silla sent Kim Chun-chu to Goguryeo to ask for help, but when it failed, Kim Chun-chu asked for help from the party, and the Na+Party formed an alliance.",,,,,
953,"Silla suffered from Baekje's strong resistance, but won thanks to the performance of the Hwaryang",,,,,
954,allied with Tang and destroyed Baekje and Goguryeo,,,,,
955,"In its heyday, it occupied the Han River and became unified",,,,,
956,in concert with the Tang Dynasty,,,,,
957,Goguryeo and Silla helped Baekje,,,,,
958,We won all the wars and unified them,,,,,
959,Holding hands,,,,,
960,Silla defeated Goguryeo and Baekje in its heyday,,,,,
961,Destruction of Baekje to Goguryeo like China,,,,,
962,Asking China for help.,,,,,
963,King Munmu unified,,,,,
964,Silla will not be able to unify with Goguryeo,,,,,
965,I will kill you with the help of Tang,,,,,
966,"He joined hands with the Tang Dynasty to destroy Goguryeo, followed by the collapse of Baekje, and fought with the Tang Dynasty to win",,,,,
967,I want to ask China for help,,,,,
968,"He joined hands with the Tang Dynasty to destroy Goguryeo, destroyed Baekje, and unified the Three Kingdoms.",,,,,
969,Silla united with the Tang Dynasty topple Goguryeo and Baekje and unify them,,,,,
970,"By forming an alliance with the Tang Dynasty, Baekje and Goguryeo were destroyed.",,,,,
971,"After taking over the Han River in cooperation with Baekje, he betrayed Baekje and joined hands with the party. After that, they used the power of the party to unify, betraying the party, and achieving unification.",,,,,
972,"If you fight hard, you win",,,,,
973,"Silla allied with Tang, destroying Baekje and Goguryeo, and unifying the three kingdoms",,,,,
974,"During the war, Goguryeo was so strong that it merged with Baekje.",,,,,
975,"They united with the Tang Dynasty and destroyed Baekje, Goguryeo.",,,,,
976,The war unified the three countries,,,,,
977,Silla and Tang allied to form Baekje and unified Goguryeo,,,,,
978,Destroy Baekje and destroy Goguryeo,,,,,
979,King Munmu was well unified.,,,,,
980,It's because my country is ruined and I feel like I'm dead,,,,,
981,Baekjae fell first and Goguryeo fell.,,,,,
982,with the help of foreign powers,,,,,
983,"Baekje and Goguryeo collapsed, and Silla unified the three kingdoms",,,,,
984,"Silla last occupied the Han River and attacked Goguryeo when internal heat broke out inside Goguryeo, and when Baekje became evil, it unified the three kingdoms.",,,,,
985,The coalition of the ruling parties united all together.,,,,,
986,It was unified by the power of the Tang Dynasty.,,,,,
987,the unification of the three kingdoms in union with the Tang Dynasty,,,,,
988,"Silla formed the Nadang Federation and unified the three kingdoms after destroying Baekje and Goguryeo one after another.Silla formed a league of the Tang Dynasty and Nadang, then destroyed Baekje first and then Goguryeo.",,,,,
989,Goguryeo and Baekje were conquered in order.,,,,,
990,The Tang Dynasty and the Nadang Alliance were formed to destroy Goguryeo and Baekje.,,,,,
991,"After joining forces with the Party to destroy Baekje, Goguryeo was destroyed. Later, the Nadang War broke out.",,,,,
992,Silla united with Tang and unified the three kingdoms,,,,,
993,They united the three kingdoms in union with the Tang Dynasty.,,,,,
994,Silla unified it using the power of a foreign power called the Tang Dynasty,,,,,
995,"With the help of the Tang Dynasty, Baekje and Goguryeo were destroyed in order, and the three kingdoms were unified after the Nadang War.",,,,,
996,"With the help of the Tang Dynasty, Baekje was defeated, Goguryeo was defeated, and Unified Silla was established through the Nadang War.",,,,,
997,winning the war,,,,,
998,I don't know,,,,,
999,Silla captured Baekje and united with Tang to capture Goguryeo,,,,,
1000,Unification by force of the Tang Dynasty,,,,,
1001,Silla ate Baekje,,,,,
1002,"First, Silla ate the Han River. And we beat Baekje and Goguryeo by becoming a team.",,,,,
1003,"""(It's too long, so I'll abbreviate it.)",,,,,
1004,"Silla was geographically and diplomatically less developed than Baekje and Goguryeo. So, after being invaded by King Jinheung in the 6th century, he took away Danghangseong, which was strong and could trade with China, and established an alliance with China to honor Baekje, destroy Goguryeo, and win the Nadang War to achieve unification.""",,,,,
1005,They united under the Tang Dynasty.,,,,,
1006,"Baekje and Goguryeo were falling apart, and Silla was in its heyday, allowing Silla to unify the three kingdoms.",,,,,
1007,I don't know.,,,,,
1008,It was occupied by Baekje and Goguryeo in the order of the Nadang alliance,,,,,
1009,"Silla established a Nadang alliance and destroyed Baekje, which had already lost much national power, and then struck Goguryeo to fame. After that, the party's Ssangseong General Office was pushed out and the area downstream of the Yalu River was established, resulting in the unification of the three kingdoms.",,,,,
1010,Long live Queen Seondeok,,,,,
1011,I don't know.,,,,,
1012,.,,,,,
1013,I don't understand.,,,,,
1014,I don't know.,,,,,
1015,"Using the power of China, they unified it by force.",,,,,
1016,This is because I became close to China by interacting with it.,,,,,
1017,Silla unified the three kingdoms with the help of other countries.,,,,,
1018,"Feeling threatened by Baekje, Silla joined forces with the Tang Dynasty to attack and destroy Baekje, and then Goguryeo also attacked it. Goguryeo tried to stop it, but was defeated by a traitor who opened the door, and Silla unified the three kingdoms to have land in the south.",,,,,
1019,The country that occupies the Han River has an advantage for everything,,,,,
1020,I don't know.,,,,,
1021,"Goguryeo was attacked and ruled, and then Baekje was defeated and the Tang Dynasty was defeated to unify it.",,,,,
1022,the occupation of the other country by war,,,,,
1023,"In alliance with the Party, Baekje and Goguryeo were destroyed.",,,,,
1024,"Although it was the first reunification, it was united with China to destroy Baekje and Goguryeo",,,,,
1025,I broke it all,,,,,
1026,"By joining forces with China to give part of the land, they beat Goguryeo and Baekje and reunified the three kingdoms.",,,,,
1027,They fought a war and won the war.,,,,,
1028,Silla occupied Baekje first and then went up to the north to occupy Goguryeo and unify the three kingdoms.,,,,,
1029,"After Silla invaded Bexse, Goguryeo also invaded",,,,,
1030,I'm going to drive you,,,,,
1031,Strengthening national power after taking over the Han River basin during the reign of King Jinheung.,,,,,
1032,King of Baekje died in the Battle of Gwansanseong Fortress,,,,,
1033,Suu Kyi's invasion of Goguryeo -> weakening of Goguryeo's national power,,,,,
1034,Kim Chun-chu's Negotiations -> Forming a Alliance of the Ruling Parties,,,,,
1035,Silla destroyed Baekje through land and Tang through waterways.,,,,,
1036,"After the fall of Baekje, the fall of Goguryeo by pressing up and down",,,,,
1037,"By preventing the Tang Dynasty's ambition to occupy the Korean Peninsula and achieving the unification of the Three Kingdoms.""",,,,,
1038,"They united with the Tang Dynasty to destroy Baekje and Goguryeo, and later defeated the Tang Dynasty to unify the southern part of the Korean Peninsula.",,,,,
1039,Silla unified other countries,,,,,
1040,I don't know.,,,,,
1041,Silla won by drawing in other countries.,,,,,
1042,"Silla defeated King Uija of Baekje and destroyed Baekje, and won the war against Goguryeo's Yeongaesomun through a coalition with the Tang Dynasty.",,,,,
1043,"Goguryeo Yeongaesomun died, Baekje collapsed, Silla formed an alliance with Tang and Nadang to unify somehow",,,,,
1044,unification in union with the Tang Dynasty,,,,,
1045,"Baekje, Goguryeo, and Silla",,,,,
1046,"Baekje, Goguryeo, and Silla",,,,,
1047,You must have fought a lot of wars and unified them,,,,,
1048,Silla united with Tang to destroy Goguryeo and Baekje,,,,,
1049,d,,,,,
1050,Silla sided with China and defeated Goguryeo and Baekje,,,,,
1051,"United with the Tang Dynasty. With the help of the Tang Dynasty, reunification",,,,,
1052,The Nadang Alliance was formed topple Baekje and topple Goguryeo.,,,,,
1053,Silla and Tang combined topple Goguryeo and Baekje.,,,,,
1054,I won the fight,,,,,
1055,It united with the Tang Dynasty to destroy Baekje and Goguryeo.,,,,,
