,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Nadang Alliance,War Victory,Dang-river,Han River Charge,Nadze Alliance
655,B.Party alliance->Destruction of Baekje->Destruction of Goguryeo->I.Party War -> Unification of the Three Kingdoms,0,0,0,0,0
656,B.Party alliance->The fall of Baekje->The fall of Goguryeo->Me.Party War->Unification of the Three Kingdoms,0,0,0,0,0
657,B.Party alliance->Destruction of Baekje->Destruction of Goguryeo->I.Party War->Unification of the Three Kingdoms,0,0,0,0,0
658,Nadang Union->Baekje Destruction_> Goguryeo Destruction_>Nadang War_>Unification of the Three Kingdoms,0,0,0,0,0
659,"Silla and the Tang Dynasty united to destroy Baekje Sabiseong Fortress, and after defeating Goguryeo's Pyongyang Fortress, they completed the unification of the three kingdoms through the Nadang War.",0,0,0,0,0
660,"After the coalition of the Nadang, Baekje and Goguryeo were destroyed one after another, and the party that wanted to rule the Korean Peninsula was defeated to achieve the reunification of the three kingdoms",0,0,0,0,0
661,"Silla formed a coalition between the Party and the Nadang, destroying Baekje and Goguryeo one after another, and Silla defeated the party that wanted to rule the Korean Peninsula, resulting in the unification of the Three Kingdoms",0,0,0,0,0
662,Silla allied with the Tang Dynasty and destroyed Goguryeo â Baekje.,0,0,0,0,0
663,Achieved through the Najang Alliance and drove the Tang Dynasty,0,0,0,0,0
664,Silla allied with the Tang Dynasty after the fall of Baekje to destroy Goguryeo and unify it,0,0,0,0,0
665,"After defeating Goguryeo in alliance with the Tang Dynasty, they fought with the Tang Dynasty and unified the three countries.",0,0,0,0,0
666,We fought the enemy hard,0,0,0,0,0
667,"Unification that cannot be viewed as such positively by attracting external forces such as Tang, not absorption unification, and limiting the territory as well as many things",0,0,0,0,0
668,Silla asked the Party for help and formed the Nadang coalition and destroyed the three kingdoms in the order of Baekje and Goguryeo,0,0,0,0,0
669,"During King Jinheung's reign, the Han River was occupied, the foundation was established, and in alliance with the party, Baekje was destroyed in 660 and Goguryeo in 668, and the party's army was defeated in 676, unifying the three kingdoms and suppressing revival movements in various places.",0,0,0,0,0
670,"Through the alliance with the Tang Narang, Baekje was restored and Goguryeo was restored, but the party's ambition to rule was confirmed, and Ahn Seung supported the Goguryeo revival movement to defeat the party and unify the three kingdoms",0,0,0,0,0
671,"He united with Tang and defeated Baekje and Goguryeo. Later, the Tang Dynasty was ousted to unify the Three Kingdoms.",0,0,0,0,0
672,B.The three countries were united by a party alliance.,0,0,0,0,0
673,"Silla attacked Goguryeo after joining forces with the Tang Dynasty to destroy Baekje. Goguryeo was weakened by the power dispute after the death of Yeongaesomun Gate, and was attacked and destroyed. Then the Tang Dynasty won the war and unified it.",0,0,0,0,0
674,a fish's head,0,0,0,0,0
675,"After the unification of Goguryeo in cooperation with the party, the party betrayed it and Silla prevented it",0,0,0,0,0
676,He conquered one country first and absorbed the last remaining one,0,0,0,0,0
677,the destruction of Baekje and Goguryeo using the power of China at that time,0,0,0,0,0
678,I don't know.,0,0,0,0,0
679,Silla won overwhelmingly by population in alliance with Tang,0,0,0,0,0
680,I don't know.,0,0,0,0,0
681,Baekje and Goguryeo were unified by the union of Silla and Tang dynasties.,0,0,0,0,0
682,"After repelling Goguryeo with Baekje, King Jinheung took over the Han River basin by disposing of Baekje.",0,0,0,0,0
683,"After Baekje occupied the Han River basin, Goguryeo occupied the Han River basin and Silla united it with the Tang Dynasty.",0,0,0,0,0
684,Unified Silla Foundation Ship,0,0,0,0,0
685,"Baekje was destroyed and Goguryeo was destroyed by the Nadang Alliance, which was allied with the Tang Dynasty.",1,0,0,0,0
686,Silla gained power from foreign powers and unified ham,0,0,0,0,0
687,I don't know.,0,0,0,0,0
688,The Tang and Tang united in unity,0,0,0,0,0
689,"After joining forces with the Tang Dynasty, he attacked Baekje and took over the Han River.",0,0,0,0,0
690,Goguryeo collapsed and Baekje collapsed.,0,0,0,0,0
691,"After allied with Baekje to occupy the Han River occupied by Goguryeo, it betrayed Baekje and destroyed it, and allied with the Tang Dynasty to honor Goguryeo.",0,0,0,0,0
692,"Kim Chun-chu went to Goguryeo to negotiate, but was caught by Goguryeo due to the breakdown of negotiations. However, he was released from Goguryeo due to his adaptation and joined forces with the Tang Dynasty to fight Baekje first. Baekje tried to drag time on the last Hwangsanbeol, but it was not enough, and Baekje was destroyed by the Nadang Allied Forces. During the reign of Goguryeo's Gaesomun, it rather overwhelmed the Nadang coalition, but after Yeon Gaesomun's death, a power struggle broke out and one of Yeon Gaesomun's sons joined the Nadang coalition, which broke down. Eventually, King Bojang surrendered, and Goguryeo was destroyed. The reason why the Tang Dynasty united with Silla was to destroy Goguryeo and Baekje and Silla together, so Goguryeo and Baekje hit Silla as soon as they collapsed. However, Silla blocked this and achieved unification, although not often.During King Jinheung's reign, the Hangang River basin was occupied, laying the foundation for the unification of the three kingdoms. Later, in 660, through the Battle of Hwangsanbeol in alliance with the Party, Baekje was destroyed, and Pyeongyangseong Fortress was occupied, and Goguryeo was destroyed in 668. Against the Tang Dynasty, which reveals its ambitions on the Korean Peninsula, it won the Battle of Maesoseong and the Battle of Gibeolpo, and achieved the unification of the Three Kingdoms in 676. Later, he suppressed the revival movement that was initiated by the people of Goguryeo and Baekje.",0,0,0,0,0
693,Silla won the war->Unification of the Three Kingdoms,0,0,0,0,0
694,"Silla's Queen Seondeok sent Kim Chun-chu to the Tang Dynasty to help him, so he succeeded in destroying Goguryeo with the Tang Dynasty from Baekje",0,0,0,0,0
695,"""",0,0,0,0,0
696,Tang and Silla joined forces to fight Baekje and Goguryeo,0,0,0,0,0
697,They invaded Hanseong and unified the three kingdoms.,0,0,0,0,0
698,Silla asked China for help.,0,0,0,0,0
699,"He fought Baekje first, won Goguryeo first, and unified it.",0,0,0,0,0
700,"Tang and Silla joined forces, hit Baekjae, and hit Goguryeo",0,0,0,0,0
701,Silla and Tang united and captured Baekje and Goguryeo,0,0,0,0,0
702,"While fighting over Hanseong (Seoul), Silla unified",0,0,0,0,0
703,Silla united with Tang,0,0,0,0,0
704,Silla ate Baekje and Silla joined forces to eat Goguryeo,0,0,0,0,0
705,Silla asks China for help,0,0,0,0,0
706,Silla first established Baekje and then unified Goguryeo,0,0,0,0,0
707,Kim Chun-chu was caught by Baekjae after beating Silla,0,0,0,0,0
708,I tried hard and unified it.,0,0,0,0,0
709,Silla joined hands with the Tang Dynasty to hit Baekje and then Goguryeo.,0,0,0,0,0
710,"Both Silla, Baekje and Goguryeo were difficult to occupy the Han River, so they unified the three kingdoms.",0,0,0,0,0
711,"Queen Seondeok of Silla asked Kim Yu-shin to unify the Three Kingdoms, so Kim Yu-shin unified the Three Kingdoms",0,0,0,0,0
712,Scylla is,0,0,0,0,0
713,Silla asked for help from somewhere in China and unified the Three Kingdoms.,0,0,0,0,0
714,Silla unified Baekje first and then Goguryeo...,0,0,0,0,0
715,The Tang Dynasty and Silla united to achieve unification,0,0,0,0,0
716,Tang and Silla united to achieve unity,0,0,0,0,0
717,"Queen Seondeok ordered Kim Chun-chu to form an alliance with Goguryeo, but King Yeondeok put Kim Chun-chu in jail and Kim Yu-shin came to save him about a month later. After King Seondeok ordered Kim Chun-chu to join the Tang Dynasty, he gave up the pride of King Seondeok and destroyed the kingdom But Silla blocked it and unified the three kingdoms",0,0,0,0,0
718,the destruction of Baekje and Goguryeo using the power of China at that time,0,0,0,0,0
719,"Silla expelled Baekje, Goguryeo, and the Tang Dynasty from the Korean Peninsula through the Nadang Coalition",0,0,0,0,0
720,"Silla achieved the unification of the three kingdoms in cooperation with the Tang Dynasty, not the perfect unification of Silla alone.",0,0,0,0,0
721,"First, he destroyed Gaya. And a long time later, the Tang Dynasty requested aid to the Tang Dynasty, destroyed Baekje and Goguryeo in order, and the Tang Dynasty, which was trying to live under the pressure of the Korean Peninsula, achieved unification within the Korean Peninsula.",0,0,0,0,0
722,"Silla, which eventually took over the Han River, united with the Tang Dynasty to defeat the 5,000-member group led by Gyebaek at Hwangsanbeol, exterminated Baekje, and captured the Pyongyang Fortress of Goguryeo and defeated the Tang Dynasty.",0,0,0,0,0
723,"After joining forces with the Tang Dynasty to defeat Baekje and Goguryeo in order, they won the war against the Tang Dynasty and unified the three kingdoms.",0,0,0,0,0
724,"Although Tang allied with Goguryeo and defeated Goguryeo several times after the war, and won the war against Baekje, Tang intervened in Silla's territorial expansion and won after the war with Tang, but it failed to take over the entire Korean Peninsula",0,0,0,0,0
725,"Silla and Baekje fought to take over the Han River, and they unified the three kingdoms to overthrow Baekje and unite with the Tang Dynasty to overthrow Goguryeo.",0,0,0,0,0
726,"Silla united with the Tang Dynasty to destroy Goguryeo, and Baekje surrendered. In addition, Baekje fought the Nadang War with Silla, and Baekje won and unified the three kingdoms.",0,0,0,0,0
727,I don't know.,0,0,0,0,0
728,"Silla and the Tang Dynasty united to form the Nadang Alliance. After that, the Nadang coalition won the war against Baekje and captured Goguryeo to unify the three countries.",1,0,0,0,0
729,"Silla occupied the Han River during the reign of King Jinheung, and gradually flourished, joining hands with the Chinese Tang Dynasty, General Kim Yu-shin conquered Baekje, and the 5,000 troops of Gyebaek fought, but eventually failed, and King Uija fled and Baekje fell. Goguryeo easily falls to Silla when his sons are confused due to internal strife after the death of Yeongaesomun Gate.",0,0,0,0,0
730,"By the 6th century, Silla had taken over the Han River, strengthening its national power. Based on the strengthened national power, the Tang Dynasty and the Nadang Federation were formed, and the three countries were unified by destroying Baekje and Goguryeo.",0,0,0,0,0
731,"Silla occupied the Han River as it reached its peak in the 6th century, relatively later than Goguryeo and Baekje, during the reign of King Jinheung. Taking over the Han River is threatened by Goguryeo on the upper side and Baekje on the lower side, Silla has formed a coalition with the Tang Dynasty of China and attempted reunification. B.There is also a limit to the unification of the three kingdoms by forming a party alliance, conquering Baekje first, and then conquering Goguryeo last, but there is also a limit to forming a union with Tang and achieving unification, and handing over part of Goguryeo's land to Tang.",0,0,0,0,0
732,"In alliance with the Tang Dynasty, he won several key battles and eventually unified the three kingdoms.",0,0,0,0,0
733,They united in union with the Tang Dynasty.,0,0,0,0,0
734,"After joining hands with the Tang Dynasty to destroy Baekje, Yeongaesomun died and Goguryeo, which became chaotic, was destroyed. After that, he fought a war with the Tang Dynasty, which tried to destroy Silla, and won and unified the three kingdoms.",0,0,0,0,0
735,"Under the leadership of Kim Chun-chu, Silla formed a coalition with the Tang Dynasty to destroy Baekje in the Battle of Hwangsanbeol, invade Goguryeo, and destroy Goguryeo, and unite all the revival movements of each country.",0,0,0,0,0
736,"Silla formed a coalition of Tang and Nadang to wage war with Baekje and conquered Baekje in the Battle of Hwangsanbeol. Later, the Nadang Allied Forces attacked Goguryeo and conquered Goguryeo. Then, the Tang army tried to conquer Silla and conquer the three kingdoms, but Silla was able to protect the territory of the three kingdoms and unify the three kingdoms.",0,0,0,0,0
737,I don't know anything about reverse ^ì¤^,0,0,0,0,0
738,"First, the political situation was stabilized in Silla. And to promote national power, he created a gallery and united with the Tang Dynasty. He continued to strengthen his national power and unified the three countries by attacking in the order of Baekje and Goguryeo.",0,0,0,0,0
739,?,0,0,0,0,0
740,M and D,0,0,0,0,0
741,Baekje > Goguryeo,0,0,0,0,0
742,Baekje was ruined and Goguryeo was ruined,0,0,0,0,0
743,He destroyed Baekje and Goguryeo. Destroyed Goguryeo,0,0,0,0,0
744,I don't know.,0,0,0,0,0
745,"After Silla's alliance with the Tang Dynasty, the Nadang coalition forces attacked Goguryeo after the fall of Baekje, and Yeon Nam-saeng, the first son, helped the Tang Dynasty to the end of Yeon Nam-gun, but failed. Silla and Tang fought against Silla to complete the unification of the Three Kingdoms",0,0,0,0,0
746,the fall of Baekje,0,0,0,0,0
747,Baekje fell and Goguryeo fell,0,0,0,0,0
748,yes,0,0,0,0,0
749,"Silla destroyed Baekje, and Khitan and Silla sided and destroyed Goguryeo",0,0,0,0,0
750,"Silla asked Goguryeo for an alliance, but it failed and allied with the Tang Dynasty, and Baekje was destroyed, and Goguryeo was destroyed thereafter.",0,0,0,0,0
751,"Nadang Coalition, the fall of Baekje, the fall of Goguryeo, the Nadang War, the reunification of the Three Kingdoms",0,0,0,0,0
752,Unification in the order of Baekje and Goguryeo after alliance with the Tang Dynasty,0,0,0,0,0
753,"With the help of China, they formed the Nadang Federation, destroyed Baekje, and destroyed Goguryeo to unify the Korean Peninsula.",0,0,0,0,0
754,"With the end of the Battle of Hwangsanbeol in 660 and the end of Goguryeo in 668, the allied forces of the Tang Dynasty destroyed Pyongyang and took off the reunification of the Three Kingdoms",0,0,0,0,0
755,Silla led the Tang Dynasty to destroy Baekje and fought numerous wars to destroy Goguryeo.,0,0,0,0,0
756,"Silla formed a Nadang alliance, destroyed Baekje, and destroyed Goguryeo, but when the Tang Dynasty tried to destroy Silla, the three people united to drive out the Tang Dynasty.",0,0,0,0,0
757,"In alliance with China, Baekje was captured, Goguryeo was captured, and then the Korean Peninsula was expelled through war with China to achieve reunification.",0,0,0,0,0
758,"They allied with the Tang Dynasty to attack Baekje and Goguryeo, and eventually, the people of the Korean Peninsula, including Silla, joined forces to push the Tang Dynasty away.",0,0,0,0,0
759,"Nadang Alliance. Baekje's collapse, Goguryeo's attack on Nadang, Goguryeo's ruin, Nadang's war, Silla's victory",1,0,0,0,0
760,Nadang Alliance -> the fall of Baekje -> the fall of Goguryeo -> the Nadang War -> the reunification of the Three Kingdoms,1,0,0,0,0
761,The Tang and the Nathang combined forces were formed and unified,0,0,0,0,0
762,Silla formed a coalition of Tang and Nadang forces to destroy Baekje and Goguryeo.,0,0,0,0,0
763,"Through the Na-Dang Federation, Baekje and Goguryeo were defeated and the Tang Dynasty was won to establish a unified Silla.",0,0,0,0,0
764,It was cowardly unified by the alliance of the ruling party,0,0,0,0,0
765,the head after joining forces,0,0,0,0,0
766,The Nadang alliance was formed to destroy Baekje and Goguryeo.,0,0,0,0,0
767,"Through the Nadang Coalition, Baekje and Goguryeo were destroyed in the order of Baekje and Goguryeo, and the three kingdoms were unified through the Nadang War.",0,0,0,0,0
768,"Silla and Tang united to destroy Baekje-Goguryo, Silla fought against Tang, and Silla destroyed Tangryo",0,0,0,0,0
769,M and D,0,0,0,0,0
770,ã¿ãã¿,0,0,0,0,0
771,Mall,0,0,0,0,0
772,I don't understand.,0,0,0,0,0
773,I don't understand.,0,0,0,0,0
774,I don't know.,0,0,0,0,0
775,I don't know,0,0,0,0,0
776,M and D,0,0,0,0,0
777,I don't understand.,0,0,0,0,0
778,I don't understand.,0,0,0,0,0
779,I don't understand.,0,0,0,0,0
780,I don't understand.,0,0,0,0,0
781,M and L,0,0,0,0,0
782,I don't know.,0,0,0,0,0
783,I don't know,0,0,0,0,0
784,I didn't write because I was too lazy to write long,0,0,0,0,0
785,M and D,0,0,0,0,0
786,M and D,0,0,0,0,0
787,I don't know,0,0,0,0,0
788,as a combined party,0,0,0,0,0
789,.,0,0,0,0,0
790,I don't understand.,0,0,0,0,0
791,I don't knowM and D,0,0,0,0,0
792,I don't know.,0,0,0,0,0
793,.,0,0,0,0,0
794,"Goguryeo, Baekje, Silla, Goguryeo, and Silla were under pressure from Silla, and the sons of the Tang Dynasty were fighting inside to take over the throne. Silla and Tang were united to destroy Baekje. When the Tang Dynasty tried to destroy the alliance, the three kingdoms united to unite and unify the Three Kingdoms",0,0,0,0,0
795,"allied with the Tang Dynasty, attacked Baekje to win, attacked Goguryeo to win",0,0,0,0,0
796,"""â  Attack of Silla and the Party""",0,0,0,0,0
797,* Silla and Tang allied forces attacked Baekje first.,0,0,0,0,0
798,* Baekje was not ready to stop the Silla-Party coalition due to political turmoil.,0,0,0,0,0
799,,0,0,0,0,0
800,â¡ Battle of Hwangsanbeol,0,0,0,0,0
801,"* Baekje's Gyebaek had more than 5,000 soldiers and fought with 50,000 soldiers led by Kim Yu-shin of Silla.",0,0,0,0,0
802,"* Silla initially suffered from strong resistance from Baekje, but won thanks to the performance of galleries.",0,0,0,0,0
803,,0,0,0,0,0
804,"â¢ Fall of Sabi Castle: Silla and the allied forces of the Party took the capital, Sabi, and fell.",0,0,0,0,0
805,,0,0,0,0,0
806,2) The Fall of Goguryeo (668),0,0,0,0,0
807,,0,0,0,0,0
808,â  the situation at the time,0,0,0,0,0
809,"* After the fall of Baekje, Silla and Tang forces attacked Goguryeo, but Goguryeo defended it well.",0,0,0,0,0
810,"* Goguryeo was weakened by the continued war, and when Yeon Gaesomun, who had stronger power than the king, died, a power struggle broke out inside.",0,0,0,0,0
811,,0,0,0,0,0
812,"â¡ Fall of Pyongyang Castle: Silla and Tang forces attacked Pyongyang again, and Goguryeo fell.",0,0,0,0,0
813,,0,0,0,0,0
814,3) Silla-Party War,0,0,0,0,0
815,,0,0,0,0,0
816,"â  Background: After the fall of Baekje and Goguryeo, the party tried to dominate the entire Korean Peninsula.",0,0,0,0,0
817,â¡ [Process] Silla fought a war with the people of Baekje and Goguryeo to drive away the party.,0,0,0,0,0
818,"â¢ Result: The party dispatched a large army to attack, but Silla persistently fought against the party and won victories in Maeso Castle and Gibeolpo.",0,0,0,0,0
819,,0,0,0,0,0
820,4) Completion of the Unification of the Three Kingdoms (676),0,0,0,0,0
821,,0,0,0,0,0
822,,0,0,0,0,0
823,,0,0,0,0,0
824,Image 1 of Silla's Three Kingdoms Unification Body,0,0,0,0,0
825,,0,0,0,0,0
826,â  Unification of the Three Kingdoms: King Munmu ousted the Party's army and achieved unification of the Three Kingdoms.,0,0,0,0,0
827,"â¡ Significance: The people of Goguryeo, Baekje, and Silla came together to form the basis for the development of a new national culture.",0,0,0,0,0
828,"â¢ Limitations: You're allied with the Party, and you've lost most of the land of Goguryeo north of the Daedong River.",0,0,0,0,0
829,,0,0,0,0,0
830,,0,0,0,0,0
831,the process of reunification of the three countries,0,0,0,0,0
832,,0,0,0,0,0
833,the process of reunification of the three countries,0,0,0,0,0
834,,0,0,0,0,0
835,,0,0,0,0,0
836,2. Baekje and Goguryeo Revival Movement,0,0,0,0,0
837,,0,0,0,0,0
838,1) Baekje Revival Movement,0,0,0,0,0
839,,0,0,0,0,0
840,"* Process: Bokshin and Dochim, the monk, started a revival movement in mainstream, and the black tooth market in Imjon.",0,0,0,0,0
841,* The result: internal strife and the defeat of the entire Japanese army to help the Baekje army.,0,0,0,0,0
842,,0,0,0,0,0
843,2) Goguryeo Revival Movement,0,0,0,0,0
844,,0,0,0,0,0
845,"* Process: Ko Yeon-mu led the revival army to fight the Tang army, and Geomojama established Anseung as king and started the revival movement.",0,0,0,0,0
846,* Result: Failed due to internal dispute,0,0,0,0,0
847,* Impact: Daejoyeong founded Balhae.,0,0,0,0,0
848,,0,0,0,0,0
849,"Wait, a quiz",0,0,0,0,0
850,,0,0,0,0,0
851,Which word is appropriate for A in the process of reunification of the three kingdoms of Silla?,0,0,0,0,0
852,,0,0,0,0,0
853,,0,0,0,0,0
854,,0,0,0,0,0
855,,0,0,0,0,0
856,,0,0,0,0,0
857,Image 5 of Silla's Three Kingdoms Unification Body,0,0,0,0,0
858,,0,0,0,0,0
859,,0,0,0,0,0
860,1. Fall of Pyongyang Castle,0,0,0,0,0
861,2. Battle of Hwangsanbeol,0,0,0,0,0
862,3. Fall of Sabiseong Fortress,0,0,0,0,0
863,4. Silla-Party War,0,0,0,0,0
864,5. Union of Silla and the Party,0,0,0,0,0
865,,0,0,0,0,0
866,,0,0,0,0,0
867,View answers and commentary,0,0,0,0,0
868,,0,0,0,0,0
869,"Silla's Unification of the Three Kingdoms (Genius Learning Encyclopedia 5-2 in Elementary School, Genius Education)",0,0,0,0,0
870,"""",0,0,0,0,0
871,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",0,0,0,0,0
872,"""The process of Silla's unification",0,0,0,0,0
873,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms.""",0,0,0,0,0
874,Silla's alliance with the Tang Dynasty destroyed Baekje and Goguryeo in the order of Baekje and Goguryeo.,0,0,0,0,0
875,Silla destroyed Baekje in 660,0,0,0,0,0
876,"He destroyed Goguryeo in 668 """,0,0,0,0,0
877,"Silla's ""Three Kingdoms Unification"" refers to Silla's alliance with the Tang Dynasty (Nadang Alliance), the overthrow of Baekje and Goguryeo in turn, and then ousted Tang troops to the north of the Daedong River (Nadang War) in 676. Although foreign powers were ousted due to the Nadang War, there is a limit in that they did not advance to the northern part of the Korean Peninsula and Manchuria, which were the northern part of the former Goguryeo territory, and thus did not achieve complete reunification of the three countries in terms of territory and population.",1,0,0,0,0
878,,0,0,0,0,0
879,"After a 30-year hiatus, Balhae (698-926) was built in the old Goguryeo territory of Manchuria, which was not occupied by Silla. The period when Silla and Balhae coexisted is called the period of the North-South Korean Empire. For this reason, the first unified country of the Korean people is Goryeo, not Silla, and Silla's ""Unification of the Three Kingdoms"" is a wrong expression, and some argue that it should be renamed as Silla's ""Dismantle of the Three Kingdoms,"" ""Unification of the Korean Peninsula,"" or ""Dismantle of the Three Kingdoms."" However, it is difficult to see the two cases differently based on the incompleteness of the northern territories of Goryeo, as well as the former Goguryeo and Balhae territories and populations did not integrate much like Silla.",0,0,0,0,0
880,,0,0,0,0,0
881,"Silla's integration into the southern part of the Korean Peninsula is definitely a limit in terms of territory in that it has lost much of Goguryeo's territory. In addition, there was an identity of a national state within the Korean Peninsula, which is reasonable to regard as Goryeo or the identity of a national state within the Korean Peninsula as arising from the process of starting from Goryeo to Joseon.""",0,0,0,0,0
882,"Kim Chun-chu moved to Tang and took his son, Beop-min (later King Munmu), as a hostage to form the Nadang Alliance",1,0,0,0,0
883,"In 660, Baekje was destroyed, and Goguryeo was destroyed in 668, and the party later established Woongjin-do-bu, Andong-do-bu, and Gyerim-do-bu in Silla, and expressed its ambition to effectively rule the Korean Peninsula",0,0,0,0,0
884,"In the process, the Nadang War broke out, and Silla drove the Tang army from Maecho Castle and the Gui navy from Gibeolpo to achieve the unification of the Three Kingdoms",0,0,0,0,0
885,"""",0,0,0,0,0
886,Silla allied with the Tang Dynasty and attacked Baekje and Goguryeo and destroyed them.,0,0,0,0,0
887,"When the party set up Dohobu in Goguryeo, Baekje, and Silla, respectively, and revealed its intention to directly dominate the Korean Peninsula, Silla was able to lay the foundation for the formation of the Korean people by fighting to oust the party along with Goguryeo and Baekje's Confucian scholars.",0,0,0,0,0
888,Both Goguryeo and Baekje were doomed because Silla attacked in alliance with the Tang Dynasty,0,0,0,0,0
889,"""The Fall of Gaya""",0,0,0,0,0
890,"Silla destroyed Geumgwan Gaya, the center of the Gaya Confederation, in 532the fall of Baekje",0,0,0,0,0
891,,0,0,0,0,0
892,"Accordingly, Kim Chun-chu carried out an adventure diplomacy to ask Goguryeo for soldiers, but Goguryeo demanded the return of the Han River basin in exchange for its dispatch, so it failed to achieve results. Afterwards, Silla formed an alliance with the Tang Dynasty to conquer Baekje, followed by a strategy to attack Goguryeo. In this way, King Gojong made Sojeongbang to play Baekje. Silla had Kim Yu-shin and others vacuum Baekje, so the Tang army landed on the left bank of the Baekgang River, and Silla army crossed Tanhyeon (east of Daejeon).",0,0,0,0,0
893,,0,0,0,0,0
894,"At that time, King Uija was arrogant and immersed in pleasure due to repeated victories, and the royal court was busy promoting self-interest, and loyalists such as Seongchung and Heungsu were ousted. The people were tired of repeated wars and were separated from the government, and Baekje was on the verge of survival. In the Battle of Hwangsanbeol, Gyebaek tried to support the national fortune with the death of 5,000 people, but was defeated, and eventually King Uija surrendered to Silla and Baekje was destroyed in 660.",0,0,0,0,0
895,,0,0,0,0,0
896,"After the fall of Baekje, a revival movement of Baekje's Yushin took place in various places. The royal Boksin and monk Dochim lived in Jujuseong Fortress, and the Black Chisangji and others lived in Imjonseong Fortress, causing the military to recover 200 fortresses. They faced the princely wind from Japan, and they surrounded and attacked Sabiseong Fortress and Ungjinseong Fortress, putting the Tang army in crisis. However, the mainstream fell due to the re-aggression of the Na-Party coalition and the internal division of the Buheung army, and the Buheung army continued to be defeated, ending the four-year Baekje revival movement.",0,0,0,0,0
897,,0,0,0,0,0
898,The Tang Dynasty established Woongjin Dodokbu in the territory of the former Baekje Kingdom.,0,0,0,0,0
899,,0,0,0,0,0
900,the fall of Goguryeo,0,0,0,0,0
901,"King Taejong Muyeol of Silla, who destroyed Baekje, joined forces with the Tang Dynasty to attack Goguryeo. .""",0,0,0,0,0
902,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle in Danggwan, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united to unify the three kingdoms",0,0,0,0,0
903,"He joined hands with the Tang Dynasty topple Baekje. After that, the courage of the government led to the collapse of Goguryeo, and after that, the Tang Dynasty, which was trying to devour the Korean Peninsula, was overthrown and the three kingdoms were unified",0,0,0,0,0
904,"He joined hands with the Tang Dynasty to overthrow Baekje After that, Goguryeo was destroyed thanks to the courage of Gwanchang The Tang Dynasty, which was about to take over the Korean Peninsula, was ousted and the three countries unified",0,0,0,0,0
905,"He fought with Baekje, ate the Han River, and captured Goguryeo",0,0,0,0,0
906,â Silla's attack by Baekje's King Uija â Silla sent Kim Chun-chu to Goguryeo to ask for help â Kim Chun-chu asked for help from the party áá¡ Na-dang alliance (648),0,0,0,0,0
907,"Silla and the Tang Dynasty joined hands to destroy Baekje and Goguryeo (660), 668",0,0,0,0,0
908,"Silla and Tang Dynasty tried to have Baekje for Silla, and Tang Dynasty for Goguryeo for Tang Dynasty, but Tang Dynasty wanted to occupy the Korean Peninsula, so they went to war with Silla. Silla then ousts the Tang Dynasty with the help of Goguryeo and Baekje's people. During the reign of King Munmu, a unified Silla was established that unified Goguryeo, Baekje, and Silla.""",0,0,0,0,0
909,Baekje was destroyed by the fall of Sabiseong Fortress by the allied forces of Silla and Tang Dynasty,0,0,0,0,0
910,"After the three countries reorganized the ancient state system, they promoted external development based on this, which turned out to be an uprising of the three countries. The Three Kingdoms War began in the late 4th century when King Geunchogo of Baekje began to advance north",0,0,0,0,0
911,"""1) The Fall of Baekje (660)",0,0,0,0,0
912,â  Attack of Silla and the Party,0,0,0,0,0
913,"The Silla-Party coalition first attacked Baekje, and Baekje was not ready to stop the Silla-Party coalition due to political turmoil.",0,0,0,0,0
914,,0,0,0,0,0
915,â¡ Battle of Hwangsanbeol,0,0,0,0,0
916,"Baekje's Gyebaek fought with about 50,000 soldiers led by Silla's Kim Yu-shin with 5,000 soldiers, and Silla initially suffered from strong resistance from Baekje, but won thanks to the activities of galleries.",0,0,0,0,0
917,,0,0,0,0,0
918,â¢ the fall of the Sabbath,0,0,0,0,0
919,"The capital, Sabi (Buju), was taken away and destroyed by Silla and the allied forces of the Party.",0,0,0,0,0
920,,0,0,0,0,0
921,2)The Fall of Goguryeo (668),0,0,0,0,0
922,,0,0,0,0,0
923,â  the situation at the time,0,0,0,0,0
924,"After the fall of Baekje, Silla and the Party's allied forces attacked Goguryeo, but Goguryeo was well prevented, but Goguryeo was weakened by the continuous war, and when Yeon Gaesomun, who had stronger power than the king, died, a power struggle broke out inside.",0,0,0,0,0
925,,0,0,0,0,0
926,â¡ the fall of Pyongyang,0,0,0,0,0
927,"The Silla-Party coalition attacked Pyongyang Castle again, and Goguryeo was destroyed.",0,0,0,0,0
928,,0,0,0,0,0
929,3) Silla-Party War,0,0,0,0,0
930,,0,0,0,0,0
931,â  Background,0,0,0,0,0
932,"After Baekje and Goguryeo fell, the party tried to dominate the entire Korean Peninsula.",0,0,0,0,0
933,â¡ Course,0,0,0,0,0
