,"Breathing: Oxygen absorption, carbon dioxide release",ecosystem,Respect for Life,Human
920,"The higher the biodiversity, the easier it is for living things to become extinct and facilitate exchanges between living things.",0,0,0
921,"If the ecosystem is destroyed, consumers, decomposers and producers cannot survive",1,0,0
922,"It's easy to get rid of, but it's hard to make, so I try to make it once I can.",0,0,0
923,It's good if it's rare,0,0,0
924,I don't know,0,0,0
925,This is because biodiversity is precious. It is because it is a product of long-standing evolution.,0,0,0
926,...,0,0,0
927,I don't know.,0,0,0
928,I don't know.,0,0,0
929,Uniformized creatures fail to adapt to changing environments.,0,0,0
930,There are many species that adapt to environmental changes,0,0,0
931,I don't know anything.,0,0,0
932,"The more, the better. It's better to be rich and diversewoman",0,0,0
933,There's a good reason for everything,0,0,0
934,....I don't know.,0,0,0
935,.,0,0,0
936,"Because if there is no variety of living things, only the same people exist in this world",0,0,0
937,Just.,0,0,0
938,We can only live if we have each other,0,0,0
939,We need to preserve our native species,0,0,0
940,It's to leave behind a descendant,0,0,0
941,d,0,0,0
942,I don't know,0,0,0
943,To fight against aliens,0,0,0
944,I'd love to.,0,0,0
945,I don't know.,0,0,0
946,I don't know,0,0,0
947,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0
