Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
229,storify,VB,  이야기를 들려주다  ,이야기를 들려주다  ,이야기를 들려주다  ,,이야기를 들려주다  ,이야기를 들려주다,tell the truth,이야기를 들려주다,blend
230,subsidize,VB,  보조금을 주다 (=fund)  ,보조금을 주다 (=fund)  ,보조금을 주다 (=fund)  ,,보조금을 주다 (=fund)  ,보조금을 주다 ,hurt,보조금을 주다 ,contribute
231,subtile,VB,  (=SUBTLE)  ,(=SUBTLE)  ,(=SUBTLE)  ,,(=SUBTLE)  ,,commonplace,,limited
232,summarize,VB,  요약하다  ,요약하다  ,요약하다  ,,요약하다  ,요약하다,enlarge,요약하다,encapsulate
233,symbolize,VB,  상징하다 (=represent)  ,상징하다 (=represent)  ,상징하다 (=represent)  ,,상징하다 (=represent)  ,상징하다 ,,상징하다 ,epitomize
234,sympathectomize,VB,[의학]  …에게 교감 신경 절제술 (sympathectomy) 을 실시하다.  ,  …에게 교감 신경 절제술 (sympathectomy) 을 실시하다,  …에게 교감 신경 절제술 (sympathectomy) 을 실시하다,,  …에게 교감 신경 절제술 (sympathectomy) 을 실시하다,…에게 교감 신경 절제술  을 실시하다,,…에게 교감 신경 절제술  을 실시하다,NaN
235,synchronize,VB,"  동시에 발생하다[움직이다], 동시에 발생하게[움직이게] 하다  ","동시에 발생하다[움직이다], 동시에 발생하게[움직이게] 하다  ","동시에 발생하다[움직이다], 동시에 발생하게[움직이게] 하다  ",,"동시에 발생하다[움직이다], 동시에 발생하게[움직이게] 하다  ",동시에 발생하다 하다,,동시에 발생하다 하다,harmonize
236,synthesize,VB,[전문 용어]  (화학 물질을) 합성하다      2.    ,  (화학 물질을) 합성하다      2,  (화학 물질을) 합성하다      2,,  (화학 물질을) 합성하다      2, 합성하다 2,disperse, 합성하다 2,amalgamate
237,tantalize,VB,  감질나게 하다  ,감질나게 하다  ,감질나게 하다  ,,감질나게 하다  ,감질나게 하다,assist,감질나게 하다,baffle
238,tarrify,VB,  (몹시) 무섭게[겁먹게] 하다  ,(몹시) 무섭게[겁먹게] 하다  ,(몹시) 무섭게[겁먹게] 하다  ,,(몹시) 무섭게[겁먹게] 하다  , 무섭게 하다,, 무섭게 하다,NaN
239,technicalize,VB,  전문[기술]화하다.  ,전문[기술]화하다.  ,전문[기술]화하다.  ,,전문[기술]화하다.  ,전문화하다.,,전문화하다.,NaN
240,tensify,VB,[전문 용어]  (전선·돛 등을) 팽팽하게 하다  ,  (전선·돛 등을) 팽팽하게 하다  ,  (전선·돛 등을) 팽팽하게 하다  ,,  (전선·돛 등을) 팽팽하게 하다  , 팽팽하게 하다,, 팽팽하게 하다,NaN
241,terrorize,VB,  공포에 떨게[사로잡히게] 하다  ,공포에 떨게[사로잡히게] 하다  ,공포에 떨게[사로잡히게] 하다  ,,공포에 떨게[사로잡히게] 하다  ,공포에 떨게 하다,assist,공포에 떨게 하다,bludgeon
242,theorize,VB,  이론을 제시하다[세우다]  ,이론을 제시하다[세우다]  ,이론을 제시하다[세우다]  ,,이론을 제시하다[세우다]  ,이론을 제시하다,disbelieve,이론을 제시하다,conjecture
243,tranquillize,VB,  (특히 진정제로) 안정[진정]시키다  ,(특히 진정제로) 안정[진정]시키다  ,(특히 진정제로) 안정[진정]시키다  ,,(특히 진정제로) 안정[진정]시키다  , 안정시키다,, 안정시키다,NaN
244,traumatize,VB,"  정신적 외상을 초래하다, 엄청난 충격을 주다  ","정신적 외상을 초래하다, 엄청난 충격을 주다  ","정신적 외상을 초래하다, 엄청난 충격을 주다  ",,"정신적 외상을 초래하다, 엄청난 충격을 주다  ","정신적 외상을 초래하다, 엄청난 충격을 주다",compliment,"정신적 외상을 초래하다, 엄청난 충격을 주다",grieve
245,trivialize,VB,[보통 못마땅함]  하찮아 보이게 만들다  ,  하찮아 보이게 만들다  ,  하찮아 보이게 만들다  ,,  하찮아 보이게 만들다  ,하찮아 보이게 만들다,,하찮아 보이게 만들다,dismiss
246,trypsinize,VB,[생화학]  트립신화(化)하다.  ,  트립신화(化)하다,  트립신화(化)하다,,  트립신화(化)하다,트립신화하다,,트립신화하다,NaN
247,undersize,VB,  (=UNDERSIZED)  ,(=UNDERSIZED)  ,(=UNDERSIZED)  ,,(=UNDERSIZED)  ,,enormous,,pint-sized
248,westernize,VB,  서양화[서구화]하다  ,서양화[서구화]하다  ,서양화[서구화]하다  ,,서양화[서구화]하다  ,서양화하다,,서양화하다,NaN
249,willable,VB,"  바랄 수가 있는, 의지로 결정할 수가 있는  ","바랄 수가 있는, 의지로 결정할 수가 있는  ","바랄 수가 있는, 의지로 결정할 수가 있는  ",,"바랄 수가 있는, 의지로 결정할 수가 있는  ","바랄 수가 있는, 의지로 결정할 수가 있는",,"바랄 수가 있는, 의지로 결정할 수가 있는",NaN
250,yeel,VB,"  소리[고함]치다, 소리 지르다, 외치다      2.    [명사]  고함, 외침      3.    [명사][美]  (스포츠 경기 때 단체로 하는) 응원의 함성  ",Longer,Longer,,Longer,Longer,,Longer,NaN
