,Unnamed: 0,1) Let's talk about what plants need to make their own starch ,Unnamed: 0,",q53_sun,q53_water,""q53_carbon dioxide (CO2), air, "",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast,q53_sun.1,q53_water.1,q53_carbon dioxide (CO2), air, .1"",q53_soil.1,q53_Photosynthesis1.q53_Cuteness1,q53_Chloroplast.1"
477,477,"Light, carbon dioxide, water",477.0,"493,0,1,0,0,1,0,0,,,,,,,"
478,478,Photosynthesis,478.0,"494,1,1,0,0,1,0,0,,,,,,,"
479,479,Photosynthesis,479.0,"495,0,0,0,0,0,0,0,,,,,,,"
480,480,Light energy,480.0,"496,0,1,1,0,0,0,0,,,,,,,"
481,481,Photosynthesis is needed through the sun's light.,481.0,"497,0,1,0,0,0,0,0,,,,,,,"
482,482,Plants photosynthesize to store glucose,482.0,"498,0,0,0,0,0,0,0,,,,,,,"
483,483,"sunlight, water, soil, fertilizer, etc",483.0,"499,1,1,0,0,0,0,0,,,,,,,"
484,484,Need sunlight water,484.0,"500,1,0,0,0,0,0,0,,,,,,,"
485,485,"We need sunlight, water, and carbon dioxide.",485.0,"501,1,0,0,0,0,0,0,,,,,,,"
486,486,"We need solar energy, H2O and CO2",486.0,"502,1,1,0,0,0,0,0,,,,,,,"
487,487,"Sunlight, water",487.0,"503,1,1,1,0,0,0,0,,,,,,,"
488,488,"Carbon dioxide, water, and light energy are needed.",488.0,"504,0,1,0,0,0,0,0,,,,,,,"
489,489,Photosynthesis,489.0,"505,0,0,0,0,0,0,0,,,,,,,"
490,490,"Water, carbon dioxide",490.0,"506,1,1,0,0,0,0,0,,,,,,,"
491,491,"We need light energy, carbon dioxide, and water.",491.0,"507,1,0,0,0,1,0,0,,,,,,,"
492,492,I need glucose.,492.0,"508,1,1,0,0,0,0,0,,,,,,,509,1,1,0,0,0,0,0,,,,,,,"
493,493,Don't know,493.0,"510,0,1,1,0,0,0,0,,,,,,,"
494,494,"Water, oxygen, and photosynthesis make starch.You need water and light to photosynthesize",494.0,"511,0,0,0,0,0,0,0,,,,,,,"
495,495,"Ultimately, glucose and oxygen are needed",495.0,"512,0,1,1,0,0,0,0,,,,,,,"
496,496,carbon dioxide and water,496.0,"513,0,0,0,0,0,0,0,,,,,,,"
497,497,need water,497.0,"514,0,1,0,0,0,0,0,,,,,,,"
498,498,assimilation,498.0,"515,1,0,0,0,0,0,0,,,,,,,"
499,499,water sunlight,499.0,"516,0,0,0,0,0,0,0,,,,,,,"
500,500,Sunlight,500.0,"517,1,1,0,0,0,1,0,,,,,,,"
501,501,Sunlight,501.0,"518,1,1,0,1,0,0,0,,,,,,,"
502,502,"Water, sunlight, etc. are needed.",502.0,"519,0,0,0,0,0,0,0,,,,,,,"
503,503,"Water, carbon dioxide, sunlight",503.0,"520,0,0,0,0,0,0,0,,,,,,,"
504,504,need water,504.0,"521,1,0,0,0,0,0,0,,,,,,,"
505,505,potassium iodide solution of iodine,505.0,"522,1,1,1,0,0,0,0,,,,,,,"
506,506,"Sun, Glucose, Water",506.0,"523,0,0,0,0,1,0,0,,,,,,,"
507,507,Photosynthesis with sunlight and many other things,507.0,"524,1,0,0,0,0,0,0,,,,,,,"
508,508,"Sun, Glucose, Water",508.0,"525,1,0,0,0,0,0,0,,,,,,,"
509,509,a light in the sun,509.0,"526,0,0,0,0,1,0,0,,,,,,,"
510,510,Water and carbon dioxide,510.0,"527,1,1,0,1,0,0,0,,,,,,,"
511,511,"Roots, stems, leaves",511.0,"528,1,1,1,1,0,0,0,,,,,,,"
512,512,Water and carbon dioxide,512.0,"529,0,1,0,0,1,0,0,,,,,,,"
513,513,"Most of the time, starch is made",513.0,"530,0,0,0,0,0,0,0,,,,,,,"
514,514,Water,514.0,"531,1,1,1,0,0,0,0,,,,,,,"
515,515,Sunlight,515.0,"532,0,0,0,0,1,0,0,,,,,,,"
516,516,I don't know.,516.0,"533,0,0,0,0,0,0,0,,,,,,,"
517,517,"sunlight, water and nutrients",517.0,"534,0,0,0,0,1,0,0,,,,,,,"
518,518,"soil, sun, water, wind",518.0,"535,1,1,0,0,0,0,0,,,,,,,"
519,519,I don't know.,519.0,"536,1,1,1,0,0,1,0,,,,,,,"
520,520,Don't know,520.0,"537,1,1,0,0,0,0,0,,,,,,,"
521,521,We need sunlight.,521.0,"538,0,1,0,0,1,0,0,,,,,,,539,1,1,1,0,0,0,0,,,,,,,"
522,522,"Light, water and carbon dioxide",522.0,"540,1,1,0,0,1,0,0,,,,,,,"
523,523,need photosynthesis,523.0,"541,1,1,0,0,0,0,0,,,,,,,"
524,524,the sun,524.0,"542,1,1,1,0,0,0,0,,,,,,,"
525,525,Sunlight,525.0,"543,1,1,0,1,0,0,0,,,,,,,"
526,526,need photosynthesis,526.0,"544,1,1,1,0,1,1,0,,,,,,,"
527,527,"Sunlight, water, greasy land, my love",527.0,"545,1,1,0,0,0,0,0,,,,,,,"
528,528,"We need water, soil, sunlight, carbon dioxide, etc",528.0,"546,1,1,0,0,1,0,0,,,,,,,"
529,529,photosynthetic material,529.0,"547,1,1,0,0,1,0,0,,,,,,,"
530,530,Don't know,530.0,"548,1,1,0,1,0,0,0,,,,,,,"
531,531,"Sea, water, air",531.0,"549,1,1,0,1,0,0,0,,,,,,,"
532,532,a photochemical star,532.0,"550,1,1,0,0,0,1,0,,,,,,,"
533,533,I'm sorry~,533.0,"551,1,1,1,0,0,0,0,,,,,,,"
534,534,need photosynthesis,534.0,"552,1,1,0,0,0,0,0,,,,,,,"
535,535,Sunlight water,535.0,"553,1,1,0,0,0,0,0,,,,,,,"
536,536,"Air, sunlight, water, carbon dioxide, nutrients",536.0,"554,1,1,0,0,0,0,0,,,,,,,"
537,537,"Sunlight, water, wind, etc",537.0,"555,1,1,0,0,0,0,0,,,,,,,"
538,538,photosynthetic material,538.0,"556,1,1,0,0,1,0,0,,,,,,,"
539,539,"Sunlight, water, carbon dioxide",539.0,"557,1,1,0,0,0,0,0,,,,,,,"
540,540,"Photosynthesis, sunlight, water, proper temperature",540.0,"558,1,1,1,0,0,0,0,,,,,,,"
541,541,Sunlight,541.0,"559,1,1,0,0,0,0,0,,,,,,,"
542,542,Carbon Dioxide Sunlight Water,542.0,"560,1,1,0,1,0,0,0,,,,,,,"
543,543,"water, sunlight, soil",543.0,"561,1,1,0,0,0,0,0,,,,,,,"
544,544,"Air, carbon dioxide water, sunlight, nutrients, photosynthesis",544.0,"562,1,1,1,0,0,0,0,,,,,,,"
545,545,I don't know.,545.0,"563,1,1,0,0,1,0,0,,,,,,,"
546,546,Photosynthesis is required.,546.0,"564,1,1,0,1,0,0,0,,,,,,,"
547,547,Photosynthesis,547.0,"565,1,1,0,0,0,0,0,,,,,,,"
548,548,"I think we need sunlight, soil, and so on.",548.0,"566,1,1,1,0,0,0,0,,,,,,,"
549,549,"water, sun, soil",549.0,"567,1,1,0,1,0,0,0,,,,,,,"
550,550,"Sunshine, water, nutrients",550.0,"568,1,1,1,0,0,0,0,,,,,,,569,1,1,0,1,0,0,0,,,,,,,"
551,551,"Sunlight, water, air",551.0,"570,1,1,0,0,0,0,0,,,,,,,"
552,552,Biological environmental factors are likely to be needed.,552.0,"571,1,1,0,0,0,0,0,,,,,,,"
553,553,I don't know.,553.0,"572,1,1,0,0,1,0,1,,,,,,,"
554,554,I need a new debt.,554.0,"573,1,1,0,1,0,0,0,,,,,,,"
555,555,"I think it's water, sunlight, solar power, etc.",555.0,"574,1,1,0,0,0,0,0,,,,,,,"
556,556,They photosynthesize.,556.0,"575,1,1,1,1,0,0,0,,,,,,,"
557,557,"When it rains, it absorbs water and grows under sunlight",557.0,"576,1,1,0,0,0,0,0,,,,,,,"
558,558,"Sunlight, air, water, etc",558.0,"577,1,1,0,0,0,0,0,,,,,,,"
559,559,You need enough water and adequate sunlight,559.0,"578,1,1,0,0,0,0,0,,,,,,,"
560,560,"Sunlight, water, soil",560.0,"579,1,1,0,0,0,0,0,,,,,,,"
561,561,I don't know,561.0,"580,1,1,0,0,1,0,0,,,,,,,"
562,562,"Light, water, sunlight, carbon dioxide",562.0,"581,1,1,0,1,0,0,0,,,,,,,"
563,563,They photosynthesize.,563.0,"582,1,1,0,0,1,0,0,,,,,,,"
564,564,watery soil,564.0,"583,1,1,1,0,0,0,0,,,,,,,"
565,565,I don't know,565.0,"584,1,1,1,0,0,0,0,,,,,,,"
566,566,"Water, sun debt, air, temperature",566.0,"585,1,1,1,0,0,0,0,,,,,,,"
567,567,"sunlight, water, soil",567.0,"586,1,1,0,0,0,0,0,,,,,,,"
568,568,"sunlight, water, appropriate temperature, and air, which are non-biological environmental factors, will be needed.",568.0,"587,1,1,0,0,0,0,0,,,,,,,"
569,569,"Sunlight, water, soil",569.0,"588,1,1,1,1,0,0,0,,,,,,,"
570,570,"Water, sunlight",570.0,"589,1,1,0,0,0,0,0,,,,,,,"
571,571,"""I don't know.",571.0,"590,1,1,0,0,0,0,0,,,,,,,"
572,572,,572.0,"591,1,1,1,0,0,0,0,,,,,,,"
573,573,,573.0,"592,1,1,1,0,0,0,0,,,,,,,"
574,574,,574.0,"593,1,1,0,0,1,0,0,,,,,,,"
575,575,"I don't know.""",575.0,"594,1,1,0,0,0,0,0,,,,,,,"
576,576,Chloroplasts photosynthesize sunlight to make nutrients.,576.0,"595,1,1,0,1,0,0,0,,,,,,,"
577,577,"sunlight, water, soil",577.0,"596,1,1,0,0,1,0,0,,,,,,,"
578,578,"Sunlight, water",578.0,"597,1,1,0,0,0,0,0,,,,,,,"
579,579,"Water, sunlight, soil, air, proper temperature",579.0,"598,1,1,1,0,0,0,0,,,,,,,599,1,1,0,0,1,0,0,,,,,,,"
580,580,I don't know,580.0,"600,1,1,0,0,1,0,0,,,,,,,"
581,581,"sunlight, water, etc",581.0,"601,1,1,1,0,0,0,0,,,,,,,"
582,582,I don't know.,582.0,"602,1,1,0,0,1,0,0,,,,,,,"
583,583,Sunlight water,583.0,"603,1,1,0,0,0,0,0,,,,,,,"
584,584,Photosynthesis,584.0,"604,1,1,1,1,0,0,0,,,,,,,"
585,585,"water, sunlight, and soil",585.0,"605,1,1,0,0,0,0,0,,,,,,,"
586,586,Photosynthesis,586.0,"606,1,1,0,0,1,0,0,,,,,,,"
587,587,"Sunlight, carbon dioxide, water",587.0,"607,1,1,0,0,0,0,0,,,,,,,"
588,588,"Sunlight, water, carbon dioxide",588.0,"608,1,1,1,0,0,0,0,,,,,,,"
589,589,"Carbon dioxide, water, sunlight",589.0,"609,1,1,0,0,0,0,0,,,,,,,"
590,590,"Sunlight, water, wind",590.0,"610,1,1,1,0,0,0,0,,,,,,,"
591,591,"Sunlight, water",591.0,"611,1,1,0,1,0,0,0,,,,,,,"
592,592,"Water, ground, air, sunlight",592.0,"612,1,1,1,0,0,0,0,,,,,,,"
593,593,"sunlight, water, etcPotatoes and onions",593.0,"613,1,1,1,0,0,0,0,,,,,,,"
594,594,"We need sunlight, water, and carbon dioxide.",594.0,"614,1,1,1,0,0,0,0,,,,,,,"
595,595,"Sunset, water air",595.0,"615,1,1,1,1,0,0,0,,,,,,,"
596,596,They photosynthesize,596.0,"616,1,1,0,1,0,0,0,,,,,,,"
597,597,Biological environmental therapy is required.,597.0,"617,1,1,1,0,0,0,0,,,,,,,"
598,598,"Biological environmental factors such as sunlight, water, soil, etc",598.0,"618,1,1,0,1,0,0,0,,,,,,,"
599,599,"There are leaves and stems, xylem and phyllm, which transport water to the stem and the phyllm transports food to the leaves, which are used to photosynthesize using chromosomes",599.0,"619,1,0,0,0,0,0,0,,,,,,,"
600,600,We need sunlight and water.,600.0,"620,1,1,0,0,0,0,0,,,,,,,"
601,601,"Sunlight, water, carbon dioxide",601.0,"621,1,0,0,0,0,0,0,,,,,,,"
602,602,Photosynthesis,602.0,"622,1,0,0,0,0,0,0,,,,,,,"
603,603,Photosynthesis is required.,603.0,"623,1,0,0,0,0,0,0,,,,,,,"
604,604,"Sunlight, water, and air",604.0,"624,1,1,0,0,0,0,0,,,,,,,"
605,605,Water and sunlight are needed in the process of photosynthesis.,605.0,"625,0,1,0,0,0,0,0,,,,,,,"
606,606,"sunlight, water, etc",606.0,"626,0,0,0,0,0,0,0,,,,,,,"
607,607,"Water, soil, sunlight, air, temperature (non-biological environmental factors)",607.0,"627,1,1,1,0,0,0,0,,,,,,,"
608,608,The decomposer breaks down the bad things,608.0,"628,1,1,0,0,0,1,0,,,,,,,629,1,0,0,0,0,0,0,,,,,,,"
609,609,"Sunlight, water, etc. are needed in the photosynthetic freak.",609.0,"630,0,0,0,0,1,0,0,,,,,,,"
610,610,"sunlight, water, etc",610.0,"631,1,0,0,0,0,0,0,,,,,,,"
611,611,"Sunlight, water, carbon dioxide, leaves",611.0,"632,1,0,0,0,0,0,0,,,,,,,"
612,612,biological environmental factors,612.0,"633,1,0,0,0,0,0,0,,,,,,,"
613,613,"Sunlight, water, air",613.0,"634,1,0,0,0,0,0,0,,,,,,,"
614,614,"Sun, soil, water",614.0,"635,1,0,0,0,1,0,0,,,,,,,"
615,615,"We need water, sunlight, and carbon dioxide",615.0,"636,1,1,0,0,0,0,0,,,,,,,"
616,616,"I think we need carbon dioxide, sunlight, and water.",616.0,"637,0,0,0,0,1,0,0,,,,,,,"
617,617,"Sunlight, water, air",617.0,"638,1,1,1,0,0,0,0,,,,,,,"
618,618,"Sun (sun), water, soil, air",618.0,"639,1,0,0,0,0,0,0,,,,,,,"
619,619,Sun and water soil lights,619.0,"640,1,0,0,0,1,0,0,,,,,,,"
620,620,"Sunlight, water, and air",620.0,"641,1,0,0,0,0,0,0,,,,,,,"
621,621,"Sunlight, water, soil, etc.",621.0,"642,1,1,1,0,0,0,0,,,,,,,"
622,622,I don't know,622.0,"643,1,0,0,0,0,0,0,,,,,,,"
623,623,"Sunlight, water",623.0,"644,1,0,0,0,1,0,0,,,,,,,"
624,624,Sunlight,624.0,"645,1,1,0,0,0,0,0,,,,,,,"
625,625,Light,625.0,"646,1,0,0,0,1,0,0,,,,,,,"
626,626,I don't know.,626.0,"647,0,1,0,0,0,0,0,,,,,,,"
627,627,It needs light and moisture.,627.0,"648,1,1,1,0,0,0,0,,,,,,,"
628,628,I need water.,628.0,"649,1,0,0,0,0,1,0,,,,,,,"
629,629,I don't know,629.0,"650,1,1,1,0,0,0,0,,,,,,,"
630,630,"water, air, the sun",630.0,"651,1,0,0,0,1,0,0,,,,,,,"
631,631,"Sun, water, oxygen, nutrients",631.0,"652,0,0,0,0,1,0,0,,,,,,,"
632,632,Light energy. Chemical energy,632.0,"653,0,0,0,0,0,0,0,,,,,,,"
633,633,Photosynthesis,633.0,"654,0,1,1,0,0,0,0,,,,,,,"
634,634,It needs sunlight.,634.0,"655,0,0,0,0,1,0,0,,,,,,,"
635,635,Light,635.0,"656,1,0,0,0,0,0,0,,,,,,,"
636,636,Sunlight,636.0,"657,1,0,1,0,0,0,0,,,,,,,"
637,637,light water,637.0,"658,1,0,0,0,0,0,0,,,,,,,659,1,1,1,0,0,0,0,,,,,,,"
638,638,Photosynthesis Using Sunlight,638.0,"660,1,0,0,0,1,0,0,,,,,,,"
639,639,Sunlight and plenty of water,639.0,"661,1,0,1,0,0,0,0,,,,,,,"
640,640,Photosynthesis,640.0,"662,0,0,0,0,1,0,0,,,,,,,"
641,641,"Sunlight, water, carbon dioxide",641.0,"663,1,0,1,0,0,0,0,,,,,,,"
642,642,Sunlight,642.0,"664,0,1,1,0,1,0,0,,,,,,,"
643,643,Photosynthesis due to sunlight is needed.,643.0,"665,1,1,1,0,0,0,1,,,,,,,"
644,644,Sunlight,644.0,"666,1,1,0,0,0,0,0,,,,,,,"
645,645,"Sunlight, water, soil",645.0,"667,1,1,1,0,0,0,0,,,,,,,"
646,646,solar heat,646.0,"668,0,0,0,0,1,0,0,,,,,,,"
647,647,Photosynthesis must be done through the sun's light.,647.0,"669,1,0,0,0,1,0,0,,,,,,,"
648,648,"Sunlight, water",648.0,"670,0,0,0,0,0,0,0,,,,,,,"
649,649,"In the process of making plant nutrients, or starch, it uses photosynthesis to make starch, so sunlight is needed",649.0,"671,0,0,0,0,1,0,0,,,,,,,"
650,650,.,650.0,"672,0,1,0,0,1,0,0,,,,,,,"
651,651,"Water, carbon dioxide, and light energy are needed",651.0,"673,1,1,0,0,0,0,0,,,,,,,"
652,652,sunlight and nutrients,652.0,"674,1,1,0,0,0,0,0,,,,,,,"
653,653,"Light, Carbon Dioxide",653.0,"675,0,0,0,0,1,0,0,,,,,,,"
654,654,"Photosynthesis, light is needed.",654.0,"676,0,0,0,0,1,0,0,,,,,,,"
655,655,Photosynthesis,655.0,"677,1,0,0,0,0,0,0,,,,,,,"
656,656,I don't know,656.0,"678,1,1,0,0,0,0,0,,,,,,,"
657,657,"Water, Carbon Dioxide",657.0,"679,1,1,0,0,0,0,0,,,,,,,"
658,658,Photosynthesis,658.0,"680,0,0,0,0,0,0,0,,,,,,,"
659,659,Sunlight,659.0,"681,1,0,0,0,1,0,0,,,,,,,"
660,660,Light + carbon dioxide,660.0,"682,1,1,0,0,1,0,0,,,,,,,"
661,661,"Plants make their own nutrients through photosynthesis, so they use sunlight to convert light energy into chemical energy.",661.0,"683,0,0,0,0,1,0,0,,,,,,,"
662,662,"Carbon Dioxide, Water, and Sun's Light Energy",662.0,"684,0,0,0,0,0,0,0,,,,,,,"
663,663,"In order for plants to make their own nutrients, they must be able to photosynthesize in sunny environments.",663.0,"685,1,1,0,0,1,0,0,,,,,,,"
664,664,Light Energy Carbon Dioxide,664.0,"686,1,1,0,0,0,0,0,,,,,,,"
665,665,Photosynthesis,665.0,"687,1,1,0,0,0,0,0,,,,,,,"
666,666,"Light energy, carbon dioxide,",666.0,"688,1,1,0,0,1,0,0,,,,,,,689,1,1,0,0,1,0,0,,,,,,,"
667,667,Photosynthesis converts water and carbon dioxide into nutrients and glucose oxygen.,667.0,"690,1,1,0,0,0,0,0,,,,,,,"
668,668,Plants are special creatures in that they make their own nutrients. Plants use chlorophyll and water uses a pigment called chlorophyll to collect solar energy and produce carbohydrates using carbon dioxide and water as raw materials.,668.0,"691,0,0,0,0,0,0,0,,,,,,,"
669,669,"""",669.0,"692,1,1,0,0,0,0,0,,,,,,,"
670,670,We need solar energy and water,670.0,"693,1,1,0,0,0,0,0,,,,,,,"
671,671,"It is sunlight, water and carbon dioxide. Plants produce nutrients through photosynthesis, and carbon dioxide and water produce glucose and oxygen gas through sunlight, so sunlight water carbon dioxide will be needed.",671.0,"694,1,1,1,0,0,0,0,,,,,,,"
672,672,need photosynthesis,672.0,"695,0,1,0,0,0,0,0,,,,,,,"
673,673,We need sunlight to photosynthesize,673.0,"696,1,1,1,0,0,0,0,,,,,,,"
674,674,a contestant's name,674.0,"697,0,0,0,0,1,0,0,,,,,,,"
675,675,Photosynthesis,675.0,"698,1,1,0,0,0,0,0,,,,,,,"
676,676,Photosynthesis and plenty of water,676.0,"699,0,0,0,0,1,0,0,,,,,,,"
677,677,"Sunlight, water, etc.",677.0,"700,1,1,0,0,0,0,0,,,,,,,"
678,678,"I need water, sunlight, etc",678.0,"701,0,0,0,0,1,0,0,,,,,,,"
679,679,need photosynthesis,679.0,"702,0,0,0,0,1,0,0,,,,,,,"
680,680,Photosynthesis,680.0,"703,1,0,0,0,0,0,0,,,,,,,"
681,681,Sunlight,681.0,"704,0,0,0,0,1,0,0,,,,,,,"
682,682,"Mall, I need sunlight.",682.0,"705,1,1,0,1,0,0,0,,,,,,,"
683,683,Sunlight water,683.0,"706,1,1,0,1,0,0,0,,,,,,,"
684,684,biological environmental factors,684.0,"707,0,0,0,0,0,0,0,,,,,,,"
685,685,"They photosynthesize, and plants photosynthesize with sunlight, so they need sunlight.",685.0,"708,1,1,0,0,0,0,0,,,,,,,"
686,686,"photosynthesis, moisture",686.0,"709,1,1,0,0,0,0,0,,,,,,,"
687,687,Photosynthesis,687.0,"710,1,1,0,0,0,0,0,,,,,,,"
688,688,I don't know,688.0,"711,1,1,0,0,0,0,0,,,,,,,"
689,689,We need sunlight and water to photosynthesize.,689.0,"712,1,1,0,0,0,0,0,,,,,,,"
690,690,We need sunlight and water.,690.0,"713,1,1,0,0,0,0,0,,,,,,,"
691,691,"Sunlight, water, places to grow well, etc.",691.0,"714,0,0,0,0,1,0,0,,,,,,,"
692,692,You have to photosynthesize with solar energy and use water as a nutrient.Plants need sunlight and water because they are photosynthesizing themselves to make nutrients.,692.0,"715,0,0,0,0,1,0,0,,,,,,,"
693,693,"We need sunlight and water, which are essential.",693.0,"716,1,0,1,0,1,0,0,,,,,,,"
694,694,N and M,694.0,"717,1,1,0,0,0,0,0,,,,,,,"
695,695,the light of water,695.0,"718,1,1,0,1,0,0,0,,,,,,,719,1,1,1,0,1,0,0,,,,,,,"
696,696,Sunlight water,696.0,"720,1,1,1,0,0,0,0,,,,,,,"
697,697,Water and sunlight need carbon dioxide,697.0,"721,1,1,1,1,1,0,0,,,,,,,"
698,698,I need water,698.0,"722,0,1,1,0,1,0,0,,,,,,,"
699,699,"Water, carbon dioxide, sunlight",699.0,"723,1,1,1,0,0,0,0,,,,,,,"
700,700,It's photosynthesis,700.0,"724,1,1,1,0,1,0,0,,,,,,,"
701,701,"the sun, water",701.0,"725,1,1,1,0,0,0,0,,,,,,,"
702,702,Photosynthesis?,702.0,"726,1,1,1,0,0,0,0,,,,,,,"
703,703,"sunlight, water, etc",703.0,"727,1,0,1,0,1,0,0,,,,,,,"
704,704,Photosynthesis is the process by which plants make their own nutrients.,704.0,"728,1,1,1,0,1,0,0,,,,,,,"
705,705,need photosynthesis,705.0,"729,1,1,1,0,0,0,0,,,,,,,"
706,706,I get the sun.,706.0,"730,1,1,1,0,1,0,0,,,,,,,"
707,707,Photosynthesis,707.0,"731,1,1,1,0,1,0,0,,,,,,,"
708,708,"I need water, I need a sunbrush, I need soil",708.0,"732,1,1,1,0,1,0,1,,,,,,,"
709,709,We need soil and water sun,709.0,"733,0,0,0,0,1,0,0,,,,,,,"
710,710,"""d",710.0,"734,1,1,0,0,0,0,0,,,,,,,"
711,711,,711.0,"735,1,1,0,0,0,0,0,,,,,,,"
712,712,,712.0,"736,1,1,0,0,0,0,0,,,,,,,"
713,713,,713.0,"737,0,0,0,0,1,0,0,,,,,,,"
714,714,,714.0,"738,1,1,0,0,0,0,0,,,,,,,"
715,715,,715.0,"739,0,0,0,0,0,0,0,,,,,,,"
716,716,,716.0,"740,1,1,0,1,0,0,0,,,,,,,"
717,717,,717.0,"741,0,1,0,0,0,0,0,,,,,,,"
718,718,,718.0,"742,1,1,0,0,0,0,0,,,,,,,"
719,719,,719.0,"743,0,0,0,0,0,0,0,,,,,,,"
720,720,,720.0,"744,1,1,0,1,0,0,0,,,,,,,"
721,721,,721.0,"745,1,1,1,0,1,0,0,,,,,,,"
722,722,,722.0,"746,1,1,0,0,0,0,0,,,,,,,"
723,723,,723.0,"747,1,1,0,0,1,0,0,,,,,,,"
724,724,,724.0,"748,0,1,0,0,0,0,0,,,,,,,749,1,1,1,0,0,0,0,,,,,,,"
725,725,,725.0,"750,0,0,0,0,0,0,0,,,,,,,"
726,726,,726.0,"751,0,0,0,0,0,0,0,,,,,,,"
727,727,,727.0,"752,0,0,0,0,0,0,0,,,,,,,"
728,728,,728.0,"753,0,0,0,0,0,0,0,,,,,,,"
729,729,"""",729.0,"754,0,0,0,0,0,0,0,,,,,,,"
730,730,need sunlight and water,730.0,"755,0,0,0,0,0,0,0,,,,,,,"
731,731,"Sunlight, water, etc",731.0,"756,1,1,0,0,0,0,0,,,,,,,"
732,732,"Sunlight, rain, water, manure, etc",732.0,"757,0,0,0,0,0,0,0,,,,,,,"
733,733,"I think we need microbes, rain, sunlight, earthworms, etc",733.0,"758,0,0,0,0,1,0,0,,,,,,,"
734,734,"water, moderate sunlight",734.0,"759,0,0,0,0,0,0,0,,,,,,,"
735,735,"We need rain, we need sunlight",735.0,"760,1,1,0,0,0,0,0,,,,,,,"
736,736,I think photosynthesis is necessary,736.0,"761,1,1,0,1,0,0,0,,,,,,,"
737,737,We need photosynthesis,737.0,"762,1,1,0,0,0,0,0,,,,,,,"
738,738,Sunlight is basically needed in the process of plants making nutrients. There is an environment where sunlight is needed to create a wide hip-hop image. Photosynthesis releases carbon dioxide and makes nutrients (starch).,738.0,"763,1,1,0,0,0,0,0,,,,,,,"
739,739,You just need to get enough sunlight and water,739.0,"764,1,1,0,0,0,0,0,,,,,,,"
740,740,the sun's rays of water and soil,740.0,"765,1,1,0,1,0,0,0,,,,,,,"
741,741,"Plants need carbon dioxide and water to make their own food  In the process of photosynthesis, plants combine carbon dioxide and water with light energy to produce starch and oxygen",741.0,"766,1,1,0,1,0,0,0,,,,,,,"
742,742,"The process by which plants make their own nutrients is the process of photosynthesis, and the elements necessary for photosynthesis are light, water, and carbon dioxide. Water and carbon dioxide produce glucose and oxygen in redox reactions.",742.0,"767,1,1,1,0,0,0,0,,,,,,,"
743,743,"""",743.0,"768,1,1,0,1,0,1,0,,,,,,,"
744,744,"Once living things are essential, they will need the water they need for photosynthesize. And the other one element that's needed for photosynthesis is carbon dioxide. It would be nice to have a good environment such as strong roots and fertile soil to absorb water well.""",744.0,"769,0,1,0,0,0,0,0,,,,,,,"
745,745,Plants need water and carbon dioxide because they go through a photosynthesis process in which six water molecules (6H2O) and six carbon dioxide molecules (6CO2) meet to produce one starch molecule (C6H12O6) and six oxygen molecules (6O2).,745.0,"770,0,0,0,0,0,0,0,,,,,,,"
746,746,"Water, sunlight, carbon dioxide",746.0,"771,1,1,0,1,0,0,0,,,,,,,"
747,747,"Plants make nutrients through photosynthesis of leaves. Photosynthesis is the process of turning carbon dioxide and water into oxygen and starch through solar energy. Therefore, water and solar energy are needed to make nutrients.",747.0,"772,1,1,0,0,0,0,0,,,,,,,"
748,748,"Plants use solar energy to combine water (H2O) and carbon dioxide (CO2) from their roots to produce glucose (C6H12O6) and oxygen (O2), and then store glucose in the form of starch. Therefore, enough sunlight, water, and carbon dioxide are needed. In the process of bonding, six water molecules and six carbon dioxide molecules are converted into six oxygen molecules and one glucose.",748.0,"773,1,1,0,1,0,0,0,,,,,,,"
749,749,"Plants also need oxygen because they breathe, and solar energy is needed for water, carbon dioxide, and chemical reactions to make starch.",749.0,"774,0,0,0,0,0,0,0,,,,,,,"
750,750,"C6H12O6 + 6H2O + 6O2. This reaction is photosynthesis, which seems to require carbon dioxide and light energy.",750.0,"775,1,1,1,0,0,0,0,,,,,,,"
751,751,"The process by which plants make nutrients is the process of photosynthesis. Photosynthesis is the process by which plants produce nutrients and oxygen through light. When plants photosynthesize, they absorb carbon dioxide and water to produce oxygen and glucose. What is needed to produce glucose is water and carbon dioxide.",751.0,"776,1,1,1,1,0,0,0,,,,,,,"
752,752,"We need sunlight, water, and carbon dioxide.",752.0,"777,0,0,0,0,1,0,0,,,,,,,"
753,753,"Plants need photosynthesis to make their own nutrients, which requires water, carbon dioxide, and sunlight.",753.0,"778,0,1,1,0,0,0,0,,,,,,,779,1,0,1,0,0,0,1,,,,,,,"
754,754,The process by which plants make their own nutrients is called photosynthesis. Plants produce water and oxygen through photosynthesis. Plants need light energy and carbon dioxide for this photosynthesis.,754.0,"780,0,1,1,0,0,0,0,,,,,,,"
755,755,"Photosynthesis is necessary for plants to make nutrients. In order to photosynthesize, we need chloroplasts that don't exist in our bodies. Also, the external environment requires sunlight, water, and moisture. This produces nutrients and carbon dioxide oxygen.",755.0,"781,1,1,1,0,0,0,0,,,,,,,"
756,756,Photosynthesis,756.0,"782,1,1,1,0,0,0,0,,,,,,,"
757,757,need light and water,757.0,"783,1,1,1,0,0,0,0,,,,,,,"
758,758,Sunlight and water,758.0,"784,1,1,1,0,0,0,0,,,,,,,"
