,Unnamed: 0,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",Unnamed: 0,q10_Daytime,q10_Byulilju,q10_Season,q10_Time difference,q10_Circulation,q10_Daytime.1,q10_Byulilju.1,q10_Season.1,q10_time difference 1,q10_cycle.1
813,813,Day and night are distinguished.,813,,,,,,,,,,
814,814,Day and night occurrence during the day due to the Earth's rotation.,814,,,,,,,,,,
815,815,Unknowingness,815,,,,,,,,,,
816,816,Day and night occur and forward power occurs.,816,,,,,,,,,,
817,817,The Earth's rotation causes night and day.,817,,,,,,,,,,
818,818,Unknowingness,818,,,,,,,,,,
819,819,"Because the Earth rotates, day and night occur due to the difference between the side facing the sun and the other side facing the sun. In addition, due to the rotation of the Earth, large air convection from the equator to the poles receives a forward force and divides directions, resulting in westerlies and trade winds.",819,,,,,,,,,,
820,820,"Night and night occur (exceptions, of course)",820,,,,,,,,,,
821,821,Unknowingness,821,,,,,,,,,,
822,822,I don't know,822,,,,,,,,,,
823,823,Day and night are created by the rotation of the earth. And then you have Coriholipos.,823,,,,,,,,,,
824,824,a daily temperature difference,824,,,,,,,,,,
825,825,"The earth rotates and becomes an acceleration coordinate system, which creates various inertial forces. Assuming that angular velocity is constant, the inertial force produces coriolis and centripetal force, the former prevents the bullet we shoot straight from going straight, the latter makes us feel less gravity than the actual gravity, and the equator is slightly protruding. And by rotating, the metal part of the outer core will rotate, which will help to form a magnetic field.",825,,,,,,,,,,
826,826,By rotation the sun rises in the east and sets in the west.,826,,,,,,,,,,
827,827,Ebb and flood tide,827,,,,,,,,,,
828,828,Unknowingness,828,,,,,,,,,,
829,829,Coriolis ' force day and night. The wind currents.,829,,,,,,,,,,
830,830,Will have a day and night.,830,,,,,,,,,,
831,831,"Day and night is generated. Tilted 23.5 degrees that revolved around its rotation, during which they a area causes day, looking at the sun at noon. On the contrary, 22 remain far from the sun at night if you get.",831,,,,,,,,,,
832,832,"A day and night due to the rotation of the earth. Coriolis ' force, which result from the virtual power in the rotation of the earth, atmospheric circulation is complex due to happen. As a result, various orientation, windy and it is of the nature and currents affecting the overall energy circulation is of the Earth.",832,,,,,,,,,,
833,833,Divide into day and night as the rotation.,833,,,,,,,,,,
834,834,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,834,,,,,,,,,,
835,,,835,,,,,,,,,,
836,,,836,,,,,,,,,,
837,,,837,,,,,,,,,,
838,,,838,,,,,,,,,,
839,,,839,,,,,,,,,,
840,,,840,,,,,,,,,,
841,,,841,,,,,,,,,,
842,,,842,,,,,,,,,,
843,,,843,,,,,,,,,,
844,,,844,,,,,,,,,,
845,,,845,,,,,,,,,,
846,,,846,,,,,,,,,,
847,,,847,,,,,,,,,,
848,,,848,,,,,,,,,,
849,,,849,,,,,,,,,,
850,,,850,,,,,,,,,,
851,,,851,,,,,,,,,,
852,,,852,,,,,,,,,,
853,,,853,,,,,,,,,,
854,,,854,,,,,,,,,,
855,,,855,,,,,,,,,,
856,,,856,,,,,,,,,,
857,,,857,,,,,,,,,,
858,,,858,,,,,,,,,,
859,,,859,,,,,,,,,,
860,,,860,,,,,,,,,,
861,,,861,,,,,,,,,,
862,,,862,,,,,,,,,,
863,,,863,,,,,,,,,,
864,,,864,,,,,,,,,,
865,,,865,,,,,,,,,,
866,,,866,,,,,,,,,,
867,,,867,,,,,,,,,,
868,,,868,,,,,,,,,,
869,,,869,,,,,,,,,,
870,,,870,,,,,,,,,,
871,,,871,,,,,,,,,,
872,,,872,,,,,,,,,,
873,,,873,,,,,,,,,,
874,,,874,,,,,,,,,,
875,,,875,,,,,,,,,,
876,,,876,,,,,,,,,,
877,,,877,,,,,,,,,,
878,,,878,,,,,,,,,,
879,,,879,,,,,,,,,,
880,,,880,,,,,,,,,,
881,,,881,,,,,,,,,,
882,,,882,,,,,,,,,,
883,,,883,,,,,,,,,,
884,,,884,,,,,,,,,,
885,,,885,,,,,,,,,,
886,,,886,,,,,,,,,,
887,,,887,,,,,,,,,,
888,,,888,,,,,,,,,,
