,Unnamed: 0,"2) In the experiment above, if you change the direction of the current, how does the compass needle move? ",Unnamed: 0,", q26_against, q26_against.1"
1014,1014,It's going to the side,1014.0,"1048,0,1049,1,"
1015,1015,It's going to the side,1015.0,"1050,0,"
1016,1016,The direction changes,1016.0,"1051,0,"
1017,1017,I don't know.,1017.0,"1052,1,"
1018,1018,Stay,1018.0,"1053,1,"
1019,1019,Mumm,1019.0,"1054,1,"
1020,1020,I don't know,1020.0,"1055,1,"
1021,1021,I don't know.,1021.0,"1056,1,"
1022,1022,The movement changes,1022.0,"1057,1,"
1023,1023,It's moving in the opposite direction,1023.0,"1058,1,"
1024,1024,I don't know,1024.0,"1059,0,"
1025,1025,It spins the same way,1025.0,"1060,0,"
1026,1026,It's changing,1026.0,"1061,1,"
1027,1027,It's moving the other way around.,1027.0,"1062,1,"
1028,1028,the opposite movement,1028.0,"1063,0,"
1029,1029,It's bent the other way around,1029.0,"1064,1,"
1030,1030,The direction of the N pole and the S pole changes,1030.0,"1065,1,"
1031,1031,The direction of the compass changes in reverse.,1031.0,"1066,0,"
1032,1032,It changes in the direction of the current,1032.0,"1067,1,"
1033,1033,I don't know ♥,1033.0,"1068,1,"
1034,1034,It's moving in the opposite direction,1034.0,"1069,1,"
1035,1035,The needle moves in reverse.,1035.0,"1070,1,"
1036,1036,It changes the other way around,1036.0,"1071,0,"
1037,1037,The compass needle moves in the direction in which the current flows.,1037.0,"1072,1,"
1038,1038,It changes in the opposite direction.,1038.0,"1073,1,"
1039,1039,"""I don't know",1039.0,"1074,1,"
1040,1040,"""",1040.0,"1075,0,"
1041,1041,h,1041.0,"1076,1,"
1042,1042,h,1042.0,"1077,1,"
1043,1043,The direction changes,1043.0,"1078,1,1079,1,"
1044,1044,.,1044.0,"1080,1,"
1045,1045,It's going the other way around,1045.0,"1081,0,"
1046,1046,Changing,1046.0,"1082,0,"
1047,1047,.,1047.0,"1083,0,"
1048,1048,It's moving towards the current,1048.0,"1084,0,"
1049,1049,....,1049.0,"1085,1,"
1050,1050,"""I don't know""",1050.0,"1086,1,"
1051,1051,"""",1051.0,"1087,1,"
1052,1052,The needle goes the other way,1052.0,"1088,1,"
1053,1053,It changes the other way around,1053.0,"1089,1,"
1054,1054,It will change the other way around,1054.0,"1090,0,"
1055,1055,The compass turns the other way around.,1055.0,"1091,1,"
1056,1056,The needle will move the other way around.,1056.0,"1092,0,"
1057,1057,The compass needle changes its movement,1057.0,"1093,1,"
1058,1058,The direction of the current moves towards the flow,1058.0,"1094,1,"
1059,1059,I don't know.,1059.0,"1095,1,"
1060,1060,?,1060.0,"1096,0,"
1061,1061,"On the contrary,",1061.0,"1097,0,"
1062,1062,It changes the other way around,1062.0,"1098,0,"
1063,1063,I don't know.,1063.0,"1099,1,"
1064,1064,It's moving the other way around,1064.0,"1100,1,"
1065,1065,"On the contrary, go.",1065.0,"1101,1,"
1066,1066,I don't know.,1066.0,"1102,1,"
1067,1067,It will move the other way around.,1067.0,"1103,1,"
1068,1068,"On the contrary, changed.",1068.0,"1104,1,"
1069,1069,The movement of the needle will also change,1069.0,"1105,1,"
1070,1070,Point the other way around.,1070.0,"1106,1,"
1071,1071,It's moving to the right,1071.0,"1107,1,"
1072,1072,Turn around and stop at 180 degrees.,1072.0,"1108,1,1109,1,"
1073,1073,It's going the other way around,1073.0,"1110,1,"
1074,1074,It changes the other way around,1074.0,"1111,1,"
1075,1075,It moves more,1075.0,"1112,1,"
1076,1076,The compass needle moves in reverse.,1076.0,"1113,1,"
1077,1077,Changing,1077.0,"1114,1,"
1078,1078,"Since the N pole of the compass is the direction of the current, when the direction of the current is changed, the direction of the needle moves in reverse.",1078.0,"1115,1,"
1079,1079,"If the direction of the current is reversed, the direction indicated by the N pole of the compass is reversed. This means that the magnetic field is formed counterclockwise with respect to the direction of the current flowing through the conductor, and the N pole points to the direction of the tangent of the magnetic field. When the direction of the current changes, the direction of the magnetic field is reversed, so the direction indicated by the N pole of the compass is also reversed.",1079.0,"1116,1,"
1080,1080,It changes the other way around,1080.0,"1117,1,"
1081,1081,I don't know.,1081.0,"1118,1,"
1082,1082,I don't know,1082.0,"1119,1,"
1083,1083,It keeps moving,1083.0,"1120,1,"
1084,1084,It's moving like crazy,1084.0,"1121,1,"
1085,1085,Changing,1085.0,"1122,1,"
1086,1086,Counterclockwise,1086.0,"1123,1,"
1087,1087,in the direction of current flow,1087.0,"1124,1,"
1088,1088,in the direction of current flowChanging,1088.0,"1125,0,"
1089,1089,Mr,1089.0,"1126,1,"
1090,1090,Changed,1090.0,"1127,0,"
1091,1091,It doesn't move,1091.0,"1128,0,"
1092,1092,It's moving in the opposite direction,1092.0,"1129,1,"
1093,1093,"On the contrary, changed.",1093.0,"1130,1,"
1094,1094,Changing,1094.0,"1131,0,"
1095,1095,It goes back and forth,1095.0,"1132,1,"
1096,1096,M토Yutoㅓ,1096.0,"1133,0,"
1097,1097,The needle will move,1097.0,"1134,1,"
1098,1098,It changes the other way around.,1098.0,"1135,1,"
1099,1099,It turns in the opposite direction.,1099.0,"1136,1,"
1100,1100,It changes in the opposite direction.,1100.0,"1137,0,"
1101,1101,the opposite direction,1101.0,"1138,0,1139,1,"
1102,1102,the opposite direction,1102.0,"1140,0,"
1103,1103,"On the contrary, changed.",1103.0,"1141,1,"
1104,1104,"On the contrary, changed.",1104.0,"1142,1,"
1105,1105,The compass needle moves in reverse.,1105.0,"1143,1,"
1106,1106,It changes the other way around.,1106.0,"1144,0,"
1107,1107,"On the contrary,",1107.0,"1145,0,"
1108,1108,"On the contrary, changed.",1108.0,"1146,0,"
1109,1109,"Opposite direction (N,S changed)",1109.0,"1147,1,"
1110,1110,the opposite direction,1110.0,"1148,1,"
1111,1111,"On the contrary, changed.",1111.0,"1149,0,"
1112,1112,It moves in the opposite direction.,1112.0,"1150,1,"
1113,1113,It works the other way around.,1113.0,"1151,1,"
1114,1114,It changes in the opposite direction.,1114.0,"1152,0,"
1115,1115,The direction of the compass is reversed.,1115.0,"1153,1,"
1116,1116,It works the other way around,1116.0,"1154,1,"
1117,1117,Go back to bed.,1117.0,"1155,1,"
1118,1118,It changes the other way around,1118.0,"1156,1,"
1119,1119,It changes the other way around,1119.0,"1157,1,"
1120,1120,It's going the other way around,1120.0,"1158,1,"
1121,1121,It's moving the other way around.,1121.0,"1159,1,"
1122,1122,It's moving the other way around,1122.0,"1160,1,"
1123,1123,It changes the other way around,1123.0,"1161,1,"
1124,1124,The movement of the compass needle changes as much as it changes.,1124.0,"1162,0,"
1125,1125,It works the other way around.,1125.0,"1163,1,"
1126,1126,It's getting slower,1126.0,"1164,1,"
1127,1127,L.,1127.0,"1165,1,"
1128,1128,"The compass changes direction, too",1128.0,"1166,1,"
1129,1129,It's moving the other way around.,1129.0,"1167,1,"
1130,1130,It doesn't move.,1130.0,"1168,1,1169,1,"
1131,1131,It will go in the opposite direction.,1131.0,"1170,1,"
1132,1132,I don't know.,1132.0,"1171,1,"
1133,1133,It changes in the opposite direction,1133.0,"1172,1,"
1134,1134,The needle moves in reverse where it was originally meant to be,1134.0,"1173,1,"
1135,1135,It's moving the other way around.,1135.0,"1174,1,"
1136,1136,right,1136.0,"1175,1,"
1137,1137,It's moving well,1137.0,"1176,1,"
1138,1138,It's turning the other way around,1138.0,"1177,0,"
1139,1139,I don't know.,1139.0,"1178,1,"
1140,1140,It will change the other way around,1140.0,"1179,1,"
1141,1141,The compass moves the other way around,1141.0,"1180,1,"
1142,1142,It's moving the other way around,1142.0,"1181,1,"
1143,1143,I don't know,1143.0,"1182,1,"
1144,1144,As it is,1144.0,"1183,1,"
1145,1145,It's moving fast,1145.0,"1184,1,"
1146,1146,It's moving the other way around,1146.0,"1185,1,"
1147,1147,It will move the other way around.,1147.0,"1186,1,"
1148,1148,I don't know,1148.0,"1187,0,"
1149,1149,It moves in the direction of the current.,1149.0,"1188,1,"
1150,1150,The current flows in reverse,1150.0,"1189,1,"
1151,1151,I don't know.,1151.0,"1190,1,"
1152,1152,The movement of the compass needle is the opposite,1152.0,"1191,1,"
1153,1153,It changes in the opposite direction.,1153.0,"1192,1,"
1154,1154,It changes in the opposite direction.,1154.0,"1193,1,"
1155,1155,The compass changes direction.,1155.0,"1194,1,"
1156,1156,It will move the other way around.,1156.0,"1195,1,"
1157,1157,"As the direction of the current changes, the direction of the compass will also change.",1157.0,"1196,1,"
1158,1158,Move it the other way around.,1158.0,"1197,1,"
1159,1159,It's turning the other way around,1159.0,"1198,1,1199,1,"
1160,1160,The needle will face the opposite direction of the direction it now,1160.0,"1200,1,"
1161,1161,"""I will go back and forth.",1161.0,"1201,1,"
1162,1162,,1162.0,"1202,1,"
1163,1163,"""",1163.0,"1203,1,"
1164,1164,the other way around,1164.0,"1204,1,"
1165,1165,The current changes in the direction of flow,1165.0,"1205,1,"
1166,1166,I think it will move the other way around.,1166.0,"1206,1,"
1167,1167,The compass needle also changes the direction it points to,1167.0,"1207,0,"
1168,1168,"""The needle in the compass",1168.0,"1208,1,"
1169,1169,"It also changes the direction of the point.""",1169.0,"1209,1,"
1170,1170,The compass needle also changes the direction it points to,1170.0,"1210,0,"
1171,1171,It works the other way around,1171.0,"1211,1,"
1172,1172,It's going the other way around,1172.0,"1212,1,"
1173,1173,"""It turns in the opposite direction.",1173.0,"1213,1,"
1174,1174,"It's amazing.""",1174.0,"1214,1,"
1175,1175,"""The current is magnetic, so the compass follows, so if you change the direction of the current,",1175.0,"1215,0,"
1176,1176,It follows the direction of its current,1176.0,"1216,0,"
1177,1177,The other way around,1177.0,"1217,0,"
1178,1178,Turn the other way around.,1178.0,"1218,0,"
1179,1179,the other way around,1179.0,"1219,1,"
1180,1180,The direction of the compass needle changes direction.,1180.0,"1220,1,"
1181,1181,It's moving fast.,1181.0,"1221,1,"
1182,1182,It's moving the other way around.,1182.0,"1222,1,"
1183,1183,"The compass will change direction, too.",1183.0,"1223,1,"
1184,1184,It's going the other way around,1184.0,"1224,0,"
1185,1185,It changes the other way around,1185.0,"1225,0,"
1186,1186,"I don't think it will move in the opposite direction or at all, but I think I'll know if I experiment.",1186.0,"1226,0,"
1187,1187,Changed to the opposite 😀It's the other way around,1187.0,"1227,1,"
1188,1188,I'll go the other way,1188.0,"1228,0,1229,1,"
1189,1189,It's moving the other way around,1189.0,"1230,1,"
1190,1190,It's powered by electricity.,1190.0,"1231,1,"
1191,1191,The needle in the compass turns the other way around,1191.0,"1232,1,"
1192,1192,I think it's going to go the other way around.,1192.0,"1233,1,"
1193,1193,The direction changes,1193.0,"1234,0,"
1194,1194,The compass changes in the opposite direction,1194.0,"1235,0,"
1195,1195,I think it'll work the other way around,1195.0,"1236,1,"
1196,1196,The compass will change direction.,1196.0,"1237,1,"
1197,1197,It changes the other way around,1197.0,"1238,1,"
1198,1198,It's moving the other way around.,1198.0,"1239,0,"
1199,1199,The direction is reversed,1199.0,"1240,0,"
1200,1200,"If you change the direction of the current, it moves in the opposite direction of the compass needle that first moved",1200.0,"1241,0,"
1201,1201,The compass needle moves in the direction of the current.,1201.0,"1242,0,"
1202,1202,The direction is reversed,1202.0,"1243,0,"
1203,1203,It looks like it's going to move in the opposite direction.,1203.0,"1244,1,"
1204,1204,The direction of the compass needle changes before the change.,1204.0,"1245,1,"
1205,1205,"When the direction of the current changes, the direction of the compass needle also changes.",1205.0,"1246,1,"
1206,1206,Changing the direction of the current is likely to cause the initial needle movement of the compass to move in reverse.,1206.0,"1247,1,"
1207,1207,"""1. Do not move or move in any other direction.",1207.0,"1248,1,"
1208,1208,"2. Go in that direction or go in another direction.""",1208.0,"1249,0,"
1209,1209,"""Because we turned the current in the opposite direction, the compass needle moves in the opposite direction of the compass needle before.",1209.0,"1250,1,"
1210,1210,"""",1210.0,"1251,1,"
1211,1211,It will move in the opposite direction according to the direction of the current.,1211.0,"1252,0,"
1212,1212,Turn right,1212.0,"1253,1,"
1213,1213,It's going the other way around,1213.0,"1254,0,"
1214,1214,"In the above experiment, changing the direction of the current changes the movement of the compass needle.",1214.0,"1255,0,"
1215,1215,It's getting faster,1215.0,"1256,0,"
1216,1216,"The compass movement will change, too",1216.0,"1257,0,"
1217,1217,The current changes in the direction of flow,1217.0,"1258,1,1259,0,"
1218,1218,"The compass needle movement changes, too",1218.0,"1260,1,"
1219,1219,It's moving the other way around.,1219.0,"1261,0,"
1220,1220,..,1220.0,"1262,0,"
1221,1221,the site of the site,1221.0,"1263,0,"
1222,1222,I don't know,1222.0,"1264,1,"
1223,1223,Don't know,1223.0,"1265,0,"
1224,1224,It's moving the other way around,1224.0,"1266,1,"
1225,1225,Changing,1225.0,"1267,1,"
1226,1226,The current is reversed,1226.0,"1268,0,"
1227,1227,The compass is reversed.,1227.0,"1269,1,"
1228,1228,Changing,1228.0,"1270,0,"
1229,1229,I don't know,1229.0,"1271,1,"
1230,1230,I don't know.,1230.0,"1272,1,"
1231,1231,I don't know.,1231.0,"1273,1,"
1232,1232,It changes the other way around,1232.0,"1274,0,"
1233,1233,Change it to parallel,1233.0,"1275,1,"
1234,1234,It's changing.,1234.0,"1276,1,"
1235,1235,"On the contrary,",1235.0,"1277,1,"
1236,1236,The direction of the N and S poles of the needle is reversed.,1236.0,"1278,1,"
1237,1237,It changes in the opposite direction,1237.0,"1279,1,"
1238,1238,I'll change it the other way around,1238.0,"1280,0,"
1239,1239,It's going round and spinning.,1239.0,"1281,1,"
1240,1240,I don't know.,1240.0,"1282,0,"
1241,1241,It's going backwards.,1241.0,"1283,1,"
1242,1242,It's going backwards,1242.0,"1284,1,"
1243,1243,The needle on the compass is likely to move in the same direction as the current.,1243.0,"1285,1,"
1244,1244,The needle will move,1244.0,"1286,1,"
1245,1245,It depends on where it moves.,1245.0,"1287,0,"
1246,1246,The needle in the compass will follow you,1246.0,"1288,1,1289,1,"
1247,1247,I think it's going to move towards the clock,1247.0,"1290,1,"
1248,1248,I don't know,1248.0,"1291,1,"
1249,1249,The S pole will be facing left.,1249.0,"1292,1,"
1250,1250,It looks like it's going to move,1250.0,"1293,1,"
1251,1251,I think it's going to move the other way around.,1251.0,"1294,1,"
1252,1252,"Since I changed direction, I will move in the opposite direction.",1252.0,"1295,1,"
1253,1253,"""The compass is watering",1253.0,"1296,0,"
1254,1254,"""",1254.0,"1297,1,"
1255,1255,I don't know,1255.0,"1298,1,"
1256,1256,I think it's going to turn the other way,1256.0,"1299,1,"
1257,1257,"If the current is reversed, the compass needle moves in the opposite direction.",1257.0,"1300,1,"
1258,1258,I don't know,1258.0,"1301,1,"
1259,1259,The compass needle turns the other way around.,1259.0,"1302,1,"
1260,1260,I don't know,1260.0,"1303,1,"
1261,1261,horizontally,1261.0,"1304,1,"
1262,1262,The compass needle on the wire will see the left S pole.,1262.0,"1305,1,"
1263,1263,The relationship between the flow of electric current and the magnetic field is the law of the right screw.,1263.0,"1306,1,"
1264,1264,The compass needle will change direction.,1264.0,"1307,1,"
1265,1265,I don't know,1265.0,"1308,0,"
1266,1266,The needle of the compass is likely to move with the flow of current.,1266.0,"1309,1,"
1267,1267,Follow the magnet.,1267.0,"1310,1,"
1268,1268,I don't know,1268.0,"1311,1,"
1269,1269,I think it'll be the same,1269.0,"1312,1,"
1270,1270,Changing,1270.0,"1313,0,"
1271,1271,I have no idea.,1271.0,"1314,1,"
1272,1272,It's turning the other way around,1272.0,"1315,1,"
1273,1273,It's moving the other way around,1273.0,"1316,1,"
1274,1274,I have no idea.,1274.0,"1317,1,"
1275,1275,Turn the other way around.,1275.0,"1318,1,1319,1,"
1276,1276,I don't know,1276.0,"1320,0,"
1277,1277,The compass changes direction.,1277.0,"1321,1,"
1278,1278,It will move in the opposite direction of the original flow.,1278.0,"1322,1,"
1279,1279,It's the other way around,1279.0,"1323,1,"
1280,1280,I don't know,1280.0,"1324,1,"
1281,1281,I think it will change to the right if I change direction to the right.,1281.0,"1325,1,"
1282,1282,It turns in the opposite direction.,1282.0,"1326,0,"
1283,1283,the compass needle moves to the other side,1283.0,"1327,1,"
1284,1284,The compass needle is likely to change direction,1284.0,"1328,1,"
1285,1285,The other way around,1285.0,"1329,1,"
1286,1286,It's a little moreThe compass also changes direction.,1286.0,"1330,1,"
1287,1287,I think the compass needle will move weirdly,1287.0,"1331,,"
1288,1288,The compass needle also changes direction.,1288.0,"1332,,"
1289,1289,It changes the other way around,1289.0,"1333,69.8%,"
1290,1290,Changing,,
1291,1291,It turns in the opposite direction,,
1292,1292,I don't know.,,
1293,1293,"On the contrary,",,
1294,1294,Changing,,
1295,1295,It will change the other way around,,
1296,1296,It changes the other way around,,
1297,1297,It's changing,,
1298,1298,It's moving the other way around,,
1299,1299,The movement of the needle changes in reverse.,,
1300,1300,The N pole and the S pole change,,
1301,1301,be in a state of mooring,,
1302,1302,It changes the other way around,,
1303,1303,It's moving in the opposite direction,,
1304,1304,The needle changes direction.,,
1305,1305,The direction of the needle is reversed,,
1306,1306,move in the opposite direction,,
1307,1307,The play will change,,
1308,1308,It changes the other way around.,,
1309,1309,It changes the other way around,,
1310,1310,It works the other way around,,
1311,1311,Move in the opposite direction.,,
1312,1312,It changes the other way around,,
1313,1313,I think it's the same,,
1314,1314,It changes the other way around,,
1315,1315,It's going backwards.,,
1316,1316,"On the contrary,",,
1317,1317,the other way around,,
1318,1318,I don't know,,
1319,1319,It turns in the opposite direction,,
1320,1320,It'll move the other way around.,,
1321,1321,"""It's moving the other way around",,
1322,1322,"""",,
1323,1323,It's the opposite,,
1324,1324,It's moving the other way around,,
1325,1325,Don't move the other way around.,,
1326,1326,I don't know.,,
1327,1327,"It's going to turn the other way, right? Hahaha",,
1328,1328,The compass needle movement will be reversed.,,
1329,1329,The direction of the needle is reversed.,,
1330,1330,The needle in the compass also changes in the opposite direction,,
1331,1331,It's changing,,
1332,1332,I'm upset,,
1333,1333,The compass turns the other way around,,
1334,1334,It changes the other way around.,,
1335,1335,It's moving the other way around.,,
1336,1336,The needle in the compass moves the other way around.,,
1337,1337,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
