,Unnamed: 0,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",Unnamed: 0,", q18_convenience, q18_information, q18_problem, q18_convenience.1, q18_information.1, q18_problem.1"
642,642,You can get pleasure by enjoying the nightlife with pleasure.,642.0,"664,1,0,0,,,"
643,643,It became convenient.,643.0,"665,0,1,0,,,"
644,644,"As transportation technology developed, time and space constraints were reduced, and as medical technology developed, healthy living became possible and the average life span increased.",644.0,"666,0,0,0,,,"
645,645,"It has brought convenience to our lives, but there will be dark parts on the other side as much as it is convenient.",645.0,"667,0,0,1,,,"
646,646,provide convenience for living,646.0,"668,0,0,0,,,"
647,647,have easy access to a variety of knowledge,647.0,"669,0,0,0,,,"
648,648,It became convenient.,648.0,"670,0,0,0,,,"
649,649,It's convenient to have an elevator.,649.0,"671,1,0,0,,,"
650,650,"Technology makes human life convenient. With the development of semiconductor technology, we can feel that the future we imagine is coming soon due to artificial intelligence and the 4th industrial revolution using it. However, the ethical issues that follow always coexist, so we can't just believe that this innovation is good.",650.0,"672,0,0,0,,,"
651,651,"""A more comfortable life, a simpler job",651.0,"673,0,1,0,,,"
652,652,"But there are also side effects (obesity, lack of exercise, etc.)",652.0,"674,0,0,0,,,"
653,653,I was able to keep up with the fast-paced world,653.0,"675,1,0,0,,,"
654,654,"It makes those who can't walk walk, and allows those who can't see to see.",654.0,"676,1,0,0,,,"
655,655,It made me feel comfortable,655.0,"677,1,0,0,,,"
656,656,"""Static: Transportation has become convenient. Communication has developed.",656.0,"678,0,0,0,,,"
657,657,The development of medical technology has increased the life expectancy of people.,657.0,"679,0,0,0,,,"
658,658,"With the development of genetic science, food has increased like Muchu and GMO beans, which are being solved little by little.",658.0,"680,1,0,0,,,"
659,659,Leisure time is increasing.,659.0,"681,1,0,0,,,"
660,660,People's lives are becoming more convenient,660.0,"682,0,0,0,,,"
661,661,"Negative: The relentless consumption of natural resources increases CO2 emissions, causes environmental destruction of glaciers,",661.0,"683,1,0,0,,,"
662,662,It's destroying the forest.,662.0,"684,0,0,0,,,"
663,663,The development of nuclear technology has enabled mass destruction of humans.,663.0,"685,0,0,0,,,"
664,664,Power outages are occurring due to increased demand for electricity usage by people.,664.0,"686,1,0,0,,,"
665,665,"Water, which used to be almost free in the past, is being paid for due to lack of water.",665.0,"687,1,0,0,,,"
666,666,"With the development of smartphones, more and more time is being used than exercising.",666.0,"688,0,1,0,,,689,1,0,0,,,"
667,667,"With the development of robots, people are becoming lazy as they move less time.""",667.0,"690,0,0,0,,,"
668,668,I feel more comfortable now,668.0,"691,1,0,0,,,"
669,669,It's convenient,669.0,"692,0,0,1,,,"
670,670,A convenient life where you can send messages or call from afar,670.0,"693,0,0,1,,,"
671,671,Our lives have become more comfortable. We can walk around in touch or get information easily and quickly outside,671.0,"694,1,0,0,,,"
672,672,Smartphone addiction and computer addiction occur as science and technology developAhhhhhhhhhhhhhhhhhhhh~,672.0,"695,0,0,1,,,"
673,673,"I can order it through home shopping and it became comfortable in many ways. And there are many apps and functions on the smartphone, so crime is possible easily.",673.0,"696,0,1,0,,,"
674,674,"Life has become more convenient, communication with each other such as contacting each other and the Internet has increased and became more convenient.",674.0,"697,1,0,1,,,"
675,675,It gave people the convenience of life to easily search and contact each other.,675.0,"698,1,0,1,,,"
676,676,"When you can't go grocery shopping or buy something because you're not feeling well, science and technology have developed, so you can shop with computers, etc., so it gives people other conveniences.",676.0,"699,1,0,0,,,"
677,677,It gave us convenience in our lives.,677.0,"700,0,0,1,,,"
678,678,We can easily get the information we need for our daily lives.I can find out what I'm curious about usually.,678.0,"701,0,0,0,,,"
679,679,"My eyesight is impaired.""",679.0,"702,0,0,0,,,"
680,680,It is convenient to get information conveniently and to talk to others when something happens,680.0,"703,1,0,0,,,"
681,681,"It has become very convenient, and it helps a lot, and it helps a lot and makes it convenient",681.0,"704,1,0,0,,,"
682,682,"""It's easy to get the information you need or are curious about",682.0,"705,0,1,1,,,"
683,683,"""Because smartphones are convenient, my eyesight gets worse after watching them for a long time.""",683.0,"706,1,0,0,,,"
684,684,provide convenience in life,684.0,"707,0,0,0,,,"
685,685,"Although communication life has become easier and communication can be done well, electromagnetic waves from devices degrade eye vision.",685.0,"708,1,0,0,,,"
686,686,"The development of science and technology has made people's lives convenient. Everything has become possible with a smartphone, so it has become so convenient that people can carry only one smartphone without having to carry everything.",686.0,"709,0,0,0,,,"
687,687,"Although communication life has become easier and communication can be done well, electromagnetic waves from devices degrade eye vision.",687.0,"710,1,0,0,,,"
688,688,Convenience and many crimes have also occurred,688.0,"711,0,0,0,,,"
689,689,"It has caused addiction such as Internet addiction, and can communicate conveniently.",689.0,"712,1,0,0,,,"
690,690,"Our country developed more than 20 years ago and we had to write letters in the past, but now we use smartphones",690.0,"713,0,0,0,,,"
691,691,It became convenient to contact and take pictures for many purposes.,691.0,"714,1,1,0,,,"
692,692,"""Our life'sI think it's convenient.""",692.0,"715,0,0,0,,,"
693,693,I don't know.,693.0,"716,0,0,1,,,"
694,694,Unknowingness,694.0,"717,1,0,0,,,"
695,695,M and D,695.0,"718,1,0,1,,,719,1,0,0,,,"
696,696,I don't understand.,696.0,"720,0,0,0,,,"
697,697,M and D,697.0,"721,1,0,0,,,"
698,698,"""",698.0,"722,0,1,0,,,"
699,699,I don't understand.,699.0,"723,1,1,0,,,"
700,700,"""",700.0,"724,0,0,0,,,"
701,701,ㄷDㄳDㄷDㅅDㄳS,701.0,"725,0,0,0,,,"
702,702,M and D,702.0,"726,0,0,0,,,"
703,703,I don't understand.,703.0,"727,1,0,0,,,"
704,704,Mall,704.0,"728,0,0,1,,,"
705,705,I don't know,705.0,"729,0,0,0,,,"
706,706,I don't understand.,706.0,"730,0,0,0,,,"
707,707,It's convenient,707.0,"731,1,0,0,,,"
708,708,M and D,708.0,"732,1,0,0,,,"
709,709,I don't understand.,709.0,"733,0,0,0,,,"
710,710,I don't know.,710.0,"734,0,0,0,,,"
711,711,That's true,711.0,"735,1,0,0,,,"
712,712,comfortable,712.0,"736,1,0,0,,,"
713,713,M and D,713.0,"737,0,0,0,,,"
714,714,"There are cars, smartphones, convenience stores, marts,",714.0,"738,1,0,0,,,"
715,715,It made life easier,715.0,"739,0,0,0,,,"
716,716,"It makes our lives convenient, but the risk of getting sick has increased",716.0,"740,0,0,0,,,"
717,717,It helps you live more conveniently,717.0,"741,0,0,0,,,"
718,718,"When you shop or order something you need, you can easily order it online and make a deposit on your cell phone, and it will be delivered in a very short time",718.0,"742,1,0,0,,,"
719,719,You can learn information and dangerous things faster and easier than before.,719.0,"743,0,0,0,,,"
720,720,"The advancement of science and technology may make life easier for mankind, but new diseases such as turtle neck syndrome, which was not common before, can become common",720.0,"744,1,0,0,,,"
721,721,.,721.0,"745,1,0,0,,,"
722,722,M and D,722.0,"746,1,0,0,,,"
723,723,I don't know.,723.0,"747,1,0,0,,,"
724,724,It made a convenient and novel change.,724.0,"748,1,0,0,,,749,0,0,0,,,"
725,725,so what,725.0,"750,1,0,0,,,"
726,726,"Even if there is no line, phone calls and messages are possible, and international calls are also possible in different countries",726.0,"751,1,0,0,,,"
727,727,All right.,727.0,"752,1,0,0,,,"
728,728,"Very, very convenient",728.0,"753,0,0,0,,,"
729,729,made it more convenient,729.0,"754,0,0,1,,,"
730,730,It makes it convenient.,730.0,"755,1,0,0,,,"
731,731,Earth's Android Power Generation,731.0,"756,0,0,0,,,"
732,732,"You can walk around and check your mail, and you can solve things that you can only do at home outside.",732.0,"757,0,0,0,,,"
733,733,It became convenient.,733.0,"758,1,0,0,,,"
734,734,I made it convenient,734.0,"759,1,0,0,,,"
735,735,All right.,735.0,"760,0,0,0,,,"
736,736,"People are living a convenient life, but they are living and steaming.",736.0,"761,1,0,0,,,"
737,737,a big change,737.0,"762,0,0,0,,,"
738,738,Yeah.,738.0,"763,1,0,0,,,"
739,739,"It becomes convenient, but this kind of thing destroys our bodies.",739.0,"764,1,0,0,,,"
740,740,It's convenient,740.0,"765,0,0,0,,,"
741,741,Communication has accelerated.,741.0,"766,1,0,0,,,"
742,742,It became more convenient,742.0,"767,1,0,0,,,"
743,743,Communication is fast.,743.0,"768,1,0,0,,,"
744,744,It gave me comfort,744.0,"769,0,0,0,,,"
745,745,My eyes are rotten,745.0,"770,1,0,0,,,"
746,746,"Poor health, poor eyesight, poor turtle neck, etc. and we can easily find and see",746.0,"771,1,0,0,,,"
747,747,It makes life convenient,747.0,"772,0,0,0,,,"
748,748,I have a lot of smartphone addiction and my eyesight gets worse,748.0,"773,0,1,0,,,"
749,749,The development of technology such as smartphones has made it easier to convey words to us,749.0,"774,0,0,0,,,"
750,750,"It makes our lives easier, but the environment gets worse as we develop",750.0,"775,1,0,0,,,"
751,751,"It makes us convenient, but if we use it too much, it can harm our bodies.",751.0,"776,1,0,0,,,"
752,752,It gave me comfort.,752.0,"777,1,0,0,,,"
753,753,"It is a smartphone that is sometimes used in a good place to solve our curiosity, but one day it will make us lose sight",753.0,"778,1,0,0,,,779,1,0,0,,,"
754,754,"Gradually, I made a mummy",754.0,"780,1,0,0,,,"
755,755,"The development of science and technology makes our lives convenient, but as the number of cars increases, global warming occurs due to fumes, and the ozone layer is being destroyed by factories.",755.0,"781,0,0,0,,,"
756,756,"With the development of science and technology, our lives are much more comfortable than before.",756.0,"782,1,0,0,,,"
757,757,You can use it conveniently,757.0,"783,1,0,0,,,"
758,758,"It gives a lot of diseases to the physical eye, but many science and technology are developed to get a lot of information",758.0,"784,1,0,0,,,"
759,759,Technology has advanced and people have begun to become more convenient,759.0,"785,1,0,0,,,"
760,760,Only the technology of hyperbole has developed,760.0,"786,1,0,0,,,"
761,761,gave someone convenience,761.0,"787,1,0,0,,,"
762,762,I made a smart change,762.0,"788,0,0,0,,,"
763,763,It helps you conveniently,763.0,"789,1,0,0,,,"
764,764,a good change,764.0,"790,1,0,0,,,"
765,765,"More work has been done easier and faster, and the quality of life has improved.",765.0,"791,1,0,0,,,"
766,766,PASS,766.0,"792,1,0,0,,,"
767,767,"""I've improved the quality of my life",767.0,"793,1,0,0,,,"
768,768,,768.0,"794,1,1,0,,,"
769,769,You don't have to call the weather service,769.0,"795,0,0,1,,,"
770,770,"Through your smartphone,",770.0,"796,1,0,0,,,"
771,771,I knew the temperature in the morning,771.0,"797,1,0,0,,,"
772,772,"I can dress appropriately and go out.""",772.0,"798,1,0,0,,,"
773,773,"""Helping you live",773.0,"799,0,0,0,,,"
774,774,"""",774.0,"800,1,0,0,,,"
775,775,"""Of course, it's very convenient, but we've used that much of our resources, and the environmental problems are serious",775.0,"801,1,0,0,,,"
776,776,People communicate less with each other,776.0,"802,1,0,0,,,"
777,777,"It seems that people are getting lazy as it becomes more convenient.""",777.0,"803,1,0,0,,,"
778,778,"If human beings are becoming comfortable due to the development of science, life will become impossible without science and technology",778.0,"804,1,0,0,,,"
779,779,"In the culture of mankind, the IT industry has changed to something that cannot be burned. It has brought a lot of comfort to mankind. To make rice easily with rice cookers, keep food cool in the refrigerator for a long time, and easily travel long distances by car, the surplus time has increased by replacing what humans have done with machines. But it's easier to do things, but that's how much more humanity demands and does. Therefore, there was no big difference between the past and leisure time. And also, because the machine takes over, there is a lack of exercise, and there are things that I can't laugh at easily memorizing the phone number that I used to memorize. In the past, even if an accident occurs, there were no major accidents unless it was natural damage, but these days, big accidents occur frequently due to science and technology. Also, there are many large-scale wars due to the development of powerful weapons.",779.0,"805,1,0,0,,,"
780,780,Life has become easier.,780.0,"806,1,0,0,,,"
781,781,"As information becomes important, it becomes a more valuable life.",781.0,"807,1,0,0,,,"
782,782,The quality of life has improved.,782.0,"808,1,0,0,,,809,0,0,0,,,"
783,783,"I was able to contact you frequently while walking along the street, and I was able to go long distances in a short period of time.",783.0,"810,1,0,0,,,"
784,784,It gave us convenience in our lives and then we could get a lot of information conveniently and simply,784.0,"811,1,0,0,,,"
785,785,1234,785.0,"812,0,1,1,,,"
786,786,I don't know,786.0,"813,0,1,0,,,"
787,787,"I used to write a letter, but now I can use it easily by mail or messenger",787.0,"814,0,0,0,,,"
788,788,The days of life become more and more full,788.0,"815,1,0,0,,,"
789,789,It makes us weak,789.0,"816,1,0,0,,,"
790,790,I don't know.,790.0,"817,0,0,0,,,"
791,791,1234We make you feel comfortable,791.0,"818,0,0,0,,,"
792,792,It's convenient.,792.0,"819,0,0,0,,,"
793,793,We can play telephone games,793.0,"820,1,0,1,,,"
794,794,It makes people sleep,794.0,"821,1,0,0,,,"
795,795,Our lives have become more comfortable because of the development of science and technology,795.0,"822,0,0,1,,,"
796,796,"It is hard to send a hard message, so I can send a message conveniently because I have a smartphone",796.0,"823,1,0,0,,,"
797,797,Don't know,797.0,"824,1,0,0,,,"
798,798,"It is hard to send a hard message, so I can send a message conveniently because I have a smartphone",798.0,"825,0,1,0,,,"
799,799,It's gonna be better,799.0,"826,1,0,1,,,"
800,800,123,800.0,"827,0,1,1,,,"
801,801,I don't know,801.0,"828,1,0,0,,,"
802,802,Convenient to send messengers to relatives and friends far away,802.0,"829,0,0,0,,,"
803,803,I don't know,803.0,"830,1,0,0,,,"
804,804,It is because it gives me comfort in my life and gives me a little preciousness and makes me comfortable.,804.0,"831,1,0,0,,,"
805,805,It became very convenient and gave us what we needed for our lives,805.0,"832,1,0,0,,,"
806,806,have come to a conciliatory,806.0,"833,1,0,0,,,"
807,807,It's giving us more convenience than before,807.0,"834,1,0,0,,,"
808,808,It's convenient and convenient,808.0,"835,1,0,0,,,"
809,809,I don't know.,809.0,"836,1,0,0,,,"
810,810,It's convenient,810.0,"837,1,0,0,,,"
811,811,Convenience,811.0,"838,1,0,0,,,839,0,0,1,,,"
812,812,It makes it more convenient,812.0,"840,0,0,0,,,"
813,813,......,813.0,"841,0,0,0,,,"
814,814,addiction,814.0,"842,0,0,0,,,"
815,815,Convenience and speed,815.0,"843,0,0,0,,,"
816,816,I don't understand.,816.0,"844,0,0,0,,,"
817,817,It has become a world where everything can be solved by smartphone or computer,817.0,"845,1,0,0,,,"
818,818,"I made you feel comfortable, but you were lazy",818.0,"846,0,1,0,,,"
819,819,Life has become much easier.,819.0,"847,1,0,1,,,"
820,820,It helped me communicate with people,820.0,"848,0,0,0,,,"
821,821,Convenient,821.0,"849,0,0,0,,,"
822,822,"""Science and technology have given us convenience and fun, technology development is getting better and better and the future may be able to fly without walking in the rainforest, technology will continue to develop in the future.",822.0,"850,1,0,0,,,"
823,823,"""",823.0,"851,1,0,0,,,"
824,824,They made us feel comfortable.,824.0,"852,0,0,0,,,"
825,825,I made it more convenient.,825.0,"853,,,,,,"
826,826,Various knowledge accumulation.,826.0,"854,,,,,,"
827,827,It makes it convenient. It also makes me lazy.,827.0,"855,55.0%,14.1%,9.7%,,,"
828,828,It makes life convenient.,,
829,829,"It made life convenient and prosperous and extended the average life expectancy of humans. Automation, many jobs disappear and new jobs are created.",,
830,830,Happiness,,
831,831,a convenient life,,
832,832,too convenient,,
833,833,It affects our lifestyles.,,
834,834,"Increasing communication between people, the era of globalization",,
835,835,"I've heard that the technology of the spaceship, which was used when landing on the moon in the past, is not even a single technology of a smartphone. As such, advanced technology is a fusion and it becomes uncomfortable without it.",,
836,836,It makes it convenient.,,
837,837,It makes me feel comfortable.,,
838,838,It became convenient.,,
839,839,It made our lives convenient.,,
840,840,It became convenient.,,
841,841,It made our lives convenient.,,
842,842,I don't know,,
843,843,Comfortable. Makes man a slave of convenience. Rely on comfort and become incompetent.,,
844,844,It helps you live a very convenient and smart life.,,
845,845,"With the development of science and technology, our lives have become very convenient",,
846,846,"It seems to have brought me a much freer and more convenient life It has improved in terms of time and efficiency, and I feel that the development time is getting shorter, but in proportion to that, there are also many problems caused by the development of science and technology Representatively, the ethical problem that has been mentioned for a long time is the biggest, so it gave us convenience, but it also gave us problems to solve",,
847,847,"The development of science and technology has made our lives more convenient, and we can expect active technological development in the future.",,
848,848,a convenient way of life,,
849,849,I don't know,,
850,850,It made life more convenient,,
851,851,Comfortable,,
852,852,improvement of the quality of life,,
853,853,It became possible to live a more convenient life.,,
854,854,"With the elimination of many unnecessary things in our lives and the emergence of new technologies, convenient life has become possible.",,
855,855,It made a change in convenience and a lot of knowledge easily.,,
856,856,Increased obesity rate Decreased turtle neck vision,,
857,857,improved the quality of life,,
858,858,provide convenience,,
859,859,Life has become much more convenient,,
860,860,a computer in my hand,,
861,861,"Reduced vision, convenience of activity. a reduction in time",,
862,862,making human life more convenient,,
863,863,It allows us to live very comfortably and is now an important technology that is indispensable,,
864,864,Makes you live a more convenient life,,
865,865,It guarantees comfort and living,,
866,866,It made human life more convenient,,
867,867,"""Positive change has a good effect on modern society, where people first improve their quality of life and seek more comfort",,
868,868,"Negative changes can lead to health and interpersonal problems for modern people as they seek comfort.""",,
869,869,"With the development of science and technology, the lifestyle of mankind has changed and become more convenient.",,
870,870,"In the past, it was difficult to transmit information, but with the development of science and technology, it became easy and quick to transmit information, making life convenient.",,
871,871,It changed quickly and easily,,
872,872,"Most make changes conveniently, but it makes people lazy.",,
873,873,It gives convenience to life and makes daily life more convenient,,
874,874,"With the creation of the Internet, you can learn various addictions, convenience, and fast news.",,
875,875,It created an information society where you can get materials that you could only get by going to the library quickly with your smartphone,,
876,876,You can learn about science and technology,,
877,877,"""We've made a tremendous difference The first is convenience, which sends and takes away things that are far away, communicates, sees the world go around, and leads humans more wisely with brains to judge facts or lies more clearly.",,
878,878,"""",,
879,879,"We made it convenient for our lives, but I think there are some bad things",,
880,880,4th evolutionary work,,
881,881,It has become a world where you can exchange news with people far away and overflow with information.,,
882,882,"When it first came out, it was useful and good for everyone, but now it causes addiction and is harmful to our lives because it causes various diseases.",,
883,883,"It has given convenience, but in the United States, for example, the number of obese people is increasing.",,
884,884,It made me live a quick and easy life,,
885,885,There are also many damages such as personal information leakage due to smartphones that make our lives easier,,
886,886,"We try to put in the ability to pursue convenience and needs, but the more we do, the more we will be blinded by science and continue to focus on science without seeing anything of ourselves.",,
887,887,The development of science and technology makes human life richer.,,
888,888,"With the development of science and technology, people can quickly and easily handle tasks such as communication and work",,
889,889,"Science and technology gave us benefits for convenience purposes, but it also caused damage for military purposes and became global warming due to the development of science and technology",,
890,890,"With the development of science and technology, transportation and communication can be convenient, and communication can be active, and AI (Artificial Intelligence) can be developed and our jobs can be lost.Science and technology have made our lives more convenient.",,
891,891,"With the advent of smartphones, we can easily access useful information anywhere. However, on the contrary, negative content can be easily accessed, so the development of science and technology is a double-edged sword.",,
892,892,It helps our lives conveniently. Machines do things that are difficult for people to do.,,
893,893,It helps our lives conveniently. Machines do things that are difficult for people to do.,,
894,894,It is convenient and easy to get information.,,
895,895,"Convenience, aggregation of features, dependencies, etc",,
896,896,"It made me live a more comfortable life, but I became dependent on advanced science and technology",,
897,897,Our lives gave us convenience.,,
898,898,It gave me the convenience to do many things without moving.,,
899,899,Life has improved,,
900,900,It has become more convenient.,,
901,901,"The development of science and technology has brought about a breakthrough in mankind. Factories using electricity and fossil fuels, numerous means of transportation and electronic devices, are also products of scientific and technological development. In addition, in the case of science and technology applied to agricultural technology, it can be said that it has been very helpful in fighting hunger. However, it is at odds with many ethical issues and still has many problems to be solved.",,
902,902,Unknowingness,,
903,903,"The development of science and technology has not only brought about technological development, but also changed our lives and cultures. Information has become easily available to individuals, and communication methods have become fast and simple, resulting in new types of jobs. In addition, with the development of life technology, it is possible to predict diseases and treat more diseases, so the lifespan is increased. As the lifespan increased, it brought about a big change in people's culture and perception.",,
904,904,It's caused various occupations,,
905,905,Unknowingness,,
906,906,The impossible becomes possible,,
907,907,It's making changes conveniently. It's the best move and it's working the best.,,
908,908,It helped me find a way or get information faster.,,
909,909,"Many lives are convenient and surprisingly connected to everyone. However, the stronger the light, the darker the color of the shadow. The development of science and technology has given us many conveniences, but also changes such as pretentious human relationships, waste of life, and regression of the ability to distinguish authenticity under numerous information.",,
910,910,"Technology has developed due to the development of science, which has changed our society. This can be viewed positively, but it can also be viewed negatively.",,
911,911,It shortened the time to finish something.,,
912,912,"Most definitely, it brought the convenience of life. In the past, machines were able to replace things like this. And globalization came about. You can connect with the world across from your seat, and you can hear the news of the world in real time.",,
913,913,the impossibility of convenience in life,,
914,914,It brought about both positive and negative changes.,,
915,915,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
