,Unnamed: 0,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",Unnamed: 0,", q64_fossil fuel, q64_carbon dioxide"
621,621,"Global warming is caused by greenhouse gases such as methane and carbon dioxide. In order to reduce this, it is possible to develop an air conditioner that does not use Freon gas as a refrigerant or a vehicle that generates less carbon dioxide",621.0,"642,1,0"
622,622,The carbon dioxide emitted by humans is not related to global warming. The reason why the Earth is getting hot is that there is a cycle of glaciers melting and freezing.,622.0,"643,1,0"
623,623,They plant a lot of plants using the photosynthesis of plants.,623.0,"644,0,0"
624,624,"Global warming is caused by carbon dioxide emissions, and the problem is deepening. I think the biggest cause of carbon dioxide emissions is the use of oil and coal. In other words, I think global warming will be alleviated if natural gas or new energy resources can be developed and used.",624.0,"645,0,1"
625,625,"I think the cause of global warming is greenhouse gases. Therefore, the way to reduce greenhouse gases would be a scientific way to solve global warming. Methods to reduce greenhouse gases include reducing fossil fuel use, tree planting, and vegetarianism. Meat consumption causes quite a lot of greenhouse gases.",625.0,"646,0,0"
626,626,Let's create an electric car.,626.0,"647,0,1"
627,627,We need to replace oil by quickly creating eco-friendly dece resources to replace it.,627.0,"648,1,0"
628,628,"In order to reduce carbon dioxide, which is currently cited as the biggest cause of global warming, fossil fuels that generate carbon dioxide such as coal and oil should be reduced. But it's hard not to use the oil that forms the basis of modern civilization right away. Only by developing resources to replace oil can global warming be prevented.""",628.0,"649,0,1"
629,629,"Everyone's efforts are needed first to solve global warming. And put everyone's heads together... Make a spacecraft that escapes the Earth and escape. There is no reason to solve global warming if we abandon the Earth. If you look at the movie Wall-E, you can be a very good world.",629.0,"650,0,0"
630,630,strengthen the system,630.0,"651,0,0"
631,631,"Personally, I don't use disposable items, and I don't Companies should clean up and discharge things like factory wastewater.",631.0,"652,1,0"
632,632,It creates a layer that can replace the ozone layer.,632.0,"653,0,0"
633,633,I'm sorry. I don't have time,633.0,"654,0,1"
634,634,"It uses atomic bombs to spread radioactivity to the earth, making mankind extinct",634.0,"655,0,0"
635,635,I don't know,635.0,"656,0,1"
636,636,Reduce the use of disposable items.,636.0,"657,0,0"
637,637,You have to save energy.,637.0,"658,0,0659,0,0"
638,638,This is because we need to reduce the use of electricity or water that we use it unnecessarily.,638.0,"660,0,0"
639,639,Reducing Exhaust Gas,639.0,"661,0,1"
640,640,Spare water.,640.0,"662,0,0"
641,641,6.41865E+14,641.0,"663,0,0"
642,642,"Don't turn on the air conditioner, don't throw away trash, and block all the factories",642.0,"664,0,1"
643,643,I think humanity is the most problematic I think we need to deregulate the human race for perfect warming,643.0,"665,0,0"
644,644,Reduce the use of carbon dioxide and Freon gas.,644.0,"666,1,0"
645,645,It doesn't make carbon dioxide,645.0,"667,0,1"
646,646,"Stop using natural resources, spread new energy, research and development to protect the environment on a global level",646.0,"668,1,0"
647,647,"The cause of global warming is an increase in greenhouse gases. These greenhouse gases are emitted a lot from automobiles, and eco-friendly technologies must be developed to reduce them",647.0,"669,0,1"
648,648,Rapidly developing space technology and turning it into another planet,648.0,"670,0,0"
649,649,They're good at recycling.,649.0,"671,0,0"
650,650,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",650.0,"672,0,1"
651,651,Don't litter on the side of the road,651.0,"673,0,0"
652,652,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",652.0,"674,0,1"
653,653,"Reduce the use of fuel that causes global warming, and plant trees",653.0,"675,0,0"
654,654,I don't know,654.0,"676,0,1"
655,655,You just have to work hard.,655.0,"677,0,1"
656,656,People try to reduce waste by paying more attention. It also eliminates many factories. It is a major contributor to air pollution.,656.0,"678,1,0"
657,657,Let's turn on the air conditioner,657.0,"679,1,0"
658,658,Turn on the air conditioner and cool it down,658.0,"680,1,0"
659,659,It's something that people cherish what,659.0,"681,0,1"
660,660,"Yes, yes",660.0,"682,1,1"
661,661,Using Disposable Items,661.0,"683,0,0"
662,662,Carbon dioxide seems to be the cause.,662.0,"684,0,1"
663,663,Electronics user system,663.0,"685,0,1"
664,664,We should reduce the use of electric energy such as air conditioning and heating,664.0,"686,1,0"
665,665,Let's make a huge air purifier.,665.0,"687,0,0"
666,666,The main cause of global warming is carbon dioxide. So carbon dioxide,666.0,"688,1,0689,0,1"
667,667,"Reducing it will solve global warming. For example, car riding, reducing food mileage, etc",667.0,"690,0,1"
668,668,I use public transportation rather than my own car Reduce the use of disposable items.,668.0,"691,1,0"
669,669,Efforts should be made to check and discharge less harmful gases emitted from factories.,669.0,"692,1,0"
670,670,Make an ozone layer and spray it on the sky.,670.0,"693,1,0"
671,671,"Renewable energy should be developed to reduce greenhouse gases, and factory activities should be reduced.",671.0,"694,0,0"
672,672,Walking,672.0,"695,0,0"
673,673,"To prevent global warming, electric vehicles and hydrogen cars are used, power plants are converted into eco-friendly generators, and nuclear power plants are also used.",673.0,"696,1,0"
674,674,"It is a waste of the air that the felons breathe, so they kill everyone to save oxygen.",674.0,"697,1,0"
675,675,Let's plant a tree.,675.0,"698,0,1"
676,676,"Solar power, wind power, and hydroelectric power are used more.",676.0,"699,0,0"
677,677,Research to turn waste into electricity,677.0,"700,0,0"
678,678,"Global warming is natural and cannot be solved. However, it can be delayed. If we save electricity as much as possible, generate less smoke in factories eco-friendly, and use less cars, we will be able to prevent global warming to some extent.",678.0,"701,0,0"
679,679,"Global warming = Nana on Earth = Nana on Earth. Well, global warming means Nana who came to Earth. So I think we should welcome and celebrate Nana who came to Earth. I'm also curious about the questioner's thoughts. If you know, please reply.",679.0,"702,1,0"
680,680,"Water is saved and used, walking near distance.",680.0,"703,0,0"
681,681,Reduce greenhouse gas emissions.,681.0,"704,1,0"
682,682,Reduce the use of air conditioners.,682.0,"705,0,0"
683,683,Do not use chemical fuel,683.0,"706,0,0"
684,684,to impose sanctions on China,684.0,"707,0,0"
685,685,I use water when I wash my face.,685.0,"708,0,0"
686,686,"First of all, there are many reasons for global warming, but what comes to mind the most is carbon dioxide. To solve this problem, it is ideal to reduce the amount of carbon dioxide used, but it does not work well, so we need to come up with ways to physically reduce carbon dioxide.",686.0,"709,0,0"
687,687,Develop excellent science and technology that can eliminate global warming,687.0,"710,0,1"
688,688,Plant trees,688.0,"711,0,0"
689,689,"Because of the exhaust of cars, eco-friendly cars such as electric cars and solar cars are made.",689.0,"712,0,0"
690,690,It explodes China because of fine dust,690.0,"713,0,1"
691,691,I turned on the air conditioner a lot,691.0,"714,0,0"
692,692,"To prevent the butterfly effect, cars should use electrical appliances using wind and hydro solar power as electric vehicles and reduce the number of factories to prevent air pollutionExcessive use of air conditioners Because of soil and marine pollution through waste, separate collection and minimize use of air conditioners",692.0,"715,0,1"
693,693,Various materials and systems using renewable energy such as hydrogen and electricity should be developed.,693.0,"716,0,0"
694,694,"""1. Space Mirror Operation",694.0,"717,0,0"
695,695,"The plan is to block about 2 percent of sunlight coming to Earth by floating 16 trillion film discs with a diameter of 60cm and a thickness of 1mm in space. This disk is shaped like a doughnut and has a hole in the center, so it does not fly away in the solar wind. It's a disk where the Earth and the Sun's gravitational pull is off",695.0,"718,0,0719,0,1"
696,696,The idea is to float 1.5 million kilometers away from the offsetting Earth.,696.0,"720,0,1"
697,697,"However, they are also worried about climate change caused by artificially blocking the sun.",697.0,"721,1,0"
698,698,,698.0,"722,0,0"
699,699,2. Operation Sea Fertilizer,699.0,"723,0,0"
700,700,The theory is that the sea should be sprayed with iron powder fertilizer to reproduce algae so that they absorb carbon dioxide.,700.0,"724,0,0"
701,701,"This theory was established with a hint from the fact that the lack of ammonia and iron makes it difficult to reproduce algae. However, there is a disadvantage that the red tide phenomenon can worsen and the acidification of seawater can worsen, which can adversely affect the marine ecosystem.",701.0,"725,0,0"
702,702,,702.0,"726,0,1"
703,703,3. Operation to Confine Carbon Dioxide,703.0,"727,0,0"
704,704,"The theory is that carbon dioxide is trapped underground, or in oil wells or useless mines that have been mined. In fact, an oil company in Norway has been storing 1 million tons of carbon dioxide annually in the North Sea since 1996. And a factory in the United States uses pipelines to store carbon dioxide in Canadian waste wells.",704.0,"728,0,0"
705,705,,705.0,"729,0,1"
706,706,,706.0,"730,0,0"
707,707,,707.0,"731,0,1"
708,708,,708.0,"732,0,0"
709,709,,709.0,"733,0,0"
710,710,,710.0,"734,0,1"
711,711,,711.0,"735,1,0"
712,712,"""",712.0,"736,0,1"
713,713,"First, the use of substances that cause warming will be prohibited and substances or technologies that can break down greenhouse gases such as CO2 back into monatomic or molecular states rather than greenhouse gases will produce better results.",713.0,"737,0,1"
714,714,"I think global warming should go back to nature itself. That is, we need to preserve the destroyed ozone layer, turn current atmospheric temperatures, and rebuild glaciers I think we should try to reduce fossil fuel use and plant trees.",714.0,"738,0,1"
715,715,"Due to the increase in carbon dioxide in the atmosphere, greenhouse gases increase and carbon dioxide must be dissolved in water to form carbon dioxide ions.",715.0,"739,0,0"
716,716,Develop alternative energy to solve global warming caused by excessive use of fossil fuels.,716.0,"740,0,1"
717,717,Reduce the use of fossil fuels and plant more trees to reduce greenhouse gas emissions.,717.0,"741,0,1"
718,718,Close distances travel by bicycle or public transportation to reduce emissions of fumes and carbon dioxide.,718.0,"742,0,0"
719,719,"First, we eliminate the main culprits of environmental pollution",719.0,"743,1,0"
720,720,"Global warming is caused by greenhouse gases such as methane and carbon dioxide. In order to reduce this, it is possible to develop an air conditioner that does not use Freon gas as a refrigerant or a vehicle that generates less carbon dioxide",720.0,"744,0,0"
721,721,The carbon dioxide emitted by humans is not related to global warming. The reason why the Earth is getting hot is that there is a cycle of glaciers melting and freezing.,721.0,"745,1,0"
722,722,They plant a lot of plants using the photosynthesis of plants.,722.0,"746,0,0"
723,723,"Global warming is caused by carbon dioxide emissions, and the problem is deepening. I think the biggest cause of carbon dioxide emissions is the use of oil and coal. In other words, I think global warming will be alleviated if natural gas or new energy resources can be developed and used.",723.0,"747,0,0"
724,724,"I think the cause of global warming is greenhouse gases. Therefore, the way to reduce greenhouse gases would be a scientific way to solve global warming. Methods to reduce greenhouse gases include reducing fossil fuel use, tree planting, and vegetarianism. Meat consumption causes quite a lot of greenhouse gases.",724.0,"748,0,0749,0,0"
725,725,Let's create an electric car.,725.0,"750,0,0"
726,726,We need to replace oil by quickly creating eco-friendly dece resources to replace it.,726.0,"751,0,0"
727,727,"In order to reduce carbon dioxide, which is currently cited as the biggest cause of global warming, fossil fuels that generate carbon dioxide such as coal and oil should be reduced. But it's hard not to use the oil that forms the basis of modern civilization right away. Only by developing resources to replace oil can global warming be prevented.""",727.0,"752,0,0"
728,728,"Everyone's efforts are needed first to solve global warming. And put everyone's heads together... Make a spacecraft that escapes the Earth and escape. There is no reason to solve global warming if we abandon the Earth. If you look at the movie Wall-E, you can be a very good world.",728.0,"753,1,0"
729,729,strengthen the system,729.0,"754,1,0"
730,730,"Personally, I don't use disposable items, and I don't Companies should clean up and discharge things like factory wastewater.",730.0,"755,0,1"
731,731,It creates a layer that can replace the ozone layer.,731.0,"756,0,0"
732,732,I'm sorry. I don't have time,732.0,"757,0,1"
733,733,"It uses atomic bombs to spread radioactivity to the earth, making mankind extinct",733.0,"758,0,0"
734,734,I don't know,734.0,"759,0,1"
735,735,Reduce the use of disposable items.,735.0,"760,1,0"
736,736,You have to save energy.,736.0,"761,1,0"
737,737,This is because we need to reduce the use of electricity or water that we use it unnecessarily.,737.0,"762,0,0"
738,738,Reducing Exhaust Gas,738.0,"763,1,0"
739,739,Spare water.,739.0,"764,0,0"
740,740,6.41865E+14,740.0,"765,1,0"
741,741,"Don't turn on the air conditioner, don't throw away trash, and block all the factories",741.0,"766,1,0"
742,742,I think humanity is the most problematic I think we need to deregulate the human race for perfect warming,742.0,"767,0,0"
743,743,Reduce the use of carbon dioxide and Freon gas.,743.0,"768,0,0"
744,744,It doesn't make carbon dioxide,744.0,"769,0,1"
745,745,"Stop using natural resources, spread new energy, research and development to protect the environment on a global level",745.0,"770,0,0"
746,746,"The cause of global warming is an increase in greenhouse gases. These greenhouse gases are emitted a lot from automobiles, and eco-friendly technologies must be developed to reduce them",746.0,"771,0,1"
747,747,Rapidly developing space technology and turning it into another planet,747.0,"772,0,1"
748,748,They're good at recycling.,748.0,"773,0,0"
749,749,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",749.0,"774,0,0"
750,750,Don't litter on the side of the road,750.0,"775,0,0"
751,751,"Global warming is caused by an increase in the concentration of carbon dioxide in the atmosphere, and to prevent it, the amount of carbon dioxide in the atmosphere must be reduced.",751.0,"776,0,0"
752,752,"Reduce the use of fuel that causes global warming, and plant trees",752.0,"777,1,0"
753,753,I don't know,753.0,"778,1,0779,0,1"
754,754,You just have to work hard.,754.0,"780,0,0"
755,755,People try to reduce waste by paying more attention. It also eliminates many factories. It is a major contributor to air pollution.,755.0,"781,0,0"
756,756,Let's turn on the air conditioner,756.0,"782,0,0"
757,757,Turn on the air conditioner and cool it down,757.0,"783,0,0"
758,758,It's something that people cherish what,758.0,"784,1,0"
759,759,"Yes, yes",759.0,"785,0,0"
760,760,Using Disposable Items,760.0,"786,0,0"
761,761,Carbon dioxide seems to be the cause.,761.0,"787,0,0"
762,762,Electronics user system,762.0,"788,0,1"
763,763,We should reduce the use of electric energy such as air conditioning and heating,763.0,"789,1,0"
764,764,Let's make a huge air purifier.,764.0,"790,0,1"
765,765,The main cause of global warming is carbon dioxide. So carbon dioxide,765.0,"791,0,0"
766,766,"Reducing it will solve global warming. For example, car riding, reducing food mileage, etc",766.0,"792,0,0"
767,767,I use public transportation rather than my own car Reduce the use of disposable items.,767.0,"793,0,1"
768,768,Efforts should be made to check and discharge less harmful gases emitted from factories.,768.0,"794,0,1"
769,769,Make an ozone layer and spray it on the sky.,769.0,"795,0,1"
770,770,"Renewable energy should be developed to reduce greenhouse gases, and factory activities should be reduced.",770.0,"796,0,0"
771,771,Walking,771.0,"797,0,0"
772,772,"To prevent global warming, electric vehicles and hydrogen cars are used, power plants are converted into eco-friendly generators, and nuclear power plants are also used.",772.0,"798,0,1"
773,773,"It is a waste of the air that the felons breathe, so they kill everyone to save oxygen.",773.0,"799,1,0"
774,774,Let's plant a tree.,774.0,"800,0,1"
775,775,"Solar power, wind power, and hydroelectric power are used more.",775.0,"801,0,0"
776,776,Research to turn waste into electricity,776.0,"802,0,1"
777,777,"Global warming is natural and cannot be solved. However, it can be delayed. If we save electricity as much as possible, generate less smoke in factories eco-friendly, and use less cars, we will be able to prevent global warming to some extent.",777.0,"803,1,0"
778,778,"Global warming = Nana on Earth = Nana on Earth. Well, global warming means Nana who came to Earth. So I think we should welcome and celebrate Nana who came to Earth. I'm also curious about the questioner's thoughts. If you know, please reply.",778.0,"804,0,0"
779,779,"Water is saved and used, walking near distance.",779.0,"805,0,0"
780,780,Reduce greenhouse gas emissions.,780.0,"806,0,0"
781,781,Reduce the use of air conditioners.,781.0,"807,1,0"
782,782,Do not use chemical fuel,782.0,"808,0,0809,0,0"
783,783,to impose sanctions on China,783.0,"810,0,0"
784,784,I use water when I wash my face.,784.0,"811,0,0"
785,785,"First of all, there are many reasons for global warming, but what comes to mind the most is carbon dioxide. To solve this problem, it is ideal to reduce the amount of carbon dioxide used, but it does not work well, so we need to come up with ways to physically reduce carbon dioxide.",785.0,"812,1,0"
786,786,Develop excellent science and technology that can eliminate global warming,786.0,"813,0,1"
787,787,Plant trees,787.0,"814,0,0"
788,788,"Because of the exhaust of cars, eco-friendly cars such as electric cars and solar cars are made.",788.0,"815,0,0"
789,789,It explodes China because of fine dust,789.0,"816,0,1"
790,790,I turned on the air conditioner a lot,790.0,"817,1,0"
791,791,"To prevent the butterfly effect, cars should use electrical appliances using wind and hydro solar power as electric vehicles and reduce the number of factories to prevent air pollutionGreenhouse gases (typically carbon dioxide) prevent heat from going out of the Earth.",791.0,"818,0,1"
792,792,"Therefore, to solve global warming, reduce greenhouse gas emissions.""",792.0,"819,0,1"
793,793,It is because disposable waste and other waste are dumped on the ground and in the sea,793.0,"820,0,0"
794,794,Get rid of cars.Stretch the trees. and so on,794.0,"821,0,0"
795,795,unauthorized dumping of garbage,795.0,"822,0,0"
796,796,"It can be solved in various ways, such as separating garbage, recycling, and using public transportation.",796.0,"823,0,0"
797,797,"First, the country specifies the amount of trees that can be used by a company. And by planting more trees in that amount, global warming is reduced and resources (water, electricity, etc.) used are limited according to size and circumstances for each generation.",797.0,"824,1,0"
798,798,"Global warming is caused by factory fumes or automobile exhaust, so separating and purifying factory fumes by atom can prevent global warming.",798.0,"825,0,0"
799,799,Plant a lot of plants and use less cars,799.0,"826,0,0"
800,800,"Global warming is caused by carbon dioxide produced by human-made cars and factories. However, for the sake of development, it cannot be prevented unconditionally. Therefore, global warming can be solved by making it possible to produce only a certain level of carbon dioxide or by planting many plants that convert carbon dioxide into oxygen.",800.0,"827,0,0"
801,801,"Due to indiscriminate development, global warming is accelerating and intensifying for various reasons, such as cutting down trees, reducing oxygen, and increasing electricity use due to excessive use of air conditioners and electric pads. As the climate gets hotter and colder, the vicious cycle of increasing electricity usage is repeated. Therefore, I think people's awareness of global warming should be changed first. Technology should be developed to protect plants and not throw garbage on the street, reduce the use of air conditioners and electric pads, and develop new alternative energy to reduce the amount of carbon dioxide as much as possible.",801.0,"828,0,0"
802,802,"If you stop reckless production and serve the environment, it disappears",802.0,"829,0,0"
803,803,This is because our Earth emits a lot of carbon dioxide and other things.,803.0,"830,0,0"
804,804,"In order to minimize carbon dioxide, which accounts for the largest portion of global warming, it increases the proportion of electric vehicle production, reduces factory operating time, and introduces a lot of eco-friendly energy technology",804.0,"831,0,0"
805,805,It uses nature to generate electricity.,805.0,"832,1,1"
806,806,"I think that global warming is due to humans I think we should be more alert, use less shampoo, use public transportation, and make a lot of efforts to reduce disposable products.",806.0,"833,1,0"
807,807,Kim 00's breath stinks / He doesn't let me sigh.,807.0,"834,0,1"
808,808,"The most serious causes of global warming are fuel, butane gas, automobile fumes, etc",808.0,"835,,"
809,809,"The emissions from using chemical fuel are the most serious, so automobile fumes, butane gas, etc. are the most serious substances that will cause global warming, so I think the answer is to replace or use less substances.""",809.0,"836,,"
810,810,reduce the use of electricity,810.0,"837,28.7%,22.9%"
811,811,"Factory wastewater, factory smoke, forest logging, and indiscriminate consumption of energy by citizens",,
812,812,Reduce thermal power generation,,
813,813,I think I need to use a little bit of electricity,,
814,814,"As I said in the last question, I am a liberal arts student, not a natural sciences student.",,
815,815,It seems that global warming is getting worse because we use a lot of electricity such as air conditioning So we think it's better to save,,
816,816,You have to recycle well and save money,,
817,817,Efforts are made to develop eco-friendly energy to reduce the use of fossil fuels.,,
818,818,use public transportation,,
819,819,It reduces indiscriminate development and reduces the amount of tin dioxide.,,
820,820,"There are many ways, but you can find it online",,
821,821,"The main cause of global warming is the excessive amount of greenhouse gases To solve this problem, there will be development of plants that reduce greenhouse gases, and technology that solidifies and eliminates greenhouse gases",,
822,822,Develop products that are not harmful to the environment.,,
823,823,Reduce carbon dioxide emissions.,,
824,824,Reducing the use of fossil fuels,,
825,825,public transportation,,
826,826,"Reduce the use of substances harmful to the environment, and try to use substances as harmless as possible.",,
827,827,"Global warming has many reasons, but there are greenhouse gases. We think of ways to use natural gas efficiently, so increasing the amount of natural gas used can prevent global warming.",,
828,828,Rice is cooked well,,
829,829,Eliminate the use of fossil fuels.,,
830,830,Reduce the use of fossil fuels,,
831,831,Don't throw garbage on the floor,,
832,832,I don't know,,
833,833,"Carbon dioxide, plant emissions should be reduced",,
834,834,Global warming is one of our disposable items and our gunpowder items,,
835,835,"Global warming generates a lot of carbon dioxide, which causes global warming as the earth heats up. Therefore, in order to solve global warming, carbon dioxide generation must be reduced.",,
836,836,Carbon dioxide emissions should be lowered to address global warming.,,
837,837,"We can prevent global warming by reducing coal gas, one of the many global warming factors",,
838,838,Because the greenhouse effect makes the ozone layer thinner,,
839,839,Use energy-efficient ones,,
840,840,Reduce the population,,
841,841,"""Increase in the use of chemical fuels",,
842,842,"Developing energy that can be used instead of chemical fuel""",,
843,843,I think we should try to develop eco-friendly energy.,,
844,844,Reduce carbon dioxide.,,
845,845,Strengthen restrictions on chemical and hazardous substances.,,
846,846,"There are countless solutions to global warming. Even if there is a scientific method, it is useless because people do not practice it. There will be solutions to global warming in that corner of everyone's head.",,
847,847,I save on shampoo,,
848,848,Don't throw away trash,,
849,849,Reduce factory smoke,,
850,850,More trash. Let's recycle well,,
851,851,We make a lot of eco-friendly products,,
852,852,It destroys the Earth's population in half.,,
853,853,Plant trees,,
854,854,stop using chemical fuel,,
855,855,We should all work hard to reduce carbon dioxide emissions,,
856,856,"""",,
857,857,to develop alternative resources for fuel emitting greenhouse gases,,
858,858,It makes plastic that decomposes.,,
859,859,I'm planting trees,,
860,860,"First of all, global warming occurs due to indiscriminate human resource consumption, carbon dioxide, and carbon monoxide emissions. Therefore, it is a method to use a resource or energy source with low carbon dioxide emissions.",,
861,861,Minimize carbon dioxide emissions.,,
862,862,Let's get rid of China,,
863,863,Unsolvable,,
864,864,Install a filter throughout China's factory chimneys. / Plant trees,,
865,865,the use of eco-friendly energy,,
866,866,"Carbon Dioxide, Use of Eco-Friendly Energy",,
867,867,"""The amount of resources needed to produce is now relatively large for the future.",,
868,868,"If science advances and the amount of resources needed for production decreases, we will be able to do so",,
869,869,"We will be able to produce the same production with less damage to the environment.""",,
870,870,"Glacier recordings, carbon dioxide emissions from factories and cars, etc",,
871,871,Develop eco-friendly fuel.,,
872,872,I don't know,,
873,873,Kill a cow,,
874,874,Promote the regeneration of the ozone layer,,
875,875,You should refrain from using disposable products and use public transportation a lot.,,
876,876,to develop new science,,
877,877,Don't eat food and don't fart,,
878,878,M and D,,
879,879,I don't understand.,,
880,880,"Automobile exhaust, electric vehicles, public transportation",,
881,881,It releases less carbon dioxide,,
882,882,Abandoning the Planet,,
883,883,I'm going to kill all the kids,,
884,884,We need to reduce emissions of carbon dioxide emissions,,
885,885,Replace smoky cars with cars like hydrogen cars,,
886,886,Plant a lot of trees to thicken the ozone layer You plant a lot,,
887,887,"Plant reckless gas emissions, planting lots of trees",,
888,888,reduce the use of electricity,,
889,889,Don't breathe.,,
890,890,We make a lot of cider made from carbon trioxide.Use of public transportation to prevent air pollution,,
891,891,Use public transportation because of the increased use of fossil fuels,,
892,892,I don't think global warming is caused by humans. The amount of carbon dioxide that humans emit is very small compared to the amount of carbon dioxide generated in nature. I don't think that very little carbon dioxide destroys the Earth's ozone layer and raises the Earth's temperature. That's why I think carbon dioxide emissions have increased because the Earth has gotten hotter.,,
893,893,"Global warming is usually thought to have become global warming with many gases using machines developed after industrialization. In order to prevent such global warming, it is necessary to create a technology that can burn or eliminate garbage in places like incinerators that burn something.",,
894,894,e,,
895,895,Reduce greenhouse gases,,
896,896,Let's get rid of half the humans,,
897,897,It condenses greenhouse gases from the source of greenhouse gases that cause global warming and sends them into space.,,
898,898,"To prevent the increase in greenhouse gases, a greenhouse gas regulation agreement is signed and regulatory policies are implemented.",,
899,899,"As carbon dioxide emissions increase, various problems arise from global warming. To solve this problem, it is necessary to reduce the use of fossil fuels and develop alternative energy.",,
900,900,"Using electricity or natural fuel, not fuels",,
901,901,Reduce gasoline cars and electricity to reduce emissions.Increase the hydrogen car,,
902,902,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
