,Unnamed: 0,1) Let's talk about the exploration process that the scientist who discovered the unexplained phenomenon decides on the inquiry problem and then goes on to the next step,Unnamed: 0,",q27_hypothesis,q27_Other exploration"
887,887,Collect data observed and measured during the experiment.,887.0,"917,0,1"
888,888,Collect data from observations and measurements during the experiment,888.0,"918,0,1"
889,889,Collect data from observations and measurements during the experiment,889.0,"919,0,0"
890,890,"Then we'll do an experiment and analyze it with the results.After exploring and analyzing the problem, you should organize the investigated contents.This is the process of inquiry.",890.0,"920,0,1"
891,891,Apply for a patent,891.0,"921,0,1"
892,892,data observed and measured,892.0,"922,0,1"
893,893,"Make a hypothesis, design an inquiry, conduct an inquiry, interpret the data, and draw conclusions",893.0,"923,0,1"
894,894,"Make a hypothesis, design an inquiry, conduct an inquiry, interpret the data, and draw conclusions",894.0,"924,0,0"
895,895,"I'm going to invest my time in what's going to happen, and I'm going to do experiments",895.0,"925,0,0"
896,896,"""",896.0,"926,0,1"
897,897,"to observe the phenomenon while experimenting with it""",897.0,"927,0,0"
898,898,Collection of observations and measurements,898.0,"928,0,1929,0,1"
899,899,I set up a hypothesis,899.0,"930,0,1"
900,900,"Establish a hypothesis, design an exploration, conduct an exploration, and interpret the data and draw conclusions",900.0,"931,0,1"
901,901,"After searching the data, explore the unexplained phenomenon further",901.0,"932,0,1"
902,902,Look up the data and investigate more phenomena that cannot be explained.,902.0,"933,0,1"
903,903,I look for data and find what people post.,903.0,"934,1,1"
904,904,"Go to the place where you came out and explore.""",904.0,"935,1,1"
905,905,Collect data observed and measured during the experiment.,905.0,"936,0,1"
906,906,"Before searching and researching the inquiry problem, I will set up a plan to find and achieve it step by step. I will have meetings and experiments.",906.0,"937,0,0"
907,907,End of observation/analysis.,907.0,"938,0,0"
908,908,I think I'll make a plan on how to explore.,908.0,"939,0,0"
909,909,Make and record a plan to solve the question of inquiry,909.0,"940,0,0"
910,910,I'm exploring,910.0,"941,1,0"
911,911,"Planning, observing, experimenting, writing reports.",911.0,"942,0,0"
912,912,Don't know,912.0,"943,0,0"
913,913,Don't know,913.0,"944,0,1"
914,914,...,914.0,"945,0,1"
915,915,:(,915.0,"946,0,0"
916,916,an exploratory experiment,916.0,"947,0,0"
917,917,"Set up an inquiry topic, start an inquiry, record an inquiry",917.0,"948,0,0"
918,918,",",918.0,"949,0,0"
919,919,to look for data,919.0,"950,0,0"
920,920,the phenomenon of light,920.0,"951,0,1"
921,921,Scientists explore many things.,921.0,"952,0,0"
922,922,Check the problem again.,922.0,"953,0,0"
923,923,Writing an inquiry process,923.0,"954,0,0"
924,924,"Analysis, Observation",924.0,"955,0,0"
925,925,I don't know. I'm sorry.,925.0,"956,0,0"
926,926,.....,926.0,"957,0,1"
927,927,Observation,927.0,"958,0,1959,1,0"
928,928,Observation,928.0,"960,0,1"
929,929,make a plan of inquiry,929.0,"961,1,1"
930,930,draw up an inquiry plan,930.0,"962,1,0"
931,931,Keep a secret.,931.0,"963,1,1"
932,932,Data research,932.0,"964,1,0"
933,933,"Investigation, organization,",933.0,"965,1,0"
934,934,I think we're going to look at unexplained phenomena and look for something similar.,934.0,"966,0,1"
935,935,Observation,935.0,"967,0,1"
936,936,Write answers based on theoretical knowledge.,936.0,"968,1,0"
937,937,I'm going to try it,937.0,"969,0,1"
938,938,Need to explore,938.0,"970,0,0"
939,939,"""Should I? But I don't know."" Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",939.0,"971,0,0"
940,940,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,940.0,"972,0,0"
941,941,"It appears in the order of purpose of inquiry, preparation, what to do differently from what to do, inquiry, inquiry result, and conclusion.",941.0,"973,0,0"
942,942,Plan and investigate,942.0,"974,0,1"
943,943,plan and investigate,943.0,"975,0,0"
944,944,Investigate after establishing an investigation plan,944.0,"976,0,0"
945,945,plan and investigate,945.0,"977,0,0"
946,946,Make a plan first and investigate,946.0,"978,0,1"
947,947,The scientist sets the subject of inquiry and makes a tentative hypothesis of the question of inquiry with his own thoughts,947.0,"979,0,1"
948,948,"Prepare the supplies.Hypothesis building, experimenting, observing.Collecting measurement data",948.0,"980,0,0"
949,949,"After the scientist has established several exploration problems, it is done in the next order, and the scientist experiments again.",949.0,"981,0,0"
950,950,.,950.0,"982,0,0"
951,951,I don't know,951.0,"983,0,1"
952,952,I don't know,952.0,"984,0,1"
953,953,I don't know.,953.0,"985,0,1"
954,954,Make a hypothesis.,954.0,"986,0,0"
955,955,I don't know.,955.0,"987,0,0"
956,956,Well ..,956.0,"988,0,1989,0,0"
957,957,Determine and experiment with inquiry problems (not sure),957.0,"990,0,0"
958,958,Observation and collection of data on inquiry issues,958.0,"991,0,0"
959,959,I don't know.,959.0,"992,0,0"
960,960,I don't know,960.0,"993,0,0"
961,961,Don't know,961.0,"994,1,0"
962,962,I don't know,962.0,"995,0,0"
963,963,Collecting information,963.0,"996,0,0"
964,964,I'm exploring,964.0,"997,0,0"
965,965,I can't think of anything,965.0,"998,0,0"
966,966,I don't know.,966.0,"999,1,1"
967,967,I don't know.,967.0,"1000,0,0"
968,968,dissecting,968.0,"1001,0,1"
969,969,Thinking,969.0,"1002,1,1"
970,970,Set inquiry objectives,970.0,"1003,0,1"
971,971,A Passion Check on the Question of Inquiry,971.0,"1004,1,0"
972,972,Make a hypothesis.,972.0,"1005,1,0"
973,973,Collecting data,973.0,"1006,1,1"
974,974,Problem Identification-Hypothesis-Experiment-Results,974.0,"1007,0,1"
975,975,hypothesis setting,975.0,"1008,0,1"
976,976,Problem identification-Hypothesis setting-Hypothesis pool-Define confirmed facts,976.0,"1009,1,0"
977,977,Establish a hypothesis.,977.0,"1010,1,1"
978,978,"Check the fundamental assumptions of previous studies. For example, blackbody radiation had a problem of classical ultraviolet decay, which uses the quantization hypothesis of energy to solve this problem, which is a different approach from the fact that energy has a continuous value.",978.0,"1011,1,0"
979,979,Make a plan first and investigate,979.0,"1012,0,1"
980,980,"After examining previous studies, the inquiry method is determined and the inquiry procedure is established to verify the unexplained phenomenon. After that, the investigation is conducted, and if a conclusion is drawn, it is completed, and if not, it is proceeded again.",980.0,"1013,0,0"
981,981,Hypothesis setting,981.0,"1014,0,0"
982,982,Investigate after establishing an investigation plan,982.0,"1015,0,0"
983,983,I don't know,983.0,"1016,0,0"
984,984,I don't know,984.0,"1017,1,1"
985,985,I don't know,985.0,"1018,1,11019,0,0"
986,986,I don't know,986.0,"1020,0,0"
987,987,Observation,987.0,"1021,0,1"
988,988,I don't know. I didn't learn it,988.0,"1022,0,0"
989,989,I don't knowI don't know because I didn't learn it,989.0,"1023,0,0"
990,990,"Again, scientists and researchers are studying the phenomenon",990.0,"1024,1,0"
991,991,Investigate the phenomenon in detail and name it.,991.0,"1025,0,0"
992,992,I don't know.,992.0,"1026,1,1"
993,993,I will analyze the phenomenon as much as I can.,993.0,"1027,1,1"
994,994,Let's take a good look at how the phenomenon happens.,994.0,"1028,0,1"
995,995,Observe.,995.0,"1029,0,1"
996,996,"Determine the object of inquiry, investigate the object, and explore.And then write an inquiry process.",996.0,"1030,1,1"
997,997,"Find what is a question of inquiry, put in an explanation of what happens, and announce the results of the inquiry",997.0,"1031,1,1"
998,998,I don't know,998.0,"1032,0,0"
999,999,I don't know.,999.0,"1033,0,0"
1000,1000,Let's take a look at the characteristics of the subject of inquiry.,1000.0,"1034,0,1"
1001,1001,I have no idea.,1001.0,"1035,0,0"
1002,1002,Letting People Know,1002.0,"1036,1,1"
1003,1003,I don't know,1003.0,"1037,0,1"
1004,1004,?,1004.0,"1038,0,1"
1005,1005,I don't know.,1005.0,"1039,0,1"
1006,1006,hypothesis setting,1006.0,"1040,0,0"
1007,1007,I don't know,1007.0,"1041,0,0"
1008,1008,Problem recognition,1008.0,"1042,0,1"
1009,1009,I don't know.,1009.0,"1043,0,0"
1010,1010,overspore,1010.0,"1044,0,0"
1011,1011,Problem recognition hypothesis setting inquiry planning inquiry execution conclusion drawing,1011.0,"1045,0,0"
1012,1012,No.,1012.0,"1046,0,0"
1013,1013,Observation,1013.0,"1047,0,1"
1014,1014,make an experiment by hypothesizing,1014.0,"1048,0,11049,0,1"
1015,1015,Survey,1015.0,"1050,1,1"
1016,1016,establish a hypothesis,1016.0,"1051,1,1"
1017,1017,establishing a hypothesis,1017.0,"1052,0,0"
1018,1018,Make a hypothesis and experiment accordingly,1018.0,"1053,0,1"
1019,1019,investigation,1019.0,"1054,1,0"
1020,1020,investigate the status quo,1020.0,"1055,0,0"
1021,1021,hypothesis setting,1021.0,"1056,1,0"
1022,1022,Make a hypothesis and experiment accordingly,1022.0,"1057,0,1"
1023,1023,make a hypothesis,1023.0,"1058,0,0"
1024,1024,Experiment,1024.0,"1059,1,0"
1025,1025,No.,1025.0,"1060,0,1"
1026,1026,I don't know,1026.0,"1061,1,1"
1027,1027,How do I know? I'm not a scientist,1027.0,"1062,1,0"
1028,1028,Nayoung is lazy,1028.0,"1063,0,1"
1029,1029,Data Research - Hypothesis Setting - Experiment Performed - Results Analysis - Feedback and Hypothesis Reset Repeat,1029.0,"1064,1,0"
1030,1030,Make an observation and then make a hypothesis.,1030.0,"1065,1,1"
1031,1031,Well,1031.0,"1066,1,0"
1032,1032,I don't know,1032.0,"1067,0,0"
1033,1033,I wonder if the question of inquiry can help the college entrance examination.,1033.0,"1068,1,0"
1034,1034,I wonder if the topic helps my student record,1034.0,"1069,1,1"
1035,1035,Because I'm going bald,1035.0,"1070,0,1"
1036,1036,Establish a hypothesis,1036.0,"1071,0,1"
1037,1037,M and D,1037.0,"1072,1,1"
1038,1038,"Establish a hypothesis, plan an experiment, conduct an experiment, and return to the hypothesis-setting stage if the hypothesis and the results are different and publish the results if the results",1038.0,"1073,1,1"
1039,1039,Hypothesis Setting-Experiment Design-Experiment-Result Drawing-Hypothesis Evaluation and Modification,1039.0,"1074,1,0"
1040,1040,"He leaves the research to his students or juniors, and intercepts it when it comes to results",1040.0,"1075,0,1"
1041,1041,Look for relevant information on the question of inquiry.,1041.0,"1076,0,1"
1042,1042,"After establishing a hypothesis, plan an experiment.",1042.0,"1077,1,1"
1043,1043,Make a hypothesis about the phenomenon of the inquiry problem.,1043.0,"1078,1,11079,1,0"
1044,1044,I don't know,1044.0,"1080,1,1"
1045,1045,I really don't know about this,1045.0,"1081,1,1"
1046,1046,"After deciding on the question of inquiry, you should prepare an inquiry plan. In order to prepare an inquiry plan, it is necessary to think of the purpose and method of inquiry and to establish an experimental plan, and to investigate the theoretical background. After writing an inquiry plan, you should think about whether it is an experiment that you can actually do through in-depth conversation with your teacher and design an inquiry in a way that reduces trial and error as much as possible. After the exploration design is completed, the actual exploration is carried out. If something goes wrong while exploring, go back to designing the exploration, repeat the above process, and conclude when the exploration is completed well. As a final step, prepare a result report.",1046.0,"1082,1,1"
1047,1047,Let's find a way to explain the phenomenon by looking for various academic papers that have already been published.,1047.0,"1083,1,1"
1048,1048,"After discovering an unexplained phenomenon, establishing an inquiry problem, then establishing a hypothesis for the phenomenon. The hypothesis is a little speculative, not a definitive phrase that may be ~face, so the scientist begins to explore the hypothesis. If the hypothesis established by the scientist is correct, additional exploration can be made afterwards, but if there is a contradiction between the hypothesis and the actual phenomenon, the exploration is resumed by resetting the hypothesis.",1048.0,"1084,0,1"
1049,1049,"Prior research is conducted, experimental design is conducted, prior experiments are conducted, this experiment is conducted, conclusions are made, and thesis is organized.",1049.0,"1085,1,1"
1050,1050,Establish expected results for the question of inquiry.,1050.0,"1086,1,1"
1051,1051,gather data from observations and measurements,1051.0,"1087,0,1"
1052,1052,I don't know.,1052.0,"1088,0,1"
1053,1053,I don't know.,1053.0,"1089,1,1"
1054,1054,Experiment,1054.0,"1090,1,1"
1055,1055,I don't know.,1055.0,"1091,0,1"
1056,1056,I don't know,1056.0,"1092,0,1"
1057,1057,I don't understand.,1057.0,"1093,1,1"
1058,1058,I don't know.,1058.0,"1094,1,1"
1059,1059,Collect and observe the measured data.,1059.0,"1095,1,1"
1060,1060,I'm going to do an experiment,1060.0,"1096,1,1"
1061,1061,to investigate the phenomenon deeply,1061.0,"1097,0,1"
1062,1062,"Establish a hypothesis and experiment if possible. Derive the result of the luminance, and summarize the difference between the first hypothesis and the result.",1062.0,"1098,1,1"
1063,1063,Hypothesis to explain the phenomenon and experimental design to prove the hypothesis according to the hypothesis,1063.0,"1099,1,1"
1064,1064,Well,1064.0,"1100,1,1"
1065,1065,Collect data observed and measured during the experiment.,1065.0,"1101,0,0"
1066,1066,establish a hypothesis,1066.0,"1102,0,0"
1067,1067,I doubt it.,1067.0,"1103,0,0"
1068,1068,Hypothesis setting-Hypothesis proof-feedback stage-Hypothesis setting or hypothesis proof-feedback process continues to derive results.,1068.0,"1104,0,1"
1069,1069,"""Observing Targets""",1069.0,"1105,0,0"
1070,1070,Categorize observations by overview,1070.0,"1106,0,1"
1071,1071,Periodically and regularly observe and record changes,1071.0,"1107,0,0"
1072,1072,Summary of what you've,1072.0,"1108,0,01109,0,0"
1073,1073,"""",1073.0,"1110,0,1"
1074,1074,Make a solution and plan for how to solve it,1074.0,"1111,0,0"
1075,1075,make a hypothesis,1075.0,"1112,0,1"
1076,1076,All but one variable is controlled and explored by changing the variable.,1076.0,"1113,0,0"
1077,1077,"Establish a hypothesis, plan an inquiry, conduct an experiment, and verify the hypothesis.",1077.0,"1114,0,1"
1078,1078,Hypothesis setting,1078.0,"1115,0,0"
1079,1079,Observation,1079.0,"1116,1,0"
1080,1080,Make a hypothesis about why an unexplained phenomenon appears,1080.0,"1117,1,0"
1081,1081,Hypothesis setting → Hypothesis verification,1081.0,"1118,0,0"
1082,1082,Hypothesis setting,1082.0,"1119,0,0"
1083,1083,Go and stop,1083.0,"1120,0,0"
1084,1084,establish a hypothesis,1084.0,"1121,0,0"
1085,1085,Presentation and verification of hypotheses,1085.0,"1122,0,0"
1086,1086,"theoretical background, theoretical exploration",1086.0,"1123,0,0"
1087,1087,Make an inquiry plan,1087.0,"1124,1,1"
1088,1088,"Make a hypothesis. Create an experimental plan that can verify the hypothesis. Verify the hypothesis. Make a conclusion.Hypothesis setting, exploration, conclusion drawing, hypothesis verification",1088.0,"1125,0,0"
1089,1089,Establishing a hypothesis,1089.0,"1126,0,0"
1090,1090,experiment and observe the question of inquiry,1090.0,"1127,0,1"
1091,1091,I'm studying,1091.0,"1128,0,0"
1092,1092,"While establishing a hypothesis and conducting experiments or observations, we explore whether the hypothesis is correct.",1092.0,"1129,0,1"
1093,1093,"Establish a hypothesis, design an experiment, and explore, and draw conclusions if they fit the hypothesis, and return to hypothesis setting if they are wrong.",1093.0,"1130,1,0"
1094,1094,This is probably why this is coming out~~! hypothesis setting,1094.0,"1131,0,0"
1095,1095,A hypothesis is established for a problem and proved through experiments related to it.,1095.0,"1132,0,1"
1096,1096,"We establish a hypothesis that some results will come out, then plan an experiment, conduct an experiment, and analyze the results to draw conclusions. When a conclusion different from the hypothesis is reached, a new hypothesis is established.",1096.0,"1133,0,0"
1097,1097,"""Set up a hypothesis, then experiment one after another and compare it to a hypothesis.",1097.0,"1134,0,1"
1098,1098,"Inductive and deductive methods of inquiry...""",1098.0,"1135,0,0"
1099,1099,"The experiment is conducted after establishing a hypothesis for the selected inquiry problem, and designing an experiment by setting various variables. After the experiment, it goes through a procedure to verify whether the hypothesis is right or wrong based on the results and various data.  If the hypothesis is wrong, go back to the hypothesis setting stage and perform the previous process again. And as a final process, we apply what we got through experiments in many ways.",1099.0,"1136,0,0"
1100,1100,It collects and analyzes data and statistics by finding phenomena similar to those found.,1100.0,"1137,1,0"
1101,1101,What you do after deciding on the inquiry question is hypothesis setting. Hypothesis setting refers to making assumptions that can explain a phenomenon. Scientists decide on the problem they are exploring and predict what will happen through this problem.,1101.0,"1138,1,01139,0,0"
1102,1102,"The process that should be done immediately after setting the inquiry problem is probably hypothesized. If it is an activity that writes based on a previously proven phenomenon, a hypothesis may not be necessary because a conclusion has already been drawn, but if a new phenomenon is discovered and a conclusion is drawn, a hypothesis is required. After the hypothesis establishment is over, I think the inquiry process can be conducted in the order of establishing a research plan, researching, drawing conclusions, and feedback.",1102.0,"1140,0,0"
1103,1103,"When an unexplained phenomenon is discovered, the scientist decides the question of inquiry. After that, the scientist will start analyzing the parts he or she does not know based on his or her knowledge of the inquiry problem. Various media, books, news, and media media will be used to fill in the deficiencies. In the future, we will analyze the phenomenon based on the filled knowledge.",1103.0,"1141,0,1"
1104,1104,"Consider the observation method, perform the observation, and analyze the observation results to draw conclusions.",1104.0,"1142,0,0"
1105,1105,Establish a hypothesis that can explain the inquiry problem.,1105.0,"1143,1,0"
1106,1106,"Make a hypothesis about the unexplained phenomenon you have discovered. This is because you can compare it with the results after completing your own inquiry through the process of hypothesizing, and you can decide your own inquiry method.",1106.0,"1144,0,1"
1107,1107,"Prior research related to the phenomenon should be initiated. Since general phenomena never occur independently and are necessarily linked to other phenomena, research related to phenomena will serve as the basis for discovering new scientific principles.",1107.0,"1145,0,0"
1108,1108,"This method is called an inductive inquiry method. After discovering an unexplained phenomenon and determining an inquiry problem, you should think about and determine the observation method and observation procedure.",1108.0,"1146,1,0"
1109,1109,Establish a hypothesis and design an experiment to prove it.,1109.0,"1147,0,1"
1110,1110,"After deciding on the question of inquiry, predict the results. This is a hypothesis, and the hypothesis may be wrong or correct, so you should not be recklessly convinced. After the hypothesis is established, the experiment is conducted. The results are checked and analyzed after dividing into a control group that did not change in the pre-experiment state and an experimental group to obtain the experimental results. After that, compared with the hypothesis, if the hypothesis is correct, the conclusion is made as it is, and if the hypothesis is wrong, the conclusion is corrected and then concluded",1110.0,"1148,0,1"
1111,1111,"After making a hypothesis, we design an experiment to prove the hypothesis.",1111.0,"1149,0,1"
1112,1112,"Rather than taking the fact for granted and passing it over just because it cannot be explained, I think it is worth exploring if you think deeply about why such a phenomenon occurred. Scientists will design experiments or studies in that direction before deciding on a question of inquiry and thinking about how to solve it. If it is finally concluded that the hypothesis is wrong, I think it is the exploration that the scientist should make by constantly researching a new hypothesis and reaching a close conclusion.",1112.0,"1150,1,1"
1113,1113,"It is an inductive process of inquiry. This process of inquiry begins with observing natural phenomena that are not easily explained and difficult to experiment with. Next, Darwin's theory of evolution and the extinction of dinosaurs are explained by interpreting the observed results and drawing conclusions.",1113.0,"1151,,"
1114,1114,"After exploring the phenomenon, we will make a hypothesis about the results, check whether the hypothesis is correct, and conduct an experiment.",1114.0,"1152,,"
1115,1115,"Scientists establish hypotheses after deciding on the question of inquiry. Design and implement experimental processes or studies that can prove this hypothesis. When the results come out, analyze these results to see if the hypothesis you set is correct. If the hypothesis is not correct, reset the hypothesis and repeat the process of designing the experiment.",1115.0,"1153,28.8%,53.0%"
1116,1116,"After deciding on an inquiry problem, conduct a data survey to ensure that it is a subject to be explored. After that, when, where, and how to explore are embodied and organized. After that, a full-fledged exploration begins by setting up a hypothesis.",,
1117,1117,ㅇ,,
1118,1118,Don't know,,
1119,1119,I don't know,,
1120,1120,Solve the question of inquiry,,
1121,1121,I don't know.,,
1122,1122,Solve the question of inquiry,,
1123,1123,I don't know...,,
1124,1124,I don't know,,
1125,1125,I don't know,,
1126,1126,I'm going to experiment,,
1127,1127,I'll look into it.,,
1128,1128,They actually experiment.,,
1129,1129,I don't know,,
1130,1130,Investigate what is basically visible about the phenomenon.,,
1131,1131,"After that, we try to match it based on the basis of several different phenomena.""",,
1132,1132,I don't know.,,
1133,1133,Hypothesis setting,,
1134,1134,Hypothesis setting,,
1135,1135,I don't know.,,
1136,1136,I don't know.,,
1137,1137,I don't know.,,
1138,1138,consciousness of a problem,,
1139,1139,I don't know.,,
1140,1140,consciousness of a problem,,
1141,1141,"Find previous studies related to inquiry problems and learn the necessary knowledge. Based on them, they build their own hypotheses and design experiments to verify them. Experiments prove that your hypothesis is correct or wrong, and generalize it if your hypothesis and experimental results match. If the hypothesis and the experimental results do not match, return to the hypothesis setting step and repeat the process.",,
1142,1142,I'm going to pack my things,,
1143,1143,M and D,,
1144,1144,Experiment.,,
1145,1145,Search NAVER,,
1146,1146,investigation of research data,,
1147,1147,Establish a hypothesis.,,
1148,1148,Let's take a slow look at the reasons why unknown phenomena have occurred.,,
1149,1149,Design and conduct inquiry.,,
1150,1150,.,,
1151,1151,Let's explore more about explanations that cannot be explained.,,
1152,1152,to decide on the necessary,,
1153,1153,I don't know,,
1154,1154,make a hypothesis,,
1155,1155,Establishing a hypothesis,,
1156,1156,I don't know.,,
1157,1157,.,,
1158,1158,I'm exploring,,
1159,1159,learn more about the problem,,
1160,1160,Hypothesis setting,,
1161,1161,determine how to explore,,
1162,1162,.,,
1163,1163,make a hypothesis about a problem,,
1164,1164,"First, we anticipate what will happen after that.",,
1165,1165,an exploratory experiment,,
1166,1166,an exploratory experiment,,
1167,1167,Hypothesis setting-> Exploration design and performance-> Collecting data.Analysis and Interpretation -> Variable Control -> Conclusion Drawing and Generalization,,
1168,1168,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
