,Unnamed: 0,2) What would be good for a bakery if they compete?,Unnamed: 0,", q52_power generation, q52_power generation1"
918,918,to be able to sell at a high price,918.0,"949,0,"
919,919,Don't know,919.0,"950,1,"
920,920,You could see more profit,920.0,"951,0,"
921,921,You can buy good things cheaply.,921.0,"952,1,"
922,922,You can get feedback and find out what to improve.,922.0,"953,0,"
923,923,There will be a lot of customers.,923.0,"954,1,"
924,924,.,924.0,"955,0,"
925,925,We may have more guests,925.0,"956,0,"
926,926,It's cheaper and more delicious,926.0,"957,1,"
927,927,Business is booming by selling better quality goods.,927.0,"958,0,959,1,"
928,928,You can attract more customers.,928.0,"960,1,"
929,929,I think I will make better bread if I do economy,929.0,"961,1,"
930,930,You can see what your store is expensive and cheap.,930.0,"962,0,"
931,931,You can make money.,931.0,"963,0,"
932,932,to be able to make money,932.0,"964,1,"
933,933,I don't know,933.0,"965,1,"
934,934,There are many new products coming out,934.0,"966,0,"
935,935,You can learn something new.,935.0,"967,1,"
936,936,You can get more profit.,936.0,"968,0,"
937,937,"As we compete with each other, we can work harder and sell better products.",937.0,"969,0,"
938,938,There are more customers coming.,938.0,"970,1,"
939,939,"If you win, you'll have a good business",939.0,"971,0,"
940,940,"It stimulates each other, so it helps you grow",940.0,"972,0,"
941,941,The bakery gets better.,941.0,"973,0,"
942,942,You can develop by trying to be good to each other through competition.,942.0,"974,0,"
943,943,Consumers come to the store a lot,943.0,"975,0,"
944,944,I get more customers.,944.0,"976,0,"
945,945,Bakery stores can develop and make bread more delicious.,945.0,"977,0,"
946,946,"You can make a lot of profit by competing, and you can become more famous.",946.0,"978,1,"
947,947,to be able to judge critically,947.0,"979,1,"
948,948,We can better understand what our customers want,948.0,"980,0,"
949,949,to be able to know what the customer wants,949.0,"981,1,"
950,950,to be able to understand what the customer wants,950.0,"982,1,"
951,951,better understand what customers want,951.0,"983,0,"
952,952,Bakery stores can develop because they have to constantly try to develop taste and quality through competition.,952.0,"984,1,"
953,953,"As competition between competitors is built, the quality of service and how to beat competitors are naturally considered, and a good system that has never been introduced before is introduced, but the two bakeries are loved for creating such a structure.",953.0,"985,0,"
954,954,No one can come to the bakery again if they compete.,954.0,"986,0,"
955,955,.,955.0,"987,0,"
956,956,I don't know,956.0,"988,1,989,1,"
957,957,I think a lot of people will come to the bakery where I promoted hard,957.0,"990,1,"
958,958,I don't know.,958.0,"991,0,"
959,959,You can make better quality products.,959.0,"992,0,"
960,960,I don't know.,960.0,"993,0,"
961,961,Business is booming as the number of customers increases,961.0,"994,1,"
962,962,Yeah.,962.0,"995,0,"
963,963,We can improve it in a better way,963.0,"996,1,"
964,964,Bakery seems to be becoming more trendy and trendy.,964.0,"997,1,"
965,965,I don't know,965.0,"998,0,"
966,966,I can make more delicious bread,966.0,"999,1,"
967,967,I don't know,967.0,"1000,0,"
968,968,We can see each other's products and increase the number of new products,968.0,"1001,1,"
969,969,have nothing to do with,969.0,"1002,1,"
970,970,We will try to make better bread with competitive spirit,970.0,"1003,0,"
971,971,I don't know.,971.0,"1004,1,"
972,972,Better quality can be provided to consumers,972.0,"1005,0,"
973,973,to be able to earn a large income,973.0,"1006,1,"
974,974,It's just a loss,974.0,"1007,1,"
975,975,We can compete in good faith and improve further,975.0,"1008,1,"
976,976,Good faith competition can build up affection with other bakeries.,976.0,"1009,1,"
977,977,"By competing in good faith, if you try harder to make better bread and do better, you will have more customers.",977.0,"1010,1,"
978,978,to be able to develop further,978.0,"1011,1,"
979,979,I can experience more and make more delicious confectionery with competition,979.0,"1012,0,"
980,980,I don't know,980.0,"1013,0,"
981,981,get a chance to boost the sales of the store,981.0,"1014,0,"
982,982,Competition allows bakery to make better progress to gain the upper hand in the industry.,982.0,"1015,1,"
983,983,It can be expected that the development of the product is promoted and the quality of the product increases.,983.0,"1016,0,"
984,984,better understand what customers want,984.0,"1017,0,"
985,985,"In the absence of competitors, you may become lazy and try not to make efforts to grow, and if you always try to develop through competition, the consumption of bread naturally increases as the quality of the product increases.",985.0,"1018,1,1019,0,"
986,986,I can see what products are selling well,986.0,"1020,1,"
987,987,to be able to know what the customer wants,987.0,"1021,1,"
988,988,We can create new products.,988.0,"1022,0,"
989,989,I don't knowI don't know,989.0,"1023,0,"
990,990,There are benefits depending on how you do it.,990.0,"1024,0,"
991,991,It's good for making money because there are more consumers,991.0,"1025,1,"
992,992,"Even if it is hard, I can make money",992.0,"1026,0,"
993,993,I don't know,993.0,"1027,1,"
994,994,I can tell which store is better and which one is better quality,994.0,"1028,1,"
995,995,I think I have an idea to make a new bread,995.0,"1029,1,"
996,996,Sales can go up by making better quality products.,996.0,"1030,1,"
997,997,I don't know.,997.0,"1031,1,"
998,998,I'm going to get better,998.0,"1032,0,"
999,999,I think I will make a better product and make a good product for consumers,999.0,"1033,1,"
1000,1000,I don't know.,1000.0,"1034,1,"
1001,1001,Making unusual bread makes more money.,1001.0,"1035,1,"
1002,1002,Both are good. A wins with experience. B is good because new people come,1002.0,"1036,1,"
1003,1003,Bakery A,1003.0,"1037,1,"
1004,1004,I don't know.,1004.0,"1038,1,"
1005,1005,I can make another bread by looking at the bread that is not in the other store.,1005.0,"1039,1,"
1006,1006,I can make something better,1006.0,"1040,1,"
1007,1007,Bakery stores are likely to develop,1007.0,"1041,1,"
1008,1008,"Because if there's even one good place in our store, other people can promote our store.",1008.0,"1042,0,"
1009,1009,People are coming,1009.0,"1043,0,"
1010,1010,Sales are going up,1010.0,"1044,0,"
1011,1011,to be able to develop,1011.0,"1045,0,"
1012,1012,A lot of customers come,1012.0,"1046,0,"
1013,1013,I'm going to sell it hard because I'm becoming competitive,1013.0,"1047,1,"
1014,1014,I'm getting better,1014.0,"1048,1,1049,1,"
1015,1015,I think it's just annoying,1015.0,"1050,0,"
1016,1016,The quality goes up,1016.0,"1051,1,"
1017,1017,It's not good,1017.0,"1052,1,"
1018,1018,"to create better products, services and benefits",1018.0,"1053,0,"
1019,1019,to sell better quality goods,1019.0,"1054,1,"
1020,1020,make a profit,1020.0,"1055,1,"
1021,1021,The quality of bread can be better,1021.0,"1056,1,"
1022,1022,It's fun,1022.0,"1057,1,"
1023,1023,Bakery will try to sell better products to gain an upper hand in competition with other stores,1023.0,"1058,1,"
1024,1024,to be able to improve one's shortcomings,1024.0,"1059,1,"
1025,1025,I have a brilliant idea,1025.0,"1060,0,"
1026,1026,You can develop your product further through competitive activities.,1026.0,"1061,1,"
1027,1027,"As you compete, you can produce better products, and once you compete, you can become competitive, so if you have a competitive situation next time, you can solve it well",1027.0,"1062,1,"
1028,1028,"By creating better quality and prices, more customers can come and earn a lot of money",1028.0,"1063,0,"
1029,1029,develop a sense of competition,1029.0,"1064,0,"
1030,1030,I don't know.,1030.0,"1065,1,"
1031,1031,I don't know,1031.0,"1066,1,"
1032,1032,Each other will strive for more sales and become more competitive,1032.0,"1067,0,"
1033,1033,I know;,1033.0,"1068,1,"
1034,1034,"As the competition pattern is promoted, both bakeries can have promotional effects.",1034.0,"1069,1,"
1035,1035,to be able to improve one's skills further,1035.0,"1070,1,"
1036,1036,I don't know,1036.0,"1071,0,"
1037,1037,The bakery itself can develop by providing better services to secure more consumers.,1037.0,"1072,1,"
1038,1038,Bakery stores develop various products to win the competition.,1038.0,"1073,0,"
1039,1039,No. Monopoly is the best,1039.0,"1074,0,"
1040,1040,"Increased baldness, increased baldness",1040.0,"1075,1,"
1041,1041,I don't know,1041.0,"1076,0,"
1042,1042,and make high quality bread,1042.0,"1077,1,"
1043,1043,"Honestly, there is no advantage over monopoly",1043.0,"1078,1,1079,1,"
1044,1044,"There is an opportunity to improve the quality of products, and creativity can be increased through competition.",1044.0,"1080,1,"
1045,1045,"According to Adam Smith's theory of national wealth, the 'invisible hand' works in the market economy system, and the actions of economic actors moving for their own interests contribute to supporting the economy. As everyone knows, it is not for their good that companies improve the quality of their products, but for their own benefit. In other words, in the case of bakeries belonging to one of the three main economic players, increasing the quality of their bread can persuade consumers who want to get the goods from their hard-earned money to get the goods to consumers, so they try to lower the price as much as possible and increase the quality. Therefore, for bakeries, this competition contributes to improving the quality of their products.",1045.0,"1081,1,"
1046,1046,They can further develop the products they used to sell.,1046.0,"1082,1,"
1047,1047,The quality of bakeries can be improved because bakeries compete with each other to attract consumers and release better products.,1047.0,"1083,1,"
1048,1048,Product development becomes active.,1048.0,"1084,1,"
1049,1049,"No, I don't know. You crazy people",1049.0,"1085,1,"
1050,1050,bakery's efforts to survive Improve quality Increase sales,1050.0,"1086,1,"
1051,1051,You can develop a bakery. You can grow. be able to show one's desire to win,1051.0,"1087,1,"
1052,1052,"Each bakery will be able to have the originality of its products through improved creativity and a lot of feedback through various manufacturing processes, thinking that their products should be made more special and superior.",1052.0,"1088,1,"
1053,1053,Various products and services can be provided to more consumers.,1053.0,"1089,1,"
1054,1054,"The bakery will try to improve the quality of the product through competition in good faith. In this process, more creative and new products will emerge, which is good because bakery can secure different competitiveness from other bakery stores.",1054.0,"1090,1,"
1055,1055,"As they make new attempts and compete with lower prices and good quality, they will become widely known on social networking sites, attract more people, which will have the effect of increasing profits and increasing popularity.",1055.0,"1091,1,"
1056,1056,You're working harder,1056.0,"1092,1,"
1057,1057,"By competing, you can make new products and stimulate your bakery",1057.0,"1093,1,"
1058,1058,We can make better products for each other,1058.0,"1094,1,"
1059,1059,I think I'll earn a lot.,1059.0,"1095,1,"
1060,1060,to raise the price by mutual agreement,1060.0,"1096,1,"
1061,1061,A sense of competition grows,1061.0,"1097,1,"
1062,1062,a vigorous passion,1062.0,"1098,1,"
1063,1063,to be able to gather people,1063.0,"1099,1,"
1064,1064,I work harder because I'm competitive.,1064.0,"1100,1,"
1065,1065,"By competing with each other, we can make new menus",1065.0,"1101,0,"
1066,1066,You can make better bread.,1066.0,"1102,0,"
1067,1067,"The total revenue may be high or low, but it is possible to provide goods to consumers at a low price. The number of customers increases.",1067.0,"1103,0,"
1068,1068,"As you compete, you naturally have an incentive to analyze, supplement, and develop your shortcomings and strengths in more detail",1068.0,"1104,1,"
1069,1069,"As they strive to increase quality and taste diversity, pride in their own confectionery and the quality of confectionery increase.",1069.0,"1105,0,"
1070,1070,A good strategy can attract many consumers.,1070.0,"1106,1,"
1071,1071,I am concerned about menu development and quality,1071.0,"1107,0,"
1072,1072,"The more competition you have, the more bakeries grow",1072.0,"1108,0,1109,0,"
1073,1073,"Good-faith competition can be a good opportunity for each other to grow, and if many competitors come in, there will be a lot of recognition that there are many bakeries in the place, so sales of bakeries will increase.",1073.0,"1110,0,"
1074,1074,"By comparing the other's products and services, you can find and compensate for your weaknesses that you have never thought about before.",1074.0,"1111,0,"
1075,1075,Competition improves the environment and has more customers,1075.0,"1112,1,"
1076,1076,There is an increase in the number of customers who are competing and services are increasing services increases,1076.0,"1113,0,"
1077,1077,The number of customers is increasing,1077.0,"1114,1,"
1078,1078,It is possible to improve the quality of the product by itself,1078.0,"1115,0,"
1079,1079,a rise in the level of bakeries,1079.0,"1116,1,"
1080,1080,Many consumers will come,1080.0,"1117,1,"
1081,1081,I don't know.,1081.0,"1118,1,"
1082,1082,More consumers and better proficiency,1082.0,"1119,1,"
1083,1083,Improving the efficiency of the bakery itself,1083.0,"1120,0,"
1084,1084,to be able to attract more customers,1084.0,"1121,1,"
1085,1085,You can improve the quality of the goods.,1085.0,"1122,1,"
1086,1086,You can reflect on yourself.,1086.0,"1123,1,"
1087,1087,"Improve quality, increase customer satisfaction",1087.0,"1124,1,"
1088,1088,I don't understand.You can increase your own value,1088.0,"1125,0,"
1089,1089,The price goes down and the demand goes up,1089.0,"1126,1,"
1090,1090,It can attract more consumers.,1090.0,"1127,0,"
1091,1091,The bakery can be more developed than before,1091.0,"1128,0,"
1092,1092,You can see how the other person makes bread,1092.0,"1129,1,"
1093,1093,"If competition is made, the bakery will try to provide better services and goods, so the bakery will be more developed.",1093.0,"1130,0,"
1094,1094,You can develop your products further and reflect on yourself by looking at the other bakery.,1094.0,"1131,1,"
1095,1095,"Bakery A may reduce its income due to Bakery B, but on the other hand, it can find opportunities for self-development such as improving snack making technology to secure competitiveness.",1095.0,"1132,0,"
1096,1096,"As in the above answer, if what is provided to consumers through competition is improved, more consumers will visit bakeries, and bakeries will be able to earn more profits.",1096.0,"1133,0,"
1097,1097,"While trying to improve the quality of the product, it contributes to the improvement of the bakery's skills.",1097.0,"1134,0,"
1098,1098,"We can be good competitors to each other and attract a sense of becoming a better bakery to each other. It would be a good profit if competition did not overheat. For example, bakery A posted a new bread and saw people gather and become popular, and bakery B would benefit from trying in a similar way.",1098.0,"1135,1,"
1099,1099,"Bakery stores can lead their business in a better direction, looking back on their past appearances and devising improvements and various marketing strategies to win competition with other bakeries.",1099.0,"1136,1,"
1100,1100,"Product quality can be improved. By competing, more research will be conducted, and accordingly, the quality of services and products will naturally improve and consumer evaluation will improve.",1100.0,"1137,1,"
1101,1101,"Competition will provide quality goods and services to consumers through good-faith competition. Also, if you succeed in competition, you will be able to make more profits.",1101.0,"1138,1,1139,0,"
1102,1102,"For now, the quality of goods and services at the bakery will improve. As a result, an increase in the number of consumers in the bakery could further increase profits, which was the original purpose, so it is helpful and good for not only consumers but also bakeries.",1102.0,"1140,1,"
1103,1103,"Moderate competition, which is not excessive, helps individuals develop themselves (businesses). If you lose by competing, you may suffer damage. However, through competition, each bakery will strive for higher quality production, which will enable them to acquire higher production technology on their own. If bakeries were simply produced passively before competition, it would be an opportunity for bakery shops to develop not only for production but also for higher quality products after competition.",1103.0,"1141,0,"
1104,1104,"In order to make more profit, I will try to make more bread than the other bakery, and I will be more passionate. In addition, people at the bakery can strengthen their enthusiasm and show their cooperation better.",1104.0,"1142,0,"
1105,1105,"When competition begins, bakeries will be able to develop themselves naturally while studying to beat their opponents. For example, the bakery's efforts to produce more cheaply can lead to efficient production, and the bakery's efforts to gain a good reputation among consumers can produce better bread.",1105.0,"1143,0,"
1106,1106,"Through competition, each company will strive to develop technologies to improve product quality, and through this process, companies will also be able to increase corporate competitiveness.",1106.0,"1144,0,"
1107,1107,"Consumers will increase by selling high-quality products, and accordingly, bakery sales will rise.",1107.0,"1145,0,"
1108,1108,"Competition drives bakery to make higher quality bread to sell more bread. Therefore, the process of selling higher quality bread at a bakery can be difficult, but after that, it can have a good effect, such as feeling proud of making higher quality bread.",1108.0,"1146,0,"
1109,1109,"From the bakery's point of view, more diverse types of bread are developed and marketing strategies are sought, creating competitiveness.",1109.0,"1147,0,"
1110,1110,"At first, bakeries may be difficult due to excessive price competition, but in the process of improving product quality, they may produce products that can be recognized elsewhere. In addition, if the two bakeries coordinate their opinions and open differently, they can spend the rest of their time with their families or develop their operations more efficiently than before.",1110.0,"1148,1,"
1111,1111,"As previously answered in question 1, bakeries (enterprises) want to attract consumers by investigating consumers' preferences and investing resources in product research in the competition process. If this process is successful, the bakery will sell more products and the profit will increase further.",1111.0,"1149,1,"
1112,1112,Consumers will be able to develop confectionery technology because they try to make more delicious and quality bread to come to their bakery. You will also get a better reputation.,1112.0,"1150,1,"
1113,1113,"In the process of competition, bakeries also have the advantage of being able to develop their goods and services.  In addition, companies, whether or not they have the upper hand in the competition process, will be able to produce better products than existing products and develop technologies that can produce products at a lower cost in the process.",1113.0,"1151,,"
1114,1114,"We will try to increase consumers' desire to buy by creating various menus, which will eventually cause sales to rise. It will also work harder to produce bakery products in a competitive manner. The quality of the service will also increase.",1114.0,"1152,,"
1115,1115,"If the technology or product quality of a company increases through competition, the competitiveness of the company in the world will increase.",1115.0,"1153,45.9%,"
1116,1116,"There is a possibility of bakery development while trying to provide better service. Also, the guest",,
1117,1117,"You can turn it off.""",,
1118,1118,Eating bread,,
1119,1119,I don't know.,,
1120,1120,It could be more profitable,,
1121,1121,Bakery stores will develop further,,
1122,1122,The economic benefits increase.,,
1123,1123,The bakery is going to have a private lease,,
1124,1124,The economic benefits increase,,
1125,1125,The economic benefits increase,,
1126,1126,make a profit by bringing in customers,,
1127,1127,Selling good products can be trusted by people and the economy develops the economy,,
1128,1128,We can find each other's shortcomings.,,
1129,1129,You can sell better products and gain trust from consumers.,,
1130,1130,I can think of a way to make a profit,,
1131,1131,"You can find what you lack in your bakery and the price is lowered, making it economically beneficial for consumers to purchase a lot. In addition, good services can win the trust of consumers.",,
1132,1132,The economic benefits increase,,
1133,1133,"If there's a new bread, consumers will buy more",,
1134,1134,There's a new bread coming out,,
1135,1135,"Bakery stores develop with a desire to win, thinking about how to get attention from consumers",,
1136,1136,You can change it anew while competing.,,
1137,1137,Bakery B,,
1138,1138,You can make better bread at the bakery.,,
1139,1139,People come to see new things because they are more developed and come across new things,,
1140,1140,The bakery makes better bread,,
1141,1141,"If the bakery monopolizes the area, there is no incentive to improve the quality of goods and services. However, if there is competition, various efforts will be made to secure consumers, and in the process, the quality of goods and services can be improved, and more efficient management measures can be devised.",,
1142,1142,Bakery stores have more customers because of advertising,,
1143,1143,become a better bakery,,
1144,1144,We can sell a lot of food because people flock to it.,,
1145,1145,Bakery B gave a lot of advertisements and promoted them so much that consumers can see the details.,,
1146,1146,We can develop more with each other.,,
1147,1147,Make a lot of money.,,
1148,1148,You can make better things.,,
1149,1149,It can become more famous and attract consumers,,
1150,1150,We have guests,,
1151,1151,"People get to check which bakery is better, so there are more customers.",,
1152,1152,Find what you lacked in your bakery,,
1153,1153,I can work harder and earn that much money as I become competitive,,
1154,1154,I try to make better products,,
1155,1155,I try to make a better product,,
1156,1156,I don't know.,,
1157,1157,""" You can create a good image of a company and sell a lot of goods, which increases the profit of the company. Also, the quality of the product increases and the competitiveness increases",,
1158,1158,"""",,
1159,1159,There are a lot of customers,,
1160,1160,There are more customers,,
1161,1161,.,,
1162,1162,There will be no good in the bakery,,
1163,1163,.,,
1164,1164,A lot of customers are coming,,
1165,1165,"Many people can visit the bakery often. Also, many people gather at better bakeries.",,
1166,1166,You can make better food with more stimulation.,,
1167,1167,I feel better when the bread making technology is better and sold more than other stores,,
1168,1168,You can try to have a better system and get back as much as you try,,
1169,1169,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
