,Unnamed: 0,1) Explain the different ways you can do to dissolve all the salt that has not been dissolved in the C beaker. ,Unnamed: 0,", q35_temperature, q35_amount of water, q35_stirting, q35_temperature.1,q35_amount of water. 1,q35_stirring.1"
667,667,Add more water or raise the temperature.,667.0,"690,1,0,1,,,"
668,668,"Pour more water, raise the temperature of the solution, or stir very quickly with a glass rod.",668.0,"691,0,1,0,,,"
669,669,Add more solvent (water).,669.0,"692,0,0,0,,,"
670,670,"Increase temperature, add water",670.0,"693,1,0,0,,,"
671,671,Let's see. Sexy,671.0,"694,0,1,0,,,"
672,672,"raise the temperature of the water, stir with a stick",672.0,"695,0,0,0,,,"
673,673,"Add water to melt, stir quickly, etc",673.0,"696,1,0,0,,,"
674,674,Hot water and stone,674.0,"697,0,0,1,,,"
675,675,Warm the water up and stir to dissolve it,675.0,"698,1,0,1,,,"
676,676,"Increase the temperature of the water, increase the amount of water, and stir more with a glass rod.",676.0,"699,1,1,1,,,"
677,677,"Increase temperature, stir with a stick.",677.0,"700,1,0,1,,,"
678,678,Increase the temperature of the water. Add more water.,678.0,"701,1,1,0,,,"
679,679,Add more water to make it melt,679.0,"702,1,1,0,,,"
680,680,Stir more with a glass rod to melt it. Heat up the heat to raise the temperature of the water. Use a stirrer.,680.0,"703,1,1,0,,,"
681,681,"""",681.0,"704,1,1,0,,,"
682,682,Add more water or hot water.,682.0,"705,1,1,1,,,"
683,683,"Stir more, pour hot water to dissolve. back",683.0,"706,1,1,0,,,"
684,684,Add more water,684.0,"707,1,1,1,,,"
685,685,Raise the temperature of the water and put more water in it.,685.0,"708,1,1,1,,,"
686,686,Dissolve hot water by pouring it in,686.0,"709,1,1,0,,,"
687,687,Pour more water,687.0,"710,1,1,0,,,"
688,688,Stir it more,688.0,"711,1,1,0,,,"
689,689,Add the water. Increase the temperature.,689.0,"712,1,1,1,,,"
690,690,c Increase the temperature of the beaker's water or increase the amount of water.,690.0,"713,1,1,0,,,"
691,691,strike with a stick or hand,691.0,"714,1,0,1,,,"
692,692,Increasing the temperature increases the solubility and increases the temperature.Increase the temperature of the water or add more water to dissolve the salt.,692.0,"715,1,0,0,,,"
693,693,Add more water to the c beaker or heat the c beaker to increase the temperature of the water,693.0,"716,1,1,0,,,"
694,694,"First, pour hot water and dissolve the salt.",694.0,"717,1,1,0,,,"
695,695,"If you add too much salt or a little water, it will sink",695.0,"718,0,1,0,,,719,1,0,0,,,"
696,696,Add more water.,696.0,"720,1,1,0,,,"
697,697,"Since it's a hand, melt it with a stick",697.0,"721,0,1,1,,,"
698,698,Pour more hot water or wet the glass bar faster,698.0,"722,1,1,1,,,"
699,699,"Because there is a lot of salt in the c beaker,",699.0,"723,1,1,1,,,"
700,700,"""1. Warmly heat it up",700.0,"724,1,0,0,,,"
701,701,2. Shake it.,701.0,"725,0,1,0,,,"
702,702,3. Add more water.,702.0,"726,0,1,0,,,"
703,703,"4. Mix more.""",703.0,"727,0,0,0,,,"
704,704,Add more water.,704.0,"728,0,0,0,,,"
705,705,Continue stirring the c beaker with a glass bar.,705.0,"729,0,0,1,,,"
706,706,Adjust the amount of water according to the amount of salt or add a certain amount of water little by little,706.0,"730,0,1,0,,,"
707,707,"""Call Wook-joon to spit.",707.0,"731,0,0,0,,,"
708,708,Call Wook Jun to eat salt.,708.0,"732,1,1,0,,,"
709,709,"It makes Wookjun sick.""",709.0,"733,1,0,1,,,"
710,710,"""Microwave it in the microwave it",710.0,"734,1,0,1,,,"
711,711,Let's boil it,711.0,"735,0,1,0,,,"
712,712,"""Stirring it continuously",712.0,"736,1,1,1,,,"
713,713,Mix it for a long time. Mix it quickly,713.0,"737,1,1,0,,,"
714,714,"Heat water, add more water, add hot water",714.0,"738,1,1,1,,,"
715,715,Put hot water.,715.0,"739,1,0,0,,,"
716,716,"Heat water, add hot water, shake water",716.0,"740,1,1,0,,,"
717,717,Melt to a high heat temperature. Melt in warm places at high temperatures.,717.0,"741,1,0,0,,,"
718,718,"Add water to dissolve the salt, drain the remaining salt, or raise the temperature to allow the salt to dissolve",718.0,"742,0,0,0,,,"
719,719,Boil it a little longer,719.0,"743,0,0,0,,,"
720,720,Put in various substances.,720.0,"744,0,0,0,,,"
721,721,Seongsu is the best,721.0,"745,1,1,0,,,"
722,722,Add hot water,722.0,"746,1,0,0,,,"
723,723,Increase the water temperature,723.0,"747,0,1,0,,,"
724,724,Increase the temperature or add more water,724.0,"748,1,1,0,,,749,0,1,0,,,"
725,725,1. Increase the temperature of the water,725.0,"750,0,0,1,,,"
726,726,Heating,726.0,"751,0,0,0,,,"
727,727,Eat.,727.0,"752,1,0,1,,,"
728,728,Add more water,728.0,"753,0,1,0,,,"
729,729,Stir until it's too strong,729.0,"754,0,1,0,,,"
730,730,Bring the water to a little,730.0,"755,0,1,0,,,"
731,731,Stir it more,731.0,"756,1,0,0,,,"
732,732,"""Increase the amount of solvent",732.0,"757,1,1,0,,,"
733,733,"Increase temperature to increase solubility""",733.0,"758,1,1,0,,,"
734,734,Stir. Raise the temperature of the water,734.0,"759,1,1,0,,,"
735,735,Increase the amount of water or heat it,735.0,"760,0,1,0,,,"
736,736,Dissolve in hot water or stir continuously,736.0,"761,0,1,0,,,"
737,737,Melt the insoluble salt by placing the C beaker on fire.,737.0,"762,1,0,0,,,"
738,738,"Raise the temperature of the water, add more water, drink water, or eat salt.",738.0,"763,1,1,0,,,"
739,739,"""Mix as much as you can",739.0,"764,1,1,0,,,"
740,740,"Increase the temperature of the water.""",740.0,"765,0,1,0,,,"
741,741,Add more water,741.0,"766,1,1,0,,,"
742,742,Add more water. Stir more with a glass bar,742.0,"767,1,1,0,,,"
743,743,Add more water,743.0,"768,1,1,0,,,"
744,744,Increase the temperature of the water. Stir more.,744.0,"769,1,1,0,,,"
745,745,"Add more water, make the particles finer",745.0,"770,1,1,0,,,"
746,746,"To dissolve, try to match the amount of salt and water",746.0,"771,1,0,0,,,"
747,747,Boil water,747.0,"772,1,1,0,,,"
748,748,Add the water.,748.0,"773,1,1,0,,,"
749,749,Place in a double boiler at room temperature for one day,749.0,"774,1,1,0,,,"
750,750,Heat it up and melt it,750.0,"775,1,1,0,,,"
751,751,stirring with a glass rod,751.0,"776,1,1,0,,,"
752,752,"Mix the water quickly, raise the temperature of the water.",752.0,"777,1,1,1,,,"
753,753,"Heat up the water, keep stirring, shake, add more water",753.0,"778,1,1,0,,,779,0,0,0,,,"
754,754,"(Melt over heat) (Take it out, break it into small pieces, put it back in and stir)",754.0,"780,0,0,0,,,"
755,755,Add the water.  Increase the temperature.,755.0,"781,1,0,1,,,"
756,756,Put hot water into the beaker,756.0,"782,1,0,0,,,"
757,757,Put more water in the c beaker or heat the solution in the c beaker.,757.0,"783,0,0,1,,,"
758,758,"Add more water to the C beaker, or increase the temperature.",758.0,"784,1,1,0,,,"
759,759,"""I'm going to pour hot water",759.0,"785,0,0,1,,,"
760,760,"Stir more.""",760.0,"786,0,0,1,,,"
761,761,Increase the temperature of the water.Or add more water,761.0,"787,0,0,0,,,"
762,762,"""Add water to dissolve the salt.",762.0,"788,1,0,0,,,"
763,763,Dissolve salt by adding warm water.,763.0,"789,1,1,0,,,"
764,764,"Stir until faint and the salt melts.""",764.0,"790,1,1,0,,,"
765,765,"""Add hot water.",765.0,"791,1,0,0,,,"
766,766,"Add hot water and stir more.""",766.0,"792,0,0,0,,,"
767,767,Increase the temperature or add more water.,767.0,"793,1,1,0,,,"
768,768,Increase the temperature or add water to dissolve the salt,768.0,"794,1,1,0,,,"
769,769,"Add more water to make it disappear. 2. Heat it up and melt it. Just say it, not to fill two lines",769.0,"795,1,1,0,,,"
770,770,"To dissolve the salt in the C beaker, add hot water or continue to stir with a stick.",770.0,"796,0,0,1,,,"
771,771,Increase the temperature or add more water.,771.0,"797,1,1,0,,,"
772,772,"To dissolve faster, stir the water when it boils.",772.0,"798,1,1,0,,,"
773,773,Dissolve salt grains little by little while boiling water.,773.0,"799,1,1,0,,,"
774,774,"If you add more water to the C beaker or raise the temperature, you can easily dissolve the insoluble salt.",774.0,"800,1,1,0,,,"
775,775,"Add water, increase the temperature.",775.0,"801,1,1,0,,,"
776,776,Add more water to make the fire,776.0,"802,1,1,0,,,"
777,777,Heat the salt water to dissolve the salt well in the water,777.0,"803,1,1,0,,,"
778,778,Dissolve or burn hot by pouring water.,778.0,"804,1,1,0,,,"
779,779,"Add more water and mix, mix more.",779.0,"805,1,0,0,,,"
780,780,"Raise the temperature, mix, and add more water",780.0,"806,1,1,0,,,"
781,781,"Add more warm water, mix in the water.",781.0,"807,1,1,0,,,"
782,782,Boil it in water and melt it in the sun,782.0,"808,1,1,0,,,809,1,1,0,,,"
783,783,Add more water,783.0,"810,0,1,0,,,"
784,784,Add more water,784.0,"811,1,1,0,,,"
785,785,I don't know.,785.0,"812,1,1,0,,,"
786,786,I don't know.,786.0,"813,1,1,0,,,"
787,787,Stir it well again,787.0,"814,1,0,0,,,"
788,788,Add more water,788.0,"815,1,1,0,,,"
789,789,I don't understand.,789.0,"816,1,0,0,,,"
790,790,"Heat, add more water",790.0,"817,0,0,1,,,"
791,791,Wet the beaker. Shake the beaker gently. Increase the temperature of the water.Wet the beaker. Shake the beaker gently. Increase the temperature of the water.,791.0,"818,1,0,0,,,"
792,792,Add the water.,792.0,"819,1,1,1,,,"
793,793,"Increase the amount of water, stir faster, or raise the temperature.",793.0,"820,0,1,1,,,"
794,794,"Add more water, raise the temperature",794.0,"821,1,1,0,,,"
795,795,"""Raise the temperature of the water",795.0,"822,1,1,0,,,"
796,796,Stir faster,796.0,"823,0,0,1,,,"
797,797,"Increase the amount of water.""",797.0,"824,1,0,1,,,"
798,798,Heat it up.,798.0,"825,1,0,1,,,"
799,799,Pour more hot water.,799.0,"826,1,0,1,,,"
800,800,Melt it with heat,800.0,"827,1,0,1,,,"
801,801,Unknowingness,801.0,"828,1,1,0,,,"
802,802,I don't know.,802.0,"829,1,0,1,,,"
803,803,I don't know,803.0,"830,1,1,0,,,"
804,804,"More water, higher temperature, etc",804.0,"831,0,0,0,,,"
805,805,boil,805.0,"832,0,1,0,,,"
806,806,Add more water,806.0,"833,1,0,0,,,"
807,807,Add more water to raise the temperature,807.0,"834,0,0,1,,,"
808,808,Add more water,808.0,"835,1,0,1,,,"
809,809,Stir it more,809.0,"836,1,0,1,,,"
810,810,Just wait until it melts,810.0,"837,0,1,0,,,"
811,811,Stir it more. Heat it up,811.0,"838,0,0,0,,,839,1,1,1,,,"
812,812,Add more water,812.0,"840,1,0,1,,,"
813,813,Add more water,813.0,"841,1,1,1,,,"
814,814,Add more water,814.0,"842,0,1,1,,,"
815,815,Add more water or increase the temperature of the water to increase the solubility.,815.0,"843,1,1,0,,,"
816,816,Add more water or heat to dissolve,816.0,"844,1,1,0,,,"
817,817,Increase the temperature of the water. Add the water.,817.0,"845,1,1,0,,,"
818,818,"Increase the amount of solvent. If you don't increase the amount, you can increase the temperature.",818.0,"846,0,0,1,,,"
819,819,Add more water,819.0,"847,1,0,1,,,"
820,820,Add more water,820.0,"848,1,1,1,,,"
821,821,Boil water,821.0,"849,0,0,1,,,"
822,822,Add a little hot water.,822.0,"850,0,0,1,,,"
823,823,Add the water. Increase the temperature.,823.0,"851,1,1,1,,,"
824,824,Add the water.,824.0,"852,1,1,1,,,"
825,825,Add more water or raise the temperature.,825.0,"853,1,1,0,,,"
826,826,Add more water or increase temperature,826.0,"854,1,1,0,,,"
827,827,Increase the temperature and add water.,827.0,"855,0,0,1,,,"
828,828,Increase the temperature. Add the water.,828.0,"856,1,0,0,,,"
829,829,Raise the temperature and add more water.,829.0,"857,0,1,0,,,"
830,830,Increase the temperature.,830.0,"858,0,1,0,,,"
831,831,Add the water. Increase the temperature.,831.0,"859,1,1,0,,,"
832,832,Add the water. Increase the temperature.,832.0,"860,1,1,1,,,"
833,833,Add the water. Increase the temperature.,833.0,"861,1,0,1,,,"
834,834,Increase the temperature or add more water,834.0,"862,0,1,1,,,"
835,835,Add more water. Increase the temperature,835.0,"863,1,1,0,,,"
836,836,Increase the temperature. Add water. Stir harder,836.0,"864,1,1,0,,,"
837,837,Add more water or raise the temperature.,837.0,"865,1,0,1,,,"
838,838,and so on,838.0,"866,1,0,0,,,"
839,839,I don't understand.,839.0,"867,1,1,0,,,"
840,840,Increase the temperature of the water or stir with a stick,840.0,"868,1,1,0,,,869,0,0,1,,,"
841,841,Boil water,841.0,"870,0,0,1,,,"
842,842,Stir it fast,842.0,"871,1,1,0,,,"
843,843,Add more water. / Increase the temperature of the solvent./,843.0,"872,0,1,0,,,"
844,844,Keep stirring,844.0,"873,0,0,1,,,"
845,845,Stir it vigorously,845.0,"874,1,0,1,,,"
846,846,"This is because more salt than the capacity of water has been added, and the solution has already been saturated.",846.0,"875,1,1,0,,,"
847,847,Increase the temperature.,847.0,"876,1,1,1,,,"
848,848,Add the water. Heat it up.,848.0,"877,1,1,0,,,"
849,849,Increase the temperature of the c beaker. c. Add more water to the beaker.,849.0,"878,1,1,0,,,"
850,850,Increase the temperature.,850.0,"879,0,0,1,,,"
851,851,I don't know.,851.0,"880,1,0,1,,,"
852,852,Add more water or raise the temperature of the water.,852.0,"881,1,0,0,,,"
853,853,I'll add more water,853.0,"882,1,0,0,,,"
854,854,Increase the temperature or add more water,854.0,"883,1,0,0,,,"
855,855,Shake the beaker,855.0,"884,1,1,1,,,"
856,856,Add the water. Heat it up.,856.0,"885,1,1,0,,,"
857,857,Add the water. Heat it up.,857.0,"886,1,1,0,,,"
858,858,Add the water. Turn up the heat.,858.0,"887,1,1,0,,,"
859,859,"""Pour more water into the c beaker.",859.0,"888,1,0,0,,,"
860,860,"Increase the temperature of the c beaker.""",860.0,"889,1,0,0,,,"
861,861,I'm going to microwave it Pour more water,861.0,"890,1,1,0,,,"
862,862,c Increase the temperature of the water in the beaker or add more water.,862.0,"891,1,1,1,,,"
863,863,You can melt it if you raise the temperature or add more water.,863.0,"892,0,0,1,,,"
864,864,Increase the amount of water or increase the temperature of the water in the beaker.,864.0,"893,0,0,1,,,"
865,865,Increase the temperature,865.0,"894,1,0,0,,,"
866,866,There are many ways to increase the solubility of the solvent. The first is to increase the temperature of the solvent. The solubility of a liquid solvent increases in proportion to the temperature. The second is to increase the amount of solvent.,866.0,"895,0,0,1,,,"
867,867,"The reason why the c beaker does not dissolve well is that the solution is saturated with a lot of salt. The degree to which the solute dissolves in the solution is proportional to the amount of the solution and the temperature of the solution. In other words, the salt did not dissolve in the c beaker because the amount of the solution was too small or the temperature of the solution was too cold. Therefore, in the above situation, since salt is a solute and water is a solution, there is a method of adding more water to the c beaker or heating the c beaker using an alcohol lamp to increase the temperature of the water in the c beaker.",867.0,"896,1,1,1,,,"
868,868,"In order to increase the amount of dissolved salt, you can increase the amount of liquid. Each liquid has a set amount that can be dissolved, and if you increase the amount of liquid, of course, the amount that can be dissolved increases, so you can dissolve all the salt. You can also increase the temperature of the liquid. The amount of dissolution increases as the temperature increases. I think that as the temperature goes up, the volume of the object goes up, and by doing so, we can melt more. Also, I think salt will melt a lot even if the pressure is lowered. This is because lowering the pressure increases the volume.",868.0,"897,1,1,1,,,"
869,869,"As the amount of solvent increases, the amount of solute that can be included also increases. Therefore, water is added to increase the amount of water or evaporated to reduce the amount of water.  In addition, as the temperature of the solvent increases, the amount of solute that may be included increases. So it increases the temperature of the solvent.",869.0,"898,1,1,0,,,899,1,1,0,,,"
870,870,"First, increase the amount of water. It is called solubility, which is the amount of solute that a certain amount can be dissolved in a solvent to the maximum. In this case, it can be seen that the ne is supersaturated, which means that the supersaturated state does not dissolve due to the presence of a larger amount of solute than the appropriate solubility. Since the solubility is an amount of solute/an amount of solvent x 100, salt is removed or water as a solvent is added to reduce the solubility.",870.0,"900,0,0,0,,,"
871,871,"There are two different ways to dissolve salt that has not been dissolved in the C beaker, which can be explained using solubility.  First, add a lot of water. Solubility is because the more substance dissolves, the better it dissolves. Secondly, you can raise the temperature. This is because solubility increases as the temperature increases.",871.0,"901,0,1,0,,,"
872,872,"To dissolve all the salt in the C beaker, increase the amount of water or increase the temperature. The reason why all salts of the C beaker are not dissolved is that water has become a saturated solution, and to further dissolve the solute in the saturated solution, the amount of solvent or the temperature of the solution must be increased.",872.0,"902,0,1,1,,,"
873,873,"The way to dissolve all the salt that has not been dissolved in the C beaker is to melt it by applying heat to the beaker, and to dissolve the salt that is a solute with more water as a solvent.",873.0,"903,0,0,0,,,"
874,874,"The reason why the salt was not completely dissolved in the C beaker was that a larger amount of salt was supplied than the solubility. Therefore, the solubility must be increased to dissolve all the salt that has not been dissolved. In order to increase the solubility of the solid, the c beaker must be heated to increase the temperature or pressure.",874.0,"904,0,0,1,,,"
875,875,Add more water. Heat it to increase the solubility of the material,875.0,"905,1,0,1,,,"
876,876,"The solubility of water increases as the temperature increases, so it increases the temperature. When the temperature is increased, the movement of molecules to water becomes active, so the pressure increases, so I think the solubility increases. Therefore, even if the pressure is increased, the solubility will increase.",876.0,"906,0,0,0,,,"
877,877,"""Mix it.",877.0,"907,1,0,0,,,"
878,878,It combines with oxygen.,878.0,"908,0,0,1,,,"
879,879,Ankimchi belt,879.0,"909,0,0,0,,,"
880,880,"""",880.0,"910,0,0,1,,,"
881,881,"The reason why C beaker's salt was not completely dissolved was that the maximum amount of salt water could dissolve was less than the salt provided. Here, the way to increase the maximum amount of water that can be dissolved is to increase the temperature or pressure, so that more molecules can move faster and more material can melt. Therefore, you can dissolve more or all of the salt in the c beaker.",881.0,"911,1,1,0,,,"
882,882,"""1. Heat it to increase the gap between water molecules so that salt can enter well.""",882.0,"912,1,1,0,,,"
883,883,"2. Stir well. 3. Add more water. Or add another solvent that can dissolve the salt.""",883.0,"913,0,0,1,,,"
884,884,Add more water and stir the bar faster.,884.0,"914,1,0,0,,,"
885,885,"The fact that the salt is not completely dissolved means that it has added more salt than solubility. At this time, solubility is the maximum amount of solute that can be dissolved in 100g of water. Solubility has the property of increasing as the temperature increases. In order to solve this problem, there is a method of heating the solution to increase solubility or melting more solute by increasing the amount of the entire solvent.",885.0,"915,0,0,0,,,"
886,886,Add hot water,886.0,"916,0,1,0,,,"
887,887,Stir the glass bar so that it doesn't touch the beaker,887.0,"917,1,1,1,,,"
888,888,"Heat, stir constantly until melted, wait until melted back",888.0,"918,1,1,1,,,"
889,889,Get the glass bar wet faster or heat up the water,889.0,"919,1,1,1,,,"
890,890,Stir with a glass rod or raise the temperature.Increase the temperature of the water. Stir harder.,890.0,"920,1,1,0,,,"
891,891,Pour in hot water,891.0,"921,1,1,0,,,"
892,892,Stir the water quickly with a stick. Double heat with hot water.,892.0,"922,1,0,1,,,"
893,893,You can pour hot water,893.0,"923,1,1,0,,,"
894,894,M and D,894.0,"924,1,1,0,,,"
895,895,Add the water.,895.0,"925,1,0,0,,,"
896,896,Melt it with hot water,896.0,"926,0,0,1,,,"
897,897,Stir continuously or wait,897.0,"927,1,0,0,,,"
898,898,Stir with chopsticks. Shake it. Microwave it.,898.0,"928,1,1,1,,,929,1,1,1,,,"
899,899,"Microwave it. I keep stirring. This is a lot, so I couldn't finish it in time. If I had time, I think I would have melted it all.",899.0,"930,1,1,0,,,"
900,900,Add more water,900.0,"931,0,1,0,,,"
901,901,I don't know.,901.0,"932,0,1,0,,,"
902,902,"Add hot water and mix, stir constantly, wait until melted",902.0,"933,0,0,1,,,"
903,903,Keep stirring with a glass bar. Double-tube hot water,903.0,"934,1,1,0,,,"
904,904,Heat it up. Stir in hot water from the beginning,904.0,"935,0,0,0,,,"
905,905,"Stir hard, add more water.",905.0,"936,0,0,1,,,"
906,906,Increase the temperature of the water or add more water.,906.0,"937,0,0,0,,,"
907,907,Pouring hot water,907.0,"938,0,0,0,,,"
908,908,Warm it up over a warm heat and melt it. Add water,908.0,"939,0,0,0,,,"
909,909,Stir a lot longer,909.0,"940,0,0,1,,,"
910,910,Keep stirring with a spoon. Heat it up?,910.0,"941,0,1,0,,,"
911,911,"""Add warm water",911.0,"942,1,1,0,,,"
912,912,Stir the salt water quickly,912.0,"943,1,1,1,,,"
913,913,"""Add more water""",913.0,"944,0,0,0,,,"
914,914,Mix it,914.0,"945,1,1,0,,,"
915,915,Use your arms harder.,915.0,"946,1,1,1,,,"
916,916,Add hot water. Stir well,916.0,"947,0,0,0,,,"
917,917,"Continue stirring with a glass bar until the salt is dissolved, or pour hot water.",917.0,"948,0,0,0,,,"
918,918,Add warm water and melt it,918.0,"949,0,0,0,,,"
919,919,Pour in hot water.,919.0,"950,1,1,0,,,"
920,920,"Shake, keep stirring with a glass rod",920.0,"951,0,1,0,,,"
921,921,Apply heat.,921.0,"952,1,0,0,,,"
922,922,Add more water,922.0,"953,0,1,0,,,"
923,923,Add the water.,923.0,"954,1,0,0,,,"
924,924,Add more water or heat,924.0,"955,1,0,0,,,"
925,925,"Increase the temperature of the water, add more water, and stir the water quickly.",925.0,"956,1,0,0,,,"
926,926,hot water/bends quickly,926.0,"957,1,1,0,,,"
927,927,"Warm water pours, more rotting",927.0,"958,0,1,0,,,959,0,1,0,,,"
928,928,Add more hot water,928.0,"960,1,0,0,,,"
929,929,"Add more water, melt over hot heat, add warm water.",929.0,"961,1,1,0,,,"
930,930,Bring water to a boil or stir quickly.,930.0,"962,0,0,0,,,"
931,931,Heat the water up.,931.0,"963,1,1,0,,,"
932,932,Add a little more water or hot water.,932.0,"964,1,1,0,,,"
933,933,Put hot water.,933.0,"965,1,1,0,,,"
934,934,Keep stirring with a glass rod. Shake,934.0,"966,0,0,1,,,"
935,935,Stir quickly with a glass rod.Wrap the wrap around the beaker and shake the beaker.,935.0,"967,1,1,0,,,"
936,936,"""1. If you can add more water, add more water.",936.0,"968,0,0,1,,,"
937,937,"2.Heat it.""",937.0,"969,0,1,0,,,"
938,938,Add more water,938.0,"970,0,0,0,,,"
939,939,Stir it more,939.0,"971,0,0,0,,,"
940,940,"Melt with hot water, stir more",940.0,"972,0,0,0,,,"
941,941,Pour a lot of water or boil water,941.0,"973,0,0,0,,,"
942,942,"Pour in more water. Bring to a boil, stir the stick faster, use a stick and a bowl to reduce the size of the grain.",942.0,"974,0,1,1,,,"
943,943,Add hot water,943.0,"975,0,0,0,,,"
944,944,Pour a lot of water or boil water,944.0,"976,1,1,0,,,"
945,945,Beat the beaker bottom and stir.,945.0,"977,0,1,1,,,"
946,946,"There is a method of melting salt by heating the beaker with fire, and a method of melting it by stirring continuously.",946.0,"978,1,0,0,,,"
947,947,Melt it with heat,947.0,"979,0,0,0,,,"
948,948,You can melt salt water quickly by heating the water and making it hot.,948.0,"980,0,0,1,,,"
949,949,Heat the beaker,949.0,"981,1,0,1,,,"
950,950,Add water to beaker and stir while heating,950.0,"982,0,0,1,,,"
951,951,Melt salt or add more water by applying hot heat,951.0,"983,1,0,1,,,"
952,952,Melt salt or water by applying hot heat,952.0,"984,1,0,0,,,"
953,953,"To dissolve all the salt that has not been dissolved, lower the density by making it hot or by adding more water.",953.0,"985,1,0,0,,,"
954,954,Melt it with heat,954.0,"986,0,0,1,,,"
955,955,Heat the beaker,955.0,"987,0,0,0,,,"
956,956,Make it hotter or add water to dissolve the salt,956.0,"988,1,0,0,,,989,0,0,0,,,"
957,957,You can continue to stir hard to dissolve it or melt it by making the water hot.,957.0,"990,1,0,0,,,"
958,958,"If you add more water and melt it, it will melt.""",958.0,"991,0,0,0,,,"
959,959,Stir constantly or dissolve in water and combine them.,959.0,"992,1,0,0,,,"
960,960,Stir constantly or dissolve in water and combine them.,960.0,"993,1,0,0,,,"
961,961,Dissolve in hot water.,961.0,"994,1,0,0,,,"
962,962,"How to stir with your toes, etc",962.0,"995,0,0,0,,,"
963,963,Add hot water or bend more with a glass rod.,963.0,"996,1,1,0,,,"
964,964,"There is a way to add hot water to the beaker, stir it until it melts with a glass rod, or melt it by raising the temperature of the beaker.",964.0,"997,1,1,0,,,"
965,965,Pour in hot water.,965.0,"998,0,0,0,,,"
966,966,Add hot water to the C beaker.,966.0,"999,1,1,0,,,"
967,967,Don't know,967.0,"1000,0,0,0,,,"
968,968,Water,968.0,"1001,1,0,1,,,"
969,969,Pour water and stir a lot,969.0,"1002,1,0,0,,,"
970,970,:(,970.0,"1003,1,0,0,,,"
971,971,Keep mixing,971.0,"1004,1,0,0,,,"
972,972,Heat over heat. Stir quickly with a stick.,972.0,"1005,0,1,0,,,"
973,973,.,973.0,"1006,1,0,0,,,"
974,974,Heat up the water,974.0,"1007,0,0,1,,,"
975,975,Mix it a lot,975.0,"1008,1,1,0,,,"
976,976,"The more it is, the better it doesn't melt",976.0,"1009,1,0,0,,,"
977,977,Shake it,977.0,"1010,1,1,0,,,"
978,978,Pour hot water,978.0,"1011,1,1,1,,,"
979,979,Pour more water. Pour hot water,979.0,"1012,1,1,0,,,"
980,980,Dissolve by adding dilute sodium hydroxide.,980.0,"1013,1,0,0,,,"
981,981,It's going down with fire,981.0,"1014,0,0,0,,,"
982,982,I added a lot of salt,982.0,"1015,0,0,0,,,"
983,983,Add more water,983.0,"1016,0,0,0,,,"
984,984,Add hot water and stir quickly with a glass rod.,984.0,"1017,1,1,0,,,"
985,985,"""",985.0,"1018,1,1,1,,,1019,0,0,0,,,"
986,986,"Pour hot water and mix quickly. """,986.0,"1020,0,1,0,,,"
987,987,Pour hot water and mix quickly.,987.0,"1021,0,0,0,,,"
988,988,Pour in hot water.,988.0,"1022,0,1,0,,,"
989,989,"Add water, heatStir well with a glass rod and boil the water in the beaker",989.0,"1023,0,0,0,,,"
990,990,Pour in hot water / more water.,990.0,"1024,0,1,0,,,"
991,991,"Add more water, raise the temperature of the water",991.0,"1025,1,0,1,,,"
992,992,Place on hot water,992.0,"1026,1,1,0,,,"
993,993,Let's shake it.,993.0,"1027,1,1,0,,,"
994,994,Turn up the temperature?,994.0,"1028,0,0,0,,,"
995,995,"Heat the beaker, add a little more water and stir.",995.0,"1029,1,1,0,,,"
996,996,"""It makes the water warm",996.0,"1030,0,1,1,,,"
997,997,Add more water,997.0,"1031,0,1,0,,,"
998,998,"Stir the water""",998.0,"1032,1,0,0,,,"
999,999,Add more water. Boil water,999.0,"1033,0,1,0,,,"
1000,1000,Add more water,1000.0,"1034,1,1,0,,,"
1001,1001,Add more water,1001.0,"1035,1,0,1,,,"
1002,1002,stir the water further,1002.0,"1036,1,1,0,,,"
1003,1003,"To raise the temperature of salt, heat it up. Add more water than salt",1003.0,"1037,1,1,0,,,"
1004,1004,I don't know.,1004.0,"1038,1,1,1,,,"
1005,1005,"First, stir the salt water well and keep stirring until it melts.",1005.0,"1039,0,1,0,,,"
1006,1006,.,1006.0,"1040,0,0,1,,,"
1007,1007,Unknowingness,1007.0,"1041,0,0,1,,,"
1008,1008,???,1008.0,"1042,1,0,0,,,"
1009,1009,Keep stirring,1009.0,"1043,1,0,0,,,"
1010,1010,Add the water.,1010.0,"1044,1,0,0,,,"
1011,1011,"Increase the temperature of the water, or increase the amount of water.",1011.0,"1045,0,0,1,,,"
1012,1012,"Increase the temperature of the water, add more water, and stir",1012.0,"1046,0,1,1,,,"
1013,1013,I don't know.,1013.0,"1047,1,0,1,,,"
1014,1014,to increase the temperature of water or increase the amount of water,1014.0,"1048,1,1,0,,,1049,1,1,0,,,"
1015,1015,Put hot water.  Mix it really hard and quickly with all your might.,1015.0,"1050,1,1,0,,,"
1016,1016,I don't know,1016.0,"1051,1,1,0,,,"
1017,1017,I don't know.,1017.0,"1052,0,1,0,,,"
1018,1018,I don't know,1018.0,"1053,1,1,0,,,"
1019,1019,to increase the amount of water or increase the temperature of water,1019.0,"1054,1,0,1,,,"
1020,1020,Add more water,1020.0,"1055,0,1,0,,,"
1021,1021,to raise the temperature of the water,1021.0,"1056,1,1,1,,,"
1022,1022,Add the water.,1022.0,"1057,1,1,0,,,"
