,Unnamed: 0,1) What would be good for consumers if different bakeries compete with each other?,Unnamed: 0,", q51_price, q51_quality, q51_diversity, q51_benefit, q51_price.1,q51_Quality.1,q51_Diversity1.q51_Benefit.1"
607,607,to be able to buy at a lower price,607.0,"627,0,0,0,1,,,,"
608,608,It's getting cheaper,608.0,"628,1,1,0,0,,,,629,1,0,0,0,,,,"
609,609,There are more delicious and cheaper products and they have a lot of sales,609.0,"630,1,0,0,0,,,,"
610,610,Knock it off.,610.0,"631,1,1,0,0,,,,"
611,611,You can get a lot of information.,611.0,"632,1,1,0,0,,,,"
612,612,There's a lot to eat,612.0,"633,1,1,0,0,,,,"
613,613,.,613.0,"634,1,0,0,0,,,,"
614,614,Don't know,614.0,"635,1,0,0,0,,,,"
615,615,The price is getting lower and lower and lower,615.0,"636,0,0,1,0,,,,"
616,616,I don't know.,616.0,"637,1,0,0,0,,,,"
617,617,"Several bakeries will compete to sell their products, allowing consumers to consume better products",617.0,"638,1,0,0,0,,,,"
618,618,The price goes down.,618.0,"639,1,1,0,0,,,,"
619,619,be available at a lower price,619.0,"640,1,0,0,0,,,,"
620,620,"By competing, we provide a better environment, service, etc. to consumers",620.0,"641,1,0,0,0,,,,"
621,621,The price of goods never goes up,621.0,"642,1,0,0,0,,,,"
622,622,the cheaper the price,622.0,"643,1,1,0,0,,,,"
623,623,Consumers can compare the two and choose a better bakery and the bakery wants to be better to be chosen,623.0,"644,1,0,1,0,,,,"
624,624,The number of choices increases,624.0,"645,0,0,0,0,,,,"
625,625,Consumers can eat better quality bread.,625.0,"646,1,0,0,0,,,,"
626,626,I can sell that quality product at a lower price.,626.0,"647,1,1,0,0,,,,"
627,627,The price goes down and the quality of the goods goes up.,627.0,"648,1,1,0,0,,,,"
628,628,I don't know.,628.0,"649,0,0,1,0,,,,"
629,629,It's better because the price is lower.,629.0,"650,0,0,0,1,,,,"
630,630,It is beneficial for consumers to make decisions that compete with each other and lower prices.,630.0,"651,1,1,0,0,,,,"
631,631,Consumers' consumption power is increased by the price reduction caused by the competition of the bakery!,631.0,"652,0,0,0,0,,,,"
632,632,You can get better quality,632.0,"653,0,1,0,0,,,,"
633,633,You can get better products.,633.0,"654,1,0,0,0,,,,"
634,634,Better quality goods can be obtained at a lower price,634.0,"655,0,1,0,0,,,,"
635,635,You can buy cheap and good products.,635.0,"656,1,0,0,0,,,,"
636,636,"Competition has reduced prices, allowing consumers to purchase goods at lower prices and use them as better services.",636.0,"657,0,1,0,0,,,,"
637,637,Consumers' convenience increases because they strive to provide better quality services to consumers through competition.,637.0,"658,1,0,0,0,,,,659,0,0,0,0,,,,"
638,638,You can buy it at a reasonable price.,638.0,"660,0,0,1,0,,,,"
639,639,Let's see. Sexy,639.0,"661,0,0,1,0,,,,"
640,640,You can get more relief.,640.0,"662,1,1,0,0,,,,"
641,641,You can eat bread that is cheaper and better.,641.0,"663,1,0,0,0,,,,"
642,642,to be able to eat bread cheaply,642.0,"664,1,1,0,1,,,,"
643,643,"As bakeries lower prices and hold many events to sell their products, consumers can buy them cheaper.",643.0,"665,1,0,0,0,,,,"
644,644,"Competition among bakeries improves the quality of bread and lowers the price, allowing consumers to get better services.",644.0,"666,1,1,0,0,,,,"
645,645,Consumers can buy better products at lower prices.,645.0,"667,0,0,0,0,,,,"
646,646,"While economizing with each other, there is a willingness to develop each other's products, so that many bakeries can provide high-quality products to consumers at a low price.",646.0,"668,1,0,0,0,,,,"
647,647,Lowering prices to sell cheaper than other stores,647.0,"669,1,0,0,0,,,,"
648,648,"In order to promote consumer purchases, such as lower prices and better services due to competition with each other, we will establish strategies that are favorable to consumers.",648.0,"670,1,0,0,0,,,,"
649,649,You can buy it while comparing.,649.0,"671,0,1,1,0,,,,"
650,650,Consumers can buy cheaper because they sell at a lower price to sell more to each other.,650.0,"672,0,1,0,0,,,,"
651,651,The price could be cheaper,651.0,"673,0,1,0,0,,,,"
652,652,Consumers can get better products because they compete with each other and make efforts to increase the quality of the products or adjust prices to attract more consumers.,652.0,"674,0,0,1,0,,,,"
653,653,The price is getting cheaper,653.0,"675,0,0,0,0,,,,"
654,654,You can buy it cheaper,654.0,"676,1,1,0,0,,,,"
655,655,to be able to buy something cheaper,655.0,"677,0,1,0,0,,,,"
656,656,The price of bread gets cheaper and the quality gets better.,656.0,"678,1,0,0,0,,,,"
657,657,"There are more options for consumers to choose from. The amount of consumption is constant, but the amount of supply is constant, so bread can be purchased at a low price.",657.0,"679,0,0,0,0,,,,"
658,658,I can make the interior better,658.0,"680,1,0,0,0,,,,"
659,659,Consumers can purchase goods at low prices because they increase competitiveness by lowering prices.,659.0,"681,1,0,0,0,,,,"
660,660,You can receive cheap and high-quality products.,660.0,"682,0,0,0,0,,,,"
661,661,Consumers can get better products at lower prices because bakeries compete to lower prices or develop better products.,661.0,"683,0,0,0,1,,,,"
662,662,Consumers can taste more bread.,662.0,"684,0,0,0,0,,,,"
663,663,It benefits consumers more.,663.0,"685,1,0,0,0,,,,"
664,664,It will be possible to purchase quality products at low prices.,664.0,"686,1,0,0,0,,,,"
665,665,We can gather the ingredients faster,665.0,"687,0,1,0,0,,,,"
666,666,I will try to sell better products,666.0,"688,1,0,0,0,,,,689,0,1,0,0,,,,"
667,667,to be able to buy cheaply,667.0,"690,1,0,0,0,,,,"
668,668,"The two bakeries will try to attract customers to each other.However, customers will go to better places and grow further to attract customers.",668.0,"691,1,0,0,0,,,,"
669,669,We lowered the price to compete with each other.,669.0,"692,1,1,0,1,,,,"
670,670,Consumers can buy better things.,670.0,"693,1,0,0,0,,,,"
671,671,It's better because the price is lower,671.0,"694,1,0,0,1,,,,"
672,672,"You can also feel that money is good and eat jam at this store and milk at that store, and you can alienate the two stores, and you can see the dog fight caused by the evolution of the conflict between the two stores. I was born in the year of the dog",672.0,"695,0,0,0,0,,,,"
673,673,You can choose what you want from many bakeries,673.0,"696,1,1,0,0,,,,"
674,674,You can taste bread in a different taste.,674.0,"697,1,0,0,0,,,,"
675,675,to improve in quality and become cheaper,675.0,"698,1,0,0,0,,,,"
676,676,"Since it's cheap,",676.0,"699,0,0,1,0,,,,"
677,677,Consumers benefit from being able to buy better products cheaply,677.0,"700,1,0,0,0,,,,"
678,678,You can buy things for less money.,678.0,"701,1,0,0,0,,,,"
679,679,"If the price of a product is lowered due to competition, consumers can buy the product with a lower amount of money, and the quality of the product is higher, making consumers more satisfied.",679.0,"702,1,0,0,0,,,,"
680,680,h,680.0,"703,0,1,1,0,,,,"
681,681,You can buy things at a low price.,681.0,"704,1,1,0,1,,,,"
682,682,a cheap meal,682.0,"705,1,0,0,0,,,,"
683,683,You can buy it cheaper,683.0,"706,0,0,1,0,,,,"
684,684,Both consumers can choose good ones because they give good ones to each other,684.0,"707,0,0,0,0,,,,"
685,685,I can buy a better product,685.0,"708,1,1,0,0,,,,"
686,686,good quality,686.0,"709,1,1,0,0,,,,"
687,687,You can buy more,687.0,"710,1,0,0,0,,,,"
688,688,Bread is delicious,688.0,"711,1,0,0,0,,,,"
689,689,"You can meet cheaper prices, good service, and good quality products",689.0,"712,0,1,0,0,,,,"
690,690,to be able to buy quality products,690.0,"713,0,1,1,0,,,,"
691,691,a drop in price,691.0,"714,0,0,1,0,,,,"
692,692,the opposite sexThe consumption price decreases,692.0,"715,1,0,1,0,,,,"
693,693,The price goes down,693.0,"716,1,0,0,0,,,,"
694,694,You can get a higher level of service,694.0,"717,1,0,0,0,,,,"
695,695,Consumers benefit more from competing stores,695.0,"718,1,0,1,0,,,,719,0,1,0,0,,,,"
696,696,Other consumer competitors fall apart.,696.0,"720,1,0,0,1,,,,"
697,697,You can buy it cheaper because the price goes down.,697.0,"721,1,0,1,0,,,,"
698,698,Bread gets cheaper,698.0,"722,0,1,0,0,,,,"
699,699,You will be able to buy better bread,699.0,"723,1,0,1,0,,,,"
700,700,The price is going down,700.0,"724,0,1,0,0,,,,"
701,701,You can get better and better products,701.0,"725,1,0,0,0,,,,"
702,702,The price of the product becomes cheaper.,702.0,"726,1,0,0,0,,,,"
703,703,It's cheaper and you can get the service,703.0,"727,0,0,0,0,,,,"
704,704,"Confectionery shops are in many families, so cheap bakeries unconditionally attract the attention of consumers Therefore, each household is trying to sell more deliciously and cheaply, so it costs less money, so consumers can benefit",704.0,"728,1,0,0,0,,,,"
705,705,be available at a lower price,705.0,"729,1,0,0,0,,,,"
706,706,"If they compete with each other, stores will lower prices or hold events to attract more consumers. Then consumers will be able to benefit greatly, such as buying things cheaper.",706.0,"730,0,0,0,0,,,,"
707,707,I think it'll be uncomfortable and it'll be burdensome if we ask each other to come,707.0,"731,0,0,0,0,,,,"
708,708,"To make it more delicious, consumers can eat it more deliciously and cheaply",708.0,"732,0,1,0,0,,,,"
709,709,"I'm going to change the price to buy more and more, so it's a good profit...Haha",709.0,"733,0,1,0,0,,,,"
710,710,"As prices decrease as they compete, consumers can buy things at cheaper prices.",710.0,"734,0,1,0,0,,,,"
711,711,"Many kinds of food are produced, so consumers can buy and eat something else, not always.",711.0,"735,1,1,0,1,,,,"
712,712,Consumers can buy things cheaper.,712.0,"736,0,0,1,0,,,,"
713,713,Consumers can buy things cheaper.,713.0,"737,0,1,0,0,,,,"
714,714,You can buy things cheaper.,714.0,"738,0,0,0,0,,,,"
715,715,You can compare and buy better products.,715.0,"739,1,0,0,0,,,,"
716,716,"They can sell each other cheaply to make any profit to their bakery. Then, consumers can get a huge profit and buy it cheaper than bread bought from other stores. It's another price, but you can buy better bread.",716.0,"740,0,0,0,0,,,,"
717,717,to be able to get it cheaper,717.0,"741,0,0,0,0,,,,"
718,718,You can taste bread from various bakeries,718.0,"742,0,0,0,0,,,,"
719,719,You can get better products or buy them cheaply.,719.0,"743,0,0,0,0,,,,"
720,720,You can get better products or get cheaper.,720.0,"744,0,0,0,0,,,,"
721,721,You can eat cleaner and more delicious things cheaply.,721.0,"745,1,0,0,0,,,,"
722,722,It's getting cheaper,722.0,"746,0,0,0,1,,,,"
723,723,"If there is a competition, bakery A will give a discount, bakery B will give a discount, so consumers can buy bread on loan cheaper",723.0,"747,0,0,0,0,,,,"
724,724,You can buy it cleaner and better.,724.0,"748,1,0,0,0,,,,749,0,1,0,0,,,,"
725,725,"As stores compete, they can eat delicious bread because they make new bread.",725.0,"750,0,0,1,0,,,,"
726,726,The opportunity to taste bread from various bakeries and distinguish which places are cheap and expensive,726.0,"751,0,0,0,0,,,,"
727,727,"Both can be delicious, so you can eat them evenly, and they can be cheaper.",727.0,"752,0,1,1,0,,,,"
728,728,Discounts allow consumers to buy more bread.,728.0,"753,0,0,1,0,,,,"
729,729,It's getting cheaper,729.0,"754,1,0,0,0,,,,"
730,730,More bakeries can compare prices and go to cheaper places,730.0,"755,0,1,1,0,,,,"
731,731,Better products will come out,731.0,"756,0,0,0,1,,,,"
732,732,They benefit from lower prices or better service.,732.0,"757,0,0,0,0,,,,"
733,733,"The price becomes cheaper, various products are developed, and merchants become friendly.",733.0,"758,0,1,0,0,,,,"
734,734,Consumers Can Buy Better Products,734.0,"759,1,1,0,0,,,,"
735,735,"The price is reduced, various products are developed, and merchants become friendly",735.0,"760,0,1,0,0,,,,"
736,736,to be able to buy better products  It provides us with a better service,736.0,"761,1,0,0,1,,,,"
737,737,to be able to get things at a lower price,737.0,"762,0,1,0,0,,,,"
738,738,to be able to get things at a lower price,738.0,"763,1,0,0,1,,,,"
739,739,I don't know.,739.0,"764,1,0,0,1,,,,"
740,740,It's getting cheaper,740.0,"765,1,0,0,0,,,,"
741,741,to be able to buy cheaply,741.0,"766,1,1,0,0,,,,"
742,742,We can promote each other's good points and achieve mutually beneficial development,742.0,"767,1,1,0,0,,,,"
743,743,I don't know.,743.0,"768,0,1,0,0,,,,"
744,744,to be able to eat better quality bread,744.0,"769,1,1,0,0,,,,"
745,745,"Bakery stores are further developed, allowing consumers to welcome higher-quality bakeries.",745.0,"770,0,1,0,0,,,,"
746,746,"Bakery stores are further developed, allowing consumers to welcome higher-quality bakeries.",746.0,"771,1,1,0,1,,,,"
747,747,"When you compete, the price decreases or the quality of the product improves, so the consumer benefits",747.0,"772,1,1,0,0,,,,"
748,748,have a wide range of choices,748.0,"773,0,1,0,0,,,,"
749,749,You can buy quality products or get good services.,749.0,"774,0,1,1,0,,,,"
750,750,to be able to receive better service,750.0,"775,1,1,0,1,,,,"
751,751,It is a good profit because the price of bread at the bakery decreases through competition.,751.0,"776,0,0,0,0,,,,"
752,752,Economic activities become active,752.0,"777,1,0,0,0,,,,"
753,753,give rights to consumers,753.0,"778,1,1,0,0,,,,779,0,1,0,0,,,,"
754,754,I don't know,754.0,"780,0,0,0,0,,,,"
755,755,I don't know.,755.0,"781,1,1,0,0,,,,"
756,756,I don't know.,756.0,"782,1,0,0,1,,,,"
757,757,to be cheaper or better served,757.0,"783,1,0,0,0,,,,"
758,758,Profitable,758.0,"784,1,1,0,0,,,,"
759,759,·ㆍ,759.0,"785,0,0,0,0,,,,"
760,760,Competition could lead to price cuts,760.0,"786,1,0,0,0,,,,"
761,761,You can receive new products and services that consumers can be more satisfied with,761.0,"787,1,1,0,0,,,,"
762,762,to be able to buy by comparison,762.0,"788,1,1,0,0,,,,"
763,763,I don't know,763.0,"789,0,1,0,1,,,,"
764,764,You can choose a better product,764.0,"790,1,1,0,0,,,,"
765,765,Diversity,765.0,"791,0,1,0,1,,,,"
766,766,It's getting cheaper,766.0,"792,0,0,0,0,,,,"
767,767,Better quality and quantity can be compared and bought,767.0,"793,1,1,0,0,,,,"
768,768,to be able to reap more benefits,768.0,"794,1,1,0,0,,,,"
769,769,We can properly meet the needs of consumers because we will meet the needs of consumers to attract each other.,769.0,"795,1,1,0,0,,,,"
770,770,"Since bakeries will try to attract more customers to each other, they can consume better quality bread.",770.0,"796,0,0,0,0,,,,"
771,771,You can buy cheaper products with better quality.,771.0,"797,0,1,1,0,,,,"
772,772,"If you compete with each other, it's a personal gain for the consumer because you want to further develop each other's strengths",772.0,"798,1,1,0,0,,,,"
773,773,Consumers can gain more benefits or profits from activities such as discounts to avoid losing customers in the competition,773.0,"799,1,0,1,0,,,,"
774,774,You can buy better service and better quality confectionery,774.0,"800,0,1,0,0,,,,"
775,775,You can expect the price to go down and there will be various benefits.,775.0,"801,1,1,0,0,,,,"
776,776,It is advantageous to consumers in terms of service and price because it prevents monopolies,776.0,"802,1,0,0,0,,,,"
777,777,The price becomes cheaper.,777.0,"803,1,0,0,0,,,,"
778,778,Prices go down and quality goes up,778.0,"804,0,1,0,0,,,,"
779,779,Cheaper. Better,779.0,"805,1,0,0,0,,,,"
780,780,The bread becomes delicious.,780.0,"806,1,0,0,0,,,,"
781,781,The price goes down and the quality goes up.,781.0,"807,1,1,0,0,,,,"
782,782,We're trying to make each other better,782.0,"808,1,1,0,0,,,,809,0,0,1,0,,,,"
783,783,"The two bakeries make efforts to reduce prices or increase quality in order to attract consumers from each other, resulting in benefits for consumers.",783.0,"810,1,0,0,0,,,,"
784,784,Cheap prices. You can buy quality goods.,784.0,"811,1,0,0,1,,,,"
785,785,The bread becomes delicious.,785.0,"812,1,1,0,0,,,,"
786,786,You can experience various advanced products.,786.0,"813,1,0,0,0,,,,"
787,787,mutually beneficial to consumers It's because it gives you a price or increases the quality of the product,787.0,"814,0,1,0,0,,,,"
788,788,Better quality services can be provided to consumers.,788.0,"815,0,0,0,0,,,,"
789,789,The price goes down,789.0,"816,1,1,0,0,,,,"
790,790,to be able to buy good products at a lower price,790.0,"817,0,1,0,0,,,,"
791,791,drinkingI don't understand.,791.0,"818,1,1,0,0,,,,"
792,792,Bakery stores lower prices or increase the quality of their products to sell more to each other.,792.0,"819,1,1,0,0,,,,"
793,793,"It's getting cheaper, so it pays off",793.0,"820,0,0,0,0,,,,"
794,794,to be able to buy a cheap product,794.0,"821,0,1,0,0,,,,"
795,795,Price goes down or quality goes up (benefits go back to consumers),795.0,"822,0,1,0,0,,,,"
796,796,I don't know.,796.0,"823,0,0,1,0,,,,"
797,797,"Competition may lower prices, so you can buy them cheaply",797.0,"824,1,0,1,0,,,,"
798,798,Better quality products can be supplied at lower prices.,798.0,"825,1,0,0,0,,,,"
799,799,"They include service improvement, product quality improvement, and price reduction.",799.0,"826,0,0,0,0,,,,"
800,800,You can buy better quality products and get more benefits.,800.0,"827,0,0,1,0,,,,"
801,801,"When suppliers compete, there are advantages for consumers in various ways, such as the quality of goods or services and the cost of consumers.",801.0,"828,0,0,0,0,,,,"
802,802,have access to better quality products and benefits,802.0,"829,0,0,1,0,,,,"
803,803,I don't know.,803.0,"830,0,0,0,0,,,,"
804,804,The price goes down. The quality of the product improves.,804.0,"831,0,0,0,0,,,,"
805,805,Prices go down and quality goes up.,805.0,"832,1,0,0,0,,,,"
806,806,Consumers can get cheaper products and better quality products because prices can be lowered or quality can be improved in the process of competition,806.0,"833,1,0,0,0,,,,"
807,807,GH and S,807.0,"834,0,0,1,0,,,,"
808,808,The quality of the product increases and the choice is wider.,808.0,"835,0,0,0,1,,,,"
809,809,It gets cheaper and tastier. I try my best,809.0,"836,0,0,0,0,,,,"
810,810,Various kinds of bread and prices will not get expensive often.,810.0,"837,0,0,0,0,,,,"
811,811,Better quality products for consumers make greater profits for companies.,811.0,"838,1,0,0,0,,,,839,0,0,1,0,,,,"
812,812,Cheaper and higher quality to increase the number of customers,812.0,"840,0,0,1,0,,,,"
813,813,It is better for consumers because they lower prices or improve services to sell more competitively to each other.,813.0,"841,0,0,1,0,,,,"
814,814,You can get better services or buy things cheaply.,814.0,"842,0,0,1,0,,,,"
815,815,This is because several bakeries compete with each other and struggle to provide better products and services.,815.0,"843,0,1,0,0,,,,"
816,816,a fall in prices,816.0,"844,0,1,0,0,,,,"
817,817,Goods can be consumed at reasonable prices.,817.0,"845,0,1,0,0,,,,"
818,818,"The quality of goods increases and prices fall. It may be less, but it is omitted because there is not enough time.",818.0,"846,0,0,1,0,,,,"
819,819,It makes better products cheaper.,819.0,"847,1,0,0,0,,,,"
820,820,. It's good to choose,820.0,"848,0,1,0,0,,,,"
821,821,"What's good for consumers is that if several bakeries compete with each other, the price of goods decreases.",821.0,"849,0,0,0,0,,,,"
822,822,"If several bakeries compete with each other, they will offer more benefits, such as lowering product prices or offering many services such as 1+1 to sell more products to consumers. Therefore, consumers will be able to use it to receive many benefits.",822.0,"850,1,0,1,0,,,,"
823,823,"If several bakeries compete with each other, they invest more in technology development to provide consumers with factors to consume their products than other bakeries, and prices are also competitive, allowing consumers to consume better products at lower prices.",823.0,"851,0,0,1,0,,,,"
824,824,"If they compete with each other, the bakery will lower their prices due to competitive sentiment, and consumers will be able to buy low-priced food",824.0,"852,0,0,1,0,,,,"
825,825,"As several bakeries compete with each other, bakeries will try to develop better products. Therefore, consumers can consume better products.",825.0,"853,0,0,0,0,,,,"
826,826,a lack of time,826.0,"854,0,0,1,0,,,,"
827,827,This is because many bakeries are trying to start a price race or sell better quality products to get them to buy snacks from their bakery,827.0,"855,0,0,0,0,,,,"
828,828,I can eat something more delicious That's so sweet.,828.0,"856,0,0,1,0,,,,"
829,829,"First, if you monopolize all markets alone, there are no competitors selling the same product, so consumers who no longer develop technology or need the product at a little bit will have no choice but to buy the product. However, if competition is carried out, the profit margin will fall due to competition if technology development or price reduction is not carried out. And it's good that consumers get good quality products at a low price in the middle.",829.0,"857,1,1,0,0,,,,"
830,830,Provide better products and prices to consumers to attract more consumers to each other.,830.0,"858,0,0,0,0,,,,"
831,831,I'm sorry.,831.0,"859,0,0,0,0,,,,"
832,832,..good quality,832.0,"860,0,0,1,0,,,,"
833,833,"If we try to get better with each other, consumers can eat better bread.",833.0,"861,0,0,1,0,,,,"
834,834,have a choice,834.0,"862,0,0,0,1,,,,"
835,835,You can eat cheaper bread and taste more kinds and flavors.,835.0,"863,1,0,0,0,,,,"
836,836,You can buy it cheaply.,836.0,"864,0,0,0,0,,,,"
837,837,"You can get better service, etc.",837.0,"865,0,0,0,0,,,,"
838,838,Consumers are provided with opportunities to experience more products and can compare products.,838.0,"866,1,0,0,0,,,,"
839,839,LOL,839.0,"867,0,0,1,0,,,,"
840,840,Consumers can enjoy a variety of flavors.,840.0,"868,0,0,1,0,,,,869,0,0,1,0,,,,"
841,841,I don't know,841.0,"870,0,0,1,0,,,,"
842,842,M and D,842.0,"871,0,1,1,0,,,,"
843,843,You can buy things cheaper.,843.0,"872,1,0,0,0,,,,"
844,844,You can buy it cheap,844.0,"873,0,1,0,0,,,,"
845,845,can be consumed by comparison,845.0,"874,0,0,0,0,,,,"
846,846,Make a profit.,846.0,"875,1,0,0,1,,,,"
847,847,I don't know.,847.0,"876,1,0,0,1,,,,"
848,848,.,848.0,"877,0,1,0,0,,,,"
849,849,to be able to eat bread cheaply,849.0,"878,1,0,0,1,,,,"
850,850,I can see where is better by comparing,850.0,"879,1,0,0,0,,,,"
851,851,to be able to enjoy various things,851.0,"880,0,1,0,0,,,,"
852,852,I can see many things,852.0,"881,0,0,1,0,,,,"
853,853,You can enjoy a variety of bread.,853.0,"882,0,0,0,0,,,,"
854,854,The performance of the product is much better,854.0,"883,1,0,0,0,,,,"
855,855,The performance of the product is good,855.0,"884,0,0,0,0,,,,"
856,856,Product performance improves,856.0,"885,0,1,0,0,,,,"
857,857,You have more choices,857.0,"886,0,0,0,0,,,,"
858,858,The price goes down,858.0,"887,0,0,1,0,,,,"
859,859,You get better quality,859.0,"888,0,1,0,0,,,,"
860,860,I don't know.,860.0,"889,1,0,0,0,,,,"
861,861,"Since it's cheap, there are a lot of muk-ggings and real rice",861.0,"890,0,0,1,0,,,,"
862,862,I eat various kinds of bread,862.0,"891,1,1,1,0,,,,"
863,863,You can get better service at various bakeries.,863.0,"892,1,0,0,0,,,,"
864,864,We will try to provide better service to each other so that consumers can buy or eat in a better environment,864.0,"893,1,0,0,0,,,,"
865,865,"As stores compete with each other, consumers can find better stores.",865.0,"894,0,0,0,1,,,,"
866,866,I went to Moru,866.0,"895,0,0,1,0,,,,"
867,867,You can eat while comparing.,867.0,"896,0,0,1,0,,,,"
868,868,The condition of the product improves or the price becomes cheaper,868.0,"897,1,0,1,0,,,,"
869,869,We can compete with each other and develop more,869.0,"898,1,1,0,0,,,,899,0,1,1,0,,,,"
870,870,You can get better service,870.0,"900,1,0,0,0,,,,"
871,871,You can choose which bakery to go to,871.0,"901,0,0,0,0,,,,"
872,872,to be able to choose,872.0,"902,0,0,0,0,,,,"
873,873,Make it more beneficial to consumers,873.0,"903,1,0,0,0,,,,"
874,874,You can buy bread at a lower price,874.0,"904,0,0,0,0,,,,"
875,875,You can get a new service,875.0,"905,1,1,0,0,,,,"
876,876,You can be treated well.,876.0,"906,0,0,0,0,,,,"
877,877,The price goes down.,877.0,"907,0,0,0,1,,,,"
878,878,to be able to get something new,878.0,"908,1,1,0,0,,,,"
879,879,to be able to get something new,879.0,"909,0,0,0,1,,,,"
880,880,have a chance to choose,880.0,"910,1,1,0,0,,,,"
881,881,There are many opportunities to choose.,881.0,"911,0,0,0,1,,,,"
882,882,This is because we can try many breads because we develop and sell new breads,882.0,"912,1,0,1,0,,,,"
883,883,Bread becomes cheaper,883.0,"913,0,0,0,0,,,,"
884,884,I can eat something more delicious,884.0,"914,0,0,0,0,,,,"
885,885,to be able to receive better service,885.0,"915,0,0,0,0,,,,"
886,886,"The price of bread is getting cheaper, which is much better for consumers",886.0,"916,0,0,1,0,,,,"
887,887,"The price of bread is getting cheaper, which is much better for consumers.",887.0,"917,0,0,1,0,,,,"
888,888,Consumers can eat delicious bread because a bakery and b bakery make each other more delicious bread when they compete,888.0,"918,0,0,0,0,,,,"
889,889,The bread is getting cheaper and will benefit consumers,889.0,"919,0,1,1,0,,,,"
890,890,"If you compete, you can buy it cheaply because you want to reduce the price of each other.It is possible to provide consumers with more delicious and better facilities by researching interior cooking by consuming that it will be better than other bakeries by competing.",890.0,"920,1,0,0,0,,,,"
891,891,I'm glad there are more kinds to buy,891.0,"921,1,0,0,0,,,,"
892,892,The people have the right to...,892.0,"922,1,0,0,0,,,,"
893,893,Better service and cheaper bread are available,893.0,"923,0,0,0,0,,,,"
894,894,I can eat both bakery A and bakery B,894.0,"924,1,0,0,0,,,,"
895,895,"To compete, we try to make more delicious bread for each other, so that better and more delicious bread comes to consumers",895.0,"925,1,0,0,0,,,,"
896,896,Facilities and services will be better to attract customers to each other,896.0,"926,0,0,0,0,,,,"
897,897,You can taste various kinds of bread.,897.0,"927,1,0,0,0,,,,"
898,898,"If there is a competitive store next to one's store, it will be competitive and pursue something better than the other's store, so consumers will be able to buy better things.",898.0,"928,0,1,0,0,,,,929,1,0,0,0,,,,"
899,899,to be able to eat bread at a cheaper price,899.0,"930,1,1,0,0,,,,"
900,900,You can see more kinds of bread and choose the best bread for yourself,900.0,"931,1,0,0,0,,,,"
901,901,You can choose to go to the more delicious bakery among many bakeries or buy bread at a cheaper place.,901.0,"932,1,0,0,0,,,,"
902,902,You can buy bread at the cheaper of the two.,902.0,"933,1,0,0,0,,,,"
903,903,You can buy bread at a cheaper place,903.0,"934,1,0,1,0,,,,"
904,904,"If you think your store should be better than other stores and try to make it better, consumers will benefit from the consumer's point of view because they can buy it more cost-effectively.",904.0,"935,1,0,0,0,,,,"
905,905,You can eat new bread because you say you will win if you do economy.,905.0,"936,0,0,0,0,,,,"
906,906,"Each bakery sells different bread, so you can eat different breads when you want to eat different breads",906.0,"937,0,0,0,0,,,,"
907,907,You have the opportunity to buy more bread and you can buy it cheaper,907.0,"938,0,0,0,0,,,,"
908,908,"While competing with each other, bakeries can reduce the price of bread to sell well to each other, so they can buy bread more cheaply and deliciously.",908.0,"939,0,0,0,0,,,,"
909,909,I think the consumer will be very good at choosing better bread.,909.0,"940,0,0,1,0,,,,"
910,910,You can buy it cheaply,910.0,"941,0,0,0,0,,,,"
911,911,Don't know,911.0,"942,0,1,0,0,,,,"
912,912,More to promote,912.0,"943,0,1,0,0,,,,"
913,913,to be able to buy cheaply,913.0,"944,0,0,0,0,,,,"
914,914,We can spend more wisely.,914.0,"945,0,1,0,0,,,,"
915,915,"e.g. A is 1,000 won and B is 1,100 won",915.0,"946,0,1,0,0,,,,"
916,916,You can buy products cheaply. You can buy quality products.,916.0,"947,0,0,0,0,,,,"
917,917,.,917.0,"948,0,1,0,0,,,,"
918,918,"You can make a profit (service improvement, etc.)",918.0,"949,0,0,0,0,,,,"
919,919,It's cheaper and better,919.0,"950,1,0,0,0,,,,"
920,920,"""There is a possibility that we will be able to implement what is beneficial to consumers",920.0,"951,1,0,0,0,,,,"
921,921,"""",921.0,"952,0,1,0,0,,,,"
922,922,You can eat food made of cheaper and better quality.,922.0,"953,1,0,0,0,,,,"
923,923,be likely to benefit,923.0,"954,1,0,0,0,,,,"
924,924,You can go to many stores and buy cheap things.,924.0,"955,0,0,0,0,,,,"
925,925,This is because bakery parallels are maintained.,925.0,"956,1,0,0,0,,,,"
926,926,...,926.0,"957,0,0,0,0,,,,"
927,927,I don't know,927.0,"958,0,1,0,0,,,,959,1,1,0,0,,,,"
928,928,There may be new bread,928.0,"960,0,1,0,0,,,,"
929,929,have access to a variety of things,929.0,"961,0,1,0,0,,,,"
930,930,You can know more by looking at what someone else has done other than what I think.,930.0,"962,0,0,0,0,,,,"
931,931,We can compare the products of the two stores and buy better products.,931.0,"963,0,1,0,0,,,,"
932,932,"And you can buy it cheaper.""",932.0,"964,0,1,0,0,,,,"
933,933,You can buy it cheaper.,933.0,"965,1,0,0,1,,,,"
934,934,You can buy it cheaper,934.0,"966,1,0,0,0,,,,"
935,935,They sell at a low price to make each other cheap and attract people,935.0,"967,1,1,0,0,,,,"
936,936,The economy develops.,936.0,"968,1,0,0,0,,,,"
937,937,Consumers can buy the same product at a lower price.,937.0,"969,1,0,0,0,,,,"
