,Unnamed: 0,"2) The wooden ladle wasn't hot, but why did the metal ladle get hot?",Unnamed: 0,", q40_column movement, q40_material, q40_column movement1, q40_material.1"
503,503,Metal transfers heat better than wood,503.0,"520,1,0,,"
504,504,Because metal has a lot of heat,504.0,"521,1,1,,"
505,505,"This is because wood does not transfer heat, but metal transfers heat.",505.0,"522,1,0,,"
506,506,"The wooden ladle didn't move the heat, but the metal ladle moved the heat",506.0,"523,1,0,,"
507,507,The ingredients inside are different,507.0,"524,1,1,,"
508,508,Because of the heat transfer,508.0,"525,0,0,,"
509,509,Fast transfer of heat.,509.0,"526,1,1,,"
510,510,Metal moves faster with heat than wood,510.0,"527,1,0,,"
511,511,Fast transfer of heat.,511.0,"528,1,0,,"
512,512,It's a tool that changes depending on the temperature,512.0,"529,1,0,,"
513,513,"Wood does not burn when it touches hot water, so metal burns when it touches water",513.0,"530,0,1,,"
514,514,"Metals are substances that transfer heat, and trees do not transfer heat",514.0,"531,0,0,,"
515,515,"Wooden ladle is wood, so it does not heat well, but metal does heat well",515.0,"532,1,1,,"
516,516,The ladle in the tree will not be hot,516.0,"533,0,1,,"
517,517,Metal travels fast in heat.,517.0,"534,0,1,,"
518,518,Because it's metal,518.0,"535,1,1,,"
519,519,This is because heat travels better in metals.,519.0,"536,1,1,,"
520,520,Wood ladle has low heat transfer and metal ladle has high lead transfer,520.0,"537,1,1,,"
521,521,Metal has a higher thermal conductivity than wood,521.0,"538,1,1,,539,1,1,,"
522,522,Because of heat transfer,522.0,"540,0,0,,"
523,523,It's good for heat transfer,523.0,"541,1,1,,"
524,524,It is because the metal ladle is heated.,524.0,"542,1,1,,"
525,525,This is because heat conduction occurs better.,525.0,"543,0,1,,"
526,526,It delivers heat well and radiates fast,526.0,"544,1,1,,"
527,527,Metal transfers heat better,527.0,"545,1,1,,"
528,528,in a fit of anger,528.0,"546,0,1,,"
529,529,Because metals move heat better,529.0,"547,1,1,,"
530,530,The heat is transferred quickly,530.0,"548,0,0,,"
531,531,Because the heat transfer was faster,531.0,"549,0,1,,"
532,532,The heat conductivity is different,532.0,"550,1,1,,"
533,533,It's metal,533.0,"551,0,1,,"
534,534,It's heated up,534.0,"552,0,0,,"
535,535,"The wood doesn't transfer heat, and the metal transfers heat",535.0,"553,0,0,,"
536,536,Because it's metal,536.0,"554,0,0,,"
537,537,Metal is iron. Wood is wood,537.0,"555,0,1,,"
538,538,Because heat is transferred better to metal,538.0,"556,0,1,,"
539,539,"Trees don't absorb heat, but metals absorb heat",539.0,"557,1,1,,"
540,540,"""The metal ladle delivers heat well",540.0,"558,0,1,,"
541,541,"""",541.0,"559,1,1,,"
542,542,Tree countries don't absorb heat,542.0,"560,1,1,,"
543,543,The metal ladle moves faster than the wooden ladle,543.0,"561,0,0,,"
544,544,I don't know,544.0,"562,1,1,,"
545,545,Metal absorbs heat quickly and a lot,545.0,"563,1,1,,"
546,546,The metal ladle is more heat-transferable,546.0,"564,0,1,,"
547,547,This is because metal gets hotter faster than wood.,547.0,"565,0,1,,"
548,548,"Trees do not absorb heat, but metals do",548.0,"566,0,0,,"
549,549,"Wood ladle has slow heat conduction, but metal ladle has fast heat conduction",549.0,"567,0,1,,"
550,550,I think it's because the wooden ladle and the metal ladle have different heating times.,550.0,"568,1,1,,569,1,1,,"
551,551,This may be because metal ladles move heat faster than wooden ladles.,551.0,"570,1,1,,"
552,552,I don't know.,552.0,"571,0,0,,"
553,553,It takes time for metal to cool down if it gets hot at once,553.0,"572,0,1,,"
554,554,"Wooden ladles don't transfer heat, but metal ladles do",554.0,"573,1,0,,"
555,555,Trees do not have heat.,555.0,"574,0,1,,"
556,556,I don't know.,556.0,"575,0,1,,"
557,557,I don't know,557.0,"576,0,0,,"
558,558,I don't know.,558.0,"577,1,1,,"
559,559,"Because it is a ladle made of metal, it moves faster due to heat.",559.0,"578,0,1,,"
560,560,This is because metal ladle takes away heat.,560.0,"579,0,1,,"
561,561,This is because wood does not transfer heat quickly and metal transfers heat quickly.,561.0,"580,0,1,,"
562,562,Because it's metal,562.0,"581,0,1,,"
563,563,"""The heat of hot water was not transferred well to the wooden ladle, but the heat of metal ladle was not transferred well",563.0,"582,0,1,,"
564,564,"""It got hotter because it was delivered well""",564.0,"583,0,1,,"
565,565,"Because iron transfers heat,",565.0,"584,0,0,,"
566,566,"Because hot water is heated up,",566.0,"585,0,0,,"
567,567,"The wooden ladle is not hot because the heat moves slowly, and the metal ladle is hot because the heat moves quickly",567.0,"586,0,1,,"
568,568,Because metal absorbs heat.,568.0,"587,0,0,,"
569,569,Metal ladle heats up quickly,569.0,"588,1,1,,"
570,570,"""Because trees are not cold or hot",570.0,"589,0,1,,"
571,571,"And the hot ladle is metal, so it's grunge.""",571.0,"590,0,0,,"
572,572,Wooden ladle did so because the heat was moderate.,572.0,"591,1,1,,"
573,573,"This is because wooden ladles reflect hot things, but metal ladles react to hot things.",573.0,"592,0,1,,"
574,574,This is because heat is transferred better by a metal ladle than a wooden ladle.,574.0,"593,1,1,,"
575,575,This is because the hot heat spreads slowly and the metal spreads quickly in wooden ladles.,575.0,"594,0,0,,"
576,576,"This is because metal heats up faster, and trees do not.",576.0,"595,1,1,,"
577,577,"""",577.0,"596,1,1,,"
578,578,,578.0,"597,1,1,,"
579,579,,579.0,"598,0,1,,599,1,0,,"
580,580,,580.0,"600,0,1,,"
581,581,"I don't know.""",581.0,"601,1,1,,"
582,582,"This is because wooden ladle melts when it is very hot, and the temperature of metal changes depending on the temperature.",582.0,"602,1,1,,"
583,583,This is because wooden ladles do not have high thermal conductivity,583.0,"603,1,1,,"
584,584,"Wood gets hot even when it touches water for a long time, but metal gets hot.",584.0,"604,1,1,,"
585,585,A wooden ladle can release heat,585.0,"605,0,1,,"
586,586,I don't know,586.0,"606,0,1,,"
587,587,This is because metal ladle is hot and not wooden ladle,587.0,"607,1,1,,"
588,588,"Trees burn, but iron is poisonous to fire.",588.0,"608,0,1,,"
589,589,"Wood doesn't work well, but iron works well",589.0,"609,0,0,,"
590,590,"The temperature of wooden ladles does not change very easily, but iron changes the temperature quickly",590.0,"610,1,1,,"
591,591,The characteristics of the ingredients are different,591.0,"611,0,0,,"
592,592,This is because trees emit heat and metals do not.,592.0,"612,1,1,,"
593,593,This is because metal heats up better than wood.I prefer water,593.0,"613,1,1,,"
594,594,This is because heat travels better to metal than wood.,594.0,"614,0,1,,"
595,595,"Wood does not get hot because it gets wet immediately when immersed in hot water, and metal ladle gets wet in water, but it gets hot because it can control the temperature.",595.0,"615,0,1,,"
596,596,Because I put it in the water,596.0,"616,0,1,,"
597,597,This is because trees do not conduct much heat,597.0,"617,1,0,,"
598,598,Because the metal ladle is a conductor.,598.0,"618,0,1,,"
599,599,I don't know,599.0,"619,0,0,,"
600,600,"This is because wooden ladles transfer heat to increase, but metal ladles transfer heat quickly.",600.0,"620,1,1,,"
601,601,"The wooden ladle is a semiconductor, but the metal ladle is affected by heat",601.0,"621,1,0,,"
602,602,Trees conduct themselves,602.0,"622,1,1,,"
603,603,The heat is transferred to the ladle.,603.0,"623,0,0,,"
604,604,"The wooden ladle has low heat conduction, so heat has not yet moved, but the metal has high heat conduction, so heat is transferred to the handle in an instant.",604.0,"624,1,0,,"
605,605,"Wood is not conducting well, but metal is conducting well",605.0,"625,1,1,,"
606,606,"Wooden ladles do not move heat well, but metal ladles move heat well.",606.0,"626,1,0,,"
607,607,"I know it's not very hot, but it won't be able to absorb iron, and it'",607.0,"627,0,1,,"
608,608,It is because the heat is transferred quickly.,608.0,"628,1,1,,629,1,1,,"
609,609,Wooden ladle doesn't get too hot,609.0,"630,1,1,,"
610,610,This is because metal ladles transfer heat faster than wooden ladles.,610.0,"631,1,1,,"
611,611,This is because heat moves faster in metallic materials than in wood materials.,611.0,"632,1,1,,"
612,612,"The wooden ladle is slow to move heat, but it moves fast",612.0,"633,1,1,,"
613,613,"The wood does not transfer heat, but the metal transfers heat well.",613.0,"634,0,0,,"
614,614,"As the iron evaporated, the hot surface spread entirely",614.0,"635,1,1,,"
615,615,This is because the metal ladle gets hotter.,615.0,"636,1,0,,"
616,616,"This is because wooden ladles move heat slowly, but metal moves quickly",616.0,"637,1,1,,"
617,617,This is because trees are not affected by heat.,617.0,"638,0,1,,"
618,618,1)for the same reason as,618.0,"639,1,1,,"
619,619,"Wooden ladle does not conduct well, but metal does conduct well.",619.0,"640,1,1,,"
620,620,heated up,620.0,"641,1,1,,"
621,621,Metal absorbs heat faster than wood,621.0,"642,1,1,,"
622,622,"Wood has a low heat transfer matrix, but metal has a high heat transfer matrix, so the metal ladle gets hot.",622.0,"643,1,1,,"
623,623,The properties of metal are often transmitted to the upper part of the temperature.,623.0,"644,1,1,,"
624,624,This is because metal does not cool down faster than wood and is iron.,624.0,"645,0,1,,"
625,625,Metal cools down faster than wood,625.0,"646,1,1,,"
626,626,Because the thermal conductivity is strong,626.0,"647,0,0,,"
627,627,This is because metal does not cool down faster than wood and is iron.,627.0,"648,1,1,,"
628,628,I don't know,628.0,"649,0,0,,"
629,629,Too ladle doesn't conduct heat,629.0,"650,1,0,,"
630,630,Because of the high heat conductivity!,630.0,"651,0,1,,"
631,631,This is because wood has low thermal conductivity and high metal.,631.0,"652,1,1,,"
632,632,Because it's a metal ladle,632.0,"653,1,1,,"
633,633,It has high thermal conductivity,633.0,"654,1,1,,"
634,634,The wooden ladle uses wood that does not transfer heat,634.0,"655,1,1,,"
635,635,It's heat transferred well,635.0,"656,1,1,,"
636,636,Trees are not sensitive to hot things,636.0,"657,1,0,,"
637,637,This is because metal has higher thermal conductivity than wood.,637.0,"658,1,1,,659,0,0,,"
638,638,This is because metal has better thermal conductivity than wood.,638.0,"660,1,1,,"
639,639,"The wooden ladle received less heat because of its low thermal conductivity, and the metal ladle heated up quickly because of its high thermal conductivity.",639.0,"661,1,1,,"
640,640,This is because the heat conduction of wooden ladle is not easy compared to the metal ladle.,640.0,"662,0,1,,"
641,641,This is because metal transfers heat better than wood.,641.0,"663,1,1,,"
642,642,This is because metal has better thermal conductivity than wood.,642.0,"664,1,1,,"
643,643,It's because the speed of movement is active,643.0,"665,1,1,,"
644,644,This is because metals have higher thermal conductivity than trees.,644.0,"666,1,1,,"
645,645,It's good for heat transfer,645.0,"667,1,1,,"
646,646,Metal is the reason why the metal ladle is hot because of the fast heat transfer,646.0,"668,0,1,,"
647,647,"The metal is a conductor. Although heat and electricity work well, the wooden ladle is not hot because it is a material that does not transfer heat well",647.0,"669,1,1,,"
648,648,"Because metal has a higher heat transfer rate than wood, only the metal ladle has become hot.",648.0,"670,0,0,,"
649,649,Metal has high thermal conductivity,649.0,"671,0,1,,"
650,650,"This is because wood is a nonconductor, so heat is not transferred well, and metal is a conductor, so heat transfer is good.",650.0,"672,1,1,,"
651,651,The metal ladle is much higher than the wooden ladle,651.0,"673,1,1,,"
652,652,Wood has no heat transfer and metal has fast heat transfer,652.0,"674,1,1,,"
653,653,This is because an object made of metal such as a metal ladle has better thermal conductivity than an object made of non-metal such as a wooden ladle.,653.0,"675,0,1,,"
654,654,The reason why the metal ladle gets hot is because it gets heated easily,654.0,"676,1,1,,"
655,655,"Wooden ladles do not get hot easily due to their low thermal conductivity, but metal ladles feel hot because they get hot in a short time due to their high thermal conductivity",655.0,"677,1,1,,"
656,656,.,656.0,"678,1,1,,"
657,657,This is because iron has higher thermal conductivity than wood.,657.0,"679,1,1,,"
658,658,Conductors and non-conductors,658.0,"680,1,1,,"
659,659,have low heat conduction,659.0,"681,0,1,,"
660,660,"Wood ladle is nonconductor, metal ladle is conductor",660.0,"682,1,1,,"
661,661,This is because trees transfer heat slowly and iron transfers heat quickly,661.0,"683,1,1,,"
662,662,"Wood has no heat conduction, and metal has more heat conduction.",662.0,"684,0,1,,"
663,663,This is because wooden ladles do not conduct heat well.,663.0,"685,1,1,,"
664,664,Wooden ladle can't move heat,664.0,"686,1,0,,"
665,665,This is because metal ladles conduct heat faster than wooden ladles.,665.0,"687,0,1,,"
666,666,This is because the conductivity of the metal ladle is larger.,666.0,"688,1,1,,689,0,1,,"
667,667,This is because metal ladles conduct heat better than wooden ladles.,667.0,"690,1,1,,"
668,668,This is because metal materials conduct faster than wood.,668.0,"691,0,0,,"
669,669,"Because wooden ladle is wood, there is no thermal conductivity, because metal is there.",669.0,"692,0,1,,"
670,670,Metal has a higher thermal conductivity than wood,670.0,"693,1,1,,"
671,671,Dense intermolecular density The tree,671.0,"694,1,1,,"
672,672,This is because the thermal conductivity of the metal ladle is high.,672.0,"695,0,0,,"
673,673,This is because trees have low thermal conductivity and metals have low thermal conductivity.,673.0,"696,0,1,,"
674,674,This is because metal has higher thermal conductivity than wood.,674.0,"697,0,0,,"
675,675,Metal has high thermal conductivity,675.0,"698,1,1,,"
676,676,"The wooden ladle is not hot because of its low thermal conductivity, and the metal ladle is hot due to its high thermal conductivity.",676.0,"699,1,1,,"
677,677,This is because wooden ladle does not heat well.,677.0,"700,1,1,,"
678,678,This is because heat conduction is faster in metal.,678.0,"701,0,0,,"
679,679,in the heat of one's heart,679.0,"702,1,1,,"
680,680,The metal will heat up better,680.0,"703,0,1,,"
681,681,"Wooden ladles do not heat well, but metal ladles heat up well",681.0,"704,1,1,,"
682,682,This is because wooden ladle is slower to heat than metal ladle.,682.0,"705,0,1,,"
683,683,The metal ladle moves heat faster than the wooden ladle,683.0,"706,1,1,,"
684,684,The metal ladle got burned by the water,684.0,"707,0,0,,"
685,685,Because metal transfers heat well,685.0,"708,0,1,,"
686,686,Metal transfers heat faster. It's because it's delivered well.,686.0,"709,1,0,,"
687,687,This is because the heat conduction in the metal ladle is faster than the wooden ladle.,687.0,"710,0,1,,"
688,688,Metal ladle absorbs heat,688.0,"711,0,1,,"
689,689,"This is because heat is not easily transmitted in wooden ladles, but heat is easily transmitted in metal ladles.",689.0,"712,0,1,,"
690,690,Metal ladle is made of metal unlike wooden ladle?,690.0,"713,1,1,,"
691,691,Metal conducts heat well,691.0,"714,0,1,,"
692,692,Metal has a strong heat transfer power 강Because it's metal,692.0,"715,0,1,,"
693,693,This is because metal ladles have higher thermal conductivity than wooden ladles.,693.0,"716,1,1,,"
694,694,This is because wooden ladles have lower thermal conductivity than metal ladles.,694.0,"717,1,0,,"
695,695,"The heat of the wooden ladle changes immediately, and the metal ladle is made of metal.The heat is not hot.",695.0,"718,0,1,,719,1,1,,"
696,696,"This is because wooden ladles are objects that are difficult to transfer heat, and metal ladles transfer heat well.",696.0,"720,1,1,,"
697,697,This is because the properties of the materials made are different.,697.0,"721,1,1,,"
698,698,Metals transfer heat well and trees do not transfer heat well.,698.0,"722,1,1,,"
699,699,ㅁㄴㅇ,699.0,"723,1,1,,"
700,700,It is because trees do not receive heat.,700.0,"724,1,1,,"
701,701,A wooden ladle is an object that doesn't transfer heat,701.0,"725,1,1,,"
702,702,"It is because the heat is not transferred well in wood, but the metal is heat transferred well",702.0,"726,1,1,,"
703,703,I have a lot of fever around me,703.0,"727,1,1,,"
704,704,Wooden ladles are less heated than metal ladles,704.0,"728,1,1,,"
705,705,Hah!,705.0,"729,1,1,,"
706,706,It brings heat better than metal or wood,706.0,"730,1,1,,"
707,707,"Wood doesn't heat well. Metal ladle is made of steel, so it heat well",707.0,"731,1,1,,"
708,708,"The heat didn't move on the wooden ladle, but the heat moved on the metal ladle",708.0,"732,1,1,,"
709,709,Hah!,709.0,"733,0,0,,"
710,710,I don't think the wood will heat well.,710.0,"734,1,1,,"
711,711,"This is because the heat does not move upward in wooden ladles, and the heat moves upward in metal ladles.",711.0,"735,0,1,,"
712,712,Wood does not heat well and metal works well,712.0,"736,0,0,,"
713,713,"It's a mineral and it's hard, and the wood doesn't get hot",713.0,"737,1,1,,"
714,714,The trees do not carry heat,714.0,"738,1,0,,"
715,715,d,715.0,"739,0,1,,"
716,716,This is because wooden ladle cools easily and metal does not cool easily,716.0,"740,1,1,,"
717,717,I guess it's hot,717.0,"741,0,1,,"
718,718,The properties of metal are great.,718.0,"742,1,1,,"
719,719,"It seems that this is because wooden ladles have no properties of absorbing heat, and metal ladles have properties of absorbing heat.",719.0,"743,1,1,,"
720,720,"There was hot water on the tree, and it hit the tree and went outside",720.0,"744,0,1,,"
721,721,"Wood doesn't heat up easily, so the ladle heats up quickly",721.0,"745,1,1,,"
722,722,The heat in the hot water went to the metal ladle,722.0,"746,1,1,,"
723,723,It's made of wood,723.0,"747,1,1,,"
724,724,"Metal materials have high thermal conductivity, so they quickly cool down and get hot quickly. In comparison, wood materials have low thermal conductivity, so they take a long time to get hot. Therefore, a metal ladle with higher thermal conductivity heats up more.",724.0,"748,1,1,,749,1,1,,"
725,725,I'm sure the heat works well,725.0,"750,0,0,,"
726,726,Because the tree sends heat outside,726.0,"751,1,1,,"
727,727,"Because the metal ladle is more thermally conductive than the wooden ladle, the wooden ladle does not get hot, but the metal ladle gets hot",727.0,"752,0,0,,"
728,728,"The wooden ladle is relatively less hot because it heats up slowly because it has a larger specific heat than the metal ladle, and the metal ladle with a smaller specific heat heats up quickly.",728.0,"753,1,1,,"
729,729,"Wooden ladle has a lower thermal conductivity than metal ladle and has a higher specific heat, which makes it hot relatively late.",729.0,"754,0,0,,"
730,730,"The wooden ladle has a small thermal conductivity, but the metal ladle has a high thermal conductivity, so the wooden ladle does not get hot and the metal ladle gets hot.",730.0,"755,1,1,,"
731,731,This is because metal transfers heat faster than wood.,731.0,"756,1,0,,"
732,732,"Wood has a higher specific heat, the amount of heat needed to raise the temperature of the material, than metal. That's why the metal ladle got hotter faster.",732.0,"757,0,0,,"
733,733,"The conduction of heat transfer in solids directly transfers energy between molecules, so intermolecular distances or regular arrangements are important. The molecules that make up the tree are far from each other and are arranged irregularly, so it is not suitable as a passage through which energy flows due to a lot of interference with heat transfer. On the other hand, metals have a close intermolecular distance and a regular arrangement, so energy is transferred well.",733.0,"758,1,1,,"
734,734,"Wooden ladle does not get hot easily because of its low thermal conductivity, and metal ladle is hot because of its high thermal conductivity",734.0,"759,1,0,,"
735,735,"A wooden ladle is a material that does not conduct wood, so it does not get hot by blocking heat movement, but in the case of a metal ladle, the metal ladle will get hot if it is put in hot water because the heat conduction is very fast.",735.0,"760,0,1,,"
736,736,"Different substances have different rates of heat transfer and different amounts of energy required to rise by one degree. The reason why the wooden ladle is not hot and only the metal ladle is hot is because the specific heat is different. Because the energy required for iron to rise 1 degree is less than the energy required for wood to rise 1 degree, the temperature of the iron went up faster and the temperature of the wood went up relatively low.",736.0,"761,1,1,,"
737,737,"Metal ladle is easily heated due to its small specific heat, and wooden ladle is very large in specific heat, so it takes a long time to heat easily.",737.0,"762,0,0,,"
738,738,"First, specific heat means the amount of heat required to raise the temperature by 1 degree Celsius, because the specific heat of the wooden ladle is larger than the specific heat of the metal ladle, so the temperature does not rise more easily than the metal ladle.",738.0,"763,0,0,,"
739,739,"The metal ladle is heated by heat conduction by hot water. Trees have the property of heat conduction. Metal, on the other hand, has a better heat conduction property than wood, so it gets hotter easily than wood.",739.0,"764,1,1,,"
740,740,"The wooden ladle did not get hot easily due to its large specific heat, but the metal ladle would have gotten hotter faster than the wooden ladle due to its small specific heat.",740.0,"765,1,1,,"
741,741,The heat evaporates upward,741.0,"766,1,1,,"
742,742,Because iron is needed for heat to move,742.0,"767,1,1,,"
743,743,Because metal objects receive more heat,743.0,"768,1,1,,"
744,744,I'll react quickly to the heat quickly,744.0,"769,1,1,,"
745,745,"This is because wooden ladle is a material that does not transfer heat, and metal ladle is a material capable of transferring heat.",745.0,"770,1,1,,"
746,746,Because heat conduction becomes faster,746.0,"771,1,1,,"
747,747,"It's hot, but it's hard to be polite",747.0,"772,1,1,,"
748,748,"""Metals conduct heat easily,",748.0,"773,1,1,,"
749,749,"This is because trees do not conduct heat well.""",749.0,"774,0,0,,"
750,750,Metal is a metal,750.0,"775,0,1,,"
751,751,"Wood doesn't carry heat, metal does.",751.0,"776,1,0,,"
752,752,The metal ladle became hot because the wooden ladle had no heat transfer and the metal ladle had heat transfer,752.0,"777,1,0,,"
753,753,"The wooden ladle absorbs water, so it is not hot, and the metal ladle gets hot because of the heat of the hot water",753.0,"778,1,1,,779,1,0,,"
754,754,Metal ladle became hotter because metal had higher thermal conductivity than wood.,754.0,"780,1,1,,"
755,755,"Trees have a lot of empty space, many obstacles to heat transfer, such as absorbing water, and iron collides with molecular arrangements, and has high heat conduction properties, making it ideal for heat transfer.",755.0,"781,1,1,,"
756,756,"Metal has high thermal conductivity, and the reason why the wooden ladle is not hot is because it is an insulator",756.0,"782,1,0,,"
757,757,This is because metal has higher thermal conductivity than wood.,757.0,"783,1,1,,"
758,758,"Because wooden ladles have a higher specific heat than metal ladles, temperature changes do not occur easily",758.0,"784,1,0,,"
759,759,I don't know.,759.0,"785,1,0,,"
760,760,"Metal moves heat well, but wood doesn't move heat well",760.0,"786,1,0,,"
761,761,Just.,761.0,"787,1,1,,"
762,762,Because metal absorbs heat quickly?,762.0,"788,1,0,,"
763,763,I didn't learn it.,763.0,"789,1,0,,"
764,764,Because metal absorbs heat quickly?,764.0,"790,1,0,,"
765,765,The metal ladle heats up well,765.0,"791,1,1,,"
766,766,I don't know.,766.0,"792,1,0,,"
767,767,The metal moves well,767.0,"793,1,1,,"
768,768,through heat,768.0,"794,1,1,,"
769,769,Metal gets hot when it touches hot substances,769.0,"795,1,1,,"
770,770,Metal is good for heat transfer,770.0,"796,1,1,,"
771,771,I don't know,771.0,"797,1,1,,"
772,772,The answer is the same as above.,772.0,"798,1,1,,"
773,773,Because metal moves heat better,773.0,"799,1,1,,"
774,774,This is because wooden ladle is a material that does not transfer heat well.,774.0,"800,1,1,,"
775,775,This is because metal transfers heat faster than wood.,775.0,"801,1,1,,"
776,776,Iron absorbs heat easily,776.0,"802,1,1,,"
777,777,This is because wooden ladles do not heat well and metals heat well,777.0,"803,1,1,,"
778,778,"This is because hot heat does not pass through trees, and heat passes through metals.",778.0,"804,1,0,,"
779,779,"Metal works well with hot heat, but wood doesn't",779.0,"805,1,1,,"
780,780,"""Metals get hot quickly because they are temperature-sensitive",780.0,"806,1,1,,"
781,781,"The wood is not hot because the temperature doesn't work.""",781.0,"807,1,0,,"
782,782,Metals heat transfer well,782.0,"808,1,1,,809,0,1,,"
783,783,"Wooden ladles do not transfer heat well, but metal transfers heat quickly.",783.0,"810,1,1,,"
784,784,Because I'm a human being human,784.0,"811,1,1,,"
785,785,Wood is an insulator and metal is a conductor.,785.0,"812,1,0,,"
786,786,"After a long enough time, the temperature of the two ladles is the same. However, they feel the heat differently because of the difference in thermal conductivity.",786.0,"813,0,1,,"
787,787,It heats up easily because of its low specific heat.,787.0,"814,1,0,,"
788,788,The heat conductivity of the wooden ladle is lower than that of the metal ladle,788.0,"815,1,1,,"
789,789,This is because the thermal conductivity is different.,789.0,"816,1,1,,"
790,790,This is because the thermal conductivity of the metal ladle is greater.,790.0,"817,1,0,,"
791,791,"Since the specific heat of the metal is smaller,Since the tree has smaller thermal conductivity, the thermal energy transferred per unit time is different even if the error difference is the same.",791.0,"818,1,1,,"
792,792,This is because metal ladles transfer heat better.,792.0,"819,1,1,,"
793,793,It has high thermal conductivity,793.0,"820,1,0,,"
794,794,"Because the thermal conductivity of the two substances is different,",794.0,"821,1,1,,"
795,795,Thermal Conductivity Difference / Heat Conductivity,795.0,"822,0,1,,"
796,796,"Because of the high conductivity of metal,",796.0,"823,0,1,,"
797,797,Difference in thermal conductivity,797.0,"824,1,1,,"
798,798,This is because the thermal conductivity is different.,798.0,"825,1,0,,"
799,799,Because of the difference in specific heat,799.0,"826,1,0,,"
800,800,The metal ladle has higher thermal conductivity than the wooden ladle.,800.0,"827,1,0,,"
801,801,Difference in thermal conductivity,801.0,"828,1,0,,"
802,802,The molecular activity of metals is active,802.0,"829,1,0,,"
803,803,Wood ladle and metal ladle have small specific heat,803.0,"830,1,1,,"
804,804,"The metal ladle allows free electrons inside the metal to move freely and spread heat to all corners of the metal. Seeing this, it is said to have high thermal conductivity, which is why the metal ladle is hotter than wooden metal, which does not evenly spread heat throughout the object.",804.0,"831,0,1,,"
805,805,Wooden ladle has a slow heat conduction and metal has a fast conduction,805.0,"832,1,1,,"
806,806,"Unlike trees, metal can transfer heat.",806.0,"833,1,1,,"
807,807,This is because the metal ladle has higher thermal conductivity than the wooden ladle.,807.0,"834,0,1,,"
808,808,This is because the conductivity of wood is lower than that of metal,808.0,"835,1,1,,"
809,809,It is more conductive because it is metal,809.0,"836,0,1,,"
810,810,This is because the conductivity of the metal ladle is higher than that of the wooden ladle.,810.0,"837,1,1,,"
811,811,The thermal conductivity of the metal is greater.,811.0,"838,1,0,,839,1,0,,"
812,812,This is because the thermal conductivity is lower than that of the metal ladle.,812.0,"840,1,1,,"
813,813,This is because it has excellent thermal conductivity.,813.0,"841,1,1,,"
814,814,This is because metal has better heat conduction properties than wood.,814.0,"842,1,1,,"
815,815,"Unlike wooden ladles, metal ladles have high thermal conductivity.",815.0,"843,1,1,,"
816,816,Because of the difference in thermal conductivity,816.0,"844,0,1,,"
817,817,This is because metals have higher thermal conductivity than wood.,817.0,"845,1,0,,"
818,818,Wood does not get hot easily because it is an insulation material.,818.0,"846,0,0,,"
819,819,This is because the specific heat of the metal ladle is lower.,819.0,"847,0,1,,"
820,820,"This is because wood has a low heat conductivity, while metal has a high heat conductivity.",820.0,"848,1,1,,"
821,821,This is because the metal ladle has higher heat conductivity than the wooden ladle.,821.0,"849,0,0,,"
822,822,Because wood is an insulator and metal is a conductor,822.0,"850,0,0,,"
823,823,This is because metal ladles conduct heat better than wooden ladles.,823.0,"851,1,0,,"
824,824,This is because metals have stronger thermal conductivity than non-metallic materials.,824.0,"852,0,1,,"
825,825,Wooden ladles have low thermal conductivity and do not get hot easily.,825.0,"853,1,0,,"
826,826,Thermal conduction,826.0,"854,0,0,,"
827,827,This is because metals have high thermal conductivity.,827.0,"855,0,0,,"
828,828,"This is because wood has a large specific heat, whereas metal has a small specific heat.",828.0,"856,1,0,,"
829,829,It's because the heat is conducted better.,829.0,"857,1,1,,"
830,830,"This is because the specific heat of the wooden ladle and the metal ladle is different. The specific heat of the wooden ladle is larger than that of the metal, so it needs more thermal energy to get hot, while the metal ladle does not, so the metal ladle got hot.",830.0,"858,1,1,,"
831,831,I don't think the wooden ladle wanted to do that,831.0,"859,0,1,,"
832,832,"This is because wooden ladles are nonconductors where heat does not move well, and metals are conductors that transfer heat well",832.0,"860,1,0,,"
833,833,This is because the thermal conductivity of the metal ladle is higher than that of the wooden ladle.,833.0,"861,1,0,,"
834,834,The conductivity is fast,834.0,"862,1,1,,"
835,835,It has high thermal conductivity,835.0,"863,1,0,,"
836,836,This is because heat conduction is faster.,836.0,"864,1,1,,"
837,837,The heat conductivity is fast,837.0,"865,1,0,,"
838,838,The conductivity is low,838.0,"866,0,1,,"
839,839,This is because metal easily undergoes heat conduction.,839.0,"867,1,0,,"
840,840,Because metal is a conductor and wood is a nonconductor.,840.0,"868,1,0,,869,1,1,,"
841,841,I guess the wooden ladle doesn't conduct well,841.0,"870,0,0,,"
842,842,The metal ladle conducts heat well,842.0,"871,0,1,,"
843,843,Metal is metal,843.0,"872,1,1,,"
844,844,This is because metal ladles have a higher conductivity than wooden ladles.,844.0,"873,1,0,,"
845,845,Because the tree is Groot,845.0,"874,0,1,,"
846,846,Metal transfers heat better than wood,846.0,"875,1,1,,"
847,847,The heat conduction isn't good,847.0,"876,0,0,,"
848,848,Because of the heat conduction,848.0,"877,1,1,,"
849,849,Because metal and wood conduct at different speeds,849.0,"878,1,1,,"
850,850,"The metal ladle is a conductor and heats up quickly, while the wooden ladle is close to a nonconductor, so it heats up slowly due to its high specific heat.",850.0,"879,1,0,,"
