,Unnamed: 0,2) Why was it so hard to breathe after the first few breaths?,Unnamed: 0,", q42_oxygen, q42_carbon dioxide, q42_air, q42_oxygen.1"
563,563,This is because the air gradually turns into carbon dioxide.,563.0,"582,0,1,0,"
564,564,out of breath,564.0,"583,1,0,0,"
565,565,I don't know,565.0,"584,0,0,0,"
566,566,Because there's not enough air,566.0,"585,0,0,1,"
567,567,All the air in the plastic bag disappeared,567.0,"586,0,0,0,"
568,568,"The human body breathes air and emits carbon dioxide, because the inside of the bag of snacks was sealed, and the air was all consumed by the human body, and only the emitted carbon dioxide was filled in the sealed bag.",568.0,"587,0,0,0,"
569,569,It's because of the lack of air.,569.0,"588,0,0,0,"
570,570,This is because air pressure rises because of the air that comes out when we exhale air.,570.0,"589,0,0,0,"
571,571,Because the air is reduced,571.0,"590,0,0,0,"
572,572,This is because it is gradually replaced by carbon dioxide as it exhales from clean oxygen.,572.0,"591,0,0,0,"
573,573,???????????????????????????????????????,573.0,"592,1,1,0,"
574,574,I don't know.,574.0,"593,0,0,0,"
575,575,Because the air in the bag breathes in,575.0,"594,0,0,0,"
576,576,I don't know,576.0,"595,0,0,0,"
577,577,"Because you breathe oxygen when you breathe air, but you exhale carbon dioxide when you exhale, so if you breathe a few times, you lose oxygen in the bag",577.0,"596,0,0,0,"
578,578,The first air is hot as it is hot,578.0,"597,1,1,0,"
579,579,"There's only a little oxygen in the plastic bag, but it's gradually disappearing",579.0,"598,0,0,1,599,1,0,0,"
580,580,There's air coming out of my body,580.0,"600,0,0,0,"
581,581,??????????,581.0,"601,1,1,0,"
582,582,This is because the air has turned into carbon dioxide.,582.0,"602,0,0,0,"
583,583,"As oxygen decreases, it becomes difficult to breathe.",583.0,"603,0,0,0,"
584,584,out of breath,584.0,"604,0,1,0,"
585,585,This is because air disappears.,585.0,"605,0,0,0,"
586,586,Because inhalation and exhalation are different.,586.0,"606,1,0,0,"
587,587,Because I feel dizzy,587.0,"607,1,0,0,"
588,588,Don't know,588.0,"608,0,1,0,"
589,589,This is because the lung capacity is low.,589.0,"609,0,0,0,"
590,590,??,590.0,"610,0,0,0,"
591,591,It is because the air has escaped.,591.0,"611,0,0,1,"
592,592,"There's less oxygen, there's more carbon dioxide",592.0,"612,1,1,0,"
593,593,I don't knowBecause there is less air to let out than to drink.,593.0,"613,0,0,0,"
594,594,"Because I absorbed all the air, there is not much air left inside.",594.0,"614,0,0,1,"
595,595,I don't know,595.0,"615,0,0,0,"
596,596,"This is because there was oxygen at first, but later only carbon dioxide overflowed.",596.0,"616,0,0,1,"
597,597,The air is gone,597.0,"617,0,0,0,"
598,598,It's because there's no oxygen.,598.0,"618,1,0,0,"
599,599,I'm tired (because I don't have energy,599.0,"619,0,0,0,"
600,600,We need oxygen when we breathe because we have more carbon dioxide.,600.0,"620,0,0,0,"
601,601,All the air in the plastic bag becomes air that cannot breathe.,601.0,"621,1,1,0,"
602,602,I don't know.,602.0,"622,0,1,0,"
603,603,"There's carbon dioxide inside, not air",603.0,"623,0,0,0,"
604,604,"As you breathe faster,",604.0,"624,1,0,0,"
605,605,"Because I breathed in all the oxygen while I was breathing, the oxygen disappeared, making it hard to breathe",605.0,"625,0,0,0,"
606,606,"This is because when you breathe, you have oxygen, but you emit carbon monoxide, so there is less oxygen",606.0,"626,0,0,0,"
607,607,It's because of carbon dioxide.,607.0,"627,0,0,0,"
608,608,Because the air is leaking?,608.0,"628,1,0,0,629,1,1,0,"
609,609,There's less oxygen,609.0,"630,1,1,0,"
610,610,The air is gone,610.0,"631,1,1,0,"
611,611,"You need oxygen when you breathe, but the more you breathe, the more carbon dioxide you get",611.0,"632,0,1,0,"
612,612,"As the air inside goes outside by inhaling and exhaling, it becomes difficult to breathe.",612.0,"633,1,0,0,"
613,613,It's because our bodies breathe and the air decreases a little,613.0,"634,0,0,0,"
614,614,It's because of the atmospheric pressure.,614.0,"635,1,1,0,"
615,615,I ran out of air,615.0,"636,1,0,0,"
616,616,I don't know,616.0,"637,1,1,0,"
617,617,It's because of the lack of air and oxygen.,617.0,"638,1,1,0,"
618,618,I don't know.,618.0,"639,1,1,0,"
619,619,I don't know.,619.0,"640,1,0,0,"
620,620,"The bag is filled with carbon dioxide, not oxygen",620.0,"641,1,1,0,"
621,621,"Breath increases carbon dioxide, making it difficult to breathe because there is more carbon dioxide in the bag than oxygen.",621.0,"642,1,0,0,"
622,622,It's a closed space,622.0,"643,0,0,1,"
623,623,Oxygen is gone,623.0,"644,1,1,0,"
624,624,"When you listen to it, you eat more air, and when you exhale, you exhale a little more air",624.0,"645,1,0,0,"
625,625,I drank all the air,625.0,"646,0,1,0,"
626,626,The size of my breath is small,626.0,"647,0,0,0,"
627,627,This is because they inhaled oxygen.,627.0,"648,0,1,0,"
628,628,Because there's no oxygen and there's more carbon dioxide.,628.0,"649,1,0,0,"
629,629,"Because the air goes into the lungs and carbon dioxide comes out of the body, so oxygen is scarce",629.0,"650,0,1,0,"
630,630,"Because we breathe in oxygen and exhale carbon dioxide, the bag must have carbon dioxide, making it difficult to breathe.",630.0,"651,0,0,0,"
631,631,There's a lot of CO2,631.0,"652,0,1,0,"
632,632,This is because there is a lack of oxygen.,632.0,"653,0,1,1,"
633,633,Because I'm out of breath,633.0,"654,0,0,1,"
634,634,This is because oxygen becomes scarce and carbon dioxide increases.,634.0,"655,1,0,0,"
635,635,I'm running low on oxygen,635.0,"656,1,0,0,"
636,636,It's because oxygen has decreased and carbon dioxide has increased,636.0,"657,1,1,0,"
637,637,"At first, there was a lot of oxygen that we could rest because there was more air than carbon dioxide, but as we exhaled repeatedly, the amount of carbon dioxide that we exhaled became more difficult to breathe",637.0,"658,1,0,0,659,1,0,0,"
638,638,"Inside the bag, oxygen decreased and carbon dioxide increased.",638.0,"660,0,0,0,"
639,639,Because there's less oxygen,639.0,"661,1,0,0,"
640,640,"Humans inhale oxygen and exhale carbon dioxide in the bag, because each time they inhale and exhale, oxygen decreases and carbon dioxide increases, resulting in a lack of oxygen for humans to drink.",640.0,"662,0,1,0,"
641,641,"Because the oxygen in the bag decreases by breathing several times,",641.0,"663,0,1,0,"
642,642,lack of air,642.0,"664,0,1,0,"
643,643,"When a person breathes, there are inhalation and exhalation because they inhale oxygen and exhale carbon dioxide from exhalation.",643.0,"665,1,0,0,"
644,644,lack of oxygen,644.0,"666,0,1,0,"
645,645,It must have been difficult to breathe because the bag was filled with carbon dioxide because it was breathing several times.,645.0,"667,0,0,0,"
646,646,.,646.0,"668,0,0,0,"
647,647,This is because it is difficult for humans to breathe with carbon dioxide.,647.0,"669,1,1,0,"
648,648,There's no oxygen,648.0,"670,1,0,0,"
649,649,There's a lot of carbon dioxide,649.0,"671,0,0,0,"
650,650,It's a limited space. It',650.0,"672,0,1,0,"
651,651,It's because there's more carbon dioxide than air,651.0,"673,0,0,0,"
652,652,This is because carbon dioxide increases and air decreases.,652.0,"674,0,0,0,"
653,653,There's no air,653.0,"675,0,0,0,"
654,654,This is because oxygen decreases from the beginning.,654.0,"676,1,1,0,"
655,655,"Oxygen is needed to breathe, because oxygen is thinned in a plastic bag.",655.0,"677,1,0,0,"
656,656,The amount of carbon dioxide increased and the amount of oxygen decreased.,656.0,"678,1,0,0,"
657,657,This is because the oxygen in the bag decreases.,657.0,"679,0,0,1,"
658,658,"This is because you breathe in oxygen while breathing, which leads to a lack of oxygen in the bag.",658.0,"680,0,1,0,"
659,659,"At first, it was not too much to breathe because it was my first time, but it was hard because I did it several times.",659.0,"681,1,1,0,"
660,660,Because the amount of oxygen decreases,660.0,"682,1,0,0,"
661,661,This is because the carbon dioxide ratio has continued to increase.,661.0,"683,0,1,0,"
662,662,It becomes difficult to breathe because the carbon dioxide farm in the bag rises.,662.0,"684,0,0,0,"
663,663,This is because the carbon dioxide ratio continues to increase.,663.0,"685,0,1,0,"
664,664,"As I said earlier, the amount of oxygen decreased in the first few times of breathing air, but it still remained to some extent, so it would not have been very difficult to breathe. However, as you breathe more and more air, the amount of oxygen disappears, making it difficult to breathe.",664.0,"686,0,1,0,"
665,665,This is because carbon dioxide has increased in the bag.,665.0,"687,0,0,0,"
666,666,d,666.0,"688,1,0,0,689,0,0,0,"
667,667,Because I drank all the air in the bag.,667.0,"690,0,0,0,"
668,668,"Because there's carbon dioxide, not oxygen",668.0,"691,0,0,0,"
669,669,I inhaled the oxygen,669.0,"692,0,1,0,"
670,670,Why?,670.0,"693,1,0,0,"
671,671,The air becomes carbon dioxide,671.0,"694,0,1,0,"
672,672,We drank most of the air,672.0,"695,0,0,0,"
673,673,I don't know.,673.0,"696,0,0,0,"
674,674,I'm out of breath because I keep breathing in and I'm out of breath,674.0,"697,0,0,0,"
675,675,It's because there's less oxygen and more carbon dioxide,675.0,"698,0,0,0,"
676,676,I drank all the oxygen,676.0,"699,0,0,0,"
677,677,This is because they drink all the oxygen and lose oxygen.,677.0,"700,0,1,0,"
678,678,The air is gone,678.0,"701,0,0,0,"
679,679,It's frustrating to drink because it's carbon dioxide I exhaled.,679.0,"702,0,0,0,"
680,680,"""The air in the bag originally had a variety of air, including oxygen and nitrogen, which takes in the oxygen and breathes out, because we can only breathe with oxygen",680.0,"703,0,0,1,"
681,681,"Because the air we exhale is carbon dioxide, the less oxygen we breathe in that bag, the harder it is to breathe.""",681.0,"704,0,0,1,"
682,682,The amount of oxygen gets smaller,682.0,"705,0,0,0,"
683,683,There's a lot of carbon dioxide,683.0,"706,1,0,0,"
684,684,I don't know,684.0,"707,0,0,0,"
685,685,"Because if you keep breathing in and out, the air that I exhaled goes back into the bag, which contains carbon dioxide.",685.0,"708,0,1,0,"
686,686,Because the bag is full of carbon dioxide,686.0,"709,0,0,1,"
687,687,Every air...,687.0,"710,1,0,0,"
688,688,"This is because there is oxygen at first, but it disappears when you inhale it.",688.0,"711,0,0,0,"
689,689,ㅊ,689.0,"712,0,0,0,"
690,690,It's because the air has changed.,690.0,"713,0,0,0,"
691,691,I'm a person,691.0,"714,0,0,0,"
692,692,"When you exhale, carbon dioxide comes outBecause oxygen has decreased",692.0,"715,0,0,0,"
693,693,There's no air. There's carbon dioxide,693.0,"716,1,1,0,"
694,694,ㅇㅎㅇㅇㄴㅇ모허ㅏㅐㅡㅍㅊㅍㅀㅎㅅ교ㅗㅊㄹㄴㄾㄹ삿ㅎㄴ소뇨ㅓㅏㄴㄷ,694.0,"717,0,0,1,"
695,695,"(Singing ""Pffffffffffffffffffffffffffffffffff",695.0,"718,0,0,0,719,1,0,0,"
696,696,issue,696.0,"720,1,1,0,"
697,697,I don't know,697.0,"721,1,1,0,"
698,698,Because the air is escaping,698.0,"722,1,1,0,"
699,699,It is difficult to breathe because it takes a lot of hidden air and exhales hidden carbon dioxide.,699.0,"723,0,1,0,"
700,700,n,700.0,"724,1,0,0,"
701,701,I don't know.,701.0,"725,1,1,0,"
702,702,This is because the air in it is gradually disappearing.,702.0,"726,1,1,0,"
703,703,The air has become thin,703.0,"727,0,0,0,"
704,704,Because air enters the body,704.0,"728,1,1,0,"
705,705,I don't have enough oxygen,705.0,"729,1,1,0,"
706,706,d,706.0,"730,1,1,0,"
707,707,There is no air to breathe in because people do not drink carbon dioxide because they generate carbon dioxide when they breathe and exhale,707.0,"731,1,1,0,"
708,708,"Because the air is gone,",708.0,"732,1,1,0,"
709,709,This is because there is a lack of oxygen.,709.0,"733,1,0,0,"
710,710,The air in the plastic bag leaked out,710.0,"734,0,0,0,"
711,711,There's not a lot of air around me,711.0,"735,0,0,0,"
712,712,Difficulty breathing due to the lack of air in it,712.0,"736,0,1,0,"
713,713,It's cloudy,713.0,"737,0,0,0,"
714,714,I can't breathe,714.0,"738,0,1,0,"
715,715,"Plastic bags have limitations in which fresh air can be exposed to some extent, and at first, there is a lot of fresh air, but the more you breathe, the more carbon dioxide increases and fresh air disappears. Therefore, it becomes difficult to breathe after breathing many times.",715.0,"739,0,0,0,"
716,716,The number of air is low,716.0,"740,1,0,0,"
717,717,It's because the limited air in the closed space has disappeared,717.0,"741,0,0,0,"
718,718,"People breathe with oxygen, but the more they breathe, the less oxygen they have in the bag, making it difficult to breathe",718.0,"742,0,0,1,"
719,719,"Our body gets oxygen through inhalation and releases carbon dioxide and water vapor through exhalation, and if we exhale several times, the air in the bag becomes less oxygen concentration, and the concentration of carbon dioxide increases, making it difficult to breathe.",719.0,"743,0,0,1,"
720,720,"This is because when you breathe in, the oxygen you need is gone and only carbon dioxide continues to come out.",720.0,"744,0,0,0,"
721,721,"Oxygen is transferred to cells in the body through breathing to metabolize, but the air in the bag is thin with oxygen and a lot of carbon dioxide, making it difficult to breathe because metabolism is not actively carried out.",721.0,"745,1,1,0,"
722,722,Because carbon dioxide comes out when you breathe,722.0,"746,0,0,0,"
723,723,"As the proportion of oxygen inside a large plastic bag gradually decreases, the amount of oxygen in the blood also becomes insufficient. Therefore, inhaling and exhaling several times will inevitably make it difficult.",723.0,"747,0,0,0,"
724,724,"Since the plastic bag does not pass air, if you breathe only with the air in the bag, the oxygen concentration of the air in the bag decreases and the carbon dioxide concentration increases. Humans cannot breathe with carbon dioxide, so it becomes difficult to breathe after inhaling air several times.",724.0,"748,1,1,0,749,0,1,0,"
725,725,The oxygen inside is reduced and the carbon dioxide is increased,725.0,"750,0,0,0,"
726,726,I don't know.,726.0,"751,0,0,0,"
727,727,"The reason why it's hard to breathe after doing it many times is that people need oxygen to breathe, but after breathing many times, there will be carbon dioxide, not oxygen, in the bag. You have to inhale oxygen without inhaling carbon dioxide, but the oxygen in the bag is thin, making it difficult to breathe after doing it many times",727.0,"752,0,0,0,"
728,728,"The amount of oxygen decreases and the amount of carbon dioxide increases, making it difficult to breathe.",728.0,"753,0,0,0,"
729,729,"By converting the oxygen in the sealed space of the bag into carbon dioxide through breathing, the bag is filled with carbon dioxide, which makes it difficult to breathe due to the lack of oxygen that can breathe anymore",729.0,"754,0,0,0,"
730,730,"If you continue to breathe, carbon dioxide in the bag increases and oxygen decreases, making it difficult to breathe due to the lack of oxygen required for breathing. If you lack oxygen, you will feel difficulty breathing and dizzy.",730.0,"755,0,0,0,"
731,731,"At first, only carbon dioxide is filled in a bag of oxygen, and oxygen is needed for breathing in the body, but it becomes difficult to breathe because there are no teeth",731.0,"756,0,0,0,"
732,732,due to lack of labor,732.0,"757,0,0,0,"
733,733,Because I'm thirsty,733.0,"758,0,0,1,"
734,734,"It's because there's a limit, the lungs are hard, and it's hard to breathe",734.0,"759,0,0,1,"
735,735,It's because of carbon dioxide,735.0,"760,0,0,0,"
736,736,I don't know,736.0,"761,0,0,0,"
737,737,Because the bag is filled with carbon dioxide,737.0,"762,0,1,0,"
738,738,because of,738.0,"763,1,0,0,"
739,739,The fresh air escapes,739.0,"764,0,1,0,"
740,740,"""Because the air in the bag gets bad",740.0,"765,0,0,0,"
741,741,"""",741.0,"766,1,1,0,"
742,742,"If you drink all the air in there, for example, when you go into the water, you tie an air container, but if you drink it, the air disappears.",742.0,"767,1,0,0,"
743,743,It's because the air in the bag disappears,743.0,"768,0,0,0,"
744,744,"If you keep breathing, it's hard because it's connected to Pe",744.0,"769,1,0,0,"
745,745,"Fresh air contained oxygen, breathing in oxygen and exhaling carbon dioxide. By repeating the science and engineering, the concentration of carbon dioxide in the bag will increase, and oxygen will be insufficient, making it difficult to breathe.",745.0,"770,0,0,1,"
746,746,The water content is low,746.0,"771,0,0,1,"
747,747,The air is limited to plastic bags,747.0,"772,0,1,0,"
748,748,This is because there is more carbon dioxide than oxygen.,748.0,"773,1,1,0,"
749,749,This is because carbon dioxide increases,749.0,"774,0,0,0,"
750,750,I don't know.,750.0,"775,0,0,0,"
751,751,I'm not sure.,751.0,"776,0,0,0,"
752,752,I don't know,752.0,"777,1,0,0,"
753,753,I drank all the air around me.,753.0,"778,0,1,0,779,1,0,0,"
754,754,I didn't learn it.,754.0,"780,1,0,0,"
755,755,I drank all the air around me.,755.0,"781,0,1,0,"
756,756,pep talk,756.0,"782,1,0,0,"
757,757,I don't know.,757.0,"783,1,1,0,"
758,758,There's not enough air,758.0,"784,0,1,0,"
759,759,There's no air.,759.0,"785,0,1,0,"
760,760,Moe.,760.0,"786,1,0,0,"
761,761,It's because the air got hot,761.0,"787,0,1,0,"
762,762,There's a lot of carbon dioxide,762.0,"788,0,0,1,"
763,763,This is because oxygen disappears.,763.0,"789,1,0,0,"
764,764,It's changed to carbon dioxide,764.0,"790,1,0,0,"
765,765,Because it's hard for my lungs,765.0,"791,1,0,0,"
766,766,"My breath is carbon dioxide, but our bodies need oxygen",766.0,"792,1,1,0,"
767,767,Because there's less oxygen,767.0,"793,0,0,0,"
768,768,"Yes, air flow",768.0,"794,0,1,0,"
769,769,This is because oxygen disappears.,769.0,"795,1,1,0,"
770,770,The air is gone,770.0,"796,1,1,0,"
771,771,The air inside is disappearing,771.0,"797,0,0,1,"
772,772,There's only carbon dioxide,772.0,"798,0,1,0,"
773,773,"People breathe with oxygen, but they cannot breathe with carbon dioxide",773.0,"799,1,0,0,"
774,774,"(Singing ""Ni Ni Ni Ni Ni"")",774.0,"800,0,0,1,"
775,775,The above reasons make it difficult to breathe.,775.0,"801,1,1,0,"
776,776,"This is because the temperature of the air you inhale increases, which is similar to the temperature of your exhalation, so you feel less like you are breathing.",776.0,"802,0,1,0,"
777,777,Humans breathe through oxygen,777.0,"803,1,0,0,"
778,778,"The carbon dioxide concentration will increase, making it difficult to breathe.",778.0,"804,0,1,0,"
779,779,It's because the oxygen gas is reduced,779.0,"805,1,1,0,"
780,780,This is because the concentration of oxygen has decreased.,780.0,"806,1,0,0,"
781,781,Breathing becomes more frustrating because the amount of carbon dioxide increases.,781.0,"807,1,1,0,"
782,782,"The more you inhale and exhale, the lower the amount of Braille oxygen, making it difficult to breathe after several times.",782.0,"808,0,1,0,809,1,0,0,"
783,783,"Because the amount of oxygen in the air has decreased and the amount of carbon dioxide has increased,",783.0,"810,1,0,0,"
784,784,"It breathes with increased carbon dioxide fractions, and hemoglobin can't effectively bind to oxygen",784.0,"811,1,0,0,"
785,785,The carbon dioxide becomes cold and hard to breathe.,785.0,"812,1,1,0,"
786,786,"Breathing is breathing oxygen, but breathing a few times reduces oxygen gas and makes it difficult to rest.",786.0,"813,1,1,0,"
787,787,It's because carbon dioxide is increasing,787.0,"814,0,0,1,"
788,788,This is because there is less air to drink.,788.0,"815,1,0,0,"
789,789,This is because the oxygen concentration has decreased.,789.0,"816,1,1,0,"
790,790,"Because the oxygen concentration has decreased,",790.0,"817,1,1,0,"
791,791,"The oxygen concentration in the air is lowered, making it difficult to exchange air by diffusion in the alveoli.The increased carbon dioxide content reduced the oxygen required for breathing.",791.0,"818,1,1,0,"
792,792,Because I'm out of breath,792.0,"819,1,1,0,"
793,793,"Because the bag is full of carbon dioxide, and it's hard to breathe with just carbon dioxide",793.0,"820,1,0,0,"
794,794,"Breathing is the act of organisms taking in oxygen and exhaling carbon dioxide, which is an emission, and the first few times they could easily breathe in and out of a plastic bag, but then the concentration of oxygen in the bag decreases and the concentration of carbon dioxide increases, making it difficult to breathe.",794.0,"821,1,1,0,"
795,795,Because humans breathe in oxygen and exhale carbon dioxide when they breathe,795.0,"822,0,0,0,"
796,796,This is because the air in the bag decreases.,796.0,"823,0,1,0,"
797,797,It's because of carbon dioxide.,797.0,"824,0,1,0,"
798,798,This is because the amount of oxygen in the air has decreased due to breathing.,798.0,"825,0,0,0,"
799,799,Because the air is reduced,799.0,"826,0,1,0,"
800,800,"When you breathe, you spit out carbon dioxide, which makes it difficult to breathe because oxygen is considered.",800.0,"827,1,0,0,"
801,801,This is because the concentration of carbon dioxide barks.,801.0,"828,0,1,0,"
802,802,"This is because our body needs oxygen, but the oxygen ratio decreases due to changes in the air composition in the bag.",802.0,"829,0,0,0,"
803,803,This is because the amount of carbon dioxide has increased.,803.0,"830,1,1,0,"
804,804,This is because the amount of oxygen has decreased and the amount of carbon dioxide has increased.,804.0,"831,1,0,0,"
805,805,"Breathing requires oxygen, but it is difficult to breathe due to reduced oxygen.",805.0,"832,0,1,0,"
806,806,This is because oxygen becomes scarce and carbon dioxide becomes full.;,806.0,"833,0,1,0,"
807,807,This is because the amount of carbon dioxide has increased.,807.0,"834,0,0,0,"
808,808,This is because oxygen in the bag has decreased.,808.0,"835,1,0,0,"
809,809,It's because oxygen decreases while breathing,809.0,"836,0,1,0,"
810,810,It's because oxygen has decreased,810.0,"837,0,1,0,"
811,811,"As humans breathe, they drink oxygen and emit carbon dioxide, making it difficult to breathe due to the lack of oxygen used to breathe.",811.0,"838,1,0,0,839,0,1,0,"
812,812,"This is because oxygen is inhaled by breathing and carbon dioxide is released, resulting in more carbon dioxide in the bag.",812.0,"840,1,1,0,"
813,813,It's because there's less air to drink,813.0,"841,1,1,0,"
814,814,This is because oxygen has become scarce.,814.0,"842,0,1,0,"
815,815,This is because oxygen in the air decreases and carbon dioxide increases.,815.0,"843,1,0,0,"
816,816,Breathe in oxygen and breathe out carbon dioxide,816.0,"844,0,0,0,"
817,817,This is because oxygen absorbs from our bodies and releases carbon dioxide.,817.0,"845,0,0,0,"
818,818,This is because the amount of oxygen that can breathe has decreased and the amount of carbon dioxide has increased.,818.0,"846,0,0,0,"
819,819,This is because the oxygen concentration decreases.,819.0,"847,1,0,0,"
820,820,"Oxygen is needed to breathe oxygen, but carbon dioxide comes out when exhaling, making it difficult to breathe due to less and less oxygen.",820.0,"848,1,1,0,"
821,821,Ask me if I don't know,821.0,"849,1,0,0,"
822,822,This is because the percentage of oxygen in the bag decreases and the percentage of carbon dioxide increases,822.0,"850,1,0,0,"
823,823,It's because there's a lot of carbon dioxide,823.0,"851,0,1,0,"
824,824,out of breath,824.0,"852,1,0,0,"
825,825,There's a lot of carbon dioxide,825.0,"853,1,0,0,"
826,826,Because oxygen disappears,826.0,"854,0,1,0,"
827,827,There's a lot of carbon dioxide,827.0,"855,0,1,0,"
828,828,"I want more air, but it's not in the bag",828.0,"856,1,1,0,"
829,829,This is because oxygen in the bag has decreased and carbon dioxide has increased.,829.0,"857,1,0,0,"
830,830,This is because oxygen becomes scarce.,830.0,"858,1,1,0,"
831,831,Can you breathe with carbon dioxide?I don't have one,831.0,"859,1,1,0,"
832,832,There's a lot of carbon dioxide,832.0,"860,0,0,1,"
833,833,That's my mindset,833.0,"861,0,1,0,"
834,834,This is because oxygen has become scarce.,834.0,"862,1,1,0,"
835,835,It's carbon dioxide,835.0,"863,1,0,0,"
836,836,The air turns into carbon dioxide,836.0,"864,1,0,0,"
837,837,Because there's less oxygen,837.0,"865,1,0,0,"
838,838,carbon dioxide,838.0,"866,1,0,0,"
839,839,There's more carbon dioxide than oxygen,839.0,"867,0,0,0,"
840,840,"""When people breathe cells, they use oxygen to release carbon dioxide.",840.0,"868,1,1,0,869,1,0,0,"
841,841,"At this time, the oxygen concentration is lower, but the carbon dioxide concentration is higher, making breathing difficult.""",841.0,"870,1,1,0,"
842,842,I can't breathe with just carbon dioxide,842.0,"871,1,1,0,"
843,843,There's no oxygen in the air,843.0,"872,1,0,0,"
844,844,Because it's hard to keep breathing,844.0,"873,1,0,0,"
845,845,This is because the air pressure has increased.,845.0,"874,0,1,0,"
846,846,This is because the air pressure has increased.,846.0,"875,1,0,0,"
847,847,This is because oxygen is gradually decreasing.,847.0,"876,1,0,0,"
848,848,Breathe in oxygen and carbon dioxide comes out,848.0,"877,1,0,0,"
849,849,Oxygen is reduced,849.0,"878,1,1,0,"
850,850,Oxygen is reduced,850.0,"879,0,1,0,"
851,851,"Since there's a lot of carbon dioxide,",851.0,"880,0,0,0,"
852,852,Lack of oxygen makes breathing difficult,852.0,"881,1,0,0,"
853,853,I'm running out of oxygen,853.0,"882,0,1,0,"
854,854,Increase in carbon dioxide,854.0,"883,0,1,0,"
855,855,Because he exhaled carbon dioxide from his breathing,855.0,"884,1,1,0,"
856,856,"It's because it breathes with carbon dioxide, not oxygen",856.0,"885,1,0,0,"
857,857,It's because oxygen is gone,857.0,"886,0,0,1,"
858,858,Because it changed from oxygen to carbon dioxide.,858.0,"887,1,1,0,"
859,859,"There was oxygen inside, but now there's no oxygen, and there's carbon dioxide",859.0,"888,1,0,0,"
860,860,The air is gone,860.0,"889,1,0,0,"
861,861,This is because carbon dioxide came out of the exhalation and the concentration of carbon dioxide increased.,861.0,"890,1,1,0,"
862,862,We breathe oxygen because it is difficult to breathe because there is only carbon dioxide after several times.,862.0,"891,1,0,0,"
863,863,with reduced oxygen,863.0,"892,1,1,0,"
864,864,It's because they breathe using oxygen,864.0,"893,0,1,0,"
865,865,It reduces oxygen,865.0,"894,1,0,0,"
866,866,I'm running low on oxygen,866.0,"895,1,1,0,"
867,867,Eating all the air,867.0,"896,0,1,0,"
868,868,This is because the oxygen content decreases and the carbon dioxide content increases when breathing air.,868.0,"897,1,0,0,"
869,869,This is because the amount of oxygen disappears.,869.0,"898,0,0,1,899,0,1,0,"
870,870,CO2 increases and oxygen decreases,870.0,"900,1,0,0,"
871,871,Because oxygen disappeared and carbon dioxide increased,871.0,"901,0,0,1,"
872,872,It's because oxygen is gone,872.0,"902,1,1,0,"
873,873,The amount of oxygen has decreased,873.0,"903,0,1,0,"
874,874,It's hard to breathe because there's a lot of carbon dioxide,874.0,"904,1,1,0,"
875,875,Oxygen has run out,875.0,"905,0,0,0,"
876,876,Oxygen is gone,876.0,"906,0,0,0,"
877,877,This is because the oxygen in the bag has decreased.,877.0,"907,0,1,0,"
878,878,"The bag is running out of oxygen and carbon dioxide is increasing, so there's not enough oxygen to breathe",878.0,"908,0,0,0,"
879,879,an increase in carbon dioxide,879.0,"909,0,1,0,"
880,880,I don't know,880.0,"910,0,0,0,"
881,881,I'm running out of oxygen,881.0,"911,0,0,1,"
882,882,"This is because the concentration of carbon dioxide increases, which overwhelms the oxygen concentration in the bag.",882.0,"912,1,0,0,"
883,883,The air has decreased and carbon dioxide has increased.,883.0,"913,0,0,1,"
884,884,"At first, there was a lot of oxygen, but as you breathe a lot, oxygen disappears and only carbon dioxide is contained.",884.0,"914,0,0,0,"
885,885,The bag will be full of nitrogen because it consumes oxygen through inhalation and nitrogen comes out through exhalation.,885.0,"915,0,0,0,"
886,886,It's because the air has shrunk,886.0,"916,0,0,0,"
887,887,Because it consumes more and more oxygen and releases more and more carbon dioxide,887.0,"917,1,1,0,"
888,888,The amount of oxygen has decreased,888.0,"918,1,1,0,"
889,889,This is because they used up all the oxygen and disappeared.,889.0,"919,0,0,1,"
890,890,"The first few were easy to breathe because there was enough oxygen in the fresh air, but after several breaths, there was more carbon dioxide than oxygenResults in decreased oxygen in the breath, bongjian.",890.0,"920,0,0,0,"
891,891,"At first, a breath of oxygen while breathing, but I can't take in oxygen and carbon dioxide should drink.",891.0,"921,1,1,0,"
892,892,Bongjian to is full of carbon dioxide.,892.0,"922,0,0,0,"
893,893,Has reduced the concentration of oxygen in the bag.,893.0,"923,1,1,0,"
894,894,There is no oxygen needed to breathe oxygen and produces carbon dioxide has been.,894.0,"924,1,1,0,"
895,895,들숨으로 처음 봉지속에있던 공기를 들이마시고 날숨으로 이산화탄소를 내뿜기때문에 시간이 지날수록 점차 숨을 쉬기 어려워진다,895.0,"925,0,0,1,"
896,896,And an oxygen deficiency,896.0,"926,0,0,0,"
897,897,"Disappeared, air can drink.",897.0,"927,0,1,1,"
898,898,Because of carbon dioxide,898.0,"928,1,1,0,929,0,0,0,"
899,899,"Oxygen disappeared,",899.0,"930,0,0,0,"
900,900,Because there is no air,900.0,"931,0,1,0,"
901,901,Is much carbon dioxide than the oxygen ratio in the bag was hard to breathe.,901.0,"932,0,0,0,"
902,902,I have a carbon dioxide.,902.0,"933,1,1,0,"
