,Unnamed: 0,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",Unnamed: 0,", q21_breathing, q21_oxygen deficiency, q21_sweat, q21_energy, q21_muscle, q21_nervous, q21_constancy, q21_waste, q21_heart, q21_breathing1, q21_oxygen deficiency.1,q21_Sweat.1,q21_energy.1,q21_muscle.1,q21_nervous.1,q21_constancy.1,q21_waste.1,q21_heart.1"
417,417,Ankimchi. (Ankimchi in Korean),417.0,"431,0,0,1,0,0,0,0,0,1,,,,,,,,,"
418,418,"Every corner of the body needs more oxygen, so your heart beats faster",418.0,"432,0,1,0,1,0,0,0,0,0,,,,,,,,,"
419,419,My heart is beating faster.,419.0,"433,0,0,0,0,0,0,0,0,1,,,,,,,,,"
420,420,"The heart beats fast, breathing becomes faster, breathing becomes short, and the body gets hot.",420.0,"434,1,0,0,0,0,0,0,0,0,,,,,,,,,"
421,421,"My heart beats fast, so I breathe fast, I'm out of breath, and my body gets hot",421.0,"435,0,1,0,0,0,0,0,0,1,,,,,,,,,"
422,422,My heart beats fast and I'm out of breath,422.0,"436,0,0,0,0,0,0,0,0,1,,,,,,,,,"
423,423,The pulse rate increases and sweat flows through the body.,423.0,"437,1,1,0,0,0,0,0,0,0,,,,,,,,,"
424,424,He seems to be out of breath and tired.,424.0,"438,0,0,1,0,0,0,0,0,1,,,,,,,,,"
425,425,I'm out of breath. My lung capacity gets better,425.0,"439,0,0,0,0,0,0,0,0,1,,,,,,,,,"
426,426,Thirsty.,426.0,"440,0,0,0,0,0,0,0,0,1,,,,,,,,,"
427,427,Thirsty.,427.0,"441,1,0,0,0,0,0,0,0,0,,,,,,,,,"
428,428,Wastes come out of the body,428.0,"442,1,1,0,1,0,0,0,0,1,,,,,,,,,"
429,429,My heart beats fast and I breathe hard to deliver oxygen to my whole body,429.0,"443,1,1,0,0,0,0,0,0,1,,,,,,,,,"
430,430,I have a fever,430.0,"444,0,1,0,0,0,0,0,0,1,,,,,,,,,"
431,431,My heart is beating faster,431.0,"445,0,0,0,0,1,0,0,0,0,,,,,,,,,"
432,432,I'm out of breath. So my heart beats fast to get oxygen.,432.0,"446,0,0,0,0,0,0,0,0,0,,,,,,,,,"
433,433,be out of breath and tired,433.0,"447,0,0,0,1,0,0,0,0,1,,,,,,,,,"
434,434,"The reason why it's hard for us to exercise is because our brain lacks oxygen and we need to deliver blood to our body more quickly For this reason, we breathe fast and our hearts beat faster.",434.0,"448,0,1,0,0,0,0,0,0,1,,,,,,,,,449,0,0,1,0,0,0,0,0,0,,,,,,,,,"
435,435,I don't know.,435.0,"450,0,0,0,0,0,0,0,0,0,,,,,,,,,"
436,436,"The body releases a lot of heat, changes in heart rate, hormones are released, and the brain is activated",436.0,"451,0,1,0,0,0,0,0,0,0,,,,,,,,,"
437,437,"After running 100 meters, our bodies release heat and our heart beats fast",437.0,"452,1,1,0,0,0,0,0,0,0,,,,,,,,,"
438,438,Oxygen is not well supplied to the heart and lungs and uses a lot of energy when it jumps,438.0,"453,0,0,0,0,1,0,0,0,0,,,,,,,,,"
439,439,My heart is beating fast,439.0,"454,0,0,1,0,0,0,1,0,1,,,,,,,,,"
440,440,"The sound of breathing becomes rough, the head aches, and the speed of breathing increases",440.0,"455,0,0,0,0,1,0,0,0,0,,,,,,,,,"
441,441,"The heart rate increases because exercising requires more oxygen than usual, so the heart rate increases to send oxygen to the whole body faster.",441.0,"456,0,0,0,0,0,0,0,0,0,,,,,,,,,"
442,442,My heart is beating fast,442.0,"457,0,0,1,0,0,0,1,0,0,,,,,,,,,"
443,443,Breathing gets faster. To supply oxygen quickly.,443.0,"458,0,0,0,0,1,0,0,0,0,,,,,,,,,"
444,444,"The heart rate increases and sweat is secreted, so the amount of urine is reduced.",444.0,"459,0,1,0,0,1,0,0,0,0,,,,,,,,,"
445,445,My heart is beating fast.,445.0,"460,0,0,0,1,1,0,0,0,0,,,,,,,,,"
446,446,Blood flows quickly through our bodies. Backflow.,446.0,"461,0,0,0,0,0,0,0,0,1,,,,,,,,,"
447,447,Breathing gets faster.,447.0,"462,0,0,0,0,1,0,0,0,1,,,,,,,,,"
448,448,"My heart beats fast and I breathe fast The heart sends blood to the whole body through a beat, and the blood supplies oxygen and nutrients to tissue cells, and sends carbon dioxide and nope water to the lungs and abdomen design.Exercise requires a lot of energy and energy requires oxygen through cellular respiration, so the heart and breathing speed up to make a lot of energy in tissue cells",448.0,"463,0,1,0,0,0,0,0,0,0,,,,,,,,,"
449,449,"Due to lack of oxygen, breathing becomes faster, and the heart rate becomes faster.",449.0,"464,0,0,0,0,0,0,0,0,1,,,,,,,,,"
450,450,My heart beats fast because I have to release oxygen when I exercise,450.0,"465,0,0,0,0,1,0,0,0,0,,,,,,,,,"
451,451,Muscles start working out,451.0,"466,1,0,1,0,0,0,0,0,0,,,,,,,,,"
452,452,I'm tired,452.0,"467,1,1,0,1,0,1,0,0,0,,,,,,,,,"
453,453,The pulse accelerates and glycogen breaks down into glucose.,453.0,"468,0,0,1,0,0,0,0,0,0,,,,,,,,,"
454,454,"Heart beats fast, heart beats fast because of lack of the heart beats fast",454.0,"469,1,1,0,0,0,0,0,0,1,,,,,,,,,"
455,455,Sweat lowers body temperature.,455.0,"470,0,0,0,0,0,0,0,0,1,,,,,,,,,"
456,456,I'm tired,456.0,"471,0,0,0,0,1,0,0,0,0,,,,,,,,,"
457,457,a change in the amount of oxygen,457.0,"472,0,0,0,0,1,0,0,0,0,,,,,,,,,"
458,458,I feel short of breath when I lack of breath,458.0,"473,0,0,0,0,1,0,0,0,0,,,,,,,,,"
459,459,Lactic acid accumulates in the muscles and makes me feel uncomfortable,459.0,"474,0,0,0,0,1,0,0,0,0,,,,,,,,,"
460,460,"Sweat will increase blood concentration in the body, which will soon promote reabsorption of water in the posterior pituitary gland, which will increase blood pressure and lower plasma osmotic pressure and blood sugar. And the amount of urine generated will decrease and the osmotic pressure of the urine will increase.",460.0,"475,1,0,0,0,0,0,0,0,1,,,,,,,,,"
461,461,"After rapid exercise, lactic acid builds up in the body and causes muscle pain",461.0,"476,0,0,1,1,0,0,0,0,0,,,,,,,,,"
462,462,It was hard to run 100 meters.,462.0,"477,0,0,0,0,0,0,0,0,1,,,,,,,,,"
463,463,"It must be hard. I'm sweating, thirsty, and I want to rest. Do I have to say that?",463.0,"478,0,0,0,0,0,0,0,0,1,,,,,,,,,479,0,0,0,0,0,0,0,0,0,,,,,,,,,"
464,464,"My legs are clumped, my back hurts, my thighs hurt, my knees hurt. That change makes my body unable to move, so the next day will be hard, right?",464.0,"480,1,0,0,0,0,0,0,0,0,,,,,,,,,"
465,465,"Rapid anaerobic exercise causes incomplete decomposition in the muscles because it lacks oxygen to move the muscles, which causes pain in the muscles.",465.0,"481,0,0,1,0,0,0,0,0,0,,,,,,,,,"
466,466,"After rapid exercise, lactic acid builds up for ATP production.",466.0,"482,1,0,0,0,0,0,0,0,0,,,,,,,,,"
467,467,the beating of one's heart,467.0,"483,0,0,0,0,0,0,1,0,0,,,,,,,,,"
468,468,The heart beats fast and the muscles become active.,468.0,"484,0,0,0,1,0,0,0,0,0,,,,,,,,,"
469,469,"The supply of oxygen decreases relatively, and circulation becomes insufficient and difficult.",469.0,"485,0,1,0,0,0,0,0,0,0,,,,,,,,,"
470,470,The heart rate increases.,470.0,"486,0,0,0,0,0,0,0,0,1,,,,,,,,,"
471,471,"Through anaerobic respiration, lactic acid accumulates and feels tired, and the muscle fiber is torn a little, resulting in new muscle cells to fill it, increasing muscle mass.",471.0,"487,0,0,0,0,0,0,0,0,1,,,,,,,,,"
472,472,"Breathing becomes steep and the body sweats In the case of high mountains, differences in pressure can cause deafness and sweat to lower body heat.",472.0,"488,0,0,0,0,0,0,0,0,0,,,,,,,,,"
473,473,"Because of the need to produce a lot of ATP, it consumes more oxygen and supplies a lot of oxygen, so breathing is accelerated and blood sugar is insufficient, which promotes glucagon secretion through activation of sympathetic nerves, increasing blood sugar.",473.0,"489,0,0,0,1,0,0,0,0,1,,,,,,,,,"
474,474,Our body temperature rises and we sweat,474.0,"490,0,0,0,0,1,0,0,0,0,,,,,,,,,"
475,475,The heart rate increases and breathing speeds up to circulate insufficient oxygen throughout the body.,475.0,"491,1,0,1,0,0,0,0,0,0,,,,,,,,,"
476,476,The pulse accelerates.,476.0,"492,1,0,1,0,0,0,0,0,0,,,,,,,,,"
477,477,The low acid increases.,477.0,"493,1,0,0,0,0,0,0,0,0,,,,,,,,,"
478,478,"It takes time to produce ATP through oxygen respiration. In order to fill the gaps, stored ATP, ktheatine phosphate, and ATP produced by anaerobic respiration are used sequentially. In this case, lactic acid fermentation proceeds in the human body, and lactic acid accumulates in the muscle. Lactic acid causes what we commonly call ""albaegi"" or ""ratnam.""",478.0,"494,1,0,1,0,0,0,1,0,0,,,,,,,,,"
479,479,Lactic acid builds up in the muscles. That's why I get muscle pain.,479.0,"495,0,0,1,0,0,0,1,0,1,,,,,,,,,"
480,480,"When intense exercise is applied to our bodies, anaerobic breathing occurs in the muscles, which accumulates lactic acid in the muscles. If this accumulated lactic acid becomes excessive, the muscles become paralyzed, and you need another ATP to break down this lactic acid. When lactic acid is completely broken down over time, muscle paralysis is relieved.",480.0,"496,1,0,1,0,0,0,0,0,0,,,,,,,,,"
481,481,"My heart beats fast, and I'm out of breath. It's getting hard.",481.0,"497,0,0,0,0,0,0,0,0,0,,,,,,,,,"
482,482,You're losing weight,482.0,"498,0,0,0,0,0,0,0,0,0,,,,,,,,,"
483,483,My heart is pounding with sweat,483.0,"499,1,1,0,0,0,0,0,0,0,,,,,,,,,"
484,484,My heart is beating fast,484.0,"500,0,0,0,0,0,0,0,0,1,,,,,,,,,"
485,485,Ryu So Go Gukju (Ryuso Go Gukju),485.0,"501,0,0,1,0,0,0,0,0,0,,,,,,,,,"
486,486,I feel out of breath and tired,486.0,"502,1,1,0,0,0,0,0,0,0,,,,,,,,,"
487,487,My body sweats and I'm going crazy,487.0,"503,0,0,0,0,0,0,0,0,0,,,,,,,,,"
488,488,be short of breath,488.0,"504,0,0,0,0,0,0,0,0,0,,,,,,,,,"
489,489,You'll be exhausted.,489.0,"505,1,0,0,0,0,0,0,0,0,,,,,,,,,"
490,490,You're losing weight,490.0,"506,1,0,0,0,0,0,0,0,0,,,,,,,,,"
491,491,I need a lot of oxygen because my heart loves you. ★,491.0,"507,0,0,0,1,0,0,0,0,0,,,,,,,,,"
492,492,"The heart gets faster, quiver, and healthy.",492.0,"508,0,0,0,1,0,0,0,0,0,,,,,,,,,509,0,0,0,0,0,0,0,0,1,,,,,,,,,"
493,493,My heart is beating fast.,493.0,"510,0,0,0,0,0,0,0,0,0,,,,,,,,,"
494,494,"It keeps my body healthy.My heart is beating fast, burning calories",494.0,"511,0,1,0,0,0,0,0,0,1,,,,,,,,,"
495,495,Every body will have muscles.,495.0,"512,0,0,0,0,0,0,1,0,0,,,,,,,,,"
496,496,I'm sweating and out of breath.,496.0,"513,1,0,0,0,0,0,0,0,1,,,,,,,,,"
497,497,be out of breath,497.0,"514,0,1,0,0,0,0,0,0,1,,,,,,,,,"
498,498,"After running 100 meters, I get out of breath and sweat.",498.0,"515,1,0,0,0,0,0,1,0,0,,,,,,,,,"
499,499,I'm sweating and out of breath. It makes me want to drink water. I want to take a shower and I am hungry.,499.0,"516,0,1,0,0,0,0,0,0,1,,,,,,,,,"
500,500,"The ten beats get faster and sweaty.And you find moisture.That way, you can build up your physical strength.",500.0,"517,0,0,0,0,0,0,0,0,1,,,,,,,,,"
501,501,I'm sweating and out of breath.,501.0,"518,1,0,1,0,0,0,0,1,0,,,,,,,,,"
502,502,I don't know,502.0,"519,0,0,1,0,0,0,0,0,0,,,,,,,,,"
503,503,Tired.,503.0,"520,0,0,0,0,0,0,0,0,1,,,,,,,,,"
504,504,"If you do hard exercise, your body will lack oxygen, so your body will have more moisture and become breathless.",504.0,"521,0,0,0,0,0,0,0,0,0,,,,,,,,,"
505,505,My heart is beating fast,505.0,"522,0,0,1,0,0,0,0,0,0,,,,,,,,,"
506,506,"No, it's not",506.0,"523,1,0,0,0,0,0,0,0,1,,,,,,,,,"
507,507,sweat water out of the body and breathe oxygen,507.0,"524,0,0,1,0,0,0,0,0,0,,,,,,,,,"
508,508,with great difficulty,508.0,"525,0,0,0,0,0,0,0,0,1,,,,,,,,,"
509,509,with great difficulty,509.0,"526,1,1,0,0,0,0,0,0,1,,,,,,,,,"
510,510,My lungs are beating faster than usual,510.0,"527,0,0,0,0,1,0,0,0,0,,,,,,,,,"
511,511,Breathe fast.,511.0,"528,1,0,0,0,0,0,0,0,1,,,,,,,,,"
512,512,It consumes energy.,512.0,"529,1,0,1,0,0,0,0,0,0,,,,,,,,,"
513,513,You're losing weight.,513.0,"530,0,0,1,0,0,0,0,0,1,,,,,,,,,"
514,514,"My body is getting tired.The reason is that as oxygen enters the body, the heart pumps and uses oxygen is used",514.0,"531,0,1,0,0,0,0,0,0,1,,,,,,,,,"
515,515,My body is sweating.,515.0,"532,0,0,0,0,1,0,0,0,0,,,,,,,,,"
516,516,"My heart is beating fast. Because our bodies need oxygen, our hearts beat to carry oxygen",516.0,"533,0,0,1,0,0,0,0,0,0,,,,,,,,,"
517,517,"If you do that kind of exercise suddenly, it's hard to develop moisture",517.0,"534,0,0,1,0,0,0,0,0,0,,,,,,,,,"
518,518,Lung capacity increases and blood pressure rises.,518.0,"535,0,0,1,1,0,0,0,0,0,,,,,,,,,"
519,519,"My body is getting tired. The reason is that as oxygen enters, the heart pumps into the body and uses oxygen.",519.0,"536,1,0,0,0,0,0,0,0,0,,,,,,,,,"
520,520,"After exercising, you run out of breath and run out of moisture.",520.0,"537,0,0,1,0,0,0,0,0,0,,,,,,,,,"
521,521,"Because it beats a lot, it needs a lot of oxygen and the heart is active.",521.0,"538,1,1,1,1,0,0,0,0,0,,,,,,,,,539,1,1,0,0,0,0,0,0,0,,,,,,,,,"
522,522,"This is because if you run a lot, your heart beats fast.",522.0,"540,0,0,0,0,0,0,0,0,1,,,,,,,,,"
523,523,"""After a lot of exercise, our bodies sweat and have difficulty breathing.",523.0,"541,0,0,0,0,0,0,0,0,0,,,,,,,,,"
524,524,"The reason is that if we suddenly do a lot of exercise, our lungs become active",524.0,"542,1,0,0,0,0,0,0,0,0,,,,,,,,,"
525,525,"Sebum or no-feathers come out of the skin and sweat.""",525.0,"543,0,0,1,0,0,0,0,1,0,,,,,,,,,"
526,526,My body is sweating with fever.,526.0,"544,0,0,1,0,0,0,0,1,0,,,,,,,,,"
527,527,My heart is beating fast,527.0,"545,1,1,1,0,0,0,0,0,1,,,,,,,,,"
528,528,.,528.0,"546,0,0,0,0,0,0,0,0,0,,,,,,,,,"
529,529,I'm sweating,529.0,"547,0,1,0,0,0,0,0,1,1,,,,,,,,,"
530,530,My heart beats fast and I'm out of breath,530.0,"548,0,1,0,1,0,0,0,0,1,,,,,,,,,"
531,531,Sweating makes you feel heavy or tired,531.0,"549,1,1,1,0,0,0,0,0,0,,,,,,,,,"
532,532,My heart is beating fast.,532.0,"550,0,0,0,0,0,0,0,0,0,,,,,,,,,"
533,533,"As air becomes scarce, you breathe loudly and your heart beats faster, so blood circulation is good.",533.0,"551,0,0,1,0,0,0,0,0,0,,,,,,,,,"
534,534,be united in military discipline,534.0,"552,0,0,0,0,0,0,0,0,0,,,,,,,,,"
535,535,"""As I lose my breath, my blood vessels contract",535.0,"553,1,1,0,0,0,0,0,0,1,,,,,,,,,"
536,536,"""",536.0,"554,1,0,0,0,0,0,0,0,1,,,,,,,,,"
537,537,"My body is sweating, and I'm out of breath.",537.0,"555,0,0,0,0,0,0,0,0,1,,,,,,,,,"
538,538,"The body is feverish, sweating, and the heart beats fast.",538.0,"556,1,1,1,0,0,0,0,0,1,,,,,,,,,"
539,539,My heart is beating fast. The heart facilitates the supply of oxygen.,539.0,"557,0,0,1,0,0,0,0,0,1,,,,,,,,,"
540,540,"After exercising, you get muscles in your arms or legs, and those muscles help us use our strength even a little bit.",540.0,"558,0,0,1,0,0,0,0,0,0,,,,,,,,,"
541,541,My body was sweating,541.0,"559,1,0,1,0,0,1,0,0,1,,,,,,,,,"
542,542,"Sweat is flowing, but sweat is flowing because it maintains our body temperature by sweating.",542.0,"560,0,0,0,0,1,0,0,0,1,,,,,,,,,"
543,543,"Sudden exercise puts pressure on the body, and sweat is generated by the heat generated by the water in the body, and the organs in the body make energy",543.0,"561,1,1,0,1,0,0,0,1,1,,,,,,,,,"
544,544,It makes us short of breath and helps us breathe deeply,544.0,"562,0,0,1,1,0,0,0,0,0,,,,,,,,,"
545,545,I'm sweating,545.0,"563,1,0,1,0,1,0,0,0,0,,,,,,,,,"
546,546,"""1. My body is sweating."" Sweating in the body is like heat generation and escaping through the sweat glands, sweat holes",546.0,"564,1,0,1,0,0,0,0,0,0,,,,,,,,,"
547,547,2. I'm out of breath because I use up a lot of energy,547.0,"565,0,0,0,0,0,0,0,0,0,,,,,,,,,"
548,548,"I think I breathe a lot of air.""",548.0,"566,1,1,1,0,1,0,0,1,1,,,,,,,,,"
549,549,"Breathe hard. If I exercise, I have to do more air circulation, so I breathe harder.",549.0,"567,0,0,1,0,0,0,0,0,0,,,,,,,,,"
550,550,The heart moves when we are still and the heart beats several times faster.,550.0,"568,1,0,0,0,0,0,0,0,1,,,,,,,,,569,1,1,0,0,0,0,0,0,1,,,,,,,,,"
551,551,I don't know,551.0,"570,1,0,0,1,0,0,0,1,1,,,,,,,,,"
552,552,"Exercise speeds up breathing, increases and speeds up lung pumping, and wastes escape from the body with urine.",552.0,"571,0,0,0,0,0,0,0,0,0,,,,,,,,,"
553,553,My skin loses its no-feather from sweating,553.0,"572,0,0,1,0,0,0,0,0,0,,,,,,,,,"
554,554,"I'm sweating. Sweat is the unnecessary waste left on my body, but when I exercise, I sweat.",554.0,"573,0,1,0,0,0,0,0,0,1,,,,,,,,,"
555,555,"The lack of oxygen in the blood causes you to breathe quickly, and your heart rate becomes faster. In addition, the temperature of the body increases and sweat is released, which lowers the temperature of the body.",555.0,"574,1,0,0,0,0,0,0,0,1,,,,,,,,,"
556,556,My body is tired,556.0,"575,0,0,0,0,1,0,0,0,0,,,,,,,,,"
557,557,"Rapid exercise increases the oxygen demand and the degree of waste discharge of each organ, such as cells and muscles of the body. Blood flowing through the blood vessels of our bodies plays this role. Therefore, the heart exercises more vigorously to circulate blood faster.",557.0,"576,0,0,0,0,0,0,0,0,0,,,,,,,,,"
558,558,The oxygen concentration in red blood cells increases and the heart rate increases. It is a phenomenon that occurs to use energy quickly.,558.0,"577,0,0,0,0,0,0,0,0,0,,,,,,,,,"
559,559,"Rapid exercise causes the body to lose breath and heat. This is because when you exercise, your muscles need more oxygen than usual, so you get short of breath to get more air, and because your muscles exercise, you get heat.",559.0,"578,1,0,1,0,0,0,0,1,0,,,,,,,,,"
560,560,In Paris...,560.0,"579,1,0,0,0,0,0,0,0,0,,,,,,,,,"
561,561,"After exercising, heat is generated and sweat is released to cool off. The released sweat cools down and generates heat of vaporization, lowering the body's body temperature.",561.0,"580,0,0,1,0,0,0,0,0,1,,,,,,,,,"
562,562,Breathe rough,562.0,"581,1,0,0,0,0,0,0,0,0,,,,,,,,,"
563,563,"It carries oxygen needed for bone and muscle movements quickly, breathing is accelerated, and the heart beats quickly.",563.0,"582,1,0,0,0,0,0,0,0,0,,,,,,,,,"
564,564,My heart beats fast with a gulp of breath.,564.0,"583,1,1,1,0,0,0,0,0,1,,,,,,,,,"
565,565,Heart beating faster than normal,565.0,"584,0,0,0,0,0,0,0,0,1,,,,,,,,,"
566,566,"Rapid exercise causes the cells to suddenly need a lot of oxygen and gasp, and because the blood needs a lot of oxygen quickly, the heart beats fast, blood pressure increases, and cell respiration generates heat, which cools down by sweating to release heat quickly",566.0,"585,0,0,0,0,0,0,0,0,0,,,,,,,,,"
567,567,The heart speeds up. My body is sweating because of the high temperature.,567.0,"586,1,0,1,0,0,0,0,1,0,,,,,,,,,"
568,568,cool off sweat or body heat,568.0,"587,0,0,0,0,0,0,0,0,0,,,,,,,,,"
569,569,"I'm out of breath, sweating, beating fast, and getting a lot of dopamine",569.0,"588,1,0,0,0,0,0,0,0,1,,,,,,,,,"
570,570,"When we climb high mountains, our bodies try to adjust to high altitude. Also, when you run one meter, your heart beats faster and your muscles rise.",570.0,"589,0,0,0,0,0,0,0,0,0,,,,,,,,,"
571,571,Breathing accelerates and heartbeats accelerate to transport oxygen and nutrients and remove waste.,571.0,"590,1,0,1,0,0,0,0,0,1,,,,,,,,,"
572,572,Body heat and nutrients are supplied,572.0,"591,0,0,0,0,0,0,0,0,0,,,,,,,,,"
573,573,"As I breathe hard, the muscles in my legs hurt little by little and I sweat.",573.0,"592,1,0,0,0,0,0,0,0,1,,,,,,,,,"
574,574,"If you do a lot of rapid exercise, you will sweat and run out of breath, but in the process of running out of breath, your heart will produce a lot of blood and you will be healthy",574.0,"593,0,0,1,0,0,0,0,0,0,,,,,,,,,"
575,575,"Rapidly transports oxygen and nutrients needed for bone and muscle movements, breathing is accelerated, and heart rate is accelerated to remove generated waste",575.0,"594,0,0,0,0,0,0,0,0,1,,,,,,,,,"
576,576,"After rapid exercise, muscles become tense, blood circulation throughout the body is accelerated, and breathing is accelerated to release dirty things from the body into sweat, and to provide oxygen everywhere in the body.",576.0,"595,1,0,0,0,0,0,0,0,1,,,,,,,,,"
577,577,I sweat a lot. It's hard to do it's hard.,577.0,"596,0,1,1,0,0,0,0,0,1,,,,,,,,,"
578,578,"Breathing accelerates, and the heart beats fast.",578.0,"597,1,1,0,0,0,0,0,0,1,,,,,,,,,"
579,579,"After rapid exercise, the amount of oxygen in the body decreases, and the lungs repeat greater expansion and contraction to accept more oxygen, and the amount of oxygen required in the muscles increases, and the heart beats faster to send oxygen to the muscles.",579.0,"598,0,0,1,0,0,0,0,0,0,,,,,,,,,599,0,0,0,0,0,0,1,0,0,,,,,,,,,"
580,580,The heart rate increases. Breathing becomes rough and metabolism becomes active The discharge of nopemul is also included in the metabolism.,580.0,"600,0,0,1,0,0,0,1,0,0,,,,,,,,,"
581,581,f,581.0,"601,0,0,0,0,1,0,0,0,0,,,,,,,,,"
582,582,My pores are sweating. Changes in the body that release sweat keep the temperature of the body moderate without being high.,582.0,"602,1,0,0,0,0,0,0,0,0,,,,,,,,,"
583,583,The heart rate increases and blood is sent all over the body to supply oxygen.,583.0,"603,1,0,0,0,0,0,1,0,1,,,,,,,,,"
584,584,My heart beats fast and I'm out of breath.,584.0,"604,1,0,0,0,0,0,0,0,1,,,,,,,,,"
585,585,I don't know,585.0,"605,0,0,1,0,0,0,0,0,0,,,,,,,,,"
586,586,Exercise can overload your muscles,586.0,"606,1,1,0,0,0,0,0,0,1,,,,,,,,,"
587,587,He's tall,587.0,"607,0,0,1,0,0,0,1,0,0,,,,,,,,,"
588,588,I sweat out waste and run out of breath,588.0,"608,1,0,0,0,0,0,0,0,1,,,,,,,,,"
589,589,I'm out of breath.,589.0,"609,0,0,1,0,0,0,0,0,0,,,,,,,,,"
590,590,Body temperature and heart rate increase.,590.0,"610,0,0,0,0,0,0,0,0,1,,,,,,,,,"
591,591,difficulty in breathing,591.0,"611,1,1,0,0,0,0,0,0,1,,,,,,,,,"
592,592,I'm out of breath.,592.0,"612,0,0,0,0,0,0,0,0,1,,,,,,,,,"
593,593,"The lungs beat fast, the body sweats, and the heart beats fast. This is a phenomenon in which the lungs quickly produce oxygen and the heart circulates.When you run, your heart beats fast because your heart beats fast.",593.0,"613,0,0,1,0,0,0,1,0,0,,,,,,,,,"
594,594,It's hard,594.0,"614,1,1,0,0,1,0,0,0,1,,,,,,,,,"
595,595,"""My lungs are shrinking and stretching, and I'm out of breath",595.0,"615,1,1,0,0,0,0,0,0,0,,,,,,,,,"
596,596,"I'm sweating to get rid of impurities.""",596.0,"616,0,0,0,1,0,0,0,0,0,,,,,,,,,"
597,597,I don't know,597.0,"617,0,0,1,1,0,0,0,0,0,,,,,,,,,"
598,598,My heart beats fast and I'm out of breath.,598.0,"618,0,0,1,0,1,0,0,0,0,,,,,,,,,"
599,599,I don't know.,599.0,"619,1,0,1,0,1,0,0,0,0,,,,,,,,,"
600,600,My heart is beating so fast that I'm out of breath and sweating,600.0,"620,1,0,1,0,1,0,0,0,0,,,,,,,,,"
601,601,I don't know,601.0,"621,0,0,0,0,0,0,0,0,0,,,,,,,,,"
602,602,I'm out of breath and my heart is beating fast,602.0,"622,0,0,0,0,1,0,0,0,0,,,,,,,,,"
603,603,We sweat and maintain our body temperature with that sweat,603.0,"623,0,0,0,0,1,0,0,0,0,,,,,,,,,"
604,604,My heart is beating fast.,604.0,"624,1,0,0,0,0,0,0,0,0,,,,,,,,,"
605,605,Your heart rate increases because you breathe fast,605.0,"625,0,0,0,0,0,0,0,0,0,,,,,,,,,"
606,606,"If you stay still and run or exercise a lot of movement, your body needs more oxygen, your heart beats fast, and you sweat.",606.0,"626,1,0,1,0,0,0,0,0,1,,,,,,,,,"
607,607,Heart beat faster. It provides oxygen to the muscles quickly. Shortness of breath.,607.0,"627,1,0,1,0,0,0,0,0,1,,,,,,,,,"
608,608,It's getting hot,608.0,"628,0,0,1,0,0,0,0,0,0,,,,,,,,,629,0,0,0,0,1,0,0,0,0,,,,,,,,,"
609,609,Always maintaining your integrity,609.0,"630,1,0,0,1,0,0,0,0,0,,,,,,,,,"
610,610,"Sweat is secreted out of the body and plasma osmotic pressure increases, which promotes the secretion of anti-diuretic hormones, which increases the absorption of water ash in the body, thereby increasing the urine osmotic pressure",610.0,"631,1,0,1,1,0,0,1,0,0,,,,,,,,,"
611,611,Your muscles become stiff and healthy,611.0,"632,0,0,0,0,1,0,0,0,0,,,,,,,,,"
612,612,I'm out of breath.,612.0,"633,0,0,0,0,0,0,0,0,1,,,,,,,,,"
613,613,Heart rate increases Breath becomes steep to maintain homeostasis,613.0,"634,0,0,0,0,1,0,0,0,0,,,,,,,,,"
614,614,Your heart beats fast and quickly oxygenates your entire body,614.0,"635,0,0,1,0,0,0,0,1,0,,,,,,,,,"
615,615,You sweat.,615.0,"636,0,0,0,0,1,0,0,0,0,,,,,,,,,"
616,616,"My heart beats fast and I'm out of breath. As a result, oxygen consumed to work is supplied to the body through breathing and the heart beats quickly to deliver it to the cells.",616.0,"637,0,0,1,0,0,0,0,1,0,,,,,,,,,"
617,617,"To control body temperature, the hair on the skin stands up, opening holes in the sweat glands, and releasing sweat. Because of this action, the body's water runs out, causing thirst.",617.0,"638,0,0,1,0,0,0,0,0,1,,,,,,,,,"
618,618,My heart rate is getting faster and I'm out of breath,618.0,"639,0,0,1,0,0,0,0,1,0,,,,,,,,,"
619,619,The body temperature decreases due to the heat of vaporization of the water as the sweat dries,619.0,"640,0,0,1,0,0,0,0,1,0,,,,,,,,,"
620,620,a faster heart rate,620.0,"641,0,0,0,0,1,0,0,0,0,,,,,,,,,"
621,621,"My heart beats fast and I'm out of breath. As a result, oxygen consumed to work is supplied to the body through breathing and the heart beats quickly to deliver it to the cells.",621.0,"642,0,0,0,0,0,0,0,0,0,,,,,,,,,"
622,622,Your heart is beating faster,622.0,"643,0,0,0,0,0,0,0,0,0,,,,,,,,,"
623,623,"When we use up energy, we release heat. You sweat to fill the released heat, maintain homeostasis in your body's temperature, and in this process, you become thirsty, which stimulates water to replenish the body's water",623.0,"644,0,0,0,0,0,0,0,0,0,,,,,,,,,"
624,624,"""My heart beats faster, I breathe faster, and blood circulation increases accordingly",624.0,"645,0,0,0,0,0,0,0,0,0,,,,,,,,,"
625,625,"As a result, the total amount of oxygen increases and the decomposition of lactic acid in the body is facilitated.""",625.0,"646,0,0,0,0,0,0,0,0,0,,,,,,,,,"
