,Unnamed: 0,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Unnamed: 0,q1_parallel,q1_current flow,q1_power amount,q1_fuse,q1_parallel flow.1,q1_current flow.1,q1_power amount.1,q1_fuse.1,,,,,,,,,,
646,646,It's in parallel,646,,,,,,,,,,,,,,,,,,
647,647,This is because electronics are connected in parallel.,647,,,,,,,,,,,,,,,,,,
648,648,There's no joint responsibility for electrical furniture,648,,,,,,,,,,,,,,,,,,
649,649,This is because it is connected by a parallel connection.,649,,,,,,,,,,,,,,,,,,
650,650,I don't know.,650,,,,,,,,,,,,,,,,,,
651,651,Why! It is connected in parallel and does not affect each other.,651,,,,,,,,,,,,,,,,,,
652,652,"This is because electronics are generally connected by alternating current rather than direct current, and each electronics is supplied with electricity",652,,,,,,,,,,,,,,,,,,
653,653,This is because all electronics were connected in a separate series.,653,,,,,,,,,,,,,,,,,,
654,654,I don't know,654,,,,,,,,,,,,,,,,,,
655,655,It doesn't matter if one product is turned off because it is connected in parallel.,655,,,,,,,,,,,,,,,,,,
656,656,Connect in parallel,656,,,,,,,,,,,,,,,,,,
657,657,Because it's connected in parallel!,657,,,,,,,,,,,,,,,,,,
658,658,This is because all of the electricity connected to our home is connected in parallel at 220v.,658,,,,,,,,,,,,,,,,,,
659,659,It is not affected because it is connected in parallel.,659,,,,,,,,,,,,,,,,,,
660,660,I don't know. Why is that?,660,,,,,,,,,,,,,,,,,,
661,661,I don't know.,661,,,,,,,,,,,,,,,,,,
662,662,This is because electricity is installed in parallel structure.,662,,,,,,,,,,,,,,,,,,
663,663,This is because the electronics outlet connection is alternating current.,663,,,,,,,,,,,,,,,,,,
664,664,"Since it was a parallel connection, not a DC connection, one effect does not affect the other.",664,,,,,,,,,,,,,,,,,,
665,665,It's connected in parallel,665,,,,,,,,,,,,,,,,,,
666,666,"Because it is a parallel connection. In the case of serial connection, if the connection of the air conditioner is poor, the following electronic products are also affected, but in the case of parallel connection, the poor air conditioner and the connection status of other electronic products are not related. Therefore, it may be considered that the air conditioner and other electronic products are connected in parallel.",666,,,,,,,,,,,,,,,,,,
667,667,"Since electronic products in the home are connected in parallel, even if the connection to one wire is cut off, a closed circuit is configured due to the other wire, and thus a current flows.",667,,,,,,,,,,,,,,,,,,
668,668,I only use the air conditioner a lot,668,,,,,,,,,,,,,,,,,,
669,669,"If you plug it into the same cord a lot, the electricity usage will increase and it will turn off",669,,,,,,,,,,,,,,,,,,
670,670,Because electricity flows in other things,670,,,,,,,,,,,,,,,,,,
671,671,I'll put it somewhere else,671,,,,,,,,,,,,,,,,,,
672,672,I don't know.,672,,,,,,,,,,,,,,,,,,
673,673,Air conditioning is turned off only because the amount of air conditioning is different for each instrument,673,,,,,,,,,,,,,,,,,,
674,674,"Although the current of the air conditioner is cut off, other electronic circuits are connected safely and many of them are turned off",674,,,,,,,,,,,,,,,,,,
675,675,"If the electricity goes to 100, the TV goes to 50 and the refrigerator takes 50, the air conditioner goes to 0",675,,,,,,,,,,,,,,,,,,
676,676,I use too much electricity only for the air conditioner,676,,,,,,,,,,,,,,,,,,
677,677,I don't know.,677,,,,,,,,,,,,,,,,,,
678,678,I don't know.T,678,,,,,,,,,,,,,,,,,,
679,679,I don't know,679,,,,,,,,,,,,,,,,,,
680,680,I don't know.,680,,,,,,,,,,,,,,,,,,
681,681,I don't know,681,,,,,,,,,,,,,,,,,,
682,682,I only use the air conditioner a lot,682,,,,,,,,,,,,,,,,,,
683,683,I don't know.,683,,,,,,,,,,,,,,,,,,
684,684,Only things that are different from the ones that have electricity,684,,,,,,,,,,,,,,,,,,
685,685,"There's a stage of electricity, but if you go over that stage, the electricity will be cut off",685,,,,,,,,,,,,,,,,,,
686,686,??and ??686.0,"709,0,0,0,0,,,,",,,,,,,,,,,,,,,,,,
687,687,"It's connected to the same cord, but the electricity flows separately",687,,,,,,,,,,,,,,,,,,
688,688,"""The electricity only flows to the air conditioner, so only the air conditioner cord goes too much.""",688,,,,,,,,,,,,,,,,,,
689,689,"Since there is a shock, there is no impact on other codes, so other products are not turned off.""",689,,,,,,,,,,,,,,,,,,
690,690,Because I used too much electricity,690,,,,,,,,,,,,,,,,,,
691,691,"The air conditioner was turned off because it was connected in parallel, but other products seem to have not been turned off.",691,,,,,,,,,,,,,,,,,,
692,692,"Electricity comes from power plants, passes through power towers, enters homes, and as we learned in science class, electricity is distributed separately, so even if the air conditioner is turned off, something else can be turned on",692,,,,,,,,,,,,,,,,,,
693,693,Why! It is connected in parallel and does not affect each other.,693,,,,,,,,,,,,,,,,,,
694,694,Because electronics are all connected in parallel,694,,,,,,,,,,,,,,,,,,
695,695,"Electronics are usually connected in parallel, so even if one power is cut off, there is no effect on the other.",695,,,,,,,,,,,,,,,,,,
696,696,"They are connected in parallel to prevent them from turning off altogether, which is weaker than the power series, but continues to flow to other places even if one place is cut off.",696,,,,,,,,,,,,,,,,,,
697,697,Because electronics are connected in parallel,697,,,,,,,,,,,,,,,,,,
698,698,"Because electronics were connected in parallel, other electronics did not turn off even though one electronics connected to the same code was turned off.",698,,,,,,,,,,,,,,,,,,
699,699,I don't know ?‡ã……??699.0,"723,0,0,0,0,,,,",,,,,,,,,,,,,,,,,,
700,700,"When connecting electronic products, the resulting pre-products did not turn off because they were connected in parallel rather than in series.",700,,,,,,,,,,,,,,,,,,
701,701,"Each electronics is connected in parallel so that electricity can flow in the other direction even if one side is cut off, so other electronics can operate even if the air conditioner is turned off.",701,,,,,,,,,,,,,,,,,,
702,702,"This is because electronics are connected in parallel. When connected in series, current moves to one outlet, so other electronics will be turned off when air conditioners are connected to the outlet in parallel, but when connected in parallel, current flows separately, so other electronics will not be turned off even if the air conditioner is turned off.",702,,,,,,,,,,,,,,,,,,
703,703,"It flows in parallel, and even if one circuit is cut off, current flows.",703,,,,,,,,,,,,,,,,,,
704,704,The sensor in the air conditioner detects excessive power and turns off the power in the air conditioner before a major problem occurs,704,,,,,,,,,,,,,,,,,,
705,705,"Electricity is generated from the flow of electrons. However, electronic components in the home are connected in parallel. Therefore, even if one electronics is turned off to block the movement of electrons, electrons still flow to the other electronics, so the power is not turned off.",705,,,,,,,,,,,,,,,,,,
706,706,"Most of the appliances we use are connected in parallel. Unlike serial connections that connect multiple electronic products to one through one wire, each electronic product is connected through a different wire, so other electronic products are not greatly affected even if a problem occurs in one electronic product.",706,,,,,,,,,,,,,,,,,,
707,707,"This is because other electronics other than air conditioners were not used above the amount of electricity. Electronics are all connected to the same outlet, but it doesn't matter if the air conditioner uses too much power because the outlet carries the same current to each outlet hole.",707,,,,,,,,,,,,,,,,,,
708,708,"The method of connecting electronics is serial connection to one wire, and parallel connection to several paths. In a given situation, if the electronics are connected in parallel, there is no problem with the code connected by other electronics.",708,,,,,,,,,,,,,,,,,,
709,709,"Since it's connected in parallel,",709,,,,,,,,,,,,,,,,,,
710,710,-,710,,,,,,,,,,,,,,,,,,
711,711,"All the electronics used in everyday life are connected in parallel with the outlet. Therefore, the current supplied to all electronics is supplied to each of them, so even if the air conditioner grows, the other electronics do not turn off",711,,,,,,,,,,,,,,,,,,
712,712,"Electronics are connected in parallel so that if one device fails, all devices will not stop working. Therefore, the failure of the air conditioner does not stop the operation of other devices.",712,,,,,,,,,,,,,,,,,,
713,713,"This is because electronics are connected in parallel. Parallel connections are connected separately, and even if the current of one product is cut off, other products work as they are.",713,,,,,,,,,,,,,,,,,,
714,714,?,714,,,,,,,,,,,,,,,,,,
715,715,Well.,715,,,,,,,,,,,,,,,,,,
716,716,I don't know.,716,,,,,,,,,,,,,,,,,,
717,717,The AC consumes the most power,717,,,,,,,,,,,,,,,,,,
718,718,Only the air conditioner is overheating,718,,,,,,,,,,,,,,,,,,
719,719,Of course.,719,,,,,,,,,,,,,,,,,,
720,720,It's in parallel,720,,,,,,,,,,,,,,,,,,
721,721,Don't know,721,,,,,,,,,,,,,,,,,,
722,722,Scientists made it well,722,,,,,,,,,,,,,,,,,,
723,723,yes,723,,,,,,,,,,,,,,,,,,
724,724,The AC has more power than I need,724,,,,,,,,,,,,,,,,,,
725,725,??,725,,,,,,,,,,,,,,,,,,
726,726,This is because air conditioners have the highest energy consumption among home appliances.,726,,,,,,,,,,,,,,,,,,
727,727,There's a switch,727,,,,,,,,,,,,,,,,,,
728,728,.,728,,,,,,,,,,,,,,,,,,
729,729,Use a good multi-tab,729,,,,,,,,,,,,,,,,,,
730,730,"All outlets are connected in parallel, so they do not affect other outlets.",730,,,,,,,,,,,,,,,,,,
731,731,Yeah.,731,,,,,,,,,,,,,,,,,,
732,732,This is because the outlet is connected in series structure.,732,,,,,,,,,,,,,,,,,,
733,733,I don't know.,733,,,,,,,,,,,,,,,,,,
734,734,It's because we did it in parallel,734,,,,,,,,,,,,,,,,,,
735,735,Only FUSE is breaking up Everything else won't disconnect,735,,,,,,,,,,,,,,,,,,
736,736,in parallel,736,,,,,,,,,,,,,,,,,,
737,737,I don't understand.,737,,,,,,,,,,,,,,,,,,
738,738,Because it was connected in parallel.,738,,,,,,,,,,,,,,,,,,
739,739,I can't turn it off,739,,,,,,,,,,,,,,,,,,
740,740,Well...,740,,,,,,,,,,,,,,,,,,
741,741,This is because the limit voltage at which the fuse operates is different for each electronic product.,741,,,,,,,,,,,,,,,,,,
742,742,I don't know.,742,,,,,,,,,,,,,,,,,,
743,743,I think only the air conditioner turned off because I used more than the amount of electricity,743,,,,,,,,,,,,,,,,,,
744,744,M and D,744,,,,,,,,,,,,,,,,,,
745,745,"Yes, yes, yes",745,,,,,,,,,,,,,,,,,,
746,746,Mall,746,,,,,,,,,,,,,,,,,,
747,747,I don't understand.,747,,,,,,,,,,,,,,,,,,
748,748,I don't understand.,748,,,,,,,,,,,,,,,,,,
749,749,I don't know.,749,,,,,,,,,,,,,,,,,,
750,750,I don't know,750,,,,,,,,,,,,,,,,,,
751,751,M and D,751,,,,,,,,,,,,,,,,,,
752,752,I don't understand.,752,,,,,,,,,,,,,,,,,,
753,753,I don't understand.,753,,,,,,,,,,,,,,,,,,
754,754,I don't understand.,754,,,,,,,,,,,,,,,,,,
755,755,I don't understand.,755,,,,,,,,,,,,,,,,,,
756,756,M and D,756,,,,,,,,,,,,,,,,,,
757,757,I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.,757,,,,,,,,,,,,,,,,,,
758,758,I don't know,758,,,,,,,,,,,,,,,,,,
759,759,I don't understand.,759,,,,,,,,,,,,,,,,,,
760,760,M and D,760,,,,,,,,,,,,,,,,,,
761,761,M and D,761,,,,,,,,,,,,,,,,,,
762,762,I don't know,762,,,,,,,,,,,,,,,,,,
763,763,I didn't pay the electricity bill,763,,,,,,,,,,,,,,,,,,
764,764,.,764,,,,,,,,,,,,,,,,,,
765,765,I don't understand.,765,,,,,,,,,,,,,,,,,,
766,766,reserve power,766,,,,,,,,,,,,,,,,,,
767,767,M and D,767,,,,,,,,,,,,,,,,,,
768,768,I don't know.,768,,,,,,,,,,,,,,,,,,
769,769,.,769,,,,,,,,,,,,,,,,,,
770,770,"The outlet is the role of supplying power and the overuse of power is the air conditioner, so the air conditioner is burdensome and the rest is fine. The rest is fine",770,,,,,,,,,,,,,,,,,,
771,771,The refrigerator absorbs the most electricity,771,,,,,,,,,,,,,,,,,,
772,772,This is because objects that are heavily electrically used are dynamically interrupted by current supply,772,,,,,,,,,,,,,,,,,,
773,773,This is because objects that use electricity heavily automatically interrupt the supply of electricity,773,,,,,,,,,,,,,,,,,,
774,774,This is because objects with heavy current use automatically lose their current supply.,774,,,,,,,,,,,,,,,,,,
775,775,This is because objects that use current heavily automatically stop supplying current.,775,,,,,,,,,,,,,,,,,,
776,776,"""The air conditioner is too weak to receive electricity",776,,,,,,,,,,,,,,,,,,
777,777,"Like other electronics, if you build up strength, the air conditioner will not turn off.""",777,,,,,,,,,,,,,,,,,,
778,778,I think it is similar to the reason why even my friends who run with me don't stop because they are tired while running,778,,,,,,,,,,,,,,,,,,
779,779,"""The air conditioner is too weak to receive electricity",779,,,,,,,,,,,,,,,,,,
780,780,"Like other electronics, if you build up strength, the air conditioner will not turn off.""",780,,,,,,,,,,,,,,,,,,
781,781,This is because objects that use current heavily automatically stop supplying current.,781,,,,,,,,,,,,,,,,,,
782,782,This is because the current supply is automatically cut off for objects that are heavily used.,782,,,,,,,,,,,,,,,,,,
783,783,"It is not all connected to one side like a serial connection, but it is divided and connected, so even if one side is turned off, there is no problem with the other.",783,,,,,,,,,,,,,,,,,,
784,784,"When a current above the limit flows, it cuts itself off, using a fuse, a safety device that cuts off the circuit, and a component of the circuit, to stop using over-used objects and electricity supply.",784,,,,,,,,,,,,,,,,,,
785,785,It's better to check that the wires connected to the power outlet are turned off,785,,,,,,,,,,,,,,,,,,
786,786,It is to use a fuse to prevent the use of electricity by an object that has an excessive supply of electricity,786,,,,,,,,,,,,,,,,,,
787,787,Use a fuse to stop the supply of electricity to an object that has an excessive supply of electricity.,787,,,,,,,,,,,,,,,,,,
788,788,The air conditioner itself is overloaded,788,,,,,,,,,,,,,,,,,,
789,789,Use a fuse to cut off an oversupply of electricity,789,,,,,,,,,,,,,,,,,,
790,790,Parallel connection,790,,,,,,,,,,,,,,,,,,
791,791,The electricity turns off automatically when you use a lot of electricity,791,,,,,,,,,,,,,,,,,,
792,792,Because it's connected in parallel,792,,,,,,,,,,,,,,,,,,
793,793,I don't know.,793,,,,,,,,,,,,,,,,,,
794,794,"""When replacing an outlet, insert a screw that secures the outlet to the wall, and if you insert a longer screw than necessary, you will be able to cover the electrical wire",794,,,,,,,,,,,,,,,,,,
795,795,,795,,,,,,,,,,,,,,,,,,
796,796,"You take it off, and you put an electric wire on the ground pole, and you put it on the ground pole like an air conditioner, and you put it on the ground",796,,,,,,,,,,,,,,,,,,
797,797,,797,,,,,,,,,,,,,,,,,,
798,798,"If you insert it, it will cause a short circuit and the breaker will go down",798,,,,,,,,,,,,,,,,,,
799,799,"Therefore, I think it's screwing into a long, replace the outlet after can be separated from the wall outlet because he touched the wire.",799,,,,,,,,,,,,,,,,,,
800,800,,800,,,,,,,,,,,,,,,,,,
801,801,Air conditioning in an outlet to breaker is used to check down.,801,,,,,,,,,,,,,,,,,,
802,802,,802,,,,,,,,,,,,,,,,,,
803,803,"And the skinned with downed power lines, connected to the outlet, check better. """,803,,,,,,,,,,,,,,,,,,
804,804,Parallel connection,804,,,,,,,,,,,,,,,,,,
805,805,Parallel connection,805,,,,,,,,,,,,,,,,,,
806,806,Parallel connection,806,,,,,,,,,,,,,,,,,,
807,807,Parallel distribution is connected to the current flow.,807,,,,,,,,,,,,,,,,,,
808,808,Because it was parallel connection,808,,,,,,,,,,,,,,,,,,
809,809,Because it is a parallel connection.,809,,,,,,,,,,,,,,,,,,
810,810,Don't you go off because the other one off cell.,810,,,,,,,,,,,,,,,,,,
811,811,"The power and (parallel) Conciliation. In other words, air conditioning can the rest of the original I haven't.",811,,,,,,,,,,,,,,,,,,
812,812,Parallel connection be used.,812,,,,,,,,,,,,,,,,,,
813,813,"Parallel connection, and blown fuse is in place in the air conditioning is switched off but one lamp for the rest.",813,,,,,,,,,,,,,,,,,,
814,814,"Electricity, for Connecting Method is different",814,,,,,,,,,,,,,,,,,,
815,815,In parallel to.,815,,,,,,,,,,,,,,,,,,
816,816,"If you connect it with a parallel connection, even if one is turned off, the other is alive.",816,,,,,,,,,,,,,,,,,,
817,817,There's electricity,817,,,,,,,,,,,,,,,,,,
818,818,How do I know?,818,,,,,,,,,,,,,,,,,,
819,819,It's a different current,819,,,,,,,,,,,,,,,,,,
820,820,The air conditioner uses too much energy,820,,,,,,,,,,,,,,,,,,
821,821,"It is because it is connected in series, and it can be connected in parallel. In parallel connections, even if one line is broken, electric current flows to another place, so other electronics can be used as it is.",821,,,,,,,,,,,,,,,,,,
822,822,It's because the cord is connected in parallel,822,,,,,,,,,,,,,,,,,,
823,823,"This is because it is connected to the parallel connection of the battery, so even if one line is broken, current flows in the other line.",823,,,,,,,,,,,,,,,,,,
824,824,This is because they connected home appliances in parallel.,824,,,,,,,,,,,,,,,,,,
825,825,Let's save electricity,825,,,,,,,,,,,,,,,,,,
826,826,Because the air conditioner is connected in series and the other electronics are connected in parallel,826,,,,,,,,,,,,,,,,,,
827,827,electricity,827,,,,,,,,,,,,,,,,,,
828,828,Because the outlets are parallel rather than serial,828,,,,,,,,,,,,,,,,,,
829,829,"""It's because the circuit in the air conditioner is broken.",829,,,,,,,,,,,,,,,,,,
830,830,"""",830,,,,,,,,,,,,,,,,,,
831,831,"Because of the parallel connection,",831,,,,,,,,,,,,,,,,,,
832,832,I don't know,832,,,,,,,,,,,,,,,,,,
833,833,I don't know!,833,,,,,,,,,,,,,,,,,,
834,834,Because I used electricity only for the air conditioner,834,,,,,,,,,,,,,,,,,,
835,835,I don't know.,835,,,,,,,,,,,,,,,,,,
836,836,Because it's connected in parallel,836,,,,,,,,,,,,,,,,,,
837,837,It's because the electric cord is flowing in parallel,837,,,,,,,,,,,,,,,,,,
838,838,The electronics are directly connected,838,,,,,,,,,,,,,,,,,,
839,839,Because it is a parallel connection.,839,,,,,,,,,,,,,,,,,,
840,840,Because it is connected in parallel.,840,,,,,,,,,,,,,,,,,,
841,841,It's a parallel connection,841,,,,,,,,,,,,,,,,,,
842,842,Because it is connected in parallel.,842,,,,,,,,,,,,,,,,,,
843,843,It's connected in parallel,843,,,,,,,,,,,,,,,,,,
844,844,"This is because electricity is connected in parallel, so only the current flowing in the air conditioner is abnormal.",844,,,,,,,,,,,,,,,,,,
845,845,"Air conditioners and other electronics are connected in parallel, so even if one is turned off, other electronics do not turn off.",845,,,,,,,,,,,,,,,,,,
846,846,Parallel connection,846,,,,,,,,,,,,,,,,,,
847,847,in parallel,847,,,,,,,,,,,,,,,,,,
848,848,be connected in parallel,848,,,,,,,,,,,,,,,,,,
849,849,I don't have a fuse,849,,,,,,,,,,,,,,,,,,
850,850,Because the current of the air conditioner is connected in parallel,850,,,,,,,,,,,,,,,,,,
851,851,Because it's connected in parallel,851,,,,,,,,,,,,,,,,,,
852,852,in a better world,852,,,,,,,,,,,,,,,,,,
853,853,The AC has a lot of electricity,853,,,,,,,,,,,,,,,,,,
854,854,have a lot of electricity bills,854,,,,,,,,,,,,,,,,,,
855,855,It's because we didn't connect it in series but in parallel,855,,,,,,,,,,,,,,,,,,
856,856,Because there was still electricity flowing,856,,,,,,,,,,,,,,,,,,
857,857,This is because the air conditioner itself cut off electricity.,857,,,,,,,,,,,,,,,,,,
858,858,I don't know.,858,,,,,,,,,,,,,,,,,,
859,859,Because it is connected in parallel.,859,,,,,,,,,,,,,,,,,,
860,860,Other electronics don't have electricity,860,,,,,,,,,,,,,,,,,,
861,861,I don't know.,861,,,,,,,,,,,,,,,,,,
862,862,an excessive amount of electricity,862,,,,,,,,,,,,,,,,,,
863,863,It's in parallel,863,,,,,,,,,,,,,,,,,,
864,864,"Electronics can catch fire if they overheat, so there is a system where the machine discharges them",864,,,,,,,,,,,,,,,,,,
865,865,I'm going to plug in the socket,865,,,,,,,,,,,,,,,,,,
866,866,in parallel,866,,,,,,,,,,,,,,,,,,
867,867,"It's connected, so of course it's all turned on. (Electricity is connected, of course) Yeah.That's what I'",867,,,,,,,,,,,,,,,,,,
868,868,?,868,,,,,,,,,,,,,,,,,,
869,869,"Because it is turned off or turned on depending on how the electronics are connected, other properly connected electronics are not turned off and air conditioners with excessive current are turned off.",869,,,,,,,,,,,,,,,,,,
870,870,It's because I didn't leave out the concept.,870,,,,,,,,,,,,,,,,,,
871,871,I don't know,871,,,,,,,,,,,,,,,,,,
872,872,That's how electricity works. Ask Einstein for details. Or the original answer is number 12 saved in the computer program,872,,,,,,,,,,,,,,,,,,
873,873,"If it's connected, it turns on and if it's not connected, it turns off",873,,,,,,,,,,,,,,,,,,
874,874,Connect to other poll logs,874,,,,,,,,,,,,,,,,,,
875,875,This is because electronics are connected in parallel.,875,,,,,,,,,,,,,,,,,,
876,876,Wall heat connection,876,,,,,,,,,,,,,,,,,,
877,877,electrically-alternating,,,,,,,,,,,,,,,,,,,
878,878,I don't know.,,,,,,,,,,,,,,,,,,,
879,879,I doubt it.,,,,,,,,,,,,,,,,,,,
880,880,Because it is connected in parallel.,,,,,,,,,,,,,,,,,,,
881,881,This is because the code is constantly flowing.,,,,,,,,,,,,,,,,,,,
882,882,Because it's connected in parallel,,,,,,,,,,,,,,,,,,,
883,883,I don't know,,,,,,,,,,,,,,,,,,,
884,884,"Since the electricity is connected separately,",,,,,,,,,,,,,,,,,,,
885,885,It is because it is connected in parallel.,,,,,,,,,,,,,,,,,,,
886,886,.,,,,,,,,,,,,,,,,,,,
887,887,I don't know,,,,,,,,,,,,,,,,,,,
888,888,I don't know.,,,,,,,,,,,,,,,,,,,
889,889,It's annoying.,,,,,,,,,,,,,,,,,,,
890,890,Because it has octopus feet,,,,,,,,,,,,,,,,,,,
891,891,I don't know,,,,,,,,,,,,,,,,,,,
892,892,with money on one's hands,,,,,,,,,,,,,,,,,,,
893,893,Because we're connected,,,,,,,,,,,,,,,,,,,
894,894,It's connected in parallel,,,,,,,,,,,,,,,,,,,
895,895,"It's all connected separately, so only the air conditioner is turned off",,,,,,,,,,,,,,,,,,,
896,896,It's connected in parallel,,,,,,,,,,,,,,,,,,,
897,897,d,,,,,,,,,,,,,,,,,,,
