,Unnamed: 0,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",Unnamed: 0,",q19_climate change, q19_respect for life, q19_environmental destruction, q19_biological effects, q19_human activity, q19_climate change 1, q19_respect for life, 1, q19_environmental destruction.1,q19_Bioinfluence1.q19_Human activity.1"
306,306,They kill people and they die from environmental pollution,306.0,"315,1,0,0,0,0,,,,,"
307,307,"Because people hunt a lot of endangered animals,",307.0,"316,1,0,1,1,0,,,,,"
308,308,E-R-A-H-N-N-N-T-U,308.0,"317,0,0,1,0,1,,,,,"
309,309,It's because of man's relentless greed,309.0,"318,0,0,1,0,0,,,,,"
310,310,"The environment and the temperature of the water are different from each other, but because of global warming, the cold places are hot places, and the hot places are cold places, and the living things are not adapted to the environment and die",310.0,"319,0,0,0,0,1,,,,,"
311,311,This is because endangered species increase due to environmental destruction,311.0,"320,0,0,1,0,0,,,,,"
312,312,Global warming is maintained,312.0,"321,0,0,0,0,0,,,,,"
313,313,the earth's problem,313.0,"322,1,0,1,0,0,,,,,"
314,314,environmental pollution,314.0,"323,1,0,1,0,0,,,,,"
315,315,This is because global warming loses space for living things.,315.0,"324,0,0,1,0,0,,,,,"
316,316,The environment in which living things cannot live is maintained due to the bad circumstances,316.0,"325,1,1,0,0,1,,,,,"
317,317,"Because of people's reckless development and wastewater,",317.0,"326,0,0,1,0,0,,,,,"
318,318,"This is because as the environment is destroyed, living creatures that have adapted to a specific environment cannot adapt.",318.0,"327,0,0,1,0,0,,,,,"
319,319,"As technology advances and factories are built, the field of living is reduced because it destroys the environment.",319.0,"328,0,1,1,0,1,,,,,329,0,0,1,1,1,,,,,"
320,320,Environmental pollution and disappearance of survivors,320.0,"330,0,0,0,1,0,,,,,"
321,321,"Global Warming, Excessive UV Exposure, etc",321.0,"331,0,1,0,0,1,,,,,"
322,322,Due to the abnormal climate caused by global warming,322.0,"332,1,0,1,1,1,,,,,"
323,323,"Inflow of foreign species, global warming, environmental pollution",323.0,"333,0,0,1,0,0,,,,,"
324,324,habitat loss due to human nature damage,324.0,"334,0,0,1,0,0,,,,,"
325,325,environmental destruction,325.0,"335,0,0,1,0,0,,,,,"
326,326,human development,326.0,"336,0,0,0,0,0,,,,,"
327,327,It's hard to live because the environment is bad,327.0,"337,0,0,0,0,0,,,,,"
328,328,This is because changes in the earth occur rapidly.,328.0,"338,0,0,0,0,0,,,,,"
329,329,"Global warming, environmental destruction reduces the extent to which living things can survive",329.0,"339,1,0,0,0,0,,,,,"
330,330,"Due to global warming and pollution, the habitat of living things is decreasing.",330.0,"340,0,0,1,0,0,,,,,"
331,331,Environmental conditions have changed due to environmental changes,331.0,"341,0,1,1,1,0,,,,,"
332,332,There are more and more endangered species as people kill and the temperature of the earth rises and animals die,332.0,"342,0,0,1,0,1,,,,,"
333,333,It's because the ecosystem group is broken,333.0,"343,1,0,0,0,1,,,,,"
334,334,The natural environment is changing,334.0,"344,0,0,1,0,1,,,,,"
335,335,Humans are disappearing by destroying nature and destroying the habitats of animals,335.0,"345,1,0,1,0,0,,,,,"
336,336,"""The destruction of ecosystems caused by indiscriminate tree-cutting to get resources,",336.0,"346,1,0,1,0,0,,,,,"
337,337,"It seems that the number of species is gradually decreasing because animals and plants are losing their living places and places to live.""",337.0,"347,0,0,1,0,1,,,,,"
338,338,It's because the balance of the ecosystem is broken,338.0,"348,1,0,0,0,1,,,,,"
339,339,"This is because fish and other lives in the surrounding rivers are gradually decreasing due to wastewater such as factories, and the lifespan of animals or people is shortened due to waste.",339.0,"349,0,0,1,0,1,,,,,"
340,340,"Because of global warming and human convenience, ecosystems are destroyed, endangered animals are created in biodiversity",340.0,"350,0,0,0,0,0,,,,,"
341,341,a phenomenon caused by the destruction of an ecosystem,341.0,"351,0,0,1,1,0,,,,,"
342,342,It's because the ecosystem group is broken,342.0,"352,0,0,0,1,0,,,,,"
343,343,I think extinction is because people destroy the ecosystem of the creature,343.0,"353,0,0,0,0,1,,,,,"
344,344,I don't know.,344.0,"354,0,0,0,0,0,,,,,"
345,345,Animal natural enemies are disappearing,345.0,"355,0,0,1,0,0,,,,,"
346,346,"If it's good for skin beauty and energy, dry the seeds",346.0,"356,1,0,0,0,0,,,,,"
347,347,Global warming,347.0,"357,1,0,0,0,0,,,,,"
348,348,"The environment is being polluted, the ecosystem is collapsing, the habitat is being lost",348.0,"358,1,0,1,0,1,,,,,359,0,0,0,0,1,,,,,"
349,349,"This is because many plants died as the environment was polluted, and because herbivores were dying, carnivores had nothing to eat and disappeared.",349.0,"360,1,0,1,0,0,,,,,"
350,350,"With the development of science and technology, the forest was destroyed, the nest of animals disappeared, and the ecosystem was destroyed",350.0,"361,1,0,0,0,0,,,,,"
351,351,a phenomenon caused by global warming and many industrial developments,351.0,"362,1,0,1,0,1,,,,,"
352,352,The reason for the extinction of living things is that humans hunt animals indiscriminately and our indiscriminate resource development gradually reduces their habitat.,352.0,"363,0,0,0,0,0,,,,,"
353,353,Because the environment is polluted. Global warming.,353.0,"364,0,0,0,0,0,,,,,"
354,354,This is because the environment is being polluted. (Global Warming),354.0,"365,0,0,0,0,1,,,,,"
355,355,Because human development has made a living place disappear,355.0,"366,0,0,1,0,0,,,,,"
356,356,Natural development and hunting are frequent and glaciers melt due to global warming,356.0,"367,1,0,1,0,0,,,,,"
357,357,"It's because they're constantly removing and devastating places like forests, which are home to many creatures, to make something.",357.0,"368,0,0,0,0,1,,,,,"
358,358,This is because they care more about endangered animals.,358.0,"369,1,1,0,0,0,,,,,"
359,359,"""It's because of pollution",359.0,"370,0,0,1,0,1,,,,,"
360,360,"When it's contaminated and the producer or primary consumer dies, it's naturally in the stomach",360.0,"371,0,0,1,0,1,,,,,"
361,361,"Second, third, and fourth consumers also fall one after another.",361.0,"372,0,0,1,0,1,,,,,"
362,362,But the pollution is getting worse,362.0,"373,1,0,0,1,0,,,,,"
363,363,"It's bound to collapse at once.""",363.0,"374,1,0,0,1,0,,,,,"
364,364,"As the number of primary producers decreases,",364.0,"375,1,0,0,1,0,,,,,"
365,365,the reckless overfishing of human beings,365.0,"376,1,1,0,0,0,,,,,"
366,366,I don't know,366.0,"377,1,0,1,0,1,,,,,"
367,367,The habitat of living things is decreasing.,367.0,"378,0,0,1,0,1,,,,,"
368,368,This is because the temperature of the earth rises rapidly due to global warming.,368.0,"379,0,0,1,0,1,,,,,"
369,369,"Because of global warming,",369.0,"380,0,0,0,0,0,,,,,"
370,370,Endangered species are increasing due to loss of habitat due to temperature changes caused by global warming and ecosystem destruction caused by reckless development.,370.0,"381,0,0,0,0,0,,,,,"
371,371,This is because humans kill living things to take their advantage.,371.0,"382,0,0,0,0,0,,,,,"
372,372,"Global warming causes the Earth's climate to change, and as a result, the habitat's environment changes, resulting in an increase in endangered species.",372.0,"383,0,0,0,0,0,,,,,"
373,373,This is because various environmental changes such as global warming appear rapidly.,373.0,"384,0,0,0,0,0,,,,,"
374,374,"Habitat changes due to indiscriminate capture, hunting, and global warming of people.",374.0,"385,1,0,1,1,0,,,,,"
375,375,Because humans kill a lot of animals Human waste. Human waste. Human beings shouldn't be on the planet,375.0,"386,0,0,1,0,0,,,,,"
376,376,"""There's been an increase in ecological disruption",376.0,"387,1,0,1,0,0,,,,,"
377,377,"""",377.0,"388,1,0,1,0,0,,,,,389,0,0,0,1,0,,,,,"
378,378,I don't know,378.0,"390,0,0,1,0,0,,,,,"
379,379,the merciless and indifferent environmental problems of man,379.0,"391,1,0,0,0,0,,,,,"
380,380,It's because global warming is destroying the planet's ecosystem,380.0,"392,0,0,1,0,0,,,,,"
381,381,It's because of reckless hunting.,381.0,"393,0,0,1,0,1,,,,,"
382,382,"Due to global warming, the temperature rises rapidly, and living things die because they cannot adapt to the environment",382.0,"394,1,0,1,0,1,,,,,"
383,383,It is because the ecosystem is ruined by the merciless hunting of mankind,383.0,"395,1,1,0,1,0,,,,,"
384,384,It's because people are ruining the natural ecosystem,384.0,"396,0,0,1,1,0,,,,,"
385,385,"Due to the continuous pollution and destruction of the human environment,",385.0,"397,0,0,1,0,0,,,,,"
386,386,This is because biodiversity is decreasing due to the invasion of creatures such as foreign species and global warming.,386.0,"398,0,0,1,0,1,,,,,"
387,387,This is because biodiversity is decreasing due to invasion of creatures such as foreign species and global warming.,387.0,"399,0,0,1,1,0,,,,,"
388,388,Species are decreasing due to global warming.,388.0,"400,1,1,0,1,0,,,,,"
389,389,"This is because when the temperature rises due to global warming, animals and plants living in the existing temperature die without adapting to changes in temperature.",389.0,"401,0,0,1,0,0,,,,,"
390,390,This is due to global warming caused by indiscriminate destruction of nature and carbon dioxide emissions by humans.,390.0,"402,0,0,0,1,0,,,,,"
391,391,"Because of the indiscriminate destruction of nature by humans,",391.0,"403,0,0,1,1,0,,,,,"
392,392,I think the number of endangered species increases because of the indiscriminate destruction of nature by humans,392.0,"404,0,0,1,0,0,,,,,"
393,393,M and D,393.0,"405,1,0,0,1,0,,,,,"
394,394,I don't know,394.0,"406,0,0,1,0,1,,,,,"
395,395,I'll eat itI'm a sophomore at Kwangsung High School,395.0,"407,0,0,0,0,0,,,,,"
396,396,ㄱ and ㅈ,396.0,"408,0,0,1,0,1,,,,,"
397,397,Biodiversity is decreasing due to global warming and environmental destruction.,397.0,"409,0,0,0,0,0,,,,,"
398,398,It is because of environmental destruction.,398.0,"410,0,0,0,0,1,,,,,"
399,399,"I think it is because of global warming, cutting down trees in the mountains, eliminating the habitat of animals, and making golf courses.",399.0,"411,0,0,0,0,0,,,,,"
400,400,The ecosystem changes as the climate changes.,400.0,"412,0,0,1,0,0,,,,,"
401,401,"Preference for livestock that are easy for people to raise has disrupted the balance of biodiversity, increasing the number of cases of extinction.",401.0,"413,0,0,1,0,0,,,,,"
402,402,The environment in which living things can live is gradually disappearing. We need to be more alert and nurture the planet.,402.0,"414,0,0,0,0,1,,,,,"
403,403,This is because it affects the ecosystem as global warming accelerates.,403.0,"415,0,0,0,0,1,,,,,"
404,404,Ecology can be destroyed because it restores endangered species through science,404.0,"416,1,0,0,1,0,,,,,"
405,405,This is because the habitat of living things is disappearing due to indiscriminate deforestation and environmental pollution by humans.,405.0,"417,1,0,0,0,1,,,,,"
406,406,"This is due to the indiscriminate development of humans and the destruction of ecosystems due to global warming, which has reduced the habitat of living things.",406.0,"418,1,0,1,0,1,,,,,419,1,0,0,0,0,,,,,"
407,407,"Since the Industrial Revolution, the temperature of the Earth has risen sharply due to the increase in fossil fuel use by humans. As a result, sensitive creatures of temperature became extinct due to their inability to adapt to the environment, and other creatures became extinct due to the food chain relationship with these creatures. Or there are creatures whose natural enemies have disappeared and increased dramatically, which in turn can lead to the extinction of other creatures. Living creatures that lived in balance through interaction with each other cannot interact and become extinct.",407.0,"420,0,0,0,0,0,,,,,"
408,408,The ecosystem pyramid collapsed as an individual disappeared due to reckless environmental pollution.,408.0,"421,0,0,0,0,0,,,,,"
409,409,This is because the food available to the creatures is disappearing and the environment in which they can stay is gradually disappearing.,409.0,"422,0,0,1,0,0,,,,,"
410,410,"environmental pollution, human capture",410.0,"423,1,0,1,0,1,,,,,"
411,411,"In order for creatures to live in various ways, the ecosystem must be diverse. However, as technology develops, humans change their natural environment to adapt easily, not to adapt to the natural environment, so the diversity of the ecosystem decreases and thus the diversity of living things decreases.",411.0,"424,0,0,1,0,1,,,,,"
412,412,"Living things are greatly influenced by the environment. Looking at the mass extinction so far, it has been most affected by environmental factors such as the glacial period and rapid decrease in temperature due to volcanic ash. As global warming intensifies, species that are relatively unable to adapt to climate change disappear, and creatures that feed on the missing creatures disappear according to the food pyramid, and continue to be extinct by affecting them like dominos.",412.0,"425,0,1,1,0,0,,,,,"
413,413,"Human life becomes richer due to the development of science and industry, but endangered species increase due to the destruction of nature and ecosystems.",413.0,"426,1,1,1,1,0,,,,,"
414,414,"The reason biodiversity is destroyed is because of the food chain. In the ecological pyramid, even if only one of the producers' primary, secondary, and tertiary entities disappears due to environmental factors (e.g., global warming or river pollution), many animals are in a food web relationship, so when one individual disappears, others disappear, and biodiversity has been decreasing recently.",414.0,"427,0,0,1,0,0,,,,,"
415,415,"As more animals become extinct due to changes in the environment, the biodiversity of an ecosystem decreases. Decreasing biodiversity reduces the diversity of the food chain, which in turn results in the extinction of more living things.",415.0,"428,1,0,0,0,1,,,,,"
416,416,This is because the environment in which living things can live is being destroyed.,416.0,"429,0,0,0,0,0,,,,,"
417,417,"Biodiversity is essential to maintain an ecosystem, and as species shrink, more and more species become extinct or endangered due to the positive feedback effects. The biggest reason for the increase in endangered species is global climate change, which is increasing because it is fatal to living organisms that adapt to the climate.",417.0,"430,0,0,1,1,1,,,,,"
418,418,People destroy the environment and the environment in which living things can live becomes poor,418.0,"431,0,0,1,0,0,,,,,"
419,419,"As more fertilizers and chemicals (pesticides, pesticides, herbicides, etc.) are used to secure new agricultural land for food production along with habitat loss due to population growth, pollution of water and soil is an important cause of extinction. In addition, there are many damages caused by foreign species introduced by humans.",419.0,"432,0,0,0,0,1,,,,,"
420,420,It is because of the indiscriminate environmental destruction of humans. The habitat of species is disappearing due to environmental destruction.,420.0,"433,0,0,1,0,0,,,,,"
421,421,.,421.0,"434,1,0,1,0,0,,,,,"
422,422,It's a reckless development of human beings.,422.0,"435,0,0,1,0,1,,,,,"
423,423,Ankimchi. (Ankimchi in Korean),423.0,"436,1,0,1,0,0,,,,,"
424,424,"As cities formed between habitats, communication became impossible",424.0,"437,1,1,0,0,0,,,,,"
425,425,This is because living things die due to various environmental pollution.,425.0,"438,1,0,1,0,0,,,,,"
426,426,in the pursuit of human interests,426.0,"439,1,1,0,0,0,,,,,"
427,427,It is because of the cruel selfishness of man.,427.0,"440,0,0,0,0,1,,,,,"
428,428,"Because of global warming, there is no food",428.0,"441,0,0,1,0,0,,,,,"
429,429,Because of global warming or hunting.,429.0,"442,1,0,1,0,1,,,,,"
430,430,It is because of global warming and environmental pollution due to people.,430.0,"443,1,0,0,0,0,,,,,"
431,431,Because of global warming,431.0,"444,1,0,0,0,1,,,,,"
432,432,The sky is more comfortable than the earth,432.0,"445,0,0,0,0,1,,,,,"
433,433,The sky is more comfortable than the earth,433.0,"446,0,0,0,1,0,,,,,"
434,434,due to environmental pollution,434.0,"447,0,0,0,0,1,,,,,"
435,435,"Environmental factors due to global warming, over-devastating forests, reducing habitat for living things",435.0,"448,0,0,1,0,1,,,,,449,0,0,0,0,1,,,,,"
436,436,"Excessive hunting, habitat destruction, and other species introduced for pest control or landscape purposes are representative examples of anthropogenic effects",436.0,"450,0,0,0,0,1,,,,,"
437,437,"As the environment changes, there are creatures that cannot adapt to the environment",437.0,"451,0,0,0,0,1,,,,,"
438,438,"As global warming gets worse, the environment changes, and animals cannot adapt, so the number of species decreases gradually decreases.",438.0,"452,0,0,0,0,0,,,,,"
439,439,Because of environmental pollution,439.0,"453,0,1,1,0,1,,,,,"
440,440,"Today, global warming comes because a lot of carbon, such as factories, cars, and garbage, is emitted, and for this reason, crisis species are increasing.",440.0,"454,0,0,1,0,0,,,,,"
441,441,I don't know.,441.0,"455,0,0,0,0,1,,,,,"
442,442,"Endangered species have recently increased due to excessive hunting, habitat destruction, or the influx of exotic species",442.0,"456,0,0,0,0,0,,,,,"
443,443,I think it's because of people's environmental pollution,443.0,"457,0,0,0,0,0,,,,,"
444,444,"Humans advance and make many things, kill creatures, and make tools to kill creatures",444.0,"458,0,1,1,0,1,,,,,"
445,445,The destruction of the human ecosystem is the cause.,445.0,"459,0,0,1,1,1,,,,,"
446,446,It increases because the air becomes bad and global warming becomes speeding,446.0,"460,0,0,0,0,0,,,,,"
447,447,It's because of people's reckless environmental damage.,447.0,"461,1,0,0,0,0,,,,,"
448,448,Because the environment changes as the average temperature of the earth rises due to global warming,448.0,"462,0,0,1,0,0,,,,,"
449,449,"Global warming has accelerated, making it difficult for living things to adapt",449.0,"463,0,0,0,0,1,,,,,"
450,450,"This is because the average annual temperature of the earth increases in Mune due to global warming, and it rises little by little every year to a temperature that cannot be inhabited by living things.",450.0,"464,1,0,0,0,0,,,,,"
451,451,"Due to global warming, many animals and plants are dying and causing a lot of trouble to us.",451.0,"465,1,0,1,0,1,,,,,"
452,452,Because humans eat animals and hunters hunt them,452.0,"466,1,0,0,0,0,,,,,"
453,453,The natural environment has deteriorated,453.0,"467,0,0,0,0,1,,,,,"
454,454,Because we are losing our livelihood due to global warming and the reckless development of people,454.0,"468,0,1,1,0,0,,,,,"
455,455,This is because global warming has become serious.,455.0,"469,0,0,0,1,0,,,,,"
456,456,Because many people live irresponsibly about the environment,456.0,"470,0,0,0,0,1,,,,,"
457,457,Humans use the Earth badly,457.0,"471,0,0,1,0,1,,,,,"
458,458,The new species that were emerging disappears,458.0,"472,0,1,1,0,0,,,,,"
459,459,It's because of humans.,459.0,"473,0,0,0,1,0,,,,,"
460,460,It's destroying the ecosystem of endangered animals,460.0,"474,1,1,1,0,1,,,,,"
461,461,Hunters are bad,461.0,"475,0,0,0,0,0,,,,,"
462,462,indiscriminate hunting,462.0,"476,0,0,0,0,0,,,,,"
463,463,indiscriminate killing of humans,463.0,"477,0,1,0,0,1,,,,,"
464,464,Society,464.0,"478,0,0,0,0,0,,,,,479,0,0,0,0,0,,,,,"
465,465,This is because humans take away and kill animals' living quarters.,465.0,"480,1,0,0,0,0,,,,,"
466,466,"There are largely species diversity, ecosystem diversity, and genetic diversity in biodiversity, and genetic diversity is diversity within species. The reason for the increase in endangered species is that the habitat of living things in the ecosystem is decreasing for reasons such as road development.",466.0,"481,0,0,0,0,1,,,,,"
467,467,"Because of the ruthless hunting of humans,",467.0,"482,1,0,0,0,0,,,,,"
468,468,the club isnt the best place to find a lover so the bar is where i'll go,468.0,"483,1,0,0,0,0,,,,,"
469,469,I don't think so. I think it's a natural phenomenon. Because not all species can last forever.,469.0,"484,0,0,0,0,1,,,,,"
470,470,"The reason why endangered species are increasing is because water and the atmosphere have been polluted by the indiscriminate dumping of waste from factories, and animals have died of illness",470.0,"485,0,0,0,0,0,,,,,"
471,471,The loss of habitat due to people's ruthless hunting and development causes extinction and decreases biodiversity.,471.0,"486,0,0,1,0,1,,,,,"
472,472,"""Meloral""",472.0,"487,1,0,0,0,0,,,,,"
473,473,Global warming and other phenomena,473.0,"488,0,1,0,0,1,,,,,"
474,474,This is because the habitat where creatures live has been turned into arable land and the Amazon rainforest has been destroyed a lot.,474.0,"489,1,0,0,0,0,,,,,"
475,475,"There are two causes, but only human and natural phenomena.",475.0,"490,0,0,0,0,0,,,,,"
476,476,It's because of the rapid global warming,476.0,"491,0,0,0,0,0,,,,,"
477,477,the decline of the ecosystem due to human industry or climate change,477.0,"492,0,0,0,0,0,,,,,"
478,478,I think global warming is a big reason. This is because the average temperature rises due to global warming,478.0,"493,0,0,1,0,1,,,,,"
479,479,This is because humans lack efforts to develop indiscriminately and preserve the natural environment.,479.0,"494,0,0,0,0,1,,,,,"
480,480,"Even though species of living things should vary, the number of species that are advantageous for a specific habitat increased and many habitats were destroyed, resulting in a decrease in the population of many species.",480.0,"495,1,0,0,1,0,,,,,"
481,481,"Ecosystems are dangerous because many species are interrelated, and a decrease in biodiversity can cause major problems for the associated species.",481.0,"496,0,0,1,0,1,,,,,"
482,482,People cut down trees without mercy,482.0,"497,0,0,0,0,0,,,,,"
483,483,the collapse of the ecosystem due to reckless development,483.0,"498,0,0,1,0,0,,,,,"
484,484,"As we enter modern society, the long-standing coexistence relationship between humans and the environment is being destroyed. The destruction of the ecosystem, which is the background of living things, eventually means the destruction of the living things there. Everyone should be aware that human nature-friendly behavior is urgent.",484.0,"499,0,0,0,0,1,,,,,"
485,485,"Since the ecosystem has an organic relationship, if one species' population decreases rapidly, other individuals will be affected, resulting in the recent increase in endangered species.",485.0,"500,1,0,0,0,1,,,,,"
486,486,"As the climate changes due to global warming, species that are not adapted to this climate are gradually shrinking and disappearing, and the melting of glaciers destroys the Antarctic and Arctic ecosystems, and as glaciers rise in sea levels, the population of some islanders is also decreasing. Also, the population of rare species is decreasing due to the indiscriminate overfishing of humans.",486.0,"501,0,0,1,0,0,,,,,"
487,487,I don't understand.,487.0,"502,0,1,0,0,1,,,,,"
488,488,Biodiversity,488.0,"503,0,0,0,0,1,,,,,"
489,489,"People don't throw garbage in the trash can, animals eat it and die",489.0,"504,0,0,0,0,1,,,,,"
490,490,I don't know,490.0,"505,0,0,0,0,1,,,,,"
491,491,ㄴㅜ spring onions,491.0,"506,0,0,0,0,0,,,,,"
492,492,Global warming,492.0,"507,0,0,1,0,1,,,,,"
493,493,People use animals indiscriminately,493.0,"508,0,0,0,0,0,,,,,509,0,0,0,0,0,,,,,"
494,494,"Because of global warming,Global warming.",494.0,"510,0,0,0,0,1,,,,,"
495,495,A lot of people killed him,495.0,"511,1,0,1,1,0,,,,,"
496,496,Human beings are useless. - Lee Ho,496.0,"512,0,0,0,0,1,,,,,"
497,497,This is because it has become an environment where humans can't live without being shy.,497.0,"513,0,0,1,0,1,,,,,"
498,498,"Because of global warming,",498.0,"514,0,0,1,1,1,,,,,"
499,499,"As it is developed for human convenience, living things decrease.",499.0,"515,0,0,1,0,1,,,,,"
500,500,Global warming,500.0,"516,1,1,0,0,0,,,,,"
501,501,a lot of changes,501.0,"517,0,0,1,0,1,,,,,"
502,502,That's a profound question.Well...,502.0,"518,1,1,1,1,1,,,,,"
503,503,We need to protect them from extinction,503.0,"519,0,0,1,0,1,,,,,"
504,504,The reason why endangered species occur is that people destroy the environment.,504.0,"520,0,0,0,0,0,,,,,"
505,505,"The reason for the growing number of endangered species is that we catch animals, plants, and insects recklessly without protecting the environment.",505.0,"521,0,0,0,0,1,,,,,"
506,506,"Due to global warming, the temperature on Earth has increased, and the number of endangered species is increasing due to the disappearance of unfit creatures and food.",506.0,"522,0,0,0,0,0,,,,,"
507,507,People throw away environmental pollution and trash,507.0,"523,0,0,0,0,1,,,,,"
508,508,I don't know,508.0,"524,1,0,0,0,1,,,,,"
509,509,environmental destruction,509.0,"525,0,0,1,0,1,,,,,"
510,510,It's because I don't spare any energy and trash dumping.,510.0,"526,0,0,0,0,1,,,,,"
511,511,Human greed and global warming.,511.0,"527,0,0,1,0,0,,,,,"
512,512,""" hwangyeongo ㅕm",512.0,"528,0,0,0,0,1,,,,,"
513,513,"""",513.0,"529,0,0,1,0,1,,,,,"
514,514,Reduce the number of life in captivity. the people's was a greedy life.,514.0,"530,1,0,1,0,0,,,,,"
515,515,Killing all people.,515.0,"531,1,1,0,0,1,,,,,"
516,516,Killing people,516.0,"532,0,0,0,1,1,,,,,"
517,517,""" Recently, an endangered species is why more people is increasing, the rising amount of garbage.",517.0,"533,0,0,1,0,1,,,,,"
518,518,"Gittemunimnida be people who are with the amount of garbage is human.""",518.0,"534,0,0,1,0,1,,,,,"
519,519,.,519.0,"535,1,1,1,1,0,,,,,"
520,520,""" Number one : life is destroying the homes that can live.",520.0,"536,0,0,1,0,1,,,,,"
521,521,"Second : a lot of hunting.""",521.0,"537,0,0,0,0,1,,,,,"
522,522,.,522.0,"538,1,0,0,0,0,,,,,539,0,0,0,1,1,,,,,"
523,523,"Such as biodiversity is a variation, sengmul the increased diversity of paper that you can mutate, will turn into other species biodiversity is high.",523.0,"540,0,1,1,0,1,,,,,"
524,524,I think to eat a lot of chickens or people off.,524.0,"541,0,1,1,0,1,,,,,"
525,525,"Destroy ecosystems and people of environmental pollution, global warming is up because they are gone, including environmental and food to animals live.",525.0,"542,1,0,1,0,0,,,,,"
526,526,Many people by killing.,526.0,"543,0,0,0,0,1,,,,,"
527,527,"Indiscriminate development of endangered animals are living environment is getting humans to me another son in danger of extinction, the environment in which animals live are gone.",527.0,"544,0,0,0,0,0,,,,,"
528,528,"생물 다양성은 변이와 같은 작용으로 생물 다양성이 높아질 수 있는 것은 한 종이 변이하면서 다른 종으로 변하게 되면 생물 다양성이 높아진다. 근데, 외국에서 들여온 새로운 생물로 인하여 원래있던 종이 들여온 새로운 종한테 피해를 입히게 하여 생물의 종이 줄어들고 환경 파괴로 인하여 생물들의 터전이 줄어든다.",528.0,"545,1,1,1,0,0,,,,,"
529,529,Because people destroy the landscape where animals live,529.0,"546,1,0,0,0,0,,,,,"
530,530,"For example, when people breathe out carbon dioxide from factories and cars, the average temperature of the atmosphere gets hot, the ice in the Arctic or Antarctica melts, the polar bear's house disappears, and polar bears disappear like that.",530.0,"547,1,0,1,0,0,,,,,"
531,531,This is because the ecosystem is destroyed by human development.,531.0,"548,1,1,1,0,0,,,,,"
532,532,"As global warming progresses due to smoke from cars and factories or trash thrown away, the number of species that cannot find or adapt to various living things decreases rapidly, and even for this reason, the number of species that cannot find prey decreases, so endangered species are increasing and living things are decreasing.",532.0,"549,1,0,1,1,0,,,,,"
533,533,"""Because people catch and kill animals only for their own interests",533.0,"550,0,0,0,0,0,,,,,"
534,534,"or because of environmental pollution caused by garbage,",534.0,"551,0,0,1,1,0,,,,,"
535,535,in a change,535.0,"552,0,0,1,1,0,,,,,"
536,536,.,536.0,"553,0,0,1,0,1,,,,,"
537,537,Because people kill animals,537.0,"554,0,0,0,0,1,,,,,"
538,538,I threw away a lot of trash,538.0,"555,0,0,0,0,1,,,,,"
539,539,Humans think that there are more endangered species because of animals killing or global warming.,539.0,"556,1,1,1,1,1,,,,,"
540,540,"People get rid of the natural environment and throw away trash everywhere, so the animals and plants don't have a place to live",540.0,"557,0,1,1,0,0,,,,,"
541,541,"It's because bad gas is produced in cars, factories, etc",541.0,"558,1,0,0,0,1,,,,,"
542,542,environmental pollution,542.0,"559,0,0,1,0,0,,,,,"
543,543,"It is because it is not considered for other living things, and it is not developed at random, and it is not considered environmental protection",543.0,"560,1,1,1,0,1,,,,,"
544,544,"Because we pollute the environment, there is no living environment.",544.0,"561,0,0,1,1,1,,,,,"
545,545,"With global warming, polar bears have less ground to live in.",545.0,"562,0,0,0,0,1,,,,,"
546,546,"Due to global warming, polar bears die due to melting icebergs and glaciers, and many animals such as foxes, raccoons, and dogs are dying to make fur.",546.0,"563,0,0,1,0,1,,,,,"
547,547,"Because we have a lot of trash and bad effects on rivers, rivers, lakes, and the environment, endangered species often kill endangered species and cannot feed them.",547.0,"564,0,0,1,1,1,,,,,"
548,548,Because people kill animals and pollute the environment,548.0,"565,0,0,0,0,0,,,,,"
549,549,This is because we humans destroy animals' habitats in order to live comfortably.,549.0,"566,0,0,0,0,0,,,,,"
550,550,"Living things have their own characteristics, but these days due to environmental changes and climate change, they lose their advantages and are killed by top predators and nature",550.0,"567,1,0,1,0,1,,,,,"
551,551,"People dump garbage on the floor, causing environmental pollution, which puts animals at risk of extinction",551.0,"568,0,0,0,0,1,,,,,569,1,1,1,1,0,,,,,"
552,552,Human beings have indiscriminately destroyed the ecosystem,552.0,"570,0,0,0,0,0,,,,,"
553,553,I think it's because global warming increases the global temperature Even one degree difference in temperature can make a huge difference,553.0,"571,0,0,0,0,0,,,,,"
554,554,"There is a crisis because people develop nature and hunt animals a lot, breaking the balance in the ecosystem.",554.0,"572,0,0,1,0,1,,,,,"
555,555,"The phenomenon of environmental pollution and the death of living creatures is called environmental pollution because we throw away garbage, waste unnecessary items, electricity, waste money, or waste water",555.0,"573,1,1,1,0,1,,,,,"
556,556,It is likely that the polar bear will drown as ice melts due to people catching it or turning on air conditioners a lot,556.0,"574,0,0,1,0,0,,,,,"
557,557,Because of global warming and environmental pollution.,557.0,"575,0,0,0,0,0,,,,,"
558,558,"This is because people don't throw away trash anywhere and save water and save shampoo, conditioner, and body wash.",558.0,"576,0,0,1,0,0,,,,,"
559,559,I don't understand.,559.0,"577,0,0,0,0,0,,,,,"
