,Unnamed: 0,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,Unnamed: 0,", q38_temperature, q38_pressure, q38_gas molecule, q38_temperature.1,q38_Pressure.1,q38_a gas molecule.1"
562,562,It's because the cold air is so strong and cold,562.0,"581,0,0,0,,,"
563,563,The temperature suddenly changed,563.0,"582,0,1,0,,,"
564,564,It was hot so I absorbed heat because I put it in the refrigerator to send heat.,564.0,"583,1,1,0,,,"
565,565,It's cold and it swells up,565.0,"584,1,0,0,,,"
566,566,I don't know,566.0,"585,1,0,0,,,"
567,567,The plastic is weak against heat.,567.0,"586,0,0,0,,,"
568,568,I was in a hot place and went into a cold place,568.0,"587,1,0,0,,,"
569,569,I don't understand.,569.0,"588,0,0,0,,,"
570,570,This is because the cold air presses the bottle.,570.0,"589,0,0,0,,,"
571,571,Because the air pressure is weak,571.0,"590,0,0,0,,,"
572,572,I don't know.,572.0,"591,1,0,0,,,"
573,573,How do I know?,573.0,"592,1,0,0,,,"
574,574,????????????????????????????????????????,574.0,"593,0,0,0,,,"
575,575,I don't know.,575.0,"594,0,1,0,,,"
576,576,.....................................,576.0,"595,1,0,0,,,"
577,577,I don't know,577.0,"596,0,1,0,,,"
578,578,Because the volume is reduced,578.0,"597,1,0,0,,,"
579,579,"If it's in a hot place, it melts and if you put it in a cold place, it freezes and gets smaller",579.0,"598,0,1,0,,,599,1,0,0,,,"
580,580,"It was hot, but it suddenly got cold",580.0,"600,1,0,0,,,"
581,581,There's a change in the heat,581.0,"601,0,0,0,,,"
582,582,????????,582.0,"602,1,0,0,,,"
583,583,It's because of the atmospheric pressure.,583.0,"603,1,0,0,,,"
584,584,"The refrigerator is a colder place, so the air pressure rises. Therefore, the plastic bottle is crushed because the pressing force becomes stronger.",584.0,"604,0,0,0,,,"
585,585,The temperature is so different,585.0,"605,1,0,0,,,"
586,586,This is because water becomes bulky when the temperature drops.,586.0,"606,0,1,0,,,"
587,587,It's because of the air.,587.0,"607,1,1,0,,,"
588,588,Because of the temperature change,588.0,"608,1,0,0,,,"
589,589,Not because I'm too lazy,589.0,"609,1,0,0,,,"
590,590,"""?",590.0,"610,0,1,0,,,"
591,591,"""",591.0,"611,0,0,0,,,"
592,592,???,592.0,"612,0,0,0,,,"
593,593,"This is because the temperature is low.When the plastic freezes and becomes smaller, it gets bigger and smaller",593.0,"613,1,0,0,,,"
594,594,I don't know,594.0,"614,0,1,0,,,"
595,595,under pressure,595.0,"615,1,0,0,,,"
596,596,"In the summer, the plastic bottle heats up because of the high temperature. If you put it in the refrigerator here, the temperature suddenly drops, so the air in the PET rice became unstable.",596.0,"616,1,0,0,,,"
597,597,Because of the atmospheric pressure,597.0,"617,1,0,0,,,"
598,598,The temperature is different inside and outside,598.0,"618,1,0,0,,,"
599,599,"Because of the low and high pressures,",599.0,"619,1,0,0,,,"
600,600,"This is because if you put it in the refrigerator, it suddenly contracts because of the cold.",600.0,"620,0,0,0,,,"
601,601,It suddenly got cold.,601.0,"621,0,0,0,,,"
602,602,I don't know,602.0,"622,1,0,0,,,"
603,603,This is because the volume of water increases as the temperature goes from high to low.,603.0,"623,0,0,0,,,"
604,604,be due to a difference in heat,604.0,"624,1,0,0,,,"
605,605,The air suddenly expands,605.0,"625,0,0,0,,,"
606,606,"The air was in it, and it got cold and shrunk",606.0,"626,1,0,0,,,"
607,607,Because of the low pressure,607.0,"627,1,0,0,,,"
608,608,This is because low temperatures make the atmosphere hot,608.0,"628,0,0,0,,,629,0,0,0,,,"
609,609,Because of the heat difference.,609.0,"630,0,1,0,,,"
610,610,The temperature was hot and then suddenly it got cold,610.0,"631,1,0,0,,,"
611,611,Because the air pressure went up?,611.0,"632,1,1,0,,,"
612,612,??,612.0,"633,1,0,0,,,"
613,613,"When it freezes, the volume of water decreases and the empty space shrinks",613.0,"634,0,1,0,,,"
614,614,The bar heats up and crushes the plastic bottle.,614.0,"635,1,0,0,,,"
615,615,It's because the air in the bottle has decreased,615.0,"636,1,0,0,,,"
616,616,It's because of the change in temperature change.,616.0,"637,1,0,0,,,"
617,617,Low temperature of Gichenne causes gas to low gas,617.0,"638,1,1,0,,,"
618,618,The temperature changed,618.0,"639,1,0,0,,,"
619,619,Low air temperature causes dents.,619.0,"640,1,0,0,,,"
620,620,It was hot and then it got cold,620.0,"641,0,0,0,,,"
621,621,I don't know.,621.0,"642,1,0,0,,,"
622,622,I don't know,622.0,"643,0,0,0,,,"
623,623,Due to the temperature differential,623.0,"644,1,0,0,,,"
624,624,I don't know.,624.0,"645,1,0,0,,,"
625,625,There's a temperature difference,625.0,"646,1,0,0,,,"
626,626,I don't know.,626.0,"647,0,0,0,,,"
627,627,melted by the heat,627.0,"648,1,0,0,,,"
628,628,Because of the temperature,628.0,"649,0,0,0,,,"
629,629,I don't know.,629.0,"650,0,0,0,,,"
630,630,I don't know.,630.0,"651,1,0,0,,,"
631,631,The air pressure changed,631.0,"652,1,0,0,,,"
632,632,Plastic bottles that expand when it is hot contract because they enter the cold refrigerator.,632.0,"653,0,1,0,,,"
633,633,"This is because when it gets cold, the atmosphere decreases.",633.0,"654,1,0,0,,,"
634,634,"It is because the temperature fluctuates greatly. This is because the volume expands due to the high temperature outside the summer, but the temperature is low in the refrigerator and contracts.",634.0,"655,1,0,0,,,"
635,635,be out of air,635.0,"656,1,0,0,,,"
636,636,This is because it contracts in places where the temperature is low.,636.0,"657,1,0,0,,,"
637,637,Because of the temperature,637.0,"658,1,0,0,,,659,1,0,0,,,"
638,638,a temperature difference,638.0,"660,1,0,0,,,"
639,639,"The plastic bottle outside is stretched because it is hot outside, but the refrigerator is cold and the particle decreases, so it is crushed",639.0,"661,0,0,0,,,"
640,640,This is because the temperature inside the bottle and outside are different.,640.0,"662,1,0,0,,,"
641,641,Temperature difference,641.0,"663,1,0,0,,,"
642,642,?,642.0,"664,1,0,0,,,"
643,643,The heated plastic bottle will be crushed by the cold air in the refrigerator.,643.0,"665,1,0,0,,,"
644,644,I don't know,644.0,"666,0,0,0,,,"
645,645,Plastic bottles outside in summer expand and contract in a cold refrigerator because of the warm summer temperature.,645.0,"667,0,0,0,,,"
646,646,Because the temperature suddenly changed,646.0,"668,0,0,0,,,"
647,647,"The plastic bottle is expanding because it is hot outside in summer, but when the bottle is put in the refrigerator, the temperature decreases rapidly, contracts rapidly, and the plastic bottle is crushed.",647.0,"669,0,0,0,,,"
648,648,.,648.0,"670,0,0,0,,,"
649,649,It got cold,649.0,"671,0,0,0,,,"
650,650,Steel,650.0,"672,0,0,0,,,"
651,651,Beakers... I don't know,651.0,"673,1,1,0,,,"
652,652,The temperature changed dramatically,652.0,"674,0,0,0,,,"
653,653,It's because of the temperature difference,653.0,"675,0,1,0,,,"
654,654,It's because of the pressure,654.0,"676,0,0,0,,,"
655,655,There's a change in temperature,655.0,"677,0,0,0,,,"
656,656,The air in the plastic shrinks by the cold air and is crushed,656.0,"678,0,0,0,,,"
657,657,This is because the volume contracts when the temperature decreases.,657.0,"679,0,0,0,,,"
658,658,"Just as a person curls up when it gets hot and cold, plastic bottles are the same.",658.0,"680,0,1,0,,,"
659,659,This is because the volume decreases when it gets cold.,659.0,"681,1,1,0,,,"
660,660,It is because of a sudden change in temperature.,660.0,"682,1,0,0,,,"
661,661,"This is because if you put what you put in a hot place in summer in a cold refrigerator, the temperature went up.",661.0,"683,1,0,0,,,"
662,662,This is because the volume of the gas in the bottle decreases,662.0,"684,0,0,0,,,"
663,663,Heat-expanded plastic bottles are crushed due to rapid contraction as the temperature drops sharply.,663.0,"685,0,0,0,,,"
664,664,"In summer, the inside of the plastic is hot, causing thermal expansion, and the air expands, and when it is placed in the refrigerator, it shrinks as the temperature of the air decreases.",664.0,"686,0,0,0,,,"
665,665,Pet bottles that have been stretched due to thermal expansion are crushed due to rapid contraction due to rapid temperature drop,665.0,"687,1,0,0,,,"
666,666,It is caused by the difference between the hot temperature in summer and the cool temperature of the refrigerator.,666.0,"688,1,0,0,,,689,0,0,0,,,"
667,667,I don't know.,667.0,"690,1,0,0,,,"
668,668,d,668.0,"691,0,0,0,,,"
669,669,The air is gone,669.0,"692,0,0,0,,,"
670,670,This is because the volume increases as the water expands.,670.0,"693,0,0,0,,,"
671,671,Because the air is escaping,671.0,"694,0,0,1,,,"
672,672,Why?,672.0,"695,1,0,0,,,"
673,673,I don't understand.,673.0,"696,1,0,0,,,"
674,674,"The lower the temperature, the higher the pressure",674.0,"697,0,0,0,,,"
675,675,.......,675.0,"698,1,0,0,,,"
676,676,The pressure got low,676.0,"699,0,0,0,,,"
677,677,Yeah.,677.0,"700,1,0,0,,,"
678,678,I don't know because I haven't tried it,678.0,"701,0,0,0,,,"
679,679,....,679.0,"702,0,0,0,,,"
680,680,take no notice of,680.0,"703,1,0,0,,,"
681,681,It's because the pressure has decreased.,681.0,"704,1,0,0,,,"
682,682,Because the pressure is low because it's cold?,682.0,"705,1,0,0,,,"
683,683,Temperature,683.0,"706,0,0,0,,,"
684,684,The plastic bottle that got hot suddenly dropped,684.0,"707,0,0,0,,,"
685,685,I don't know,685.0,"708,1,0,0,,,"
686,686,You're right,686.0,"709,1,0,0,,,"
687,687,"Wow, hello I didn't understand the problem itself!Ahhhhhhh!",687.0,"710,0,1,0,,,"
688,688,It's too cold,688.0,"711,1,0,0,,,"
689,689,This is because the volume increases as the temperature increases and decreases as the temperature decreases.,689.0,"712,1,1,0,,,"
690,690,/,690.0,"713,1,1,0,,,"
691,691,Because the temperature is different.,691.0,"714,1,0,0,,,"
692,692,Chinese zodiac signSomething scientific started,692.0,"715,1,0,0,,,"
693,693,There's something very scientific about it,693.0,"716,1,0,0,,,"
694,694,It's going to be vaporized,694.0,"717,0,1,0,,,"
695,695,There's a lot of cold air around me,695.0,"718,1,0,0,,,719,1,1,0,,,"
696,696,I suddenly got cold,696.0,"720,1,0,0,,,"
697,697,issue,697.0,"721,1,1,1,,,"
698,698,The temperature is different,698.0,"722,1,0,0,,,"
699,699,in expansion,699.0,"723,0,0,0,,,"
700,700,"The warm plastic bottle was put in the refrigerator and suddenly became cold, so the plastic bottle was crushed in surprise.",700.0,"724,1,1,0,,,"
701,701,Hah!,701.0,"725,1,0,1,,,"
702,702,Because of the sun,702.0,"726,1,1,0,,,"
703,703,"""The temperature of the plastic bottle outside is hot, and the temperature of the refrigerator is cool.",703.0,"727,0,0,0,,,"
704,704,"So when it gets hot and then suddenly gets cold, the bottle gets crushed.""",704.0,"728,1,0,1,,,"
705,705,My temperature has changed,705.0,"729,1,0,0,,,"
706,706,Because of the cold air,706.0,"730,1,0,1,,,"
707,707,The volume of the gas gets smaller,707.0,"731,1,0,0,,,"
708,708,d,708.0,"732,0,0,1,,,"
709,709,It's because the temperature suddenly,709.0,"733,1,0,0,,,"
710,710,It's hot outside and cool inside the refrigerator,710.0,"734,0,0,0,,,"
711,711,This is because the pressure has increased.,711.0,"735,0,0,0,,,"
712,712,"When it gets hot and cold, it's the same as frostbite",712.0,"736,1,0,0,,,"
713,713,"When it's cold, the bottle swells up, so it bursts and collapses because it's full of air",713.0,"737,1,0,0,,,"
714,714,The temperature and air pressure are different,714.0,"738,1,0,0,,,"
715,715,The air was hot It suddenly got cold,715.0,"739,0,0,0,,,"
716,716,The air got hot and then cold,716.0,"740,1,0,0,,,"
717,717,"It is very hot outside in summer, but the refrigerator is cool. Therefore, the plastic bottle is crushed because of the temperature difference.",717.0,"741,1,0,0,,,"
718,718,because of the pressure,718.0,"742,1,0,0,,,"
719,719,"The plastic bottle, which had been inflated by the heat, is crushed by the low temperature",719.0,"743,1,1,0,,,"
720,720,"The plastic bottle, which had swelled up in the hot air, rises in air pressure around it as it enters the cold refrigerator, causing the plastic bottle to crumble",720.0,"744,1,0,0,,,"
721,721,"Because the temperature of plastic bottles outside in the summer is higher than that of the refrigerator, the air inside the plastic bottle loses heat to the refrigerator, and the volume contracts, causing the plastic bottle to be crushed.",721.0,"745,1,1,1,,,"
722,722,"The plastic bottle outside is located at a high temperature, so the air pressure is low due to low air pressure, and the air inside is still and then enters the refrigerator, and the pressure increases, causing it to be crushed by external pressure and contracted.",722.0,"746,1,0,1,,,"
723,723,"The temperature is high in the summer. When the air in the plastic bottle expands due to the high temperature and is put in the refrigerator, the air in the plastic bottle contracts rapidly due to the sudden decrease in temperature, causing the plastic bottle to be crushed.",723.0,"747,1,0,0,,,"
724,724,I,724.0,"748,1,0,0,,,749,1,0,0,,,"
725,725,"If you leave a plastic bottle outside in the summer, the temperature will rise. At this time, if a bottle is placed in a refrigerator with a low temperature, the bottle is crushed because the temperature in the bottle decreases and the air pressure becomes lower than the external pressure.",725.0,"750,0,0,0,,,"
726,726,"The more energy a substance gains, the more active the molecular motion becomes. Typically, water exists in the state of ice, which is a solid with no active molecular motion at about 0 degrees Celsius, and when the temperature is higher, it exists as liquid water with more active molecular motion than solid. At higher temperatures, molecular motion becomes very active gaseous water vapor. In this way, if the gas in the plastic bottle is placed outside in the hot summer, the energy expands, and if it is placed in the cold refrigerator, the energy is taken away and the volume decreases, and the plastic bottle is crushed by air pressure.",726.0,"751,0,0,0,,,"
727,727,"The hotter the air is, the more it expands, and when it expands, the lower the air pressure. If the air pressure is rapidly cooled in a low state, the air contracts again, and the internal pressure becomes smaller than the external pressure (the difference in air pressure is large), resulting in crushing.",727.0,"752,0,0,0,,,"
728,728,I don't know.,728.0,"753,0,0,0,,,"
729,729,"The plastic bottle outside in summer is elevated high in temperature, so the molecular motion of the gas in it is active, so it will be swollen. If you put these inflated plastic bottles in the refrigerator, the plastic bottles whose temperatures were raised will come on and go down, and then the plastic bottles will be crushed as the temperature drops and molecular motion slows down.",729.0,"754,0,0,0,,,"
730,730,"In summer, the high temperature of air in plastic bottles outside will drop in the refrigerator. According to Charles' law, the volume of air in a plastic decreases because each temperature rises by one degree by 1/273 of the gas at room temperature.",730.0,"755,0,0,0,,,"
731,731,"If the air in the plastic bottle contains summer air, it contains air that has become bulky due to relatively high temperatures, but if it is put in the refrigerator, the movement of air molecules slows down as the temperature decreases, making the bottle smaller and crushed.",731.0,"756,0,0,0,,,"
732,732,"The volume of the gas is proportional to the temperature. As the temperature decreases, the volume of the gas decreases, and as the temperature increases, the volume of the gas increases. The temperature of plastic bottles outside in summer is high, but when put in the refrigerator, the temperature decreases, so the volume of air in the plastic bottles decreases.",732.0,"757,0,0,0,,,"
733,733,"In summer, the molecular movement of plastic bottles outside is active, so it is swollen, and when put in the refrigerator, the temperature decreases, and the molecular movement slows down and becomes dented.",733.0,"758,1,0,0,,,"
734,734,It's heated up,734.0,"759,0,1,0,,,"
735,735,Because it didn't affect anything,735.0,"760,0,0,0,,,"
736,736,The moisture goes out,736.0,"761,0,1,0,,,"
737,737,The temperature suddenly dropped,737.0,"762,0,0,0,,,"
738,738,This is because there is a difference in temperature.,738.0,"763,1,0,0,,,"
739,739,Because there is a big difference in temperature is big,739.0,"764,0,0,0,,,"
740,740,"""Oh, my God",740.0,"765,1,0,0,,,"
741,741,"""I don't know""",741.0,"766,1,0,0,,,"
742,742,"""In the summer, the air in the plastic bottle",742.0,"767,0,0,0,,,"
743,743,"Getting out and meeting the cold air in the refrigerator.""",743.0,"768,0,0,0,,,"
744,744,I suddenly got cold,744.0,"769,1,0,0,,,"
745,745,It suddenly moved from hot to cold,745.0,"770,0,0,0,,,"
746,746,It's because of pressure and temperature,746.0,"771,1,0,0,,,"
747,747,"Because of the cold heat in the refrigerator,",747.0,"772,0,1,0,,,"
748,748,"Since actively moving gas molecules are put into cold air, the movement becomes slow and the internal air pressure is lowered. That's why it's dented.",748.0,"773,0,0,0,,,"
749,749,"Because of the decrease in temperature, the movement between molecules decreases, and the space occupied by it decreases",749.0,"774,0,0,0,,,"
750,750,Because of the decrease in temperature,750.0,"775,1,0,1,,,"
751,751,It's because of the temperature difference.,751.0,"776,1,1,0,,,"
752,752,"This is because when you go to the refrigerator, the temperature decreases and the speed of molecular motion slows down",752.0,"777,1,0,0,,,"
753,753,I don't know.,753.0,"778,1,0,0,,,779,0,0,0,,,"
754,754,I don't know because I didn't learn.,754.0,"780,1,0,0,,,"
755,755,Just.,755.0,"781,1,0,0,,,"
756,756,Because it's compressed?,756.0,"782,1,0,0,,,"
757,757,I didn't learn it.,757.0,"783,1,0,0,,,"
758,758,Because it's compressed?,758.0,"784,1,1,0,,,"
759,759,I don't know,759.0,"785,1,0,0,,,"
760,760,I don't know.,760.0,"786,1,0,0,,,"
761,761,It moves from hot to cold,761.0,"787,0,1,0,,,"
762,762,Pressure,762.0,"788,1,0,0,,,"
763,763,Moe.,763.0,"789,1,0,0,,,"
764,764,It's because of the atmospheric pressure,764.0,"790,1,0,0,,,"
765,765,a long gap,765.0,"791,1,0,0,,,"
766,766,The temperature is lower,766.0,"792,1,0,0,,,"
767,767,Because of Charles' law,767.0,"793,0,0,0,,,"
768,768,I'll stay at a high temperature and go to a low temperature,768.0,"794,0,0,0,,,"
769,769,Suddenly the bottle gets cold and the bottle shrinks.,769.0,"795,1,1,1,,,"
770,770,a change in the volume,770.0,"796,1,0,0,,,"
771,771,No air ventilation,771.0,"797,1,0,0,,,"
772,772,Because it expands in cold places.,772.0,"798,0,0,0,,,"
773,773,No learning,773.0,"799,0,0,0,,,"
774,774,There's a big difference in temperature,774.0,"800,1,1,0,,,"
775,775,Pressure,775.0,"801,1,0,0,,,"
776,776,I don't know.,776.0,"802,1,0,0,,,"
777,777,Part-time job,777.0,"803,1,0,0,,,"
778,778,"Plastic bottles that are kept outside in the summer are expanded due to the high temperature of the air inside, and the molecular motion becomes active and the volume increases",778.0,"804,1,0,0,,,"
779,779,"As the temperature of the internal air decreases, the volume decreases to keep the pressure constant.",779.0,"805,1,0,0,,,"
780,780,"By Charles' law, the volume decreases when the temperature decreases.",780.0,"806,0,0,0,,,"
781,781,The air in the plastic bottle outside during the summer expands and contracts again when the temperature drops,781.0,"807,1,0,0,,,"
782,782,I don't know.,782.0,"808,1,0,0,,,809,0,0,0,,,"
783,783,This is because the temperature of the air in the bottle has decreased and the volume has decreased.,783.0,"810,1,0,0,,,"
784,784,"Since the temperature is low in summer, it is small in volume and becomes sticky.",784.0,"811,1,0,0,,,"
785,785,"As the temperature decreases, the PV product decreases",785.0,"812,0,0,0,,,"
786,786,The temperature of the air has decreased and the volume has decreased.,786.0,"813,1,1,0,,,"
787,787,"Since the temperature of the bottle air decreases and the pressure decreases, it is squashed by the ambient pressure.",787.0,"814,1,0,0,,,"
788,788,It is so cold that the temperature of the bottle decreases and the volume decreases.,788.0,"815,0,0,0,,,"
789,789,Plastic bottles inflated by summer weather shrink in cold refrigerator,789.0,"816,1,0,0,,,"
790,790,There's a low pressure inside,790.0,"817,0,1,0,,,"
791,791,The temperature decreases and the volume decreases.The temperature decreases and contracts.,791.0,"818,1,0,0,,,"
792,792,This is because the temperature is low and it is quiet.,792.0,"819,1,1,0,,,"
793,793,The temperature decreases and the volume of air in the bottle decreases according to Charles' law.,793.0,"820,0,1,0,,,"
794,794,Because the temperature decreases,794.0,"821,1,1,0,,,"
795,795,Oxygen,795.0,"822,0,0,0,,,"
796,796,I don't know.,796.0,"823,1,0,0,,,"
797,797,"In the summer, the air inside the plastic bottle outside increases the kinetic energy of the molecule as the temperature rises, and the plastic bottle slightly swells as the internal pressure increases due to the molecules that are active as the increased energy. When a plastic bottle in this state is placed in the refrigerator, the temperature suddenly decreases, the kinetic energy of the air molecules in the bottle also decreases rapidly, and the pressure inside the bottle weakens, causing the outside pressure to crush the plastic bottle.",797.0,"824,1,0,0,,,"
798,798,Because of the temperature difference,798.0,"825,0,0,0,,,"
799,799,a change in temperature,799.0,"826,0,0,0,,,"
800,800,I don't know.,800.0,"827,0,0,0,,,"
801,801,I don't know.,801.0,"828,1,0,0,,,"
802,802,"When the pressure is constant, the temperature and volume are proportional, but the temperature decreases and the volume decreases",802.0,"829,1,0,0,,,"
803,803,This is because the air inside the plastic bottle contracts because the temperature of the air decreases.,803.0,"830,0,0,0,,,"
804,804,"As the air cools, the volume decreases and becomes dented.",804.0,"831,1,0,0,,,"
805,805,This is because the volume decreases due to a decrease in temperature.  Feat. Charles' Law,805.0,"832,0,0,0,,,"
806,806,It's because of the temperature.,806.0,"833,0,0,0,,,"
807,807,"If you put a plastic bottle with an increased volume due to the increased temperature of the plastic bottle into the cold refrigerator sock, the temperature of the plastic bottle decreases and the volume decreases.",807.0,"834,1,0,0,,,"
808,808,This is because the volume shrinks.,808.0,"835,0,0,0,,,"
809,809,a difference in temperature,809.0,"836,0,0,0,,,"
810,810,This is because the temperature has decreased.(PV=nRT),810.0,"837,1,0,0,,,"
811,811,Don't know.,811.0,"838,0,0,0,,,839,0,0,0,,,"
812,812,This is because the temperature was lowered and the material in the plastic bottle contracted.,812.0,"840,0,0,0,,,"
813,813,"This is because the volume of the fluid in the plastic bottle increases due to the high temperature and then decreases the temperature, thereby reducing the volume.",813.0,"841,0,1,0,,,"
814,814,This is because the material in the plastic bottle expands in hot places and contracts in cold places,814.0,"842,1,0,0,,,"
815,815,This is because the temperature and volume are proportional when the pressure is constant.,815.0,"843,1,0,0,,,"
816,816,This is because the temperature has decreased.,816.0,"844,1,0,0,,,"
817,817,It expands in hot places and then shrinks as it goes cold.,817.0,"845,0,0,0,,,"
818,818,The air in the plastic bottle contracts as the temperature decreases.,818.0,"846,1,0,0,,,"
819,819,"As much as the air in the pushed bottle shrinks, the pressure is on the volume",819.0,"847,0,0,0,,,"
820,820,"This is because the air pressure inside the plastic bottle outside becomes high and low, so the air pressure decreases.",820.0,"848,0,0,0,,,"
821,821,This is because the pressure varies due to the temperature difference.,821.0,"849,0,1,0,,,"
822,822,This is because the pressure of plastic bottles decreases.,822.0,"850,0,1,0,,,"
823,823,"Since it is in the refrigerator, the temperature is lower than the outside temperature, so the air pressure is lowered and it is crushed.",823.0,"851,1,0,0,,,"
824,824,I don't know because I haven't tried it,824.0,"852,1,0,0,,,"
825,825,"Temperature and volume are the expansion of the volume in summer = The plastic bottle, which is a normal volume, is crushed as the temperature decreases.",825.0,"853,0,0,0,,,"
826,826,This is because the temperature is low and the volume of air decreases.,826.0,"854,0,0,0,,,"
827,827,The air contracted,827.0,"855,1,0,0,,,"
828,828,It's hot,828.0,"856,1,0,0,,,"
829,829,Because the volume changes because of the heat difference?,829.0,"857,1,0,0,,,"
830,830,differ in temperature,830.0,"858,1,1,0,,,"
831,831,an extreme temperature difference,831.0,"859,0,0,0,,,"
832,832,There's a difference in air pressure,832.0,"860,1,0,0,,,"
833,833,This is because the temperature decreases and the volume decreases.,833.0,"861,1,1,0,,,"
834,834,I'm not sure. I don't know,834.0,"862,1,0,0,,,"
835,835,in contraction,835.0,"863,1,0,0,,,"
836,836,a sudden change in temperature,836.0,"864,1,0,0,,,"
837,837,This is because the volume decreases as the air in the hot container cools.,837.0,"865,1,0,0,,,"
838,838,"""If a bottle that has become bulky due to heat goes to a cold place,",838.0,"866,1,0,0,,,"
839,839,"""The volume suddenly gets smaller and it's dented.""",839.0,"867,1,0,0,,,"
840,840,Because of the temperature difference,840.0,"868,1,0,0,,,869,1,0,0,,,"
841,841,It got cold,841.0,"870,0,0,0,,,"
842,842,ㅁㄹㅇ,842.0,"871,0,0,0,,,"
843,843,"It's because when it's solid in a liquid, it gets smaller in volume",843.0,"872,1,1,0,,,"
844,844,"The air in the plastic bottle outside expands under heat, which causes the plastic bottle to be high-pressure, and when you put it in the refrigerator, the movement of the molecules decreases rapidly, which lowers the pressure and causes it to be crushed.",844.0,"873,1,0,0,,,"
845,845,Because of the temperature difference,845.0,"874,0,0,0,,,"
846,846,a difference in temperature difference,846.0,"875,1,0,0,,,"
847,847,It's because the temperature suddenly,847.0,"876,0,1,0,,,"
848,848,Because I suddenly met the cold air.,848.0,"877,1,0,0,,,"
849,849,This is because the temperature outside suddenly changes.,849.0,"878,1,1,0,,,"
850,850,I don't understand.,850.0,"879,0,0,0,,,"
851,851,I don't know.,851.0,"880,1,0,0,,,"
852,852,"There was no air, so it was wrinkled",852.0,"881,0,0,0,,,"
853,853,"There was no air, so it was wrinkled",853.0,"882,0,1,0,,,"
854,854,There's a big change in temperature,854.0,"883,1,0,0,,,"
855,855,The temperature decreases and the volume decreases,855.0,"884,1,0,0,,,"
856,856,Volume shrinkage due to temperature differences,856.0,"885,1,0,0,,,"
857,857,I've got a better future ahead of me,857.0,"886,0,1,0,,,"
858,858,Because of the temperature difference,858.0,"887,1,0,0,,,"
859,859,Because there is a big difference in temperature is big,859.0,"888,1,0,0,,,"
860,860,This is because the volume decreases when the temperature decreases,860.0,"889,1,0,0,,,"
861,861,Pressure is strong at high temperatures.,861.0,"890,1,1,0,,,"
862,862,"Expansion good, Pyeongchang good",862.0,"891,1,0,1,,,"
863,863,The temperature went down,863.0,"892,1,0,0,,,"
864,864,This is because the air density has decreased due to the lower temperature.,864.0,"893,0,0,0,,,"
865,865,"If the temperature goes down, the volume goes down",865.0,"894,1,0,0,,,"
866,866,Reduced bottle volume due to lower temperature,866.0,"895,1,0,0,,,"
867,867,by a large temperature difference,867.0,"896,1,0,0,,,"
868,868,It's because the temperature has gone down,868.0,"897,1,0,0,,,"
869,869,"The plastic bottle and the room temperature are different, so it expands",869.0,"898,1,0,0,,,899,0,0,0,,,"
870,870,Temperature difference,870.0,"900,1,0,0,,,"
871,871,Dented when the temperature drops suddenly,871.0,"901,1,0,0,,,"
872,872,"This is because air expands when the temperature is high and contracts when it is low, making the volume smaller",872.0,"902,1,0,0,,,"
873,873,.,873.0,"903,0,0,0,,,"
874,874,I don't know.,874.0,"904,1,1,0,,,"
875,875,"The lower the temperature, the lower the pressure, which increases the volume",875.0,"905,0,0,0,,,"
876,876,"When you put a plastic bottle in the refrigerator, the temperature goes down",876.0,"906,0,0,0,,,"
877,877,.,877.0,"907,1,0,0,,,"
878,878,This is because temperature is half-burning to volume.,878.0,"908,0,0,0,,,"
879,879,because of the pressure,879.0,"909,0,1,0,,,"
880,880,This is because the temperature was high and then the temperature decreased when it was put in the refrigerator.,880.0,"910,1,0,0,,,"
881,881,"As the temperature went down, the pressure increased",881.0,"911,1,0,0,,,"
882,882,Air contraction,882.0,"912,0,0,0,,,"
883,883,The temperature difference between the outside and the refrigerator,883.0,"913,0,1,0,,,"
884,884,contraction,884.0,"914,1,1,0,,,"
885,885,This is because the pressure in the plastic bottle is greater than the pressure outside.,885.0,"915,0,0,0,,,"
886,886,It was crushed because of a sudden change in temperature.,886.0,"916,0,1,0,,,"
887,887,It is because of the temperature difference.,887.0,"917,0,0,0,,,"
888,888,"When the temperature decreases, the volume of the gas decreases, so the plastic bottle decreases.",888.0,"918,0,0,0,,,"
889,889,under pressure,889.0,"919,1,0,0,,,"
890,890,"As the temperature decreases, the volume of the gas decreases, so the plastic bottle is crushedThe refrigerator is colder than outside, so the air in the plastic bottle shrinks",890.0,"920,0,0,0,,,"
891,891,This is because the temperature has increased and the volume has decreased.,891.0,"921,1,0,0,,,"
892,892,"The temperature was high outside, but it was low in the refrigerator, and the pressure in the plastic bottle was low",892.0,"922,0,1,0,,,"
893,893,"This is because when water at room temperature enters the refrigerator, the temperature decreases, so the distance between the water molecules decreases.",893.0,"923,0,1,0,,,"
894,894,It's hot and then cold,894.0,"924,1,0,0,,,"
895,895,I don't know.,895.0,"925,1,1,0,,,"
896,896,"Because the gas in the bottle cools and contracts,",896.0,"926,1,0,0,,,"
897,897,"As the volume of the hot plastic bottle enters the cold place, the volume decreases and the plastic bottle is crushed.",897.0,"927,1,0,0,,,"
898,898,"The ideal gas equation shows that the temperature and volume are proportional, so the volume also decreases when the temperature is lowered",898.0,"928,0,0,0,,,929,0,1,1,,,"
899,899,with a sharp drop in temperature,899.0,"930,0,1,0,,,"
