,Unnamed: 0,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Unnamed: 0,"Silla-Tang _ q, the Han River Union, 12 _ winning war, 12 12 _ _ out of the party, q q q, the alliance, 12 _ naje q q 12 Silla-Tang Union._ War victory 12 1, qDislodgment per 1, 12 _ q1, 12 the Han River q.An alliance, 12 _ naje q1"
379,379,I don't know,379.0,"392,0,1,0,0,0,,,,,"
380,380,"After establishing the Nadang Combined Forces, they ate Baekje, died of Goguryeo Yeongaesomun, and three sons fought among themselves, and they lost Goguryeo to the Nadang Combined Forces",380.0,"393,1,0,0,0,0,,,,,"
381,381,I don't know.,381.0,"394,0,0,0,0,0,,,,,"
382,382,M and D,382.0,"395,0,0,0,0,0,,,,,"
383,383,"At first, Baekje occupied the Han River, so it was a diplomatic activity. Goguryeo was jealous of it and took away the Han River from each other. Baekje was in full swing, followed by Silla's heyday, and Goguryeo was in trouble inside for its sons to take the throne And the Tang Dynasty attacked Silla because it wanted to occupy the Three Kingdoms, and Silla joined forces to prevent the Tang Dynasty rather than losing the country to the Goguryeo and Baekje people, blocking the Tang Dynasty and reunifying the Three Kingdoms",383.0,"396,0,0,0,0,0,,,,,"
384,384,Silla suffered because of the strong resistance of Baekje resistance. a victory thanks to the performance of the cargoes,384.0,"397,0,1,0,0,0,,,,,"
385,385,Silla united with the party to defeat Goguryeo and Baekje to achieve unification.,385.0,"398,0,0,0,0,0,,,,,"
386,386,"The Nadang Alliance was formed to destroy Goguryeo and Baekje, and later won the Nadang War to achieve independent reunification of the three kingdoms.",386.0,"399,0,0,0,0,0,,,,,"
387,387,Eating Baekje and finishing Goguryeo with cooperation with the Tang Dynasty.,387.0,"400,0,0,0,0,0,,,,,"
388,388,Silla allied with Tang and invaded Goguryeo.,388.0,"401,1,0,1,0,0,,,,,"
389,389,"After Baekje and Silla first formed an alliance with the Naje alliance to destroy Goguryeo, and Silla formed an alliance with the party to destroy Baekje, Silla unified the three kingdoms.",389.0,"402,1,0,1,0,0,,,,,"
390,390,Silla formed a naje alliance with the Tang Dynasty to destroy Baekje and Goguryeo.,390.0,"403,1,0,1,0,0,,,,,"
391,391,"Silla, where Baekje and Silla united to form the Naje Alliance against Goguryeo and the Naje Alliance with the Party, killed King Uija by hitting the back of Baekje and achieved unification by Silla driving out the party in the Naje War.",391.0,"404,0,0,0,0,0,,,,,"
392,392,"King Jinheung, the 26th king of Silla, allied with King Seong, the 26th king of Baekje, and took the Han River basin from Goguryeo. And then they hit the back of the king and killed him, and after that, Silla reached its heyday. Over time, he allied with the Tang Dynasty during the 29th King Taejong Muyeol and fought an invasion war in earnest, and over time, he reached the 30th King Munmu, taking away Goguryeo's Pyongyang Castle in 668, killing Gyebaek in the Battle of Hwangsanbeol in 660. As a result, Goguryeo and Baekje were destroyed and were about to be unified, but the Tang Dynasty took the initiative again to wage war. As a result, Silla, which won the Battle of Meso Castle in 675 and the Battle of Gibeolpo in 676, defeated the Tang Dynasty and eventually achieved the unification of the Three Kingdoms!",392.0,"405,1,0,0,0,0,,,,,"
393,393,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",393.0,"406,1,0,1,0,0,,,,,"
394,394,"Silla formed a coalition with the Tang Dynasty to attack Baekje and destroy it, and later to destroy Goguryeo. However, when the Tang Dynasty later revealed its ambition to have the Korean Peninsula, it fought a war with the Tang Dynasty and drove it out.",394.0,"407,0,1,0,0,0,,,,,"
395,395,"Silla first occupied the Han River basin, which was dominated by Goguryeo. After that, he attacked Baekje, which was greatly reduced in power, and destroyed Baekje, and after that, after joining forces with the Tang Dynasty to destroy Goguryeo, which was excessively powerful, he invaded Goguryeo to achieve the unification of the Three Kingdoms.I don't know much about history.",395.0,"408,0,0,0,0,0,,,,,"
396,396,"Silla, allied with the Tang Dynasty, first attacked and absorbed Baekje, which had been weakened by the lazy politics of King Uija, and then destroyed Goguryeo, which was in bad condition at the time. The Tang Dynasty, which had a coalition, fought a war against each other to decide who would eat Goguryeo, where Silla won and eventually achieved the unification of the three kingdoms.",396.0,"409,0,0,0,0,0,,,,,"
397,397,"Silla formed the Tang Dynasty and the Nadang Alliance and overthrew Baekje and Goguryeo. Later, the Tang Dynasty attacked Silla for the Korean Peninsula and the Nadang War broke out, but Silla eventually won the war, ousting Tang and unifying the three kingdoms.",397.0,"410,0,0,0,0,0,,,,,"
398,398,-ㅓ,398.0,"411,0,0,0,0,0,,,,,"
399,399,Kim Chun-chu asked Tang for help,399.0,"412,0,0,0,0,0,,,,,"
400,400,Kim Chun-chu asked Tang for help,400.0,"413,0,0,0,0,0,,,,,"
401,401,I don't know...,401.0,"414,0,0,1,0,0,,,,,"
402,402,It is because I asked the Tang Dynasty for help,402.0,"415,0,1,0,0,0,,,,,"
403,403,Silla took advantage of Goguryeo and Baekje and became like this,403.0,"416,1,0,1,0,0,,,,,"
404,404,in a fight,404.0,"417,0,0,0,0,0,,,,,"
405,405,at war,405.0,"418,0,0,0,0,0,,,,,419,1,1,0,0,0,,,,,"
406,406,I don't know,406.0,"420,0,1,0,0,0,,,,,"
407,407,Silla unified Goguryeo and Baekje with help from China and eventually used geography to drive China,407.0,"421,1,0,0,0,0,,,,,"
408,408,I don't know,408.0,"422,0,1,0,0,0,,,,,"
409,409,The Fall of Goguryeo - The Fall of Baekje - The Battle of Nadang - The Unification of Silla,409.0,"423,1,0,0,0,0,,,,,"
410,410,"Silla first attacked Baekje and Goguryeo to unify the three kingdoms, but failed, and with the help of the Tang Dynasty, it collapsed Baekje and Goguryeo. And they completely defeated the Tang Dynasty, which was trying to dominate our land, and achieved true unification of the three kingdoms.",410.0,"424,1,0,0,0,0,,,,,"
411,411,"Reproduction, validation, killing, and combining",411.0,"425,1,1,0,0,0,,,,,"
412,412,"In cooperation with the Tang Dynasty, Baekje and Goguryeo were destroyed.",412.0,"426,1,0,0,0,0,,,,,"
413,413,(Laughing),413.0,"427,1,0,0,0,0,,,,,"
414,414,Silla defeated Baekje Goguryeo,414.0,"428,1,0,0,0,0,,,,,"
415,415,Silla is the strongest of the three kingdoms,415.0,"429,0,0,0,0,0,,,,,"
416,416,"Silla formed the alliance of the Nadang, and Baekje formed the alliance But the Tang Dynasty was so strong that Silla unified",416.0,"430,1,0,0,0,0,,,,,"
417,417,I don't know,417.0,"431,0,0,0,0,0,,,,,"
418,418,Well,418.0,"432,1,0,0,1,0,,,,,"
419,419,Hmm... I don't know,419.0,"433,1,0,1,0,0,,,,,"
420,420,We fought a lot of wars,420.0,"434,0,0,0,0,0,,,,,"
421,421,I don't know,421.0,"435,0,0,0,0,0,,,,,"
422,422,"""Shall we unite, kids?""",422.0,"436,0,0,0,0,0,,,,,"
423,423,Good!,423.0,"437,0,0,0,0,0,,,,,"
424,424,"-Unification of the Three Kingdoms -""",424.0,"438,0,0,0,0,0,,,,,"
425,425,It's annoying,425.0,"439,0,0,0,0,0,,,,,"
426,426,"Silla persuaded the party to form an alliance with the party, hit Baekje first, hit Goguryeo first, and ousted the Tang Dynasty.",426.0,"440,1,0,0,0,0,,,,,"
427,427,"Silla united with the Tang Dynasty topple Goguryeo and Baekje and unify the three kingdoms, but it took almost all of Goguryeo's land from the Tang Dynasty and fought with the Tang Dynasty.",427.0,"441,0,0,0,0,0,,,,,"
428,428,"Silla and the Tang Dynasty united to defeat Baekje and Goguryeo, and when the Tang Dynasty tried to dominate Silla, the Tang Dynasty was driven out and unified.",428.0,"442,0,0,0,0,0,,,,,"
429,429,While fighting,429.0,"443,0,0,0,0,0,,,,,"
430,430,They joined forces with the Tang Dynasty to destroy Silla first and then Goguryeo to unify the three kingdoms,430.0,"444,0,0,0,0,0,,,,,"
431,431,After forming an alliance with the Tang Dynasty and destroying Baekje. Koguryo was overthrown and Tang was driven out.,431.0,"445,0,1,0,0,0,,,,,"
432,432,the act of hitting and entering,432.0,"446,1,0,0,0,0,,,,,"
433,433,It's Baekje,433.0,"447,0,0,0,0,0,,,,,"
434,434,"Silla Baekje unified the three kingdoms, but many wars broke out to unify the three kingdoms",434.0,"448,0,0,0,0,0,,,,,449,1,0,1,0,0,,,,,"
435,435,My head is white inside...,435.0,"450,1,0,0,0,0,,,,,"
436,436,Unification of the Three Kingdoms,436.0,"451,0,0,0,0,0,,,,,"
437,437,"In the 4th century, Baekje in the 5th century, Goguryeo in the 6th century was Silla",437.0,"452,1,1,0,0,0,,,,,"
438,438,a whole bunch,438.0,"453,1,0,0,0,0,,,,,"
439,439,They unified the three kingdoms and fought against the Tang Dynasty.,439.0,"454,1,1,0,0,0,,,,,"
440,440,To attack,440.0,"455,1,0,0,0,0,,,,,"
441,441,"He joined hands with the Tang Dynasty to attack Baekje and Goguryeo, and chased the Tang Dynasty",441.0,"456,1,1,0,0,0,,,,,"
442,442,Silla exchanged with many countries and won the war by receiving new material,442.0,"457,1,1,0,0,0,,,,,"
443,443,Expanding generations from place to place,443.0,"458,0,0,0,0,0,,,,,"
444,444,"He allied with the Tang Dynasty, struck down Goguryeo, struck down Baekje, and gave the Tang Dynasty about half of the land he occupied.",444.0,"459,0,0,0,0,0,,,,,"
445,445,"4c 5c 6c took turns, but at the end, Silla won",445.0,"460,0,0,0,0,0,,,,,"
446,446,"""The king of Silla was Kim Chun-chun.",446.0,"461,0,0,0,0,0,,,,,"
447,447,The Great Wild Castle was taken away by Baekje.,447.0,"462,0,0,0,0,0,,,,,"
448,448,Kim Chun-chu asked Goguryeo to play Baekje with him,448.0,"463,0,0,0,0,0,,,,,"
449,449,Goguryeo power Yeon Gaesomun hates it,449.0,"464,1,0,0,0,0,,,,,"
450,450,"Accordingly, Kim Chun-chu moved to the Tang Dynasty and asked to play Baekje together, and was accepted.",450.0,"465,1,0,1,0,0,,,,,"
451,451,"It's not an easy question, but there was a problem inside",451.0,"466,0,0,0,0,0,,,,,"
452,452,"I can't because I'm coming in with Tang (130,000 Tang)",452.0,"467,1,1,0,0,0,,,,,"
453,453,,453.0,"468,0,0,0,0,0,,,,,"
454,454,,454.0,"469,1,1,0,0,0,,,,,"
455,455,,455.0,"470,1,0,0,0,0,,,,,"
456,456,,456.0,"471,1,1,0,0,0,,,,,"
457,457,,457.0,"472,1,0,0,0,0,,,,,"
458,458,,458.0,"473,0,0,0,0,0,,,,,"
459,459,,459.0,"474,0,0,0,0,0,,,,,"
460,460,,460.0,"475,1,0,0,0,0,,,,,"
461,461,,461.0,"476,1,0,0,0,0,,,,,"
462,462,,462.0,"477,1,0,0,0,0,,,,,"
463,463,,463.0,"478,1,0,0,0,0,,,,,479,1,0,0,0,0,,,,,"
464,464,,464.0,"480,1,0,0,0,0,,,,,"
465,465,,465.0,"481,1,0,0,0,0,,,,,"
466,466,,466.0,"482,1,0,0,0,0,,,,,"
467,467,,467.0,"483,0,0,0,0,0,,,,,"
468,468,,468.0,"484,0,0,0,0,0,,,,,"
469,469,,469.0,"485,0,0,0,0,0,,,,,"
470,470,,470.0,"486,0,0,0,0,0,,,,,"
471,471,,471.0,"487,0,1,0,0,0,,,,,"
472,472,"""",472.0,"488,0,1,0,0,0,,,,,"
473,473,"4th, 5th, and 6th centuries variable, but the last Silla monk",473.0,"489,0,1,0,0,0,,,,,"
474,474,"Combined with the Tang Dynasty, they defeated Baekje and Goguryeo",474.0,"490,0,1,0,0,0,,,,,"
475,475,Koguryo and Baekje were destroyed in alliance with the Kang Dynasty,475.0,"491,0,0,0,0,0,,,,,"
476,476,"In alliance with the Tang Dynasty, Goguryeo was overthrown and unified",476.0,"492,1,0,0,1,0,,,,,"
477,477,allied with the Tang Dynasty to destroy Goguryeo and Baekje.,477.0,"493,0,1,0,0,0,,,,,"
478,478,It allied with the Tang Dynasty and unified Goguryeo and Baekje by destroying them.,478.0,"494,0,1,0,0,0,,,,,"
479,479,They allied with the Tang Dynasty and destroyed Goguryeo and Baekje.,479.0,"495,1,0,0,0,0,,,,,"
480,480,Let's not touch the history that our ancestors made,480.0,"496,0,1,0,0,0,,,,,"
481,481,Calling the Tang Dynasty,481.0,"497,0,0,0,0,0,,,,,"
482,482,.,482.0,"498,0,0,0,0,0,,,,,"
483,483,"The Nadang Allied Forces were formed to attack Baekje and occupy the Hangang River basin. After Baekje fell, it attacked Goguryeo and destroyed it.",483.0,"499,0,0,0,0,0,,,,,"
484,484,"In alliance with the Tang Dynasty, Baekje and Goguryeo were destroyed one after another, and the Tang Dynasty and Silla fought a war, and Silla won and unified the three kingdoms",484.0,"500,0,0,0,0,0,,,,,"
485,485,Long live the Tang Dynasty,485.0,"501,0,0,1,0,0,,,,,"
486,486,I don't know.,486.0,"502,1,0,1,0,0,,,,,"
487,487,I don't know,487.0,"503,0,0,0,0,0,,,,,"
488,488,"""I don't know",488.0,"504,1,0,1,0,0,,,,,"
489,489,"""",489.0,"505,1,0,1,0,0,,,,,"
490,490,I'm a traitor,490.0,"506,1,0,1,0,0,,,,,"
491,491,I don't know,491.0,"507,0,1,0,0,0,,,,,"
492,492,Helped by other countries,492.0,"508,1,0,1,0,0,,,,,509,0,0,0,0,0,,,,,"
493,493,I don't know.,493.0,"510,1,0,0,0,0,,,,,"
494,494,"I ate Baekje, and I ate Goguryeo.After the destruction of Baekje, Goguryeo was destroyed, and Silla unified the three kingdoms.",494.0,"511,0,0,0,0,0,,,,,"
495,495,I don't know.,495.0,"512,1,0,0,0,0,,,,,"
496,496,"He defeated Baekje next to him, went up to Goguryeo, and brought Goguryeo into his own territory.",496.0,"513,0,1,0,0,0,,,,,"
497,497,Silla united with Tang and destroyed Baekje and Goguryeo,497.0,"514,0,1,1,0,0,,,,,"
498,498,Silla unified the three kingdoms by eating Baekje and Goguryeo.,498.0,"515,1,0,0,0,0,,,,,"
499,499,I don't know.,499.0,"516,1,1,0,0,0,,,,,"
500,500,"As Silla reached its peak in the 6th century, it defeated Baekje in Hwangsanbeol topple Baekje, and Goguryeo joined hands with the Tang Dynasty topple Goguryeo with the Nadang Allied Forces and oust the Tang Dynasty, which fought together.",500.0,"517,0,0,0,0,0,,,,,"
501,501,"Silla allied with the Party and Baekje with Goguryeo. Silla and Tang struck Baekje first, followed by Goguryeo.",501.0,"518,0,1,0,0,0,,,,,"
502,502,We shared our opinions.,502.0,"519,1,0,0,0,0,,,,,"
503,503,"Goguryeo was destroyed by Tang Dynasty, Silla and Tang were merged to destroy Baekje",503.0,"520,1,0,1,0,0,,,,,"
504,504,Tang and Silla united to destroy Baekje and then Goguryeo,504.0,"521,0,1,0,0,0,,,,,"
505,505,"First, Silla defeated Baekje troops in the Battle of Hwangsanbeol, and united with the Tang Dynasty to destroy Goguryeo, which succeeded in unifying the three countries.",505.0,"522,0,1,0,0,0,,,,,"
506,506,"Silla, which was threatened by other countries, said that if the three kingdoms were unified with the help of the Tang Dynasty, it would give some land to Daanra, and destroyed Baekje first and Goguryeo, which was in turmoil, to achieve the unification of the three kingdoms.",506.0,"523,0,0,0,0,0,,,,,"
507,507,"Silla, which overthrew Baekje and allied with the Tang Dynasty, overthrew Goguryeo and unified the three kingdoms",507.0,"524,0,0,0,0,0,,,,,"
508,508,"Through the Nadang Alliance, they fought the Battle of Hwangsanbeol and other wars to unify the three countries.",508.0,"525,0,0,0,0,0,,,,,"
509,509,I don't know.,509.0,"526,0,0,0,0,0,,,,,"
510,510,I don't know.,510.0,"527,1,0,0,0,0,,,,,"
511,511,I don't know,511.0,"528,0,0,0,0,0,,,,,"
512,512,Hwarangdo was created and unified,512.0,"529,0,0,0,0,0,,,,,"
513,513,.,513.0,"530,0,0,0,0,0,,,,,"
514,514,occupied with the help of Balhae,514.0,"531,1,0,0,0,0,,,,,"
515,515,Silla and the Tang Dynasty united to destroy Baekje and Goguryeo and Silla unified the three kingdoms.,515.0,"532,0,0,0,0,0,,,,,"
516,516,B.The last time the alliance destroyed Baekje.The two parties fought and Silla unified the three kingdoms.,516.0,"533,0,0,0,0,0,,,,,"
517,517,"With the help of Balhae,",517.0,"534,0,0,0,0,0,,,,,"
518,518,"He asked the Tang for help, conquered Baekje, and conquered Goguryeo. Therefore, the three countries were unified.",518.0,"535,1,1,0,0,0,,,,,"
519,519,Unification of King Munmu and Kim Yu-shin,519.0,"536,0,0,0,0,0,,,,,"
520,520,"After asking for help from the party, he conquered Baekje and then Goguryeo. Therefore, the three countries were unified.",520.0,"537,1,0,1,0,0,,,,,"
521,521,Silla Kim Chun-chu joined hands with the Tang Dynasty to unify the three kingdoms,521.0,"538,1,1,1,0,0,,,,,539,0,0,0,0,0,,,,,"
522,522,"When Goguryeo and Baekje invaded Silla, Silla formed a Nadang alliance with the Tang Dynasty and defeated Baekje and Goguryeo to unify the three kingdoms.",522.0,"540,0,0,1,0,0,,,,,"
523,523,Silla Kim Chun-chu joined hands with the Tang Dynasty to unify the three kingdoms.,523.0,"541,0,0,1,0,0,,,,,"
524,524,"Taking advantage of the internal rebellion of Goguryeo, Silla and the Tang Dynasty joined forces to destroy Goguryeo, and Silla won the Battle of Hwangsanbeol because the king of Baekje only played",524.0,"542,0,0,0,0,0,,,,,"
525,525,?,525.0,"543,0,0,0,0,0,,,,,"
526,526,Silla united the three kingdoms in union with Tang.,526.0,"544,0,0,0,0,0,,,,,"
527,527,Silla and the Party united to defeat Baekje and Goguryeo and unify them.,527.0,"545,1,0,1,0,0,,,,,"
528,528,"Attack of Silla and Tang > Battle of Hwangsanbeol > Fall of Sabiseong (Baekje), Fall of Goguryeo Power > Death of Yeongaesomun, Internal Fight Occurred > Attack of Silla and Party Allied Forces Again > Fall of Pyongyang Castle [Unification of Three Kingdoms]",528.0,"546,0,0,0,0,0,,,,,"
529,529,"Silla, Party Attacks and Unification of the Three Kingdoms",529.0,"547,1,1,1,0,0,,,,,"
530,530,Silla and the Party united to unify the three kingdoms,530.0,"548,1,1,0,0,0,,,,,"
531,531,Kim Yushin and China reunified,531.0,"549,0,0,0,0,0,,,,,"
532,532,Silla united with the Party and unified the Three Kingdoms.,532.0,"550,1,0,1,0,0,,,,,"
533,533,Silla united with the Tang Dynasty to destroy Baekje and Goguryeo to unify.,533.0,"551,0,0,0,0,0,,,,,"
534,534,M and D,534.0,"552,0,1,0,0,0,,,,,"
535,535,None.,535.0,"553,0,0,0,0,0,,,,,"
536,536,Silla killed them all,536.0,"554,0,0,0,0,0,,,,,"
537,537,I don't know.,537.0,"555,0,0,0,0,0,,,,,"
538,538,winning a war,538.0,"556,0,1,0,0,0,,,,,"
539,539,Silla fought the unification of the three kingdoms at war,539.0,"557,0,0,0,0,0,,,,,"
540,540,fought a war,540.0,"558,0,0,0,1,0,,,,,"
541,541,I did it through war,541.0,"559,0,0,0,0,0,,,,,"
542,542,I don't know.,542.0,"560,0,0,0,0,0,,,,,"
543,543,The Han River basin was taken from Baekje and merged with the Tang Dynasty to destroy Baekje and Goguryeo in order.,543.0,"561,0,0,0,0,0,,,,,"
544,544,Silla fought and won,544.0,"562,0,0,0,0,0,,,,,"
545,545,Silla won and unified the three kingdoms,545.0,"563,0,0,0,0,0,,,,,"
546,546,"""",546.0,"564,1,1,0,0,0,,,,,"
547,547,"Silla cooperated with the Tang Dynasty to open the back of Goguryeo, which was exhausted from many wars.",547.0,"565,1,0,0,0,0,,,,,"
548,548,Silla attacked,548.0,"566,0,1,0,0,0,,,,,"
549,549,I'm not sure,549.0,"567,0,0,0,0,0,,,,,"
550,550,I don't know much about history,550.0,"568,0,0,0,0,0,,,,,569,1,0,0,0,0,,,,,"
551,551,I don't know.,551.0,"570,0,0,0,0,0,,,,,"
552,552,.,552.0,"571,0,1,0,0,0,,,,,"
553,553,"Goguryeo was destroyed, Baekje was destroyed, and the Tang Dynasty was expelled.",553.0,"572,0,1,0,0,0,,,,,"
554,554,"Along with the Silla River Dangna, Goguryeo was destroyed and the Tang Dynasty was driven out to unify the three kingdoms.",554.0,"573,0,0,0,0,0,,,,,"
555,555,I don't know.,555.0,"574,0,0,0,0,0,,,,,"
556,556,"After joining hands with the Tang Dynasty and destroying Baekje and Goguryeo in order, they defeated the Tang Dynasty to achieve unification.",556.0,"575,0,0,0,0,0,,,,,"
557,557,"Silla was fiercely attacked by Baekje and asked Goguryeo for help, but was rejected. So Silla united with the Party and destroyed Baekje in 660 and Goguryeo in 668. However, when the party tried to take over the Korean Peninsula, Goguryeo, Silla, and Baekje people gathered together to win the Battle of Meso Castle and Gibeolpo, ousting the party from the Korean Peninsula and unifying the three kingdoms.",557.0,"576,0,0,0,0,0,,,,,"
558,558,"In cooperation with the Tang Dynasty, the Nadang Allied Forces were formed to destroy Baekje in 660 and Goguryeo in 668. After that, through the Nadang War, King Munmu completed the unification of the Three Kingdoms in 676.",558.0,"577,0,0,0,0,0,,,,,"
559,559,I killed them all and ate the land.,559.0,"578,0,0,0,0,0,,,,,"
560,560,"Nadang united, destroyed Baekje, destroyed Goguryeo, and won the Nadang War.",560.0,"579,0,0,0,0,0,,,,,"
561,561,I don't know,561.0,"580,0,0,0,0,0,,,,,"
562,562,China helped reunify the country,562.0,"581,1,0,0,0,0,,,,,"
563,563,"Since Silla made Shilla Ramen, all countries have enjoyed eating Shilla Ramen, and naturally, they have surrendered and unified it.",563.0,"582,0,0,0,0,0,,,,,"
564,564,"He held hands with the Tang Dynasty, held Baekje, and captured Goguryeo.",564.0,"583,0,0,0,0,0,,,,,"
565,565,Because there were several wars and Silla finally won the war,565.0,"584,0,0,0,0,0,,,,,"
566,566,"Silla won the Maesoseong and Gibeolpo fight against the party's ambition to dominate the Korean Peninsula, ousting the party forces and achieving the unification of the three kingdoms.",566.0,"585,0,0,0,0,0,,,,,"
567,567,Silla united with the Tang Dynasty and formed the Nathang Alliance to unify the three kingdoms,567.0,"586,0,0,0,0,0,,,,,"
568,568,He killed Baekje and ruled Goguryeo by the Nadang Alliance,568.0,"587,1,0,0,0,0,,,,,"
569,569,I don't understand.,569.0,"588,0,0,0,0,0,,,,,"
570,570,Silla captured Baekje and Goguryeo,570.0,"589,1,1,1,0,0,,,,,"
571,571,Silla used the power of other countries to destroy Baekje and Goguryeo and unify the three kingdoms,571.0,"590,0,1,0,0,0,,,,,"
572,572,"He captured Baekje, captured Goguryeo by the Nadang alliance, and fought with the Tang Dynasty to win the ddaengi",572.0,"591,0,0,0,0,0,,,,,"
573,573,I won everything,573.0,"592,1,1,1,0,0,,,,,"
574,574,at war,574.0,"593,0,0,1,0,0,,,,,"
575,575,Attacking Goguryeo with Jjanggae,575.0,"594,0,0,0,0,0,,,,,"
576,576,"After forming an alliance with the Qing Dynasty and hitting Baekje, Goguryeo with Baekje soldiers, Silla soldiers, and the Qing Dynasty, Silla unified the three kingdoms.",576.0,"595,0,0,1,0,0,,,,,"
577,577,Kim Hye-sook,577.0,"596,1,0,0,0,0,,,,,"
578,578,Rnnnnnnnnnnnnnnnnm,578.0,"597,1,0,1,0,0,,,,,"
579,579,The alliance with the Tang Dynasty was completely destroyed,579.0,"598,1,1,1,0,0,,,,,599,1,0,1,0,0,,,,,"
580,580,.,580.0,"600,0,0,0,0,0,,,,,"
581,581,M and D,581.0,"601,1,1,1,0,0,,,,,"
582,582,by h,582.0,"602,1,0,1,0,0,,,,,"
583,583,with the help of the king,583.0,"603,1,0,1,0,0,,,,,"
584,584,I don't like Korean history,584.0,"604,1,0,1,0,0,,,,,"
585,585,I don't know. I definitely studied...,585.0,"605,1,0,1,0,0,,,,,"
586,586,1,586.0,"606,1,0,1,0,0,,,,,"
587,587,"Silla first joined hands with the Tang Dynasty, unified Baekje, and then conquered Goguryeo.",587.0,"607,1,0,1,0,0,,,,,"
588,588,1,588.0,"608,1,0,1,0,0,,,,,"
589,589,"""First of all, Baekje was destroyed and Goguryeo was destroyed by the combined forces of the Han and Nadang",589.0,"609,1,0,0,0,0,,,,,"
590,590,"And as Silla ousted the Tang army from the Korean Peninsula, Silla achieved the unification of the Three Kingdoms",590.0,"610,1,0,1,0,0,,,,,"
591,591,"King Taejong Muyeol formed a coalition of Nadang through diplomacy with the Tang Dynasty, and the collapse of Baekje in 660 and Goguryeo in 668, but the Tang fought proudly against its ambition to dominate the entire Korean Peninsula, defeating Silla from the Battle of Maesoseong and Gibeolpo on land and reunifying the Three Kingdoms in 676. (Half unified, but with the establishment of Balhae in 698, the start of the Civil War)",591.0,"611,1,0,0,0,0,,,,,"
592,592,I don't know,592.0,"612,1,0,1,0,0,,,,,"
593,593,"Baekje and Goguryeo were destroyed, and Silla drove out the Tang army on the Korean PeninsulaThe fall of Baekje, the fall of Goguryeo, and Silla's overthrow of the Tang army from the Korean Peninsula",593.0,"613,0,1,0,0,0,,,,,"
594,594,I don't know.,594.0,"614,1,0,0,0,0,,,,,"
595,595,He became a king and beat the country,595.0,"615,1,0,0,0,0,,,,,"
596,596,I don't know,596.0,"616,1,0,1,1,0,,,,,"
597,597,Silla joined hands with the party to sweep Goguryeo and Baekje in order and oust the party to unify only the southern part of the Korean Peninsula.,597.0,"617,1,1,1,0,0,,,,,"
598,598,I don't know.,598.0,"618,1,1,1,0,0,,,,,"
599,599,Silla drove out the party after the combined forces of Silla and the party attacked Goguryeo and Baekje and destroyed them.,599.0,"619,1,0,0,0,0,,,,,"
600,600,I won the war with the help of the neighboring country.,600.0,"620,1,1,1,0,0,,,,,"
601,601,I don't remember,601.0,"621,0,0,0,0,0,,,,,"
602,602,"After Silla formed the Nadang coalition through diplomacy with the party, Goguryeo collapsed in 668 after the collapse of Baekje in 660 but confronted the party with its ambition to dominate the Korean Peninsula.Thus, after a great victory with the Party in the Battle of Maesoseong and the Battle of Gibeolpo, the three countries were unified.",602.0,"622,1,1,1,0,0,,,,,"
603,603,I don't know,603.0,"623,0,1,0,0,0,,,,,"
604,604,"After defeating Baekje and Goguryeo, Silla unified the Three Kingdoms and became a unified Silla",604.0,"624,1,0,0,0,0,,,,,"
605,605,I don't know.,605.0,"625,0,0,0,0,0,,,,,"
606,606,History is not my specialty.,606.0,"626,1,0,0,0,0,,,,,"
607,607,I forgot.,607.0,"627,0,0,0,0,0,,,,,"
608,608,defeated Baekje and Goguryeo,608.0,"628,1,0,0,0,0,,,,,629,0,0,0,1,1,,,,,"
609,609,I don't know.,609.0,"630,1,0,0,1,0,,,,,"
610,610,We ate the Han River and went to war,610.0,"631,0,0,0,0,0,,,,,"
611,611,Forgot.,611.0,"632,1,0,0,0,0,,,,,"
612,612,I don't know.,612.0,"633,1,0,0,0,0,,,,,"
613,613,I don't know,613.0,"634,0,0,0,0,0,,,,,"
614,614,......,614.0,"635,1,0,0,0,0,,,,,"
615,615,We're unified,615.0,"636,1,0,0,1,0,,,,,"
616,616,They united with the Tang Dynasty to conquer Baekje and immediately attacked and conquered Goguryeo when Yeon Gaesomun died,616.0,"637,0,0,0,0,0,,,,,"
617,617,"First, Baekje was eliminated from China and then Goguryeo was eliminated",617.0,"638,1,0,1,0,1,,,,,"
618,618,I won all the battles,618.0,"639,1,0,0,0,0,,,,,"
619,619,I don't know,619.0,"640,1,1,1,1,0,,,,,"
620,620,I don't know.,620.0,"641,0,1,0,0,0,,,,,"
621,621,"Silla Kim Chun-chu went to Tang Taejong, ate a team, attacked Baekje with embossing, and Goguryeo fought and surrendered.",621.0,"642,1,0,0,0,0,,,,,"
622,622,I don't know.,622.0,"643,1,0,0,0,0,,,,,"
623,623,This is because Silla won both the wars between Baekje and Goguryeo.,623.0,"644,0,0,0,1,0,,,,,"
624,624,General Kim Yu-shin Wins the War,624.0,"645,1,0,0,0,0,,,,,"
625,625,I'm turning it off,625.0,"646,0,1,0,0,0,,,,,"
626,626,Kim Yu-shin Kills Queen Seondeok,626.0,"647,1,0,0,0,0,,,,,"
