,Unnamed: 0,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",Unnamed: 0,", q34_power variance, q34_efficiency, q34_power variance.1,q34_Efficiency.1"
733,733,in order to prevent dictatorship,733.0,"758,0,1,,"
734,734,"This is called the separation of three powers, and if national power is concentrated in one place, there will be an imbalance, and a situation of abuse of power may occur, so it is divided into three institutions.",734.0,"759,1,0,,"
735,735,"The reason why the power and role of the state were divided into the National Assembly, the government, and the court was divided into three institutions under the system of separation of powers, so that the three institutions could be biased by checking and monitoring each other and ultimately.",735.0,"760,0,0,,"
736,736,"If the power of the state is concentrated in one institution, dictatorship and corruption can occur. Then, democracy may not be properly realized and the human rights of the people may be violated.",736.0,"761,0,0,,"
737,737,"If the power of the state is united together, dictatorship can be possible and basic rights of the people can be ignored, so they are separated into three and checked against each other to balance.",737.0,"762,0,1,,"
738,738,"Dividing the state's power into three can prevent the concentration of power in one institution, which can better guarantee the freedom of the people. The separation of the three powers is essential for the realization of democracy.",738.0,"763,0,1,,"
739,739,"If these institutions, which are closely related to the lives of the people, drive the power and role of the state into one institution, it will be difficult to solve this problem if the institution itself disappears from monitoring and checking the corruption and abuse of power.",739.0,"764,0,0,,"
740,740,Because you can't do it all at once in one place,740.0,"765,0,1,,"
741,741,This is because it has to be divided into three separate powers,741.0,"766,0,1,,"
742,742,Each of us has a different job,742.0,"767,0,0,,"
743,743,"It's because if there are few fields, it makes many things difficult and the work is different",743.0,"768,0,1,,"
744,744,"If you do your best in one place, the country's economy could be ruined",744.0,"769,0,1,,"
745,745,Because it's hard to do it alone,745.0,"770,0,0,,"
746,746,"""It's less difficult if you do it in many places.""",746.0,"771,0,1,,"
747,747,"""",747.0,"772,0,0,,"
748,748,Because each does a different job.,748.0,"773,0,0,,"
749,749,It's complicated when we're all together,749.0,"774,0,0,,"
750,750,They all play different roles,750.0,"775,1,0,,"
751,751,Because it's more convenient to share,751.0,"776,1,0,,"
752,752,It's because each of us has a job and a job,752.0,"777,1,0,,"
753,753,To prevent the monopoly of power,753.0,"778,1,0,,779,1,0,,"
754,754,To run the state so that the power is not biased and that it is balanced under each check,754.0,"780,1,0,,"
755,755,Prevention of monopoly,755.0,"781,1,0,,"
756,756,To prevent one side from monopolizing power.,756.0,"782,1,0,,"
757,757,To prevent power from being turned to one side by playing a role of monitoring and checking each other.,757.0,"783,1,0,,"
758,758,It's to do each job.,758.0,"784,1,0,,"
759,759,I don't understand.,759.0,"785,1,0,,"
760,760,Just.,760.0,"786,1,0,,"
761,761,It's hard to do it in one place. Weird problems arise,761.0,"787,1,0,,"
762,762,I didn't learn it.,762.0,"788,1,0,,"
763,763,It's hard to do it in one place. Weird problems arise,763.0,"789,1,0,,"
764,764,all at once in a time,764.0,"790,1,0,,"
765,765,I don't know.,765.0,"791,1,0,,"
766,766,It's different,766.0,"792,1,0,,"
767,767,I'm going to review it,767.0,"793,1,0,,"
768,768,Because we're exchanging information,768.0,"794,1,0,,"
769,769,We've split it up to catch the perpetrator faster,769.0,"795,1,0,,"
770,770,Because one place can't fit,770.0,"796,1,0,,"
771,771,Because it's too hard to do it all at once.,771.0,"797,1,0,,"
772,772,To make the country progress evenly,772.0,"798,1,0,,"
773,773,This is because the country needs a lot of work.,773.0,"799,1,0,,"
774,774,I'm going to split the roles.,774.0,"800,1,0,,"
775,775,I have a lot of things going on in the country,775.0,"801,1,0,,"
776,776,We all do different things,776.0,"802,1,0,,"
777,777,"It's hard to play a role at once, and it can go wrong if you put your strength in one place, so you have to divide it into various ways.",777.0,"803,1,1,,"
778,778,No learning,778.0,"804,1,0,,"
779,779,It's because each person has a different job.,779.0,"805,1,0,,"
780,780,That person's heart,780.0,"806,1,0,,"
781,781,to be fair,781.0,"807,1,0,,"
782,782,It's the state. Why did you ask me such a strange question?,782.0,"808,1,0,,809,1,0,,"
783,783,To keep each other in check to prevent power from being driven into one place,783.0,"810,1,0,,"
784,784,This is because three are advantageous for checks.,784.0,"811,1,0,,"
785,785,Don't let an agency wield power,785.0,"812,1,0,,"
786,786,It keeps each other in check and prevents the monopoly of national power.,786.0,"813,1,0,,"
787,787,To prevent the concentration of power,787.0,"814,1,0,,"
788,788,"To divide power among one another, to prevent power from being monopolized.",788.0,"815,1,0,,"
789,789,"Since separation of powers is the most ideal form,",789.0,"816,1,0,,"
790,790,To prevent the concentration of power,790.0,"817,1,0,,"
791,791,It is to prevent power from being concentrated on either side.prevention of monopoly of power,791.0,"818,1,0,,"
792,792,To prevent power from being monopolized in one place,792.0,"819,1,0,,"
793,793,Distribution of power and prevention of monopoly through separation of powers,793.0,"820,1,0,,"
794,794,Separate the three powers so that power is not concentrated,794.0,"821,1,0,,"
795,795,"This is because if one side is concentrated, there will be an organ that does not work properly among the three institutions.",795.0,"822,1,0,,"
796,796,To keep power from being skewed,796.0,"823,1,0,,"
797,797,It is to ensure that power is not biased in one place.,797.0,"824,1,0,,"
798,798,To reduce the concentration of power and the consequent risk of dictatorship,798.0,"825,0,1,,"
799,799,Separate each power into three powers and check each other,799.0,"826,1,0,,"
800,800,Because one can't have all the power,800.0,"827,1,0,,"
801,801,To protect the human rights of the people in check and harmony with each other to prevent the regime from falling to one side,801.0,"828,0,1,,"
802,802,"In order to prevent a state agency from monopolizing the power of the entire state and to realize democracy while making sure that each other is checked and balanced, the separation of three powers as shown in the figure above was realized.",802.0,"829,1,0,,"
803,803,in order to avoid dictatorship,803.0,"830,1,0,,"
804,804,Separation of powers,804.0,"831,1,0,,"
805,805,To achieve a balance of power through checks.,805.0,"832,1,0,,"
806,806,It was divided to prevent power from being concentrated in one place.,806.0,"833,0,1,,"
807,807,To keep power from being one side by separation of powers,807.0,"834,0,0,,"
808,808,It is to prevent power from being skewed to one side.,808.0,"835,1,0,,"
809,809,This is to prevent an agency from abusing its power by dividing it into three.,809.0,"836,1,0,,"
810,810,This is to increase efficiency by distributing roles while each force checks each other to disperse power.,810.0,"837,1,0,,"
811,811,"This is because if power is concentrated on one side, power can be abused.",811.0,"838,1,0,,839,1,0,,"
812,812,Each institution checks each other so that they can work more honestly.,812.0,"840,1,0,,"
813,813,in order to do the right thing by checking each agency,813.0,"841,1,0,,"
814,814,To divide state power and prevent one side from having strong power.,814.0,"842,1,0,,"
815,815,To balance the country through separation of powers.,815.0,"843,1,0,,"
816,816,"If power is concentrated on one side, dictatorship can occur.",816.0,"844,0,1,,"
817,817,This is to prevent the power of the state from being concentrated in one place and abusing its power.,817.0,"845,1,0,,"
818,818,To prevent any agency from monopolizing power.,818.0,"846,1,0,,"
819,819,It is to check each other and prevent the monopoly of power.,819.0,"847,1,0,,"
820,820,It is to disperse power that is driven to one place.,820.0,"848,1,0,,"
821,821,To prevent power from being skewed to either side through separation of powers,821.0,"849,0,0,,"
822,822,The move is aimed at preventing state power from gathering on either side due to the separation of the three powers and protecting the freedom and rights of the people through checks and balances with each other.,822.0,"850,0,0,,"
823,823,This is to prevent wrong use of power by checking each other with the principle of separation of three powers.,823.0,"851,0,0,,"
824,824,"This is because it is necessary to prevent power from being concentrated and misused in one place, and to balance power by checking each other.",824.0,"852,1,0,,"
825,825,It is to prevent each other from gaining power on one side by sticking to each other.,825.0,"853,1,0,,"
826,826,"It prevents the separation of three powers, or the abuse of power, by preventing power from being set aside.",826.0,"854,0,0,,"
827,827,It is to separate power.,827.0,"855,0,0,,"
828,828,This is to prevent the force from being biased to one side through the separation of the three powers.,828.0,"856,1,0,,"
829,829,It's called the separation of powers. Search the rest on NAVER,829.0,"857,0,0,,"
830,830,"The National Assembly reflects the opinions of the people by lawmakers representing the people, and the government represents the opinions of the state by officials in charge, including the president representing the country and the government administration assisting the president. The court acts as a watchdog to check and monitor these two relationships at the same time, and makes regulations of the country and prepares regulations to limit power through enactment and revision of the law.",830.0,"858,1,0,,"
831,831,"This is to separate the powers of legislative, judicial, and administrative powers to prevent power from gathering on one side, and to operate a stable state while keeping each other in check.",831.0,"859,1,0,,"
832,832,in order to share one's role,832.0,"860,1,0,,"
833,833,be out of power-Rock,833.0,"861,1,0,,"
834,834,So that power doesn't go either way,834.0,"862,1,0,,"
835,835,Each of us has a different role to play,835.0,"863,0,0,,"
836,836,"So that one side doesn't have power, but what's wrong with our country?",836.0,"864,1,0,,"
837,837,It is to prevent national power from gathering on one side and to protect the freedom and rights of the people through checks and balances with each other.,837.0,"865,1,0,,"
838,838,"This is because if the power of the state is concentrated in one place, a dictatorship can occur.",838.0,"866,0,1,,"
839,839,Check each other's agencies,839.0,"867,1,0,,"
840,840,the subdivision of work,840.0,"868,1,0,,869,1,0,,"
841,841,I don't know.,841.0,"870,0,0,,"
842,842,It is to prevent the power of the state from flocking to one place.,842.0,"871,1,0,,"
843,843,Separation of powers,843.0,"872,1,0,,"
844,844,To keep power away from one side,844.0,"873,0,0,,"
845,845,in order to keep each other company aflo,845.0,"874,1,0,,"
846,846,To stick with each other,846.0,"875,1,0,,"
847,847,To prevent corruption and monopoly,847.0,"876,0,0,,"
848,848,The three powers are separated to achieve a balance of power.,848.0,"877,0,1,,"
849,849,To prevent a force from monopolizing power.,849.0,"878,1,0,,"
850,850,"To keep each other in check, confront each other, and not to become dictatorial",850.0,"879,0,1,,"
851,851,Everything we do is different,851.0,"880,1,0,,"
852,852,"This is because if one place commits dictatorship, one cannot endure any embezzlement.",852.0,"881,1,0,,"
853,853,"This is because if one place commits dictatorship, it cannot be sanctioned even if one place commits embezzlement.",853.0,"882,1,0,,"
854,854,This is because it is to prevent the power of the state from being concentrated on one side.,854.0,"883,1,1,,"
855,855,"If you only do one place, you're the only one who takes over",855.0,"884,1,0,,"
856,856,in a definite way throughout the process,856.0,"885,1,0,,"
857,857,in a definite way throughout the process,857.0,"886,1,0,,"
858,858,I need everything,858.0,"887,1,0,,"
859,859,To prevent dictatorship and corruption,859.0,"888,1,0,,"
860,860,To prevent dictatorship and corruption,860.0,"889,1,0,,"
861,861,k,861.0,"890,1,0,,"
862,862,I don't know.,862.0,"891,1,0,,"
863,863,It is to distribute rights equally,863.0,"892,0,1,,"
864,864,.,864.0,"893,1,0,,"
865,865,To prevent the concentration of power,865.0,"894,1,0,,"
866,866,So that power is not concentrated in one place,866.0,"895,1,0,,"
867,867,"If there's only one, you'll be strong",867.0,"896,1,0,,"
868,868,It is to divide the rights and not infringe on the rights of the people.,868.0,"897,0,1,,"
869,869,To balance the power of the state.,869.0,"898,1,0,,899,0,0,,"
870,870,..,870.0,"900,0,1,,"
871,871,To prevent power from being skewed to one side and to balance the country,871.0,"901,1,0,,"
872,872,To keep power from being skewed to one side,872.0,"902,1,0,,"
873,873,For efficiency,873.0,"903,0,0,,"
874,874,the third-place finish,874.0,"904,1,0,,"
875,875,The separation of powers prevents the force from being skewed to one side.,875.0,"905,0,1,,"
876,876,in order not to be biased against the power of one place,876.0,"906,1,0,,"
877,877,.,877.0,"907,1,0,,"
878,878,It is to make the power equal without being biased to either side.,878.0,"908,0,0,,"
879,879,It is divided into three separate powers so that the power does not go away on either side,879.0,"909,0,1,,"
880,880,.,880.0,"910,0,0,,"
881,881,Don't let dictatorship come out.,881.0,"911,0,1,,"
882,882,for the balance of power,882.0,"912,0,1,,"
883,883,I don't know,883.0,"913,0,0,,"
884,884,To play a role independently.,884.0,"914,1,0,,"
885,885,To keep the authority from being one-sided,885.0,"915,0,0,,"
886,886,To do your best at your work,886.0,"916,0,0,,"
887,887,Preventing the use of power in one place,887.0,"917,1,0,,"
888,888,the separation of three volumes,888.0,"918,0,0,,"
889,889,"If public power is concentrated in one area, corruption can become commonplace, and violations of the people's basic rights and constitution can become commonplace.",889.0,"919,0,0,,"
890,890,To share roles so that they don't get biasedIt is divided into three powers so that the power does not fall to one side.,890.0,"920,0,0,,"
891,891,It's to prevent fighting with each other from fighting.,891.0,"921,0,0,,"
892,892,Prevention of abuse of power,892.0,"922,0,0,,"
893,893,It prevents power from being concentrated on one side and prevents the possibility of dictatorship in advance.,893.0,"923,1,0,,"
894,894,To prevent the power of the state from being directed to one side,894.0,"924,0,1,,"
895,895,"This is because if the power is biased to either side, a monopoly of power can be created.",895.0,"925,1,0,,"
896,896,To ensure that power is not biased to one side.,896.0,"926,0,1,,"
897,897,This is to prevent dictatorship.,897.0,"927,1,0,,"
898,898,I had so much work to do,898.0,"928,1,0,,929,1,0,,"
899,899,This is because the risk of dictatorship can arise if only one institution does it.,899.0,"930,1,0,,"
900,900,To prevent the monopoly of power,900.0,"931,0,1,,"
901,901,It is to prevent autocratic politics.,901.0,"932,1,0,,"
902,902,To give away power,902.0,"933,1,0,,"
903,903,Because you can't do it all in one place,903.0,"934,0,0,,"
904,904,"To avoid being biased towards one thing,",904.0,"935,0,0,,"
905,905,ㅇ,905.0,"936,0,1,,"
906,906,It's hard to do everything in one place,906.0,"937,1,0,,"
907,907,So that power doesn't lean to one side,907.0,"938,0,0,,"
908,908,It prevents power from being biased toward one institution by separation of powers.,908.0,"939,1,0,,"
909,909,That's nice,909.0,"940,0,1,,"
910,910,This is to prevent each other's monopoly on power and to check each other so that it does not lead to corruption.,910.0,"941,1,0,,"
911,911,This is because each of them has a different role.,911.0,"942,1,0,,"
912,912,To make a smooth country by keeping each other in check,912.0,"943,0,0,,"
913,913,"If you focus on one place, the country will be ruined",913.0,"944,0,1,,"
914,914,I don't know,914.0,"945,1,0,,"
915,915,Each person can do different things,915.0,"946,0,0,,"
916,916,"In order for the country to be stable,",916.0,"947,0,0,,"
917,917,It's complicated and hard to put them all together,917.0,"948,0,0,,"
918,918,I think it's because it's complicated,918.0,"949,0,1,,"
919,919,It's all together,919.0,"950,0,1,,"
920,920,"When power is brought together, of course, dictatorship is achievedIn order to prevent that, they split the power, called separation of powers",920.0,"951,1,1,,"
921,921,I don't know,921.0,"952,1,0,,"
922,922,I'm afraid the country's going to be a mess,922.0,"953,0,0,,"
923,923,"If power is driven to one side, dictatorship can happen",923.0,"954,1,0,,"
924,924,due to procedures,924.0,"955,0,1,,"
925,925,Everything is important and needs to be settled,925.0,"956,1,0,,"
926,926,I don't know.,926.0,"957,1,0,,"
927,927,To determine a definite answer.,927.0,"958,1,0,,959,1,0,,"
928,928,I think it's going to be a big dealWest,928.0,"960,1,0,,"
929,929,To prevent an institution from monopolizing,929.0,"961,1,0,,"
930,930,"It's because the Congress, the government, and the courts are doing different things",930.0,"962,0,0,,"
931,931,"This is because the basic rights of the people are not violated recklessly, they can escape the fear of dictatorship, and everyone can be equal before the law.",931.0,"963,0,0,,"
932,932,It's because the power and the role are different,932.0,"964,1,0,,"
933,933,To decentralize power,933.0,"965,0,0,,"
934,934,It is to prevent power from being biased to one side.,934.0,"966,0,1,,"
935,935,"When political power is concentrated on one side, the other side cannot check, and as a result, magic that becomes a poison, not a democracy, takes place",935.0,"967,0,0,,"
936,936,"When political power is concentrated on one side, the other side cannot check, and as a result, it becomes a dictatorship, not a democracy",936.0,"968,0,1,,"
937,937,"If it's just one, I have been so many things to do",937.0,"969,0,0,,"
938,938,"When political power is concentrated on one side, the other side cannot check, and as a result, the magic of becoming a dictatorship, not a democracy, takes place.",938.0,"970,0,1,,"
939,939,"When power is gathered in one place, of course, dictatorship is achieved, and in order to prevent it, it is called separation of three powers.",939.0,"971,0,1,,"
940,940,To keep the country from falling apart,940.0,"972,0,0,,"
941,941,"It was divided into the National Assembly, the government, and the court because only then can one person make a wrong judgment and not give a sin to the guilty person and give him/her innocence.",941.0,"973,0,0,,"
942,942,It is to work hard in each of the oldest jobs and fields.,942.0,"974,0,0,,"
943,943,The power was brought together to form a dictatorship and to prevent it and to separate the three cases,943.0,"975,0,1,,"
944,944,It's because I tried to manage it more accurately.,944.0,"976,0,1,,"
945,945,"The power could be brought together into one place, so the three powers were separated",945.0,"977,0,1,,"
946,946,"It's hard to do it together, so we split the work",946.0,"978,0,0,,"
947,947,review and adjudicate the law several times,947.0,"979,0,1,,"
948,948,"Because if you do something wrong in one place, you need a facility to catch it",948.0,"980,0,0,,"
949,949,I don't know.,949.0,"981,0,1,,"
950,950,We're doing different things,950.0,"982,0,1,,"
951,951,(separation of three powers) To prevent national power from gathering on either side and to protect the freedom and rights of the people through checks and balances with each other,951.0,"983,0,0,,"
952,952,I don't know.,952.0,"984,0,1,,"
953,953,I don't know,953.0,"985,0,1,,"
954,954,I don't know.,954.0,"986,0,0,,"
955,955,To get things done quickly and easily,955.0,"987,0,1,,"
956,956,I can't do it alone,956.0,"988,0,1,,989,0,0,,"
957,957,"The power and role of a nation cannot be done by one, to point out what is wrong with each other.",957.0,"990,0,1,,"
958,958,The separation of powers should be necessary because power should not be concentrated only on the hin side,958.0,"991,0,1,,"
959,959,I don't know,959.0,"992,0,1,,"
960,960,To check each other's power.,960.0,"993,0,1,,"
961,961,"If you divide roles, you can work better and get more jobs than you can do many things",961.0,"994,1,0,,"
962,962,"When power is brought together, of course, dictatorship is achieved, and in order to prevent it, it is called separation of powers",962.0,"995,1,0,,"
963,963,"If the power and role of the state are put together in one place, it is difficult for people to know and may not punish even if they do something wrong",963.0,"996,1,0,,"
964,964,It is necessary to prevent the concentration of state power on either side and to protect the freedom and rights of the people through checks and balances,964.0,"997,1,0,,"
965,965,"This is called the separation of three powers, and the reason for the separation of three powers is to ensure and protect the freedom and equality of the people through checks and balances.",965.0,"998,1,0,,"
966,966,"If you collect them all at once, there will be clogging up, and it will be very complicated and difficult, so I think we divided them.",966.0,"999,1,0,,"
967,967,"If one power is large in the future, the big power cannot be prevented, so it was divided into three divisions.",967.0,"1000,1,0,,"
968,968,We always fight,968.0,"1001,0,0,,"
969,969,I don't know.,969.0,"1002,1,0,,"
970,970,"When a place's power is overwhelmingly large, it divides its power.",970.0,"1003,1,0,,"
971,971,I don't know,971.0,"1004,1,0,,"
972,972,"When one place is crowded with work, there's nothing else to do and only one place gets hard",972.0,"1005,1,0,,"
973,973,I don't know.,973.0,"1006,1,0,,"
974,974,We're doing different things,974.0,"1007,1,0,,"
975,975,Unknowingness,975.0,"1008,1,0,,"
976,976,We have different responsibilities,976.0,"1009,1,0,,"
977,977,Because what we do is different,977.0,"1010,1,0,,"
978,978,For our country,978.0,"1011,1,0,,"
979,979,Don't know,979.0,"1012,1,0,,"
980,980,I don't know,980.0,"1013,1,0,,"
981,981,Do your best in your role,981.0,"1014,1,0,,"
982,982,Because it's efficient?,982.0,"1015,1,0,,"
983,983,Each of us has a different jobs,983.0,"1016,0,0,,"
984,984,for the sake of one's sake,984.0,"1017,0,0,,"
985,985,"There's a lot of work to be done, and I'm trying to get a lot of feedback",985.0,"1018,0,1,,1019,0,0,,"
986,986,I don't know.,986.0,"1020,1,0,,"
987,987,It's hard and complicated to do everything in one place,987.0,"1021,1,0,,"
988,988,We're doing different things are different,988.0,"1022,0,0,,"
989,989,UnknowingnessIt's hard for one person to do it all at once,989.0,"1023,1,0,,"
990,990,It's hard to do it together,990.0,"1024,1,0,,"
991,991,"To examine the law more thoroughly,",991.0,"1025,1,0,,"
992,992,It's hard if one person does everything.,992.0,"1026,0,0,,"
993,993,"Because the work of the National Assembly, the government, and the courts are different",993.0,"1027,1,0,,"
994,994,I don't know,994.0,"1028,1,0,,"
995,995,Because it is hard to work alone.,995.0,"1029,0,1,,"
996,996,"If you do a lot of work in one place, you need a lot of people and it takes a long time",996.0,"1030,1,0,,"
997,997,It's because it's hard to work if one place takes on all the power of the state,997.0,"1031,1,0,,"
998,998,Because it's hard.,998.0,"1032,1,0,,"
999,999,the dispersion of force,999.0,"1033,1,0,,"
1000,1000,separation of powers,1000.0,"1034,1,0,,"
1001,1001,To prevent power from being driven to one side,1001.0,"1035,0,1,,"
1002,1002,To ban the abuse of power by separating powers,1002.0,"1036,1,0,,"
1003,1003,It is to separate the three powers and stick together.,1003.0,"1037,1,0,,"
1004,1004,To prevent power from being skewed towards the academic side by side,1004.0,"1038,1,0,,"
1005,1005,"To make laws, to practice laws, to change laws, to laws",1005.0,"1039,1,0,,"
1006,1006,It is to divide the power so that it can be handled more fairly.,1006.0,"1040,1,0,,"
1007,1007,This is to separate the three powers so that the force does not lean on either side.,1007.0,"1041,0,0,,"
1008,1008,"Only when the three powers are separated can the dictatorship of the institution be prevented, and the power of the state is evenly divided.",1008.0,"1042,0,0,,"
1009,1009,"One person, one group, segregate powers to prevent absolute power",1009.0,"1043,0,0,,"
1010,1010,It is to prevent the concentration of power and check each other.,1010.0,"1044,1,0,,"
1011,1011,To divide the three roles so that power can only work in one place so that it's not at a disadvantage,1011.0,"1045,0,0,,"
1012,1012,Because they keep each other in check,1012.0,"1046,0,1,,"
1013,1013,It is to prevent power from being concentrated in one place.,1013.0,"1047,0,1,,"
1014,1014,It can prevent the separation of powers from being concentrated in one place,1014.0,"1048,1,0,,1049,1,0,,"
1015,1015,the prevention of dictatorship,1015.0,"1050,1,0,,"
1016,1016,This is because the nation maintains a balance of power.,1016.0,"1051,1,0,,"
1017,1017,"To keep each other in check, cooperate, and make harmony",1017.0,"1052,1,0,,"
1018,1018,"I think it is in the form of separation of three powers because if power is united on one side, power can be abused.",1018.0,"1053,1,0,,"
1019,1019,So that you don't have to put all your energy into one place,1019.0,"1054,1,0,,"
1020,1020,Adherence to each other and prevention of corruption prevention,1020.0,"1055,1,0,,"
1021,1021,I'm going to do well,1021.0,"1056,1,0,,"
1022,1022,I'm going to do well,1022.0,"1057,0,1,,"
1023,1023,"You're not going to have to focus on one thing, and you're going to do everything yourself",1023.0,"1058,0,1,,"
1024,1024,To make it just between them,1024.0,"1059,1,0,,"
1025,1025,for the separation of powers,1025.0,"1060,1,0,,"
1026,1026,Can share roles,1026.0,"1061,0,0,,"
1027,1027,Unknowingness,1027.0,"1062,1,0,,"
1028,1028,It can be checked and prevent power from being concentrated on one side.,1028.0,"1063,0,0,,"
1029,1029,It's to separate powers so that they don't lean toward one,1029.0,"1064,1,0,,"
1030,1030,It is to prevent dictatorship,1030.0,"1065,1,0,,"
1031,1031,It's convenient,1031.0,"1066,1,0,,"
1032,1032,prevention of dictatorship,1032.0,"1067,0,0,,"
1033,1033,in order to prevent dictatorship,1033.0,"1068,1,0,,"
1034,1034,Because each has a job to do.,1034.0,"1069,0,1,,"
1035,1035,Separation of powers,1035.0,"1070,1,0,,"
1036,1036,Securing Basic Rights through Separation of the Three Powers,1036.0,"1071,1,0,,"
1037,1037,It's to prevent dictatorship,1037.0,"1072,1,0,,"
1038,1038,in order to prevent the poison,1038.0,"1073,1,0,,"
1039,1039,To prevent a power monopoly,1039.0,"1074,0,1,,"
1040,1040,Because each department has a different job,1040.0,"1075,1,0,,"
1041,1041,To decentralize power and prevent dictatorship,1041.0,"1076,1,0,,"
1042,1042,To prevent power from being skewed to one side.,1042.0,"1077,1,0,,"
1043,1043,To stop the monopoly of power,1043.0,"1078,1,0,,1079,1,0,,"
1044,1044,For the separation of powers,1044.0,"1080,1,0,,"
1045,1045,"This is because if power is concentrated in one place, there is a possibility of dictatorship.",1045.0,"1081,0,0,,"
1046,1046,Unknowingness,1046.0,"1082,0,1,,"
1047,1047,ㅇ,1047.0,"1083,1,0,,"
1048,1048,ㅇ,1048.0,"1084,1,0,,"
1049,1049,To prevent the concentration of power,1049.0,"1085,1,0,,"
1050,1050,.,1050.0,"1086,0,0,,"
1051,1051,"To get things right and done right,",1051.0,"1087,0,1,,"
1052,1052,It's hard if you have a lot of work to do.,1052.0,"1088,0,1,,"
1053,1053,To prevent a monopoly on power,1053.0,"1089,1,0,,"
1054,1054,Separation of powers,1054.0,"1090,1,0,,"
1055,1055,To monitor the dictatorship of the government's parliamentary courts,1055.0,"1091,1,0,,"
1056,1056,for the separation of powers,1056.0,"1092,1,0,,"
1057,1057,To avoid monopolizing power,1057.0,"1093,1,0,,"
1058,1058,We can check each other's power and prevent dictatorship,1058.0,"1094,1,0,,"
1059,1059,by blocking the concentration of power,1059.0,"1095,0,0,,"
1060,1060,The move is aimed at preventing the concentration of power by separating the three powers.,1060.0,"1096,1,0,,"
1061,1061,It is a separation of three powers to prevent power from flocking to one place.,1061.0,"1097,1,0,,"
1062,1062,It's to run the country efficiently,1062.0,"1098,0,1,,"
1063,1063,It's to make things easier,1063.0,"1099,1,0,,"
1064,1064,To prevent the concentration of power,1064.0,"1100,1,0,,"
1065,1065,To prevent the force from leaning on either side,1065.0,"1101,1,0,,"
1066,1066,🤧🤧🤧,1066.0,"1102,1,0,,"
1067,1067,We're trying to keep each other in check and keep our balance,1067.0,"1103,1,0,,"
1068,1068,I don't know.,1068.0,"1104,1,0,,"
1069,1069,To prevent being biased to one side,1069.0,"1105,1,0,,"
1070,1070,It's to separate the forces.,1070.0,"1106,1,0,,"
1071,1071,To watch and keep each other in check,1071.0,"1107,1,0,,"
1072,1072,I don't know.,1072.0,"1108,1,0,,1109,1,0,,"
1073,1073,It is to check through the separation of powers,1073.0,"1110,1,0,,"
1074,1074,I want you to be independent and do better,1074.0,"1111,1,0,,"
1075,1075,To prevent power from being skewed.,1075.0,"1112,1,0,,"
1076,1076,It is to prevent abuse of power,1076.0,"1113,1,0,,"
1077,1077,"If you lean to one side, the country will fall apart",1077.0,"1114,1,0,,"
1078,1078,in order to divide power,1078.0,"1115,1,0,,"
1079,1079,I have a lot of work to do,1079.0,"1116,1,0,,"
1080,1080,To keep each other in check so that power doesn't lean to one side,1080.0,"1117,1,0,,"
1081,1081,To keep power from leaning to one side.,1081.0,"1118,1,0,,"
1082,1082,To prevent power from being skewed to one side,1082.0,"1119,1,0,,"
1083,1083,It prevents the phenomenon of the state's power being concentrated to one side through the separation of powers.,1083.0,"1120,1,0,,"
1084,1084,"The purpose of the separation of the three powers is to prevent any state agency from monopolizing power, and its ultimate purpose is to guarantee the freedom and rights of the people.",1084.0,"1121,0,0,,"
1085,1085,To prevent state power from being concentrated in one place,1085.0,"1122,0,1,,"
1086,1086,I don't know.,1086.0,"1123,1,0,,"
1087,1087,Let's do this together,1087.0,"1124,1,0,,"
1088,1088,To prevent the concentration of power in one placeTo separate power and prevent dictatorship,1088.0,"1125,1,0,,"
1089,1089,To separate powers,1089.0,"1126,1,0,,"
1090,1090,a parliamentary government court,1090.0,"1127,0,0,,"
1091,1091,"If you're concentrated in one place, things can get complicated and you can get into trouble",1091.0,"1128,0,0,,"
1092,1092,"If you're concentrated in one place, things can get complicated and you can get into trouble",1092.0,"1129,1,0,,"
1093,1093,prevention of monopoly of power,1093.0,"1130,1,0,,"
1094,1094,This is to ensure human rights by preventing monopoly of power through separation of powers.,1094.0,"1131,1,0,,"
1095,1095,To prevent power from being concentrated in one place,1095.0,"1132,0,1,,"
1096,1096,prevention of monopoly of power,1096.0,"1133,0,1,,"
1097,1097,"Because if you separate the powers, the powers don't lean to one side",1097.0,"1134,1,0,,"
1098,1098,To prevent power from concentrating but not guaranteeing the rights of the people.,1098.0,"1135,1,0,,"
1099,1099,Everything has to be fair,1099.0,"1136,0,1,,"
1100,1100,To keep the power from being pushed to one side by side,1100.0,"1137,1,0,,"
1101,1101,It is to prevent power from being concentrated in one place.,1101.0,"1138,1,0,,1139,0,0,,"
1102,1102,To do it efficiently,1102.0,"1140,0,0,,"
1103,1103,To prevent state power from being monopolized by an institution,1103.0,"1141,1,0,,"
1104,1104,The move is aimed at creating a clean political arena by checking each other's roles.,1104.0,"1142,0,0,,"
1105,1105,Stop the monopoly of power.,1105.0,"1143,1,0,,"
1106,1106,To prevent power from being controlled by one person through separation of powers (check and interaction),1106.0,"1144,1,0,,"
1107,1107,balance of power through mutual checks,1107.0,"1145,1,0,,"
1108,1108,Monopolizing the power of a group of states tends to lead to dictatorship. So separate to ensure democracy of the people.,1108.0,"1146,0,1,,"
1109,1109,Prevention of the ubiquity of power by mutual checks through the separation of powers,1109.0,"1147,1,0,,"
