,Unnamed: 0,"4. Oxygen, which accounts for about 21% of the air, is colorless, invisible and odorless. But when oxygen is gone, there will be various phenomena on Earth. What happens when oxygen is gone? Let's explain in detail using knowledge of oxygen properties and use. ",Unnamed: 0,q4_combustion,q4_green,q4_life,q4_global environment,q4_combustion1.,q4_green.1,q4_life.1,q4_Earth Environment.1
762,762,M and D,762,,,,,,,,
763,763,"Yes, yes, yes",763,,,,,,,,
764,764,Mall,764,,,,,,,,
765,765,I don't understand.,765,,,,,,,,
766,766,I don't understand.,766,,,,,,,,
767,767,I don't know.,767,,,,,,,,
768,768,Unknowingness,768,,,,,,,,
769,769,M and D,769,,,,,,,,
770,770,I don't understand.,770,,,,,,,,
771,771,I don't understand.,771,,,,,,,,
772,772,I don't understand.,772,,,,,,,,
773,773,animal extinction,773,,,,,,,,
774,774,M and D,774,,,,,,,,
775,775,I don't know.,775,,,,,,,,
776,776,I don't know,776,,,,,,,,
777,777,I don't understand.,777,,,,,,,,
778,778,M and D,778,,,,,,,,
779,779,M and D,779,,,,,,,,
780,780,Unknowingness,780,,,,,,,,
781,781,I don't know.,781,,,,,,,,
782,782,.,782,,,,,,,,
783,783,I don't understand.,783,,,,,,,,
784,784,extinction of life,784,,,,,,,,
785,785,M and D,785,,,,,,,,
786,786,I don't know.,786,,,,,,,,
787,787,.,787,,,,,,,,
788,788,I don't know,788,,,,,,,,
789,789,"When oxygen is gone, plants don't grow fast and we humans and animals die out",789,,,,,,,,
790,790,"If there is only 21 percent of oxygen, the weather phenomenon will disappear, and if exposed to oxygen at high concentrations, life will be threatened",790,,,,,,,,
791,791,"With only 21 per cent of oxygen, the weather phenomenon will disappear, and if exposed to oxygen concentrations, life will be at risk",791,,,,,,,,
792,792,"With only 21 per cent of oxygen, the weather phenomenon will disappear. Exposure to oxygen at high concentrations puts life in danger.",792,,,,,,,,
793,793,"Everyone outdoors burns, the sky is dark even in broad daylight, all untreated metals are instantly welded, earth's crust is broken, concrete is broken, cells are gone, only one hydrogen is left, sea evaporation",793,,,,,,,,
794,794,"""When oxygen disappears, all life on Earth",794,,,,,,,,
795,795,"It's going to disappear, and there's no man in charge of the building",795,,,,,,,,
796,796,"[Destruction] will come """,796,,,,,,,,
797,797,?¥·ÑÖ?©·Üæ?π„Ñπ?ò·Ñí?•„Öè¬∑?é„Ñ≥,797,,,,,,,,
798,798,People are likely to wear oxygen respirators.,798,,,,,,,,
799,799,You lose your breath.,799,,,,,,,,
800,800,Life goes extinct.,800,,,,,,,,
801,801,"When oxygen is gone, concrete buildings collapse and humans cannot breathe, so they all die and water is gone.",801,,,,,,,,
802,802,You get burned as soon as you are exposed to sunlight. This is because oxygen protects against ultraviolet rays.,802,,,,,,,,
803,803,People in the sun are likely to burn up,803,,,,,,,,
804,804,You get burned as soon as you are exposed to sunlight. Because oxygen has the property of blocking ultraviolet rays,804,,,,,,,,
805,805,"When oxygen disappears, the earth is destroyed because neither humans nor animals can breathe",805,,,,,,,,
806,806,I can't breathe The air pressure disappears,806,,,,,,,,
807,807,"When oxygen is gone, it burns because it receives the light from the sun, and humans can't breathe",807,,,,,,,,
808,808,"There is no energy available, and life forms are powerless.",808,,,,,,,,
809,809,I can't breathe,809,,,,,,,,
810,810,All the creatures in my body are powerless,810,,,,,,,,
811,811,"Without oxygen, most animals and people would die.",811,,,,,,,,
812,812,"With only 21 per cent of oxygen, the weather phenomenon will disappear.",812,,,,,,,,
813,813,I can't breathe because of lack of oxygen.,813,,,,,,,,
814,814,I can't breathe because of lack of oxygen.,814,,,,,,,,
815,815,Life becomes uninhabitable.,815,,,,,,,,
816,816,You're going to die,816,,,,,,,,
817,817,I can't breathe,817,,,,,,,,
818,818,It doesn't weld and it doesn't breathe,818,,,,,,,,
819,819,be uninhabitable,819,,,,,,,,
820,820,"Lower air pressure, no fire, changed breathing (new life)",820,,,,,,,,
821,821,Explosive ship,821,,,,,,,,
822,822,"When oxygen is gone, all living things die",822,,,,,,,,
823,823,"Half of the creatures die, the clouds disappear, and the earth gets hot",823,,,,,,,,
824,824,death from being unable to breathe,824,,,,,,,,
825,825,"First, humans die, creatures don't live",825,,,,,,,,
826,826,Air is a gas,826,,,,,,,,
827,827,People can't breathe,827,,,,,,,,
828,828,"Without oxygen, we breathe. Without oxygen, we can't breathe",828,,,,,,,,
829,829,People and animals do not live.,829,,,,,,,,
830,830,I can't breathe.,830,,,,,,,,
831,831,"When oxygen disappears, it will be hard to breathe and will not catch fire.",831,,,,,,,,
832,832,"Without oxygen, it becomes a vacuum and all people and animals die because they cannot breathe.",832,,,,,,,,
833,833,"When oxygen disappears, atmospheric pressure decreases and weight decreases. The disappearance of oxygen suggests the death of aerobic organisms.",833,,,,,,,,
834,834,Trees eat carbon dioxide and take in oxygen,834,,,,,,,,
835,835,"When the Earth is in a vacuum, there is no oxygen to breathe in, so no living thing can live in",835,,,,,,,,
836,836,"When oxygen disappears, people disappear",836,,,,,,,,
837,837,"Without oxygen, almost all living things would disappear.",837,,,,,,,,
838,838,"If oxygen is gone, you won't be able to breathe and the creatures will die.",838,,,,,,,,
839,839,"No fire, no man alive",839,,,,,,,,
840,840,People will not live and other creatures will not live well.,840,,,,,,,,
841,841,"Without oxygen, all life on Earth dies.",841,,,,,,,,
842,842,"Consumers can't buy, people can't buy",842,,,,,,,,
843,843,You can't breathe without oxygen.,843,,,,,,,,
844,844,the destruction of the earth,844,,,,,,,,
845,845,"A creature needs water and oxygen to live, but if it loses oxygen, it dies",845,,,,,,,,
846,846,"Without oxygen, various creatures on Earth will die.",846,,,,,,,,
847,847,"Because most life requires oxygen in the process of metabolizing matter, almost all life would be extinct without oxygen.",847,,,,,,,,
848,848,The metabolism of life cannot happen.,848,,,,,,,,
849,849,Only anaerobic bacteria will survive.,849,,,,,,,,
850,850,Mitochondria degenerate. I can't live without it.,850,,,,,,,,
851,851,People die.,851,,,,,,,,
852,852,It will be difficult to survive.,852,,,,,,,,
853,853,"Without oxygen, organisms cannot breathe and various chemical reactions do not occur.",853,,,,,,,,
854,854,Almost all living things will go extinct.,854,,,,,,,,
855,855,People die.,855,,,,,,,,
856,856,There will be creatures that do not use oxygen,856,,,,,,,,
857,857,"Life Death, Anaerobic Bacteria Outbreak",857,,,,,,,,
858,858,The combustion cannot happen.,858,,,,,,,,
859,859,be hard to live in,859,,,,,,,,
860,860,inability to breathe,860,,,,,,,,
861,861,"Wow, tell me the answer",861,,,,,,,,
862,862,"If there's no oxygen, I'll die",862,,,,,,,,
863,863,Oxygen-using creatures die from lack of oxygen,863,,,,,,,,
864,864,"When oxygen is gone, people can't breathe and die",864,,,,,,,,
865,865,Once all the plants will die.,865,,,,,,,,
866,866,"When the oxygen that occupies the top part of the crust disappears, the crust collapses.",866,,,,,,,,
867,867,"If oxygen is lost, most of the life on Earth will be lost.",867,,,,,,,,
868,868,"All living creatures, such as people, animals, and plants, will die.",868,,,,,,,,
869,869,Collapse,869,,,,,,,,
870,870,Oxygen is the source of life,870,,,,,,,,
871,871,the annihilation of the earth,871,,,,,,,,
872,872,"If oxygen is gone, all living things on Earth will die and not start a fire",872,,,,,,,,
873,873,Breathe in oxygen,873,,,,,,,,
874,874,People die,874,,,,,,,,
875,875,You die. It's natural.,875,,,,,,,,
876,876,I can't breathe,876,,,,,,,,
877,877,Almost all living things die.,877,,,,,,,,
878,878,People disappear from the world because they can't breathe.,878,,,,,,,,
879,879,I don't know,879,,,,,,,,
880,880,It becomes difficult for humans to live.,880,,,,,,,,
881,881,"Without oxygen, you die",881,,,,,,,,
882,882,I don't think we'll be able to breathe if oxygen is gone,882,,,,,,,,
883,883,Many creatures die.,883,,,,,,,,
884,884,Earth's atmospheric temperature rises dramatically due to the death of humans and the disappearance of the five layers,884,,,,,,,,
885,885,Man dies.,885,,,,,,,,
886,886,"Without oxygen, only carbon dioxide will gather, so global warming will worsen",,,,,,,,,
887,887,The reason why humans die is that humans need oxygen to live.,,,,,,,,,
888,888,The ecosystem is destroyed.,,,,,,,,,
889,889,The creatures will die out because they cannot breathe.,,,,,,,,,
890,890,Oxygen will reduce the probability of spreading the fire.,,,,,,,,,
891,891,Humans and plants go extinct in no time,,,,,,,,,
892,892,I DONT KNOW,,,,,,,,,
893,893,The animal will be unable to breathe and the fire will not be available. Water will not even exist.,,,,,,,,,
894,894,.,,,,,,,,,
895,895,People die,,,,,,,,,
896,896,The creatures that live on Earth will become extinct.,,,,,,,,,
897,897,Die.,,,,,,,,,
898,898,There is no man alive.,,,,,,,,,
899,899,the death of living things,,,,,,,,,
900,900,Well.,,,,,,,,,
901,901,I can't breathe,,,,,,,,,
902,902,Oxygen lets you breathe.,,,,,,,,,
903,903,All animals are dead,,,,,,,,,
904,904,"When oxygen is lost, oxygen-breathing organisms disappear, and the amount of carbon dioxide released by oxygen-breathing organisms is reduced, and photosynthetic organisms are mostly Earth's producers, so many consumers in the ecosystem can be affected and extinct",,,,,,,,,
905,905,d,,,,,,,,,
906,906,"When oxygen disappears, the earth's soil disappears",,,,,,,,,
907,907,All living things that breathe die,,,,,,,,,
908,908,"Many animals and aerobic bacteria, including humans, will become extinct.",,,,,,,,,
909,909,I can't breathe. It won't light up.,,,,,,,,,
910,910,Animals and plants die and humans die,,,,,,,,,
911,911,The ozone layer is destroyed.,,,,,,,,,
912,912,Good!,,,,,,,,,
913,913,Many creatures will die out because they cannot breathe.,,,,,,,,,
914,914,Most life forms that breathe oxygen become unable to survive.,,,,,,,,,
915,915,A lot of life won't live.,,,,,,,,,
916,916,"When oxygen disappears, life on Earth is no longer able to breathe, so most of it goes extinct.",,,,,,,,,
917,917,"If oxygen is gone, we cannot breathe. And when oxygen disappears, metals won't oxidize.",,,,,,,,,
918,918,"Most living things breathe through oxygen, so if oxygen disappears, most living things will go extinct.",,,,,,,,,
919,919,"The loss of oxygen will kill most of the life on Earth today. Also, there will be no oxidation reaction, so metals will exist as pure metals, not oxides. Also, even if the temperature rises, there will be no fire.",,,,,,,,,
920,920,Only anaerobic respirators survive,,,,,,,,,
921,921,A creature dies because it cannot breathe.,,,,,,,,,
922,922,"All living things will not be able to breathe, and the metal will not be oxidized and will exist as pure metal. There will also be no combustion reaction",,,,,,,,,
923,923,"When oxygen is alive, all living things on Earth, including humans, become difficult to live. In addition, oxygen is required for combustion, but if oxygen is lost, combustion may not be possible.",,,,,,,,,
924,924,"Since life cannot live without oxygen, devices that discover and separate compounds containing oxygen for breathing will be distributed in everyday life.",,,,,,,,,
925,925,"Oxygen is an essential element of animal respiration, so without it, aerobic metabolism is impossible. In addition, if there is no oxygen, you cannot light a fire, and ozone is not formed, so ultraviolet rays will be directly exposed to the surface of the earth.",,,,,,,,,
926,926,A creature dies from being unable to breathe.,,,,,,,,,
927,927,A creature dies from being unable to breathe.,,,,,,,,,
928,928,There is no combustion. Oxygen-breathing creatures such as animals and humans cannot breathe.,,,,,,,,,
929,929,"Oxygen will kill life-sustaining creatures. And it didn't burn or oxidize. If oxygen is lost, ozone will not be made well, and ultraviolet rays will be over-transmitted to the Earth.",,,,,,,,,
930,930,"When oxygen is gone, all breathable creatures will die.",,,,,,,,,
931,931,"Oxygen is highly involved in the respiration of living things, so if oxygen is lost, living things will not survive.",,,,,,,,,
932,932,"Oxygen affects a lot because it is the second most common substance on Earth after nitrogen. Since it is a substance used to breathe living things, if oxygen is lost, it will be a difficult environment for living things.",,,,,,,,,
933,933,I don't know,,,,,,,,,
934,934,"Oxygen is an indispensable gas for life to breathe, so if oxygen is lost on Earth, all life will die.",,,,,,,,,
935,935,"Oxygen is mostly used in the respiration of living things. If all the oxygen in the atmosphere is lost, all the organisms that used it to breathe will die out.",,,,,,,,,
936,936,Oxygen-breathing creatures die on Earth,,,,,,,,,
937,937,"Most of the life on Earth is aerobic, so without oxygen, you can't breathe, so you'll be extinct. And plants that make nutrients out of the carbon dioxide that life exhales are also affected. And the ozone layer, which is made up of three oxygen atoms, disappears and the Earth can no longer be protected from ultraviolet rays.",,,,,,,,,
938,938,"If oxygen is lost, the metabolism and metabolism of life will be interrupted, and life will no longer be able to live.",,,,,,,,,
939,939,"Cellular dyspnea. No energy, no ozone layer I listen to a lot of things like ultraviolet radiation It's dangerous",,,,,,,,,
940,940,"Once the oxygen disappears, I'll die. There's no oxidizing material. It doesn't rust. All living things that breathe with oxygen will die",,,,,,,,,
941,941,The biggest problem is that living things cannot live. Most animals and plants need coral in the process of breathing. That's why life becomes uninhabitable.,,,,,,,,,
942,942,"When oxygen disappears, ozone is not formed first. Therefore, only marine life will survive due to the extinction of terrestrial life. There will also be no combustion, so you won't be able to use the fire.",,,,,,,,,
943,943,"Our crustal mantle is mostly made up of silicon dioxide, but when oxygen is gone, the Earth will be very small. And all the water on Earth will evaporate into hydrogen, and most, or almost all, of human body life will disappear. And of course, ozone will disappear, and the Earth will only have a core that contains most of course.",,,,,,,,,
944,944,"If oxygen is lost, all living things that breathe using oxygen will die.",,,,,,,,,
945,945,It is easier to light a fire using oxygen.,,,,,,,,,
946,946,"When oxygen is lost, fire cannot be used, and the most basic breathing becomes impossible. Trees cannot purify the air.",,,,,,,,,
947,947,"""Breathing life, survival x""",,,,,,,,,
948,948,"Destroy the ozone layer, prevent UV rays, and destroy life",,,,,,,,,
949,949,"""",,,,,,,,,
950,950,The survival of oxygenated animals becomes dangerous.,,,,,,,,,
951,951,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,,,,,,
