,Unnamed: 0,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",Unnamed: 0,", q15_speed difference, q15_speed difference.1"
654,654,"Because the light is faster than the sound, the light comes first, and the sound comes out after a few seconds, so the thunder and lightning can not be heard together",654.0,"676,1,"
655,655,"Light travels 3KM at a rate of one hundred thousandth of a second, but sound travels 3KM in a time of nine seconds",655.0,"677,1,"
656,656,Because the light is faster,656.0,"678,0,"
657,657,"Light is faster than sound, so lightning strikes and then thunder",657.0,"679,1,"
658,658,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first, followed by thunder.",658.0,"680,1,"
659,659,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first, followed by thunder.",659.0,"681,1,"
660,660,This is because the speed of light is faster than the sound of thunder.,660.0,"682,0,"
661,661,"The sound is slower than light, so lightning strikes first",661.0,"683,0,"
662,662,This is because the speed of light is faster than the speed of sound.,662.0,"684,1,"
663,663,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first and then thunder is heard",663.0,"685,0,"
664,664,The light is too fast for the sound to catch up.,664.0,"686,1,"
665,665,"""The sound is slower than the light, so the light is faster than the sound.""",665.0,"687,1,"
666,666,"""I can see it""",666.0,"688,1,689,0,"
667,667,I don't know.,667.0,"690,1,"
668,668,Unknowingness,668.0,"691,0,"
669,669,Mr,669.0,"692,1,"
670,670,I don't understand.,670.0,"693,1,"
671,671,Mr,671.0,"694,1,"
672,672,"""",672.0,"695,1,"
673,673,I don't understand.,673.0,"696,1,"
674,674,"""",674.0,"697,0,"
675,675,ㄷDing ding ding ding,675.0,"698,0,"
676,676,Mr,676.0,"699,1,"
677,677,I don't understand.,677.0,"700,1,"
678,678,Mall,678.0,"701,0,"
679,679,I don't know,679.0,"702,1,"
680,680,I don't understand.,680.0,"703,1,"
681,681,The sound is slower than the light,681.0,"704,1,"
682,682,Mr,682.0,"705,0,"
683,683,I don't understand.,683.0,"706,1,"
684,684,I don't know.,684.0,"707,0,"
685,685,It's because the sound is faster than light,685.0,"708,0,"
686,686,The light is so fast,686.0,"709,0,"
687,687,Mr,687.0,"710,1,"
688,688,Unknowingness,688.0,"711,0,"
689,689,I don't understand.,689.0,"712,1,"
690,690,"Because the speed of sound is slower than the speed of light, light is generated before sound and sound is heard later",690.0,"713,1,"
691,691,The light is faster than the sound,691.0,"714,0,"
692,692,"It appears because light is faster than soundBecause the sound is slower than light. In short, the sound of thunder is slower than the light of lightning.",692.0,"715,0,"
693,693,"Because the speed of sound is slower than the speed of light, light is generated before sound and sound is heard later",693.0,"716,1,"
694,694,.,694.0,"717,1,"
695,695,Mr,695.0,"718,1,719,1,"
696,696,I don't know.,696.0,"720,1,"
697,697,The light is faster than the sound,697.0,"721,1,"
698,698,Light is faster,698.0,"722,1,"
699,699,"Light is faster than sound, so lightning strikes first and sounds are heard",699.0,"723,0,"
700,700,Unknowingness,700.0,"724,0,"
701,701,"Light is much faster than sound, so lightning comes first and thunder comes later",701.0,"725,0,"
702,702,Because light is faster than sound,702.0,"726,1,"
703,703,The light is faster than the sound,703.0,"727,0,"
704,704,?,704.0,"728,0,"
705,705,Because light is faster than sound.,705.0,"729,0,"
706,706,Because light is faster than sound.,706.0,"730,0,"
707,707,The light is faster than the sound,707.0,"731,0,"
708,708,That's how it works,708.0,"732,0,"
709,709,Thunder and lightning are scary,709.0,"733,1,"
710,710,The light is faster,710.0,"734,1,"
711,711,I don't know...,711.0,"735,1,"
712,712,The boat is faster than the sound,712.0,"736,0,"
713,713,The light is faster than the sound,713.0,"737,0,"
714,714,The light is faster than the sound,714.0,"738,0,"
715,715,I don't know.,715.0,"739,0,"
716,716,Because light is faster than sound,716.0,"740,1,"
717,717,"If it shines, it makes a sound",717.0,"741,0,"
718,718,The light is faster than the sound,718.0,"742,1,"
719,719,It's because light is faster than the sound,719.0,"743,0,"
720,720,The light is faster than the sound,720.0,"744,0,"
721,721,The light is much faster,721.0,"745,1,"
722,722,Because light is faster than sound,722.0,"746,0,"
723,723,????,723.0,"747,1,"
724,724,Light is seen first and sound is heard later.,724.0,"748,1,749,0,"
725,725,Light is faster than sound.,725.0,"750,1,"
726,726,Light is much faster than sound,726.0,"751,0,"
727,727,"The speed is too fast. Even if the angle is too high, it is too far away",727.0,"752,0,"
728,728,"The sound is 340 kilometers per second and the light is 300,000 kilometers per second, so the sound is very slow than light, so lightning strikes first and the sound is heard later.",728.0,"753,0,"
729,729,"Between light and sound, light is faster than sound",729.0,"754,1,"
730,730,The light is faster than the sound,730.0,"755,0,"
731,731,"It is because there is a sound in size and the speed is connected, so there is a moving sound speed in the object",731.0,"756,0,"
732,732,Because light and sound are faster and sound is heard after that,732.0,"757,0,"
733,733,She's asking for food on the boat,733.0,"758,1,"
734,734,Because there's an order,734.0,"759,0,"
735,735,It takes time for the sound to be transmitted because it's far away,735.0,"760,0,"
736,736,The light is faster than the sound,736.0,"761,0,"
737,737,The speed is different,737.0,"762,1,"
738,738,"""The speed of light is faster than the sound""",738.0,"763,1,"
739,739,"That's because.""",739.0,"764,1,"
740,740,PASS,740.0,"765,0,"
741,741,I don't understand.,741.0,"766,1,"
742,742,I don't know.,742.0,"767,0,"
743,743,"Light is faster than sound, so light is generated first and then sound is generated.",743.0,"768,1,"
744,744,The light is much faster than the sound,744.0,"769,1,"
745,745,"Thunder is sound and lightning is light. Simply put, the speed of sound and light is much different. That's why lightning is seen first and thunder is heard later.",745.0,"770,1,"
746,746,Because light is faster than sound.,746.0,"771,1,"
747,747,The light is 3000000 m/s and the sound is 340 m/s. There is a big difference in speed.,747.0,"772,1,"
748,748,"Because the light is 3000000 m/s and the sound is slower than this, the light flashes first and the thunder is heard later.",748.0,"773,1,"
749,749,"This is because the speed of sound is much slower than the speed of light, so light reaches humans first.",749.0,"774,1,"
750,750,Because the speed of light can't keep up with anyone,750.0,"775,1,"
751,751,1234,751.0,"776,1,"
752,752,I don't know,752.0,"777,1,"
753,753,Lightning is faster than the sound,753.0,"778,1,779,1,"
754,754,It's a natural phenomenon,754.0,"780,1,"
755,755,It's faster than lightning,755.0,"781,0,"
756,756,"Yes, it is",756.0,"782,1,"
757,757,123,757.0,"783,1,"
758,758,How do I know?,758.0,"784,1,"
759,759,Thunder meets light and speeds up.,759.0,"785,1,"
760,760,The sound is slower than the light,760.0,"786,1,"
761,761,Because the light is faster than the sound,761.0,"787,0,"
762,762,It's because lightning is faster than lightning is faster than sound,762.0,"788,0,"
763,763,The sound is heard late because you can hear the sound of mallards in a large area.,763.0,"789,1,"
764,764,"Three seconds after the bungeo-ppang, the thunder strikes",764.0,"790,1,"
765,765,The sound is heard late because you can hear the sound of mallards in a large area.,765.0,"791,1,"
766,766,Because time goes by so fast,766.0,"792,1,"
767,767,"be slower than lightSo after the lightning struck, there was a sound.",767.0,"793,1,"
768,768,I don't know,768.0,"794,1,"
769,769,The speed of light and sound are different,769.0,"795,1,"
770,770,I don't know,770.0,"796,1,"
771,771,"Because when sunlight comes toward us like us, we come to my eyes first.",771.0,"797,1,"
772,772,because light is faster than sound,772.0,"798,1,"
773,773,I don't know.,773.0,"799,1,"
774,774,"The thunder can't keep up with the lightning, so the lightning strikes first and you can hear the thunder",774.0,"800,1,"
775,775,Because the light is faster than the sound,775.0,"801,1,"
776,776,I don't know.,776.0,"802,1,"
777,777,The light is faster than the sound,777.0,"803,1,"
778,778,Because there's a time when the energy of thunder comes to us,778.0,"804,1,"
779,779,velocity of sound,779.0,"805,1,"
780,780,.....,780.0,"806,1,"
781,781,The light is faster than sound for.,781.0,"807,1,"
782,782,The sound of a child echoes.,782.0,"808,1,809,0,"
783,783,I don't know,783.0,"810,1,"
784,784,I don't understand.,784.0,"811,1,"
785,785,"The speed of light is 300,000 kilometers per second, and the speed of sound is 340 kilometers per second, so light is faster than sound",785.0,"812,0,"
786,786,...,786.0,"813,1,"
787,787,The speed of light is slower than the speed of sound,787.0,"814,0,"
788,788,It takes time while the sound is coming.,788.0,"815,1,"
789,789,"""Because the light is faster than the sound.",789.0,"816,1,"
790,790,"""",790.0,"817,0,"
791,791,The light is too fast to follow.This is because light is faster than sound.,791.0,"818,1,"
792,792,I think I'll make a thud first,792.0,"819,1,"
793,793,This is because light is faster than sound.,793.0,"820,0,"
794,794,I don't know,794.0,"821,1,"
795,795,"The speed of light is 3*10^8 m/s, which is much faster than the average speed of sound, about 300 m/s. Therefore, when there is a thunderstorm in the distance, lightning, the light, reaches our eyes first, and thunder, the sound, is heard a little later.",795.0,"822,1,"
796,796,The speed of light is faster than the speed of sound,796.0,"823,1,"
797,797,Speed of light > Speed of sound,797.0,"824,1,"
798,798,"The speed of light is 3*10^8 m/s, and the speed of sound is 331 m/s, so the light is fast.",798.0,"825,1,"
799,799,"The speed of light is greater than sound, so it reaches first.",799.0,"826,1,"
800,800,The speed of sound is slower than that of light.,800.0,"827,1,"
801,801,"The speed of light is faster than the speed of sound, and the surrounding air by lightning is heated and instantly expands to make sound.",801.0,"828,1,"
802,802,Light is faster than sound,802.0,"829,1,"
803,803,The light is faster than the sound,803.0,"830,1,"
804,804,"Lightning is light and thunder is sound, so lightning is fast.",804.0,"831,1,"
805,805,The light is faster than sound.,805.0,"832,1,"
806,806,"The speed of light is 3*10^8 m/s, and the speed of sound is 340 m/s",806.0,"833,1,"
807,807,The light is faster than the sound,807.0,"834,1,"
808,808,Bebebebe,808.0,"835,1,"
809,809,Travel time. Lightning strikes first and thunder is heard because the light is faster and the sound is slower,809.0,"836,1,"
810,810,Because the sound is slower than light.,810.0,"837,0,"
811,811,"Because the speed of light is faster,",811.0,"838,1,839,1,"
812,812,"Because the speed of light travels faster than the speed of sound, you see lightning first and then hear thunder",812.0,"840,0,"
813,813,"Lightning can be seen by light and thunder by sound, and light is faster than sound, so light reaches the eye first and sound comes after it.",813.0,"841,1,"
814,814,The light comes first and the sound comes out,814.0,"842,1,"
815,815,I don't know,815.0,"843,0,"
816,816,Because light is faster than sound.,816.0,"844,1,"
817,817,Because the light is faster than the sound,817.0,"845,1,"
818,818,The vibration of light is faster than the sound,818.0,"846,1,"
819,819,This is because the speed of light is faster than the speed of sound.,819.0,"847,1,"
820,820,Because the speed of light is faster than the speed of sound,820.0,"848,1,"
821,821,Because light is faster than sound,821.0,"849,0,"
822,822,Light is faster than sound,822.0,"850,1,"
823,823,This is because the speed of light is faster than sound.,823.0,"851,1,"
824,824,This is because the speed of light is faster than that of sound,824.0,"852,1,"
825,825,The light is so fast that you can see the light first and hear the sound,825.0,"853,1,"
826,826,Speed of movement Light > Sound,826.0,"854,0,"
827,827,Because the speed of sound is slower than the speed of light,827.0,"855,1,"
828,828,The speed of light is faster than the sound,828.0,"856,,"
829,829,"Lightning is the sound of light thunder, but the sound can never be rubbed against the speed of light.",829.0,"857,,"
830,830,Because light is faster than sound.,830.0,"858,69.4%,"
831,831,"Because the light is faster than the sound, lightning is seen first and then sound is heard",,
832,832,Because the speed of light is faster than the speed of sound,,
833,833,"The speed of light of lightning is visible in our view, but the sound of lightning is heard in our ears slower than the speed of light due to the speed of sound.",,
834,834,Because light is faster than sound.,,
835,835,"Because light is faster than sound, lightning strikes first, and then a sound comes out.",,
836,836,Because it's faster,,
837,837,The light is faster than the sound,,
838,838,The light is faster than the sound,,
839,839,The reason why lightning strikes and sounds is to surprise people.,,
840,840,The speed of light is superior to the speed of sound,,
841,841,vary from hour to hour,,
842,842,"Light is faster than sound. Light is a tremendous speed that can travel 12 times around the Earth in a second, but sound is slower than light, so light is seen before sound.",,
843,843,Because light is much faster than sound,,
844,844,It's acid-dominated,,
845,845,Because light is faster than sound.,,
846,846,"I heard that light travels seven times around the earth in one second. Therefore, the light is much faster than the sound, so lightning is visible and the sound is heard later.",,
847,847,This is because the speed of light is five seconds faster than the speed of sound.,,
848,848,Because light is faster than sound,,
849,849,Because the light is faster than the sound can be heard,,
850,850,"Light is faster than sound, so lightning strikes first and thunder is heard.",,
851,851,"Because the speed of sound and the speed of light are different, light is seen first, followed by sound.",,
852,852,"Lightning is light and thunder is sound. Because light is faster than sound, lightning strikes first and then thunder is heard later.",,
853,853,Because light is faster than sound,,
854,854,Because light is faster than sound.,,
855,855,"The speed of light is the speed at which it can travel three times around the Earth at a time, but the speed of sound is slow, so light is seen first and sound arrives next",,
856,856,"Light travels at a speed of 300,000 kilometers per second, and sound travels 340 meters per second at room temperature. That's why the faster light reaches first, and then the slower sound arrives.",,
857,857,Lightning occurs first because the speed of light transmission is faster than that of sound.,,
858,858,Lightning occurs first because the speed of light transmission is faster than that of sound.,,
859,859,The light is faster than the sound,,
860,860,This is because the speed of light is much faster than the speed of sound (sonic waves).,,
861,861,Because light is faster than sound.,,
862,862,This is because the speed of light is much faster than the speed of sound.,,
863,863,This is because the speed of light is faster than that of sound waves.,,
864,864,Unknowingness,,
865,865,This is because light is faster than sound.,,
866,866,"Light is faster than sound, so lightning reaches the ground before thunder.",,
867,867,Unknowingness,,
868,868,"Light is not a movement that requires a medium, so it is the fastest, so of course, it is transmitted before sound. That's why we can hear thunder after lightning strikes.",,
869,869,The light is faster than the sound,,
870,870,Unknowingness,,
871,871,The light is very fast and the sound is relatively slow,,
872,872,"Lightning is light. Thunder is the sound. The difference is that the speed of light is 300,000 kilometers per second, and the speed of sound is 330 meters per second.",,
873,873,This is because the speed of light is faster than the speed of sound.,,
874,874,"In fact, in the cloud, a tremendous amount of energy moves and light and sound will be generated at the same time, but as you know, the speed of light is incredibly fast and the sound lasts about 340 meters per second. Considering this, it is natural.",,
875,875,"Because the speed of light is faster than the speed of sound, lightning is seen first and sound is heard later.",,
876,876,Unknowingness,,
877,877,This is because the speed at which light touches is faster than the speed at which sound is transmitted.,,
878,878,The speed of light is faster than the sound,,
879,879,Because light travels faster than sound,,
880,880,This is because the speed of light is faster than that of sound.,,
881,881,"Light travels without the help of the medium, but sound travels through the medium. That's why we can see lightning first and hear thunder a little later.",,
882,882,Because the speed of light is faster than the speed of sound,,
883,883,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
