,Unnamed: 0,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",Unnamed: 0,", q17_acid-based adaptation, q17_equivalent ratio, q17_loss of properties, q17_conflict properties, q17_acid-based adaptation.1,q17_equivalent ratio.1,q17_Loss of Properties1.q17_Contrary Properties.1"
460,460,"When H+ and OH- are combined, they become water.",460.0,"475,0,0,1,0,,,,"
461,461,It's because the ingredients are different,461.0,"476,0,0,0,0,,,,"
462,462,I don't understand.,462.0,"477,0,0,0,0,,,,"
463,463,It's because acidity and basicity make water,463.0,"478,0,0,0,0,,,,479,0,0,0,0,,,,"
464,464,I don't understand.,464.0,"480,0,0,0,1,,,,"
465,465,"H+ OH- If you combine them, it becomes water, and if you add water, it becomes everythingthe degree of heat",465.0,"481,1,0,0,0,,,,"
466,466,Water is made,466.0,"482,0,0,0,0,,,,"
467,467,Acids and bases meet to neutralize,467.0,"483,0,0,0,0,,,,"
468,468,This is because hydronium ions of the acid and hydroxide ions of the base meet to form water and neutralize it.,468.0,"484,0,0,0,0,,,,"
469,469,I don't know.,469.0,"485,0,0,0,0,,,,"
470,470,Hydrogen ions and hydroxide ions meet to become water.,470.0,"486,0,0,0,1,,,,"
471,471,I don't know this either,471.0,"487,0,0,0,0,,,,"
472,472,"When an acid meets a base, it becomes water",472.0,"488,1,0,1,0,,,,"
473,473,"When the acid base meets, it becomes water.",473.0,"489,1,0,1,0,,,,"
474,474,This is because acids and bases become neutral when they meet.,474.0,"490,0,0,0,0,,,,"
475,475,"Phenolphthalein is acidic, neutral to colorless, and basic to red, while thymorphthalein is acidic to blue, and neutral to colorless to basic.",475.0,"491,0,0,0,0,,,,"
476,476,Hydroxides and hydrogen ions meet to make water and become neutralized,476.0,"492,0,0,0,0,,,,"
477,477,MooMoo's red,477.0,"493,0,0,0,0,,,,"
478,478,I don't know,478.0,"494,0,0,0,0,,,,"
479,479,Acid and base are opposite to each other,479.0,"495,0,0,0,0,,,,"
480,480,Acid and basicity weaken because water is produced when acids and bases meet.,480.0,"496,0,0,0,1,,,,"
481,481,Don't know,481.0,"497,0,0,0,0,,,,"
482,482,Chinese jam,482.0,"498,0,0,0,0,,,,"
483,483,It is because it is neutralized.,483.0,"499,1,0,0,0,,,,"
484,484,I don't know,484.0,"500,0,0,0,0,,,,"
485,485,"When the acid and base are neutralized and there are more acids, the base weakens, and when there are more bases, the acid weakens.",485.0,"501,0,0,0,0,,,,"
486,486,This is because acidity and basicity react to neutralize.,486.0,"502,0,0,1,1,,,,"
487,487,"Acid has acidic properties because of hydrogen ions and basic properties because of hydroxide ions, so if you mix the two, hydrogen ions and hydroxide ions meet to make water, which weakens the acidity and basic properties.",487.0,"503,0,0,0,1,,,,"
488,488,A neutralization reaction takes place.,488.0,"504,0,0,0,1,,,,"
489,489,"Since acid and base ions meet to produce water, the number of ions decreases and weakens.",489.0,"505,0,0,0,0,,,,"
490,490,This is because neutralization occurs when basic and acidic meet.,490.0,"506,0,0,0,0,,,,"
491,491,Unknown.,491.0,"507,0,0,0,0,,,,"
492,492,It's neutralized.,492.0,"508,1,0,0,0,,,,509,0,0,0,0,,,,"
493,493,"Acid means hydrogen ions are contained in the aqueous solution, and basic means hydroxide ions are contained in the aqueous solution. In this case, when hydrogen ions and hydroxide ions meet each other, the liquid property of the aqueous solution is made close to neutral by reacting at a ratio of 1:1 to generate water.",493.0,"510,1,0,1,0,,,,"
494,494,"Since hydrogen ions and hydroxide ions combine to form water molecules, mixing acids and bases creates water and weakens acidity and basicity. This is called a neutralization reaction.",494.0,"511,1,0,1,0,,,,"
495,495,"According to Arenius's definition of acid and base, acid is a substance that dissolves in water to release hydrogen ions, and base dissolves in water to release hydroxide ions. When hydroxide ions and hydrogen ions meet, they become water, and since water is neutral, the two properties gradually weaken when acids and bases meet.neutralized",495.0,"512,0,0,0,0,,,,"
496,496,ㅓㅜ허ㅑㅏ노며숲호램,496.0,"513,0,0,0,0,,,,"
497,497,Hmm... I don't know!,497.0,"514,1,0,1,1,,,,"
498,498,"Acid is red, base is blue",498.0,"515,0,0,0,0,,,,"
499,499,드d ᄃdiot 5ㅕㅓㅕ66-ㅕ66,499.0,"516,0,0,0,0,,,,"
500,500,Acid and basic are completely opposite,500.0,"517,1,0,1,1,,,,"
501,501,"When basic and acidic meet, their properties disappear very elegantly",501.0,"518,1,0,1,1,,,,"
502,502,intermingled with each other,502.0,"519,0,0,0,0,,,,"
503,503,It's acidic,503.0,"520,0,0,0,0,,,,"
504,504,I don't know.,504.0,"521,0,0,0,0,,,,"
505,505,"What happens when an acid and a base meet? The answer is ""very well""...",505.0,"522,0,0,0,0,,,,"
506,506,This is because acidity and basicity are the opposite of each other.,506.0,"523,0,0,0,0,,,,"
507,507,I don't remember,507.0,"524,0,0,0,0,,,,"
508,508,"When acidity and basicity meet, they become more and more neutral",508.0,"525,0,0,0,1,,,,"
509,509,"When acids and bases meet, they are neutralized, weakening their properties.",509.0,"526,0,0,0,0,,,,"
510,510,It's weak,510.0,"527,0,0,0,0,,,,"
511,511,I don't remember,511.0,"528,0,0,0,0,,,,"
512,512,Surprising.,512.0,"529,0,0,0,0,,,,"
513,513,Red cabbage are various indicator neoeoseo made.,513.0,"530,0,0,0,0,,,,"
514,514,Mwon ;;;;;;;;;; be more than I can't hit you? it if!^,514.0,"531,0,0,0,0,,,,"
515,515,I do.,515.0,"532,0,0,0,0,,,,"
516,516,"Acidic and basic silver poles apart, so we have.",516.0,"533,0,0,0,0,,,,"
517,517,I don't know.,517.0,"534,0,0,1,0,,,,"
518,518,"Neutral, indicator of cabbage.",518.0,"535,0,0,0,1,,,,"
519,519,Because it's the median value to meet is acidic and basic.,519.0,"536,0,0,0,0,,,,"
520,520,That I don't know.,520.0,"537,0,0,0,0,,,,"
521,521,Don't know,521.0,"538,0,0,0,0,,,,539,1,0,1,1,,,,"
522,522,Acidic and basic properties that are opposed to each other because they have neutralized each other.,522.0,"540,0,0,0,0,,,,"
523,523,The nature of the opposition and each other.,523.0,"541,0,0,0,0,,,,"
524,524,Is a component of the opposition and each other.,524.0,"542,0,0,0,0,,,,"
525,525,Two different house each other.,525.0,"543,1,0,1,0,,,,"
526,526,.,526.0,"544,0,0,0,0,,,,"
527,527,398+700=1098,527.0,"545,0,0,1,0,,,,"
528,528,Acidic and alkaline mix.,528.0,"546,0,0,0,0,,,,"
529,529,Don't know,529.0,"547,1,0,1,0,,,,"
530,530,Mountains and base becomes weak when they meet each other.,530.0,"548,1,1,1,0,,,,"
531,531,"Acidic and basic when you see each other, opposite a frame because that China.",531.0,"549,1,0,1,1,,,,"
532,532,Remember ...,532.0,"550,0,0,0,0,,,,"
533,533,I don't remember.,533.0,"551,1,0,1,0,,,,"
534,534,"Acid has bitter properties, and basic properties have divine properties, so the properties of the two are opposite, so when they meet, the properties of acidity and basicity weaken.",534.0,"552,0,0,1,0,,,,"
535,535,I don't know.,535.0,"553,1,0,1,0,,,,"
536,536,Um... I don't remember...,536.0,"554,0,0,0,0,,,,"
537,537,"This is because acidity and base are different substances, so both weaken when contacted.",537.0,"555,0,0,0,0,,,,"
538,538,"Because they have different properties, I think strong and weak properties meet and neutral and two properties combine. This is because if you have the same things, you get stronger and if you have different things, you get weaker.",538.0,"556,1,0,1,0,,,,"
539,539,Don't know,539.0,"557,1,0,1,0,,,,"
540,540,a stone language,540.0,"558,0,0,0,0,,,,"
541,541,?,541.0,"559,0,1,1,0,,,,"
542,542,I don't know.,542.0,"560,0,0,0,1,,,,"
543,543,I don't like acidity and basicity,543.0,"561,1,0,1,0,,,,"
544,544,I have no idea.,544.0,"562,0,0,0,0,,,,"
545,545,Basic and acidic are natural enemies,545.0,"563,0,0,0,0,,,,"
546,546,Don't know,546.0,"564,0,1,1,0,,,,"
547,547,"If you add a lot of acidity, it becomes more acidic, and if you add a lot of basicity, it becomes more basic",547.0,"565,0,1,1,0,,,,"
548,548,I don't know,548.0,"566,1,0,1,0,,,,"
549,549,I don't know,549.0,"567,0,0,1,0,,,,"
550,550,M and D,550.0,"568,0,0,0,0,,,,569,0,0,1,0,,,,"
551,551,I don't know,551.0,"570,0,0,0,0,,,,"
552,552,I don't know.,552.0,"571,0,0,0,0,,,,"
553,553,It's because the acid removes the basicity,553.0,"572,0,0,1,1,,,,"
554,554,"This is because when acidity and basicity are mixed, they become neutral.",554.0,"573,1,0,1,0,,,,"
555,555,"Acid and base have opposite colors and properties, so it can be considered water and oil",555.0,"574,1,0,1,1,,,,"
556,556,I don't know.,556.0,"575,0,0,0,0,,,,"
557,557,"""When a base is concentrated, acid is added to the base and the component is reduced. For example, if a base is 10 and an acid is added, the base is dropped to 8.""",557.0,"576,0,0,1,0,,,,"
558,558,"""",558.0,"577,0,0,0,0,,,,"
559,559,I don't know,559.0,"578,0,0,0,1,,,,"
560,560,"Acid and basic properties are opposite, and when the substance meets, it becomes neutral, weakening or disappearing.",560.0,"579,0,0,0,0,,,,"
561,561,"When you soak red cabbage in hot water, there is a change in color in cabbage, water in cabbage turns red, and cabbage turns blue.",561.0,"580,0,0,0,1,,,,"
562,562,I don't know.,562.0,"581,0,0,0,0,,,,"
563,563,I don't know.,563.0,"582,0,0,0,0,,,,"
564,564,I don't know.,564.0,"583,0,0,1,1,,,,"
565,565,"When acidity and basicity meet, they become neutralized, which weakens.",565.0,"584,0,0,0,0,,,,"
566,566,A neutralization reaction occurs.,566.0,"585,0,0,0,0,,,,"
567,567,I don't know.,567.0,"586,1,0,1,1,,,,"
568,568,"When an acidic substance and a basic substance meet, hydrogen ions of the acid and hydroxide ions of the base react to form water, so acidity and basicity are weakened.",568.0,"587,0,0,0,0,,,,"
569,569,This is because hydrogen ions and chloride ions combine to become neutral at a one-to-one ratio,569.0,"588,0,0,0,0,,,,"
570,570,"When an acid and a base meet, the properties of the two are the opposite, so they merge into intermediate acids It is neutral that exists in the middle, but when basic and acidic meet, they change to neutral, and their properties gradually weaken",570.0,"589,0,0,0,0,,,,"
571,571,I can't!,571.0,"590,1,0,1,0,,,,"
572,572,This is because acids and bases are mixed to cause a neutralization reaction.,572.0,"591,0,0,0,0,,,,"
573,573,This is because acidic and basic substances match each other in a mixed solution and lose their properties,573.0,"592,0,0,1,0,,,,"
574,574,This is because acidity and basicity meet and their properties gradually decrease.,574.0,"593,0,0,0,0,,,,"
575,575,I don't know.,575.0,"594,0,0,0,1,,,,"
576,576,I don't know.,576.0,"595,0,0,0,0,,,,"
577,577,"When acidity and basicity meet, hydrogen ions and hydroxide ions cause a neutralization reaction to generate water, weakening the acidity and basicity.",577.0,"596,0,0,0,0,,,,"
578,578,Acid and basicity are combined in the bath solution and both weaken.,578.0,"597,0,0,1,0,,,,"
579,579,"Since basic and acidic objects eliminate each other's components,",579.0,"598,0,0,0,0,,,,599,0,0,0,0,,,,"
580,580,"This is because when acidic substances and basic substances match each other, they lose each other's components.",580.0,"600,0,0,0,0,,,,"
581,581,"Since acidity and basicity are opposite to each other, the proportion of others seems to decrease relatively as one is added more.",581.0,"601,0,0,1,1,,,,"
582,582,This is because a neutralization reaction occurs in which acidic and basic substances meet in a solution and lose their properties.,582.0,"602,0,0,1,1,,,,"
583,583,I don't know...,583.0,"603,0,0,1,0,,,,"
584,584,"Hmm, sorry, I don't know",584.0,"604,0,0,1,0,,,,"
585,585,"In the mixed solution, acidic and basic substances pair up and lose their respective properties",585.0,"605,0,0,1,0,,,,"
586,586,It loses its properties as acidic and basic substances pair up in a mixed solution,586.0,"606,0,0,1,0,,,,"
587,587,"When an acid meets a basic star, each other's power weakens.",587.0,"607,1,0,1,0,,,,"
588,588,"If the proportion of basic solutions is less than that of acidic solutions, of course, the basicity is weakened, and if the proportion of acidic solutions is less than that of basic solutions, of course, the acidity is weakened^6^",588.0,"608,0,0,1,0,,,,"
589,589,"If you add more acidity, of course, the acidity will be stronger, and if you add more basicity, won't it be more basic?",589.0,"609,0,0,1,0,,,,"
590,590,"Since the acidic material releases hydrogen ions in the aqueous solution, and the basic material releases hydroxide ions in the aqueous solution, when the acid and the base meet, hydrogen ions and hydroxide ions combine to change into water and the temperature rises.",590.0,"610,0,0,1,0,,,,"
591,591,I don't know.,591.0,"611,0,0,1,0,,,,"
592,592,f,592.0,"612,1,0,1,0,,,,"
593,593,This is because different substances that are basic and acidic meet in the mixed solution and lose their properties.,593.0,"613,1,0,1,0,,,,"
594,594,"The common property of an acid is hydrogen ion, and the common property of a base is hydroxide ion. However, hydrogen ions and hydroxide ions form water through ionic bonds, so when an acid and a base meet, both properties weaken.Acids and bases are opposite properties, so when mixed, their properties weaken.",594.0,"614,0,0,1,0,,,,"
595,595,I don't know,595.0,"615,1,0,1,0,,,,"
596,596,"Acids and bases are mutually compatible, so they weaken each other",596.0,"616,0,0,1,0,,,,"
597,597,Forgot.,597.0,"617,0,0,0,0,,,,"
598,598,The acid and base are different,598.0,"618,1,0,1,0,,,,"
599,599,???,599.0,"619,0,0,0,1,,,,"
600,600,This is because they fight among themselves when acidity and basicity meet.,600.0,"620,0,0,0,1,,,,"
601,601,"""I don't know",601.0,"621,1,0,1,0,,,,"
602,602,"""",602.0,"622,1,0,1,0,,,,"
603,603,I have no idea.,603.0,"623,1,0,1,0,,,,"
604,604,"The opposite property becomes stronger, so the original property weakens.",604.0,"624,0,0,1,0,,,,"
605,605,I don't know.,605.0,"625,1,0,1,0,,,,"
606,606,I don't know,606.0,"626,1,0,1,0,,,,"
607,607,"Because acidity and basicity have different properties, they mix and weaken each other when they meet",607.0,"627,1,0,1,0,,,,"
608,608,I don't know,608.0,"628,1,0,1,0,,,,629,0,0,1,0,,,,"
609,609,I don't know.,609.0,"630,0,0,1,1,,,,"
610,610,I don't know.,610.0,"631,0,0,0,0,,,,"
611,611,This is because the combined acidity and basicity weakens the power of parasitism and basicity,611.0,"632,1,0,1,0,,,,"
612,612,I don't know,612.0,"633,1,0,1,0,,,,"
613,613,You could say that it's neutral right in the middle of the kaleidoscope and the acid.,613.0,"634,1,0,1,0,,,,"
614,614,I don't know.,614.0,"635,1,0,1,0,,,,"
615,615,This is because acidity and basicity have opposite properties.,615.0,"636,1,0,1,0,,,,"
616,616,I don't know,616.0,"637,1,0,1,0,,,,"
617,617,I don't know,617.0,"638,0,0,1,1,,,,"
618,618,"When acidity dissolves in water, hydrogen ions are generated, and basicity receives hydrogen ions when dissolved in water, so neutrality is maintained.",618.0,"639,1,0,1,0,,,,"
619,619,I don't know.,619.0,"640,1,0,1,0,,,,"
620,620,This is because basicity and acidity are different in the first place.,620.0,"641,1,0,1,0,,,,"
621,621,Because the opposite properties of each other override each other's concentration,621.0,"642,0,0,0,0,,,,"
622,622,Neutralization reaction lol,622.0,"643,0,0,0,0,,,,"
623,623,"They have opposite properties, so when mixed, they cancel each other out.",623.0,"644,0,0,0,0,,,,"
624,624,It's because of the neutralization reaction,624.0,"645,0,0,0,0,,,,"
625,625,It neutralizes the skin and makes it neutral,625.0,"646,0,0,0,0,,,,"
626,626,"As acidity and basicity neutralize each other, either side weakens when they meet each other",626.0,"647,0,0,0,0,,,,"
627,627,It is because of the neutralization phenomenon.,627.0,"648,0,0,0,0,,,,"
628,628,This is due to the neutralization of acid hydrogen ions and base hydroxide ions that meet and become water.,628.0,"649,0,0,0,0,,,,"
629,629,Weakened by neutralization.,629.0,"650,0,0,0,0,,,,"
630,630,Acids and bases neutralize each other,630.0,"651,0,0,0,0,,,,"
631,631,neutralization,631.0,"652,0,0,0,0,,,,"
632,632,It is because of the neutralization phenomenon.,632.0,"653,0,0,0,0,,,,"
633,633,Acids and bases relieve each other when they meet.,633.0,"654,0,0,0,0,,,,"
634,634,"When an acid meets a base, both the acid and the base concentration are weakened through neutralization of the acid carboxyl group and the amino group of the base react to produce water.",634.0,"655,0,0,0,0,,,,"
635,635,I guess it's neutralizing,635.0,"656,0,0,0,0,,,,"
636,636,Acids and bases become neutral and weaken when they meet,636.0,"657,0,0,0,0,,,,"
637,637,Neutral effects occur,637.0,"658,0,0,0,0,,,,659,0,0,0,0,,,,"
638,638,I don't know.,638.0,"660,0,0,0,0,,,,"
639,639,"The reaction takes place and becomes neutral, with no properties of both acidic and basic",639.0,"661,0,0,0,0,,,,"
640,640,The ingredients are different,640.0,"662,0,0,0,0,,,,"
641,641,The ingredients are different,641.0,"663,0,0,1,0,,,,"
642,642,"When acidity and basicity are combined, a neutralization reaction occurs",642.0,"664,0,0,0,0,,,,"
643,643,"I think it's because when acidity and basicity are combined, a neutralization reaction occurs!★☆★☆",643.0,"665,1,1,0,0,,,,"
644,644,"This is because when acidity and basicity meet, a neutralization reaction occurs.",644.0,"666,1,0,1,0,,,,"
645,645,"As an acid base reagent, the color of the acid base reagent varies depending on the pH (hydrogen ion index). The acid base reagent itself is a weak acid or weak base. If you drop one or two drops of an indicator, which is a weak acid, in an acidic solution, hydrogen attached to the indicator does not come off easily. This is because there are already many hydrogen ions in the solution. However, if a basic substance is added to the solution little by little, the concentration of hydrogen ions in the solution decreases, so that the hydrogen attached to the indicator is dissociated and the number of molecules present in an ionic state increases. As the acidity of the solution changes, the number of indicator molecules whose molecular structure changes increases, and the color of the molecule changes as the molecular structure changes. By observing the color that appears, you can find the approximate pH and find the neutralization point. The range of pH, which gradually changes the color of the indicator, is called the discoloration range, which varies from indicator to indicator.",645.0,"667,1,0,1,0,,,,"
646,646,"This is because when acidity and basicity meet, a neutralization reaction occurs.",646.0,"668,0,0,0,0,,,,"
647,647,Neutralization occurs when acidity and basicity meet,647.0,"669,0,0,0,0,,,,"
648,648,This is because neutralization occurs when acidity and astigmatism meet.,648.0,"670,0,0,0,0,,,,"
649,649,"When acidity and basicity meet, a neutralization reaction occurs, resulting in no properties",649.0,"671,1,0,1,0,,,,"
650,650,It's because acidity and basicity meet and neutralization occurs,650.0,"672,0,0,1,0,,,,"
651,651,"Acid and basic are the opposite components, so they weaken when they meet",651.0,"673,0,0,0,0,,,,"
652,652,"I'm sorry, I don't know. I'm sorry",652.0,"674,0,0,0,0,,,,"
653,653,Acid and basic meet and neutralize,653.0,"675,0,0,0,0,,,,"
654,654,"When acidity and basicity meet, a neutralization reaction occurs and no conditions appear",654.0,"676,0,0,0,0,,,,"
655,655,Neutralization occurs when acidity and basicity meet,655.0,"677,0,0,0,0,,,,"
656,656,"When acidity and basicity meet, a neutralization reaction occurs, so acidity and basicity weaken.",656.0,"678,0,0,0,1,,,,"
657,657,"This is because when acidity and basicity meet, a neutralization reaction occurs.",657.0,"679,0,0,0,0,,,,"
658,658,"When acidity and basicity meet, neutralization occurs, so there is no properties",658.0,"680,0,0,0,1,,,,"
659,659,"Since acidity and basicity are opposite components, they weaken when acidity and basicity meet.",659.0,"681,1,0,0,0,,,,"
660,660,This is because a neutralization reaction occurs when an acidity and a basicity meet,660.0,"682,0,0,0,0,,,,"
661,661,Neutralization occurs when acidity and basicity meet,661.0,"683,0,0,0,1,,,,"
662,662,"When acidity and basicity meet, a neutralization reaction occurs, resulting in no properties",662.0,"684,0,0,0,0,,,,"
663,663,I don't know.,663.0,"685,0,0,0,0,,,,"
664,664,I don't know,664.0,"686,0,0,0,1,,,,"
665,665,M and D,665.0,"687,0,0,0,1,,,,"
666,666,I don't understand.,666.0,"688,0,0,0,1,,,,689,0,0,0,0,,,,"
667,667,M and D,667.0,"690,1,0,1,0,,,,"
668,668,"""",668.0,"691,0,0,1,0,,,,"
669,669,I don't understand.,669.0,"692,0,0,1,0,,,,"
670,670,"""",670.0,"693,0,0,0,0,,,,"
671,671,(Playing with words),671.0,"694,0,0,1,0,,,,"
672,672,M and D,672.0,"695,1,0,0,0,,,,"
673,673,I don't understand.,673.0,"696,0,0,1,0,,,,"
674,674,Mall,674.0,"697,0,0,0,0,,,,"
675,675,I don't know,675.0,"698,0,0,0,1,,,,"
676,676,I don't understand.,676.0,"699,0,0,0,0,,,,"
677,677,I don't understand.,677.0,"700,0,0,0,1,,,,"
678,678,M and D,678.0,"701,0,0,0,0,,,,"
679,679,I don't understand.,679.0,"702,0,0,0,1,,,,"
680,680,I do.,680.0,"703,1,0,1,0,,,,"
681,681,I don't know,681.0,"704,0,0,1,0,,,,"
682,682,I don't know.,682.0,"705,0,0,0,0,,,,"
683,683,M and D,683.0,"706,1,0,1,0,,,,"
684,684,I don't know,684.0,"707,0,0,0,0,,,,"
685,685,I don't understand.,685.0,"708,0,0,0,0,,,,"
686,686,It's because acidity and basicity are neutralized,686.0,"709,0,0,0,0,,,,"
687,687,I don't know.,687.0,"710,0,0,0,0,,,,"
688,688,"This is because when an acidic solution is mixed with a basic solution, the acidic and basic substances are paired together",688.0,"711,0,0,0,0,,,,"
689,689,"This is because when acidic and basic meet, these acidic and basic components are mixed and neutralized.",689.0,"712,0,0,0,0,,,,"
690,690,"When acidity and basicity meet, a neutralization reaction occurs, resulting in a state of no properties",690.0,"713,0,0,0,0,,,,"
691,691,.,691.0,"714,0,0,0,0,,,,"
692,692,M and D,692.0,"715,0,0,0,0,,,,"
693,693,I don't know.It neutralizes when it's acidic and basic,693.0,"716,0,0,0,0,,,,"
694,694,Neutralized,694.0,"717,0,0,1,0,,,,"
695,695,I don't know,695.0,"718,0,0,1,1,,,,719,0,0,1,0,,,,"
696,696,The color changes.,696.0,"720,0,0,1,0,,,,"
697,697,"I did it when I was in 5th grade, but I don't remember",697.0,"721,0,0,1,0,,,,"
698,698,Don't know,698.0,"722,1,0,1,0,,,,"
699,699,I don't know,699.0,"723,1,0,1,0,,,,"
700,700,"Since the contents are reversed,",700.0,"724,0,0,0,0,,,,"
701,701,I don't know...,701.0,"725,0,0,0,0,,,,"
702,702,It's because the two have different characteristics.,702.0,"726,0,0,0,0,,,,"
703,703,You two are mixed,703.0,"727,0,0,0,0,,,,"
704,704,I don't know.,704.0,"728,0,0,0,0,,,,"
705,705,Because they're the opposite,705.0,"729,0,0,0,0,,,,"
706,706,?,706.0,"730,0,0,0,0,,,,"
707,707,The red cabbage is...,707.0,"731,0,0,0,0,,,,"
708,708,Because they are different things.,708.0,"732,0,0,0,0,,,,"
709,709,It's because it's different,709.0,"733,0,0,0,0,,,,"
710,710,Basic and acidic properties are different.,710.0,"734,0,0,0,1,,,,"
711,711,I forgot.,711.0,"735,0,0,0,0,,,,"
712,712,"Because acidity and basicity are different properties, when they meet, their properties are reversed and weakened",712.0,"736,0,0,0,0,,,,"
713,713,There are components that weaken each other,713.0,"737,0,0,0,0,,,,"
714,714,I guess it's neutral,714.0,"738,0,0,0,0,,,,"
715,715,??????????????????????????????????????????????????? I don't know...,715.0,"739,0,0,0,0,,,,"
716,716,"It has a property that weakens the basicity of the sheep,",716.0,"740,0,0,0,0,,,,"
717,717,"So when they're together, they're both acidic and basic, and if they're basic, and a little more basic, they're acidic",717.0,"741,0,0,0,0,,,,"
718,718,"If you spill the indicator, the acidity will weaken",718.0,"742,0,0,0,0,,,,"
719,719,???,719.0,"743,0,0,0,0,,,,"
720,720,This is because acidity and basicity have opposite characteristics.,720.0,"744,0,0,0,0,,,,"
721,721,"""Let's assume that the acidity is + and the basicity is -.",721.0,"745,0,0,0,0,,,,"
722,722,"1+0=1-1=0.""",722.0,"746,0,0,0,0,,,,"
723,723,Because they're the opposite,723.0,"747,0,0,0,0,,,,"
724,724,I don't know,724.0,"748,0,0,0,0,,,,749,0,0,0,0,,,,"
725,725,This is because acidity and basicity are opposite substances.,725.0,"750,0,0,0,0,,,,"
726,726,"When acidity and basicity are mixed, they lose each other's power little by little and weaken.",726.0,"751,0,0,0,0,,,,"
727,727,It is because we lose each other's power little by little.,727.0,"752,0,0,1,0,,,,"
728,728,The red cabbage has something inside it,728.0,"753,0,0,0,0,,,,"
729,729,"Acid and base meet, they become weak because they meet strong things",729.0,"754,0,0,1,0,,,,"
730,730,experiment like science,730.0,"755,0,0,0,0,,,,"
731,731,I don't know.,731.0,"756,0,0,0,0,,,,"
732,732,Pass.,732.0,"757,0,0,0,0,,,,"
733,733,I don't know,733.0,"758,0,0,0,0,,,,"
734,734,It's going to be far,734.0,"759,0,0,0,0,,,,"
735,735,I don't know.,735.0,"760,0,0,1,0,,,,"
736,736,PASS,736.0,"761,0,0,1,0,,,,"
737,737,I don't understand.,737.0,"762,0,0,0,1,,,,"
738,738,I don't know.,738.0,"763,0,0,1,0,,,,"
739,739,It's just that I got messed up,739.0,"764,0,0,1,1,,,,"
740,740,"There is a neutral effect between acidity and basicity, so the appropriate combination of acidity and basicity is a combination of acid and basicity",740.0,"765,0,0,0,0,,,,"
741,741,"There is a neutral between basicity and acidity, and when mixed, it is close to neutral because the components are opposite to each other.",741.0,"766,0,0,0,1,,,,"
742,742,H+ and OH- produce H2O to create neutrality.,742.0,"767,0,0,0,0,,,,"
743,743,"Since the acid gives H+ and the base gives OH- or accepts H+, it conflicts with each other and has an offset effect.",743.0,"768,1,0,1,0,,,,"
744,744,H+ and OH- make H2O and become neutral.,744.0,"769,1,0,1,0,,,,"
745,745,This is because acids and bases react and become neutralized.,745.0,"770,1,0,1,0,,,,"
746,746,"Because when you two meet, you become neutralized",746.0,"771,1,0,1,0,,,,"
747,747,1234,747.0,"772,0,0,1,0,,,,"
748,748,I don't know,748.0,"773,0,0,1,0,,,,"
749,749,123,749.0,"774,1,0,1,0,,,,"
750,750,123,750.0,"775,0,0,1,0,,,,"
751,751,123,751.0,"776,0,0,1,0,,,,"
752,752,"Oh, my",752.0,"777,0,0,1,0,,,,"
753,753,1234,753.0,"778,1,0,1,0,,,,779,0,0,1,0,,,,"
754,754,k,754.0,"780,0,0,1,0,,,,"
755,755,It's not very basic,755.0,"781,0,0,0,0,,,,"
756,756,123,756.0,"782,1,0,1,0,,,,"
757,757,The acid line and the base line are natural,757.0,"783,1,0,1,1,,,,"
758,758,123,758.0,"784,0,0,1,0,,,,"
759,759,"If you add an acidic solution and a basic solution together, it's a weird combination",759.0,"785,0,0,1,0,,,,"
760,760,Dyeing,760.0,"786,1,0,1,0,,,,"
761,761,"If you add an acidic solution and a basic solution together, it's a weird combination",761.0,"787,0,0,0,0,,,,"
762,762,Because I put in potions,762.0,"788,0,0,0,0,,,,"
763,763,"Acid can melt anything, and I don't know the base",763.0,"789,0,0,0,0,,,,"
764,764,I don't know~,764.0,"790,0,0,1,0,,,,"
765,765,I don't know.,765.0,"791,0,0,0,0,,,,"
766,766,I don't know~,766.0,"792,0,0,1,0,,,,"
767,767,123,767.0,"793,0,0,1,0,,,,"
768,768,It's not up to us,768.0,"794,0,0,0,0,,,,"
769,769,I don't know.,769.0,"795,0,0,1,0,,,,"
770,770,I can't explain it in detail,770.0,"796,0,0,1,0,,,,"
771,771,I'm sorry. I don't know for the life of me.,771.0,"797,0,0,1,0,,,,"
772,772,I don't know.,772.0,"798,0,0,0,0,,,,"
773,773,I don't know,773.0,"799,0,0,1,0,,,,"
774,774,I don't know,774.0,"800,0,0,1,0,,,,"
775,775,in neutral,775.0,"801,0,0,1,0,,,,"
776,776,......,776.0,"802,0,0,1,1,,,,"
777,777,become weaker and weaker in harmony,777.0,"803,0,0,0,1,,,,"
778,778,"""I count them both, and I push them both.",778.0,"804,1,0,0,0,,,,"
779,779,"""",779.0,"805,0,0,0,0,,,,"
780,780,I don't understand.,780.0,"806,1,0,1,1,,,,"
781,781,I don't understand.,781.0,"807,1,0,1,1,,,,"
782,782,I don't know.,782.0,"808,1,0,1,0,,,,809,0,0,0,0,,,,"
783,783,...,783.0,"810,0,0,0,0,,,,"
784,784,Because they lose their respective properties,784.0,"811,0,0,0,0,,,,"
785,785,The strong two acids and bases meet and weaken.,785.0,"812,0,0,0,0,,,,"
