,Unnamed: 0,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",Unnamed: 0,",q63_blood,q63_heart,q63_ oxygen, blood circulation, heart function> Isn't this blood circulation and oxygen supply?,,, oxygen and substance exchange"
486,486,It is because it sends blood to the whole body.,486.0,"502,0,0,1,,,"
487,487,It prevents brain damage by allowing blood to travel normally to the brain.,487.0,"503,0,0,0,,,"
488,488,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",488.0,"504,1,0,0,,,"
489,489,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",489.0,"505,0,0,0,,,"
490,490,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",490.0,"506,1,0,0,,,"
491,491,It circulates blood through CPR and delivers oxygen to the brain.,491.0,"507,1,0,0,,,"
492,492,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",492.0,"508,0,0,0,,,509,0,0,0,,,"
493,493,It delivers blood throughout the body.,493.0,"510,0,0,0,,,"
494,494,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",494.0,"511,1,0,0,,,"
495,495,Because I have a seizure,495.0,"512,0,0,1,,,"
496,496,I don't know.,496.0,"513,1,0,0,,,"
497,497,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",497.0,"514,1,0,0,,,"
498,498,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",498.0,"515,1,0,0,,,"
499,499,"""",499.0,"516,1,0,0,,,"
500,500,My heart is beating again and my blood circulates back into my head.,500.0,"517,1,0,0,,,"
501,501,It shocks the heart and makes it beat again,501.0,"518,1,0,0,,,"
502,502,This is because blood circulation is good when the heart beats.,502.0,"519,0,1,0,,,"
503,503,Because it makes the heart beat and makes the heart beat and blood circulation.,503.0,"520,1,0,0,,,"
504,504,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",504.0,"521,1,0,0,,,"
505,505,Blood circulates well because it compresses the heart.,505.0,"522,0,1,0,,,"
506,506,in order to secure the airway,506.0,"523,1,0,0,,,"
507,507,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",507.0,"524,0,0,0,,,"
508,508,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",508.0,"525,1,0,0,,,"
509,509,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",509.0,"526,0,0,0,,,"
510,510,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",510.0,"527,1,0,0,,,"
511,511,This is because blood is supplied again.,511.0,"528,0,0,0,,,"
512,512,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,512.0,"529,1,0,0,,,"
513,513,Sympesosymbiosis leads to blood circulation,513.0,"530,1,0,0,,,"
514,514,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,514.0,"531,1,0,0,,,"
515,515,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",515.0,"532,0,0,0,,,"
516,516,It's because blood doesn't go to the head.,516.0,"533,1,0,0,,,"
517,517,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",517.0,"534,1,0,0,,,"
518,518,Because it can deliver oxygen,518.0,"535,1,0,0,,,"
519,519,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",519.0,"536,1,0,0,,,"
520,520,It provides air to prevent brain damage,520.0,"537,1,0,0,,,"
521,521,It makes your heart beat with your hands and makes your blood circulate,521.0,"538,1,0,0,,,539,1,0,0,,,"
522,522,It pumps the heart and artificially circulates the blood,522.0,"540,0,0,0,,,"
523,523,It makes my heart race,523.0,"541,1,0,0,,,"
524,524,Because it compresses the chest and sends blood to the brain,524.0,"542,0,0,0,,,"
525,525,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,525.0,"543,0,0,0,,,"
526,526,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",526.0,"544,1,0,0,,,"
527,527,Pressure on the heart causes blood to be supplied to the brain.,527.0,"545,0,0,0,,,"
528,528,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,528.0,"546,0,0,0,,,"
529,529,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",529.0,"547,0,0,0,,,"
530,530,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,530.0,"548,0,0,0,,,"
531,531,It stimulates the heart,531.0,"549,1,0,0,,,"
532,532,Heart,532.0,"550,1,0,0,,,"
533,533,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",533.0,"551,1,0,0,,,"
534,534,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,534.0,"552,0,0,0,,,"
535,535,It allows blood to circulate from the heart to the brain,535.0,"553,0,0,0,,,"
536,536,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",536.0,"554,1,0,0,,,"
537,537,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",537.0,"555,1,0,0,,,"
538,538,"It pumps the heart at random, so it's able to pump it all over your body",538.0,"556,0,0,1,,,"
539,539,"It's because you lose.""",539.0,"557,0,0,1,,,"
540,540,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,540.0,"558,1,0,0,,,"
541,541,Maybe the heart and the brain are connected,541.0,"559,0,0,1,,,"
542,542,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",542.0,"560,1,0,0,,,"
543,543,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",543.0,"561,0,0,1,,,"
544,544,.,544.0,"562,1,0,0,,,"
545,545,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",545.0,"563,1,0,0,,,"
546,546,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",546.0,"564,1,0,0,,,"
547,547,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",547.0,"565,0,0,1,,,"
548,548,It makes your heart beat. It makes your brain come alive,548.0,"566,0,0,1,,,"
549,549,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,549.0,"567,1,0,0,,,"
550,550,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",550.0,"568,1,0,0,,,569,0,0,1,,,"
551,551,I don't know.,551.0,"570,1,0,0,,,"
552,552,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",552.0,"571,1,0,0,,,"
553,553,It's supplied to the brain,553.0,"572,1,0,0,,,"
554,554,Blood needs to flow to get air,554.0,"573,1,0,0,,,"
555,555,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",555.0,"574,1,0,0,,,"
556,556,This is because the brain exercises only when blood circulation occurs,556.0,"575,1,0,0,,,"
557,557,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,557.0,"576,0,0,1,,,"
558,558,I don't know,558.0,"577,1,0,0,,,"
559,559,Because it won't stop my heart,559.0,"578,1,0,0,,,"
560,560,I don't know.,560.0,"579,0,0,1,,,"
561,561,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",561.0,"580,0,0,0,,,"
562,562,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",562.0,"581,1,0,0,,,"
563,563,"My heart is beating, so my body is bleeding",563.0,"582,1,0,0,,,"
564,564,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",564.0,"583,1,0,0,,,"
565,565,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",565.0,"584,0,0,0,,,"
566,566,Because it allows you to breathe.,566.0,"585,0,0,1,,,"
567,567,"""God's Touch""",567.0,"586,1,0,0,,,"
568,568,"""",568.0,"587,0,0,1,,,"
569,569,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",569.0,"588,0,0,0,,,"
570,570,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",570.0,"589,1,0,0,,,"
571,571,"""",571.0,"590,1,0,0,,,"
572,572,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,572.0,"591,1,0,0,,,"
573,573,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",573.0,"592,1,0,0,,,"
574,574,I don't know.,574.0,"593,1,0,0,,,"
575,575,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",575.0,"594,0,0,0,,,"
576,576,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",576.0,"595,1,0,0,,,"
577,577,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",577.0,"596,1,0,0,,,"
578,578,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",578.0,"597,1,0,0,,,"
579,579,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",579.0,"598,0,0,0,,,599,0,0,1,,,"
580,580,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,580.0,"600,0,0,1,,,"
581,581,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",581.0,"601,1,0,0,,,"
582,582,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",582.0,"602,0,0,1,,,"
583,583,It supplies oxygen by external force.,583.0,"603,1,0,0,,,"
584,584,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",584.0,"604,1,0,0,,,"
585,585,It is because it sends blood to the whole body.,585.0,"605,0,0,0,,,"
586,586,It prevents brain damage by allowing blood to travel normally to the brain.,586.0,"606,0,0,0,,,"
587,587,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",587.0,"607,1,0,0,,,"
588,588,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",588.0,"608,0,0,1,,,"
589,589,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",589.0,"609,0,1,0,,,"
590,590,It circulates blood through CPR and delivers oxygen to the brain.,590.0,"610,1,0,0,,,"
591,591,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",591.0,"611,0,0,0,,,"
592,592,It delivers blood throughout the body.,592.0,"612,0,0,1,,,"
593,593,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.Brain damage occurs when blood circulates into the brain and oxygen is not supplied. Therefore, when a heart attack occurs, blood circulation does not occur, and blood oxygen is not supplied to the brain, brain damage occurs, so CPR should be performed to force the heart to beat.",593.0,"613,1,0,0,,,"
594,594,"In order for the brain to function normally, a lot of oxygen is needed, but when the heart stops and breathing stops, oxygen transport through the blood is not carried, so the brain cells do not receive oxygen and the brain cells die. However, when the heart rate resumes through CPR, the brain receives oxygen to prevent brain cells from dying.",594.0,"614,0,0,1,,,"
595,595,"Cardiopulmonary resuscitation can prevent brain damage because it artificially circulates blood through chest compression, artificial respiration, and defibrillation while the heart is stationary, delaying brain damage and helping the heart recover from rest.",595.0,"615,0,0,0,,,"
596,596,"When a heart attack occurs, oxygen in the tissue is rapidly consumed over time, which causes tissue damage. Cardiopulmonary resuscitation compresses the heart by compressing the heart and forcibly circulates the blood, continuously supplying oxygen to the tissue to prevent tissue damage.",596.0,"616,1,0,0,,,"
597,597,"A heart attack is a situation in which the heart stops working. The heart is responsible for circulating blood throughout the body, and if the heart stops working, the blood will not circulate. An antibody called hemoglobin in the blood functions to transport oxygen, but blood cannot circulate, which means that oxygen is not transported. In that way, the brain is not supplied with enough oxygen, resulting in brain damage. Therefore, if the blood is circulated through cardiopulmonary resuscitation instead of the heart, oxygen can be supplied to the brain to prevent brain damage.",597.0,"617,1,0,0,,,"
598,598,"This is because compressing the paralyzed heart through CPR does not stop the circulation of the body throughout the body, so oxygen can be supplied to the brain.",598.0,"618,1,0,0,,,"
599,599,"""If there is a cardiac arrest, the heart will not beat, causing problems in the blood circulation of the patient's body.",599.0,"619,0,1,0,,,"
600,600,"The brain, far away from the heart, has an important influence on human activity",600.0,"620,1,0,0,,,"
601,601,"If there's a cardiac arrest, there's a disruption in the blood supply to the brain, and there's a problem with the oxygen supply in the",601.0,"621,0,0,1,,,"
602,602,"It happens and it leads to brain damage. So if you do CPR,",602.0,"622,0,0,1,,,"
603,603,"Because it can artificially supply oxygen to the brain, CPR can prevent brain damage",603.0,"623,1,0,0,,,"
604,604,"There is.""",604.0,"624,1,0,0,,,"
605,605,"Cardiopulmonary resuscitation allows heart movement to continue without stopping. If the heart does not stop exercising, the blood circulation will continue without stopping, and oxygen will be supplied to the brain through blood circulation. Then, brain damage will not occur and the patient can be saved.",605.0,"625,1,0,0,,,"
606,606,This is because it can provide oxygen to the patient's body and brain by breathing indirectly through CPR,606.0,"626,0,0,1,,,"
607,607,"Blood circulation is when the heart beats, blood spreads throughout the body, and old blood comes out clean again, and when a heart attack occurs, such activity stops and brain damage occurs.However, when CPR is performed at this time, the heart moves as if the heart were beating.Then the blood spreads throughout the body again and can prevent brain damage.",607.0,"627,1,0,0,,,"
608,608,"Cardiopulmonary resuscitation is a very important first aid that supplies oxygenated blood to the heart and brain instead of a stationary heart. If a patient collapsed due to a sudden cardiac arrest, the patient should immediately compress the heart and circulate blood as quickly as possible to supply oxygen to the brain.",608.0,"628,1,0,0,,,629,1,0,0,,,"
609,609,"By compressing the chest, air in the lungs can be exchanged, and blood can be sent to the brain by squeezing out the heart.",609.0,"630,0,0,1,,,"
610,610,It is to let the blood flow.,610.0,"631,1,0,0,,,"
611,611,"""to make your heart beat and blood circulation",611.0,"632,1,0,0,,,"
612,612,"""",612.0,"633,1,0,0,,,"
613,613,This is because blood can be pumped and circulated.,613.0,"634,1,0,0,,,"
614,614,"When CPR is performed, blood circulates while pressing our bodies.",614.0,"635,1,0,0,,,"
615,615,Aaaaaaaah,615.0,"636,1,0,0,,,"
616,616,Cardiopulmonary resuscitation can prevent brain damage as blood carries oxygen to the brain.,616.0,"637,1,0,0,,,"
617,617,"When the heart stops and blood is not supplied to the whole body, cardiopulmonary resuscitation forces the heart to pump, causing blood to circulate throughout the body.",617.0,"638,1,0,0,,,"
618,618,"This is because cardiopulmonary resuscitation can have a similar effect as the heart beating, which can supply oxygen to the brain.",618.0,"639,1,0,0,,,"
619,619,"""Cardiopulmonary resuscitation can cause oxygen to carry blood to the brain",619.0,"640,0,0,0,,,"
620,620,"""",620.0,"641,1,0,0,,,"
621,621,"When blood flow to the brain stops, brain damage begins to occur from four minutes, and CPR can cause blood flow to move again, preventing brain damage.",621.0,"642,0,0,1,,,"
622,622,"When the heart stops, the blood doesn't circulate to the brain and the brain doesn't function again",622.0,"643,0,0,0,,,"
623,623,"By pressing the heart through simpesosynthesis, the heart can have a beating effect. It can have the effect of beating the heart, so it can send blood to the whole body. Blood red blood cells carry oxygen to the brain, which can prevent brain damage.",623.0,"644,0,1,0,,,"
624,624,"The blood travels with oxygen, and the part that we press when we do CPR is the heart, which is where all the blood passes because it moves all over the body and supplies oxygen to the brain",624.0,"645,0,1,0,,,"
625,625,"When the heart stops due to cardiac arrest, blood does not circulate to the brain, which prevents the brain from functioning properly, thereby preventing brain damage by circulating blood through CPR.",625.0,"646,0,1,0,,,"
626,626,???????,626.0,"647,1,0,0,,,"
627,627,Cardiopulmonary resuscitation presses the heart and sends blood to the brain,627.0,"648,1,0,0,,,"
628,628,It's because cardiopulmonary resuscitation helps the body circulate blood,628.0,"649,0,1,0,,,"
629,629,"Since blood flows to the brain, CPR circulates to the brain and improves the brain.",629.0,"650,0,1,0,,,"
630,630,I don't know.,630.0,"651,1,0,0,,,"
631,631,"The brain needs oxygen to move the brain, which can prevent damage to the brain because oxygen enters the whole body through parenchyma resuscitation.",631.0,"652,1,0,0,,,"
632,632,Prevent brain cell damage by continuously supplying oxygen to the brain that requires a lot of oxygen,632.0,"653,0,0,0,,,"
633,633,"When blood circulation stops, the brain is damaged due to a lack of oxygen supplied to the brain, but cardiopulmonary resuscitation prevents brain damage because it can continue to supply blood.",633.0,"654,0,0,1,,,"
634,634,Compression of the heart enables oxygenation to the brain.,634.0,"655,0,0,1,,,"
635,635,It supplies blood to the brain to prevent cell death of brain cells.,635.0,"656,0,1,0,,,"
636,636,This is because it shocks the heart and increases the speed of blood circulation.,636.0,"657,0,0,1,,,"
637,637,The air goes into the blood,637.0,"658,1,0,0,,,659,1,0,0,,,"
638,638,an ancient past life,638.0,"660,0,0,1,,,"
639,639,Cardiopulmonary resuscitation can prevent brain damage because blood circulates to the heart and supplies blood to the brain.,639.0,"661,1,0,0,,,"
640,640,It gives oxygen to the brain,640.0,"662,0,0,0,,,"
641,641,Pumps the heart and carries blood throughout the body,641.0,"663,0,0,1,,,"
642,642,Cardiopulmonary resuscitation allows the entire body to flow well so that blood circulation is artificially good.,642.0,"664,1,0,0,,,"
643,643,It makes your heart beat fast,643.0,"665,1,0,0,,,"
644,644,Because it gives oxygen to the brain,644.0,"666,0,0,0,,,"
645,645,"""When the heart stops, blood circulation stops, which causes brain damage because blood is not supplied to the brain",645.0,"667,0,0,0,,,"
646,646,Cardiopulmonary resuscitation can help supply blood and prevent brain damage,646.0,"668,1,0,0,,,"
647,647,It can prevent brain damage by supplying oxygen to the brain.,647.0,"669,1,0,0,,,"
648,648,.,648.0,"670,1,0,0,,,"
649,649,"Through CPR, the heart is pressed to act as the original heart, causing blood to circulate throughout the body.",649.0,"671,0,0,0,,,"
650,650,"The blood supply, which is the main cause of brain damage, can be solved by blurring the blood.",650.0,"672,1,0,0,,,"
651,651,It seems to apply pressure to the heart to allow blood to flow from the heart to the body.,651.0,"673,0,0,0,,,"
652,652,"When the supply of blood to the brain is stopped, brain damage occurs, and if first aid is provided quickly and blood is supplied artificially, brain damage can be prevented.",652.0,"674,1,0,0,,,"
653,653,Helps blood circulation to the brain,653.0,"675,1,0,0,,,"
654,654,"As the heart beats, oxygen is supplied to the brain.",654.0,"676,0,1,0,,,"
655,655,a supply of oxygen to the brain,655.0,"677,1,0,0,,,"
656,656,the supply of oxygen through the blood circulation,656.0,"678,1,0,0,,,"
657,657,"It can circulate blood, so oxygen can be transferred to the brain through blood, so damage can be prevented.",657.0,"679,1,0,0,,,"
658,658,"Cardiopulmonary resuscitation compresses the heart and increases blood circulation, increasing blood directed to the brain. It prevents brain damage by increasing oxygen supplied to the brain through the blood.",658.0,"680,0,1,0,,,"
659,659,oxygenation,659.0,"681,1,0,0,,,"
660,660,Circulate the heat fluid.,660.0,"682,1,0,0,,,"
661,661,It has a strong impact on the heart and supplies blood to the brain.,661.0,"683,0,0,0,,,"
662,662,"By using human power to circulate blood, the brain can be constantly supplied with oxygen",662.0,"684,1,0,0,,,"
663,663,"Oxygen is supplied to the brain, enabling brain cell survival.",663.0,"685,1,0,0,,,"
664,664,Blood circulation to the brain can occur and supply oxygen to the brain.,664.0,"686,1,0,0,,,"
665,665,The heart that is lost in the event of a cardiac arrest circulates blood throughout the body instead of functioning.,665.0,"687,1,0,0,,,"
666,666,"When the heart and intestines are artificially pumped through cardiac resuscitation, blood escapes from the heart, blood circulation occurs, and oxygen is supplied to the brain.",666.0,"688,1,0,0,,,689,0,0,1,,,"
667,667,"It puts pressure on the heart, so the heart beats and blood circulates.",667.0,"690,1,0,0,,,"
668,668,"When blood circulation stops, brain damage occurs. Therefore, if the blood is purified by pressing the heart, brain damage can be prevented.",668.0,"691,1,0,0,,,"
669,669,Cardiopulmonary resuscitation prevents damage to the brain by sending blood from the heart to the brain.,669.0,"692,0,0,1,,,"
670,670,Cardiopulmonary resuscitation circulates the blood by giving the effect of beating the heart instead.,670.0,"693,1,0,0,,,"
671,671,"It forces the heart to act as a pump, causing blood circulation.",671.0,"694,0,0,1,,,"
672,672,Cardiopulmonary resuscitation prevents brain damage to allow blood to circulate because it allows the stopped heart to contract and relax artificially,672.0,"695,1,0,0,,,"
673,673,It is because the heart does not work and the blood in the brain is insufficient.,673.0,"696,1,0,0,,,"
674,674,This is because CPR can stimulate the heart and supply blood to the brain.,674.0,"697,1,0,0,,,"
675,675,The heart carries blood. Transporting blood can cause oxygen in the blood to move to the brain and prevent brain damage.,675.0,"698,1,0,0,,,"
676,676,We need to secure the airway and keep the legs above the heart,676.0,"699,1,0,0,,,"
677,677,Pump it up and let the blood touch the head,677.0,"700,0,0,0,,,"
678,678,This is because it compresses the heart so that blood can be continuously supplied to the brain.,678.0,"701,0,0,0,,,"
679,679,"Cardiopulmonary resuscitation puts pressure on the heart, which moves the heart and moves the blood elsewhere.",679.0,"702,1,0,0,,,"
680,680,"Pressure is applied to the atrium to trap the heartbeat, so blood in the atrium circulates through the arteries",680.0,"703,0,0,0,,,"
681,681,It pumps the heart and the blood circulates,681.0,"704,1,0,0,,,"
682,682,"When brain damage occurs, blood flowing from the heart is difficult to flow to the brain. Cardiopulmonary resuscitation improves the heartbeat and allows blood to flow to the brain.",682.0,"705,1,0,0,,,"
683,683,"Because the heart acts as a puff, CPR goes to the brain and circulatesI",683.0,"706,0,0,0,,,"
684,684,Cardiopulmonary resuscitation does not cause brain damage because blood circulates in the body and blood circulates in the brain,684.0,"707,1,0,0,,,"
685,685,"Since our body's blood passes through the heart to the brain, if CPR allows the heart to beat, blood to the brain can prevent brain damage.",685.0,"708,1,0,0,,,"
686,686,This is because it allows a person to breathe.,686.0,"709,0,0,0,,,"
687,687,It puts pressure on the heart and sends oxygen directly,687.0,"710,1,0,0,,,"
688,688,It can supply oxygen to the brain,688.0,"711,1,0,0,,,"
689,689,"Blood is supplied to the whole body as a pump of the heart, and due to a heart attack, the pump of the heart stops, causing brain damage because blood cannot be supplied to the brain. Cardiopulmonary resuscitation can prevent brain damage by passive pumping the heart.",689.0,"712,0,0,0,,,"
690,690,"Through CPR, blood and oxygen can be continuously supplied to the brain of cardiac arrest patients to prevent brain damage.",690.0,"713,1,0,0,,,"
691,691,"Cardiopulmonary resuscitation replaces the pumping of the heart, allowing blood to flow to the brain, preventing brain damage.",691.0,"714,1,0,0,,,"
692,692,"Cardiopulmonary resuscitation allows blood to circulate throughout the body, and blood can enter the brain to prevent brain damage.Brain damage occurs when blood circulates into the brain and oxygen is not supplied. Therefore, when a heart attack occurs, blood circulation does not occur, and blood oxygen is not supplied to the brain, brain damage occurs, so CPR should be performed to force the heart to beat.",692.0,"715,1,0,0,,,"
693,693,"In order for the brain to function normally, a lot of oxygen is needed, but when the heart stops and breathing stops, oxygen transport through the blood is not carried, so the brain cells do not receive oxygen and the brain cells die. However, when the heart rate resumes through CPR, the brain receives oxygen to prevent brain cells from dying.",693.0,"716,0,0,0,,,"
694,694,"Cardiopulmonary resuscitation can prevent brain damage because it artificially circulates blood through chest compression, artificial respiration, and defibrillation while the heart is stationary, delaying brain damage and helping the heart recover from rest.",694.0,"717,0,0,0,,,"
695,695,"When a heart attack occurs, oxygen in the tissue is rapidly consumed over time, which causes tissue damage. Cardiopulmonary resuscitation compresses the heart by compressing the heart and forcibly circulates the blood, continuously supplying oxygen to the tissue to prevent tissue damage.",695.0,"718,1,0,0,,,719,1,0,0,,,"
696,696,"A heart attack is a situation in which the heart stops working. The heart is responsible for circulating blood throughout the body, and if the heart stops working, the blood will not circulate. An antibody called hemoglobin in the blood functions to transport oxygen, but blood cannot circulate, which means that oxygen is not transported. In that way, the brain is not supplied with enough oxygen, resulting in brain damage. Therefore, if the blood is circulated through cardiopulmonary resuscitation instead of the heart, oxygen can be supplied to the brain to prevent brain damage.",696.0,"720,1,0,0,,,"
697,697,"This is because compressing the paralyzed heart through CPR does not stop the circulation of the body throughout the body, so oxygen can be supplied to the brain.",697.0,"721,1,0,0,,,"
698,698,"""If there is a cardiac arrest, the heart will not beat, causing problems in the blood circulation of the patient's body.",698.0,"722,0,0,0,,,"
699,699,"The brain, far away from the heart, has an important influence on human activity",699.0,"723,1,0,0,,,"
700,700,"If there's a cardiac arrest, there's a disruption in the blood supply to the brain, and there's a problem with the oxygen supply in the",700.0,"724,1,0,0,,,"
701,701,"It happens and it leads to brain damage. So if you do CPR,",701.0,"725,1,0,0,,,"
702,702,"Because it can artificially supply oxygen to the brain, CPR can prevent brain damage",702.0,"726,1,0,0,,,"
703,703,"There is.""",703.0,"727,1,0,0,,,"
704,704,"Cardiopulmonary resuscitation allows heart movement to continue without stopping. If the heart does not stop exercising, the blood circulation will continue without stopping, and oxygen will be supplied to the brain through blood circulation. Then, brain damage will not occur and the patient can be saved.",704.0,"728,1,0,0,,,"
705,705,This is because it can provide oxygen to the patient's body and brain by breathing indirectly through CPR,705.0,"729,1,0,0,,,"
706,706,"Blood circulation is when the heart beats, blood spreads throughout the body, and old blood comes out clean again, and when a heart attack occurs, such activity stops and brain damage occurs.However, when CPR is performed at this time, the heart moves as if the heart were beating.Then the blood spreads throughout the body again and can prevent brain damage.",706.0,"730,1,0,0,,,"
707,707,"Cardiopulmonary resuscitation is a very important first aid that supplies oxygenated blood to the heart and brain instead of a stationary heart. If a patient collapsed due to a sudden cardiac arrest, the patient should immediately compress the heart and circulate blood as quickly as possible to supply oxygen to the brain.",707.0,"731,1,0,0,,,"
708,708,"By compressing the chest, air in the lungs can be exchanged, and blood can be sent to the brain by squeezing out the heart.",708.0,"732,1,0,0,,,"
709,709,It is to let the blood flow.,709.0,"733,1,0,0,,,"
710,710,"""to make your heart beat and blood circulation",710.0,"734,1,0,0,,,"
711,711,"""",711.0,"735,1,0,0,,,"
712,712,This is because blood can be pumped and circulated.,712.0,"736,1,0,0,,,"
713,713,"When CPR is performed, blood circulates while pressing our bodies.",713.0,"737,1,0,0,,,"
714,714,Aaaaaaaah,714.0,"738,0,0,1,,,"
